Veteran,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target
Non-Veteran,India,B,-13.69329344031131,97.18286387087743,-109.51810242252795,E,B,B,D,A,C,-40.36718701905567,B,-25.177730524583108,E,A,-29.626498491597626,0
Veteran,China,E,39.106679383324014,-162.7116607132833,134.89296402490416,A,C,B,A,A,C,29.047088211122546,E,-164.58566817803325,B,E,-55.97698699484964,1
Yes,US,E,43.663033422274495,129.6904373574837,45.398528264963375,E,B,A,C,B,D,79.50209281083801,B,76.61298942488321,B,D,49.038916398752356,1
Non-Veteran,India,D,-54.94340051108614,-84.93389062212164,-9.86661296467313,B,B,B,A,E,E,-91.3912100408679,C,-202.30989545659864,C,D,42.7165396857336,1
Non-Veteran,China,C,-77.09379252747412,-29.117070771354324,38.27138273570156,D,D,C,E,A,B,-145.44894584385247,C,-170.79192309992249,D,D,79.83334761326202,1
No,UK,C,-54.58718709766266,16.233541222429036,-33.99483149809789,B,D,C,B,D,C,-46.97210217916038,A,-33.73930433487691,B,B,157.41794279454012,0
Non-Veteran,UK,B,47.81663516106504,-21.79949015940271,-101.82195621885619,D,E,E,D,E,B,50.24394922335249,B,-100.30232781919779,E,D,-0.7013872770388938,0
Yes,China,A,-153.66467749973154,-147.8711138725492,176.90779123174235,B,B,B,C,C,A,-104.66917532156175,D,-59.91555304177285,B,C,-139.1889846888255,0
Veteran,India,D,115.53666856331219,-103.38325219829092,-86.0736371397216,A,D,C,E,C,B,-207.51824926243935,B,-67.72760894356433,C,D,188.6533811806791,0
No,China,B,-120.39124690055236,-165.12903478185038,12.973262174731778,B,E,E,D,C,B,51.46313395655587,B,1.8654614752047678,C,A,-60.78749464703206,0
No,UK,D,4.086544073589267,99.32500652335266,-72.05046788318593,A,D,D,A,A,C,99.72648911934056,B,32.38832034845581,D,C,-94.05313723255647,0
Non-Veteran,Mexico,D,-20.5430110391739,-135.60301386550887,145.26065594668097,D,C,E,C,E,A,-9.926550345893707,C,-36.36922567686714,C,A,-51.713980683863866,0
Yes,Other,A,-125.31387774506541,25.89076540880329,86.49903239399012,C,B,C,E,B,B,33.96842030815637,E,-60.59534114785124,E,D,-11.718336950390604,0
No,UK,D,63.82410822817154,212.16211306693276,30.496718184569016,A,D,A,A,D,D,-43.172151732614374,B,-20.680703634044946,D,D,29.577074007338073,0
No,Germany,E,70.19177126396718,10.567547481204015,18.029693924517318,C,D,B,B,C,A,-3.6458617215074507,B,-110.7936141838197,E,E,118.6513059009674,1
No,Germany,D,67.00056307250529,91.33017280075453,96.35282823237826,D,E,A,B,B,C,-81.67712260063627,E,-96.31269672099748,D,A,107.92296995559644,0
Yes,UK,A,-108.84489600288924,-41.01354998959369,-1.5822411767909847,D,B,B,A,E,B,-187.2806126696148,C,-101.21696790568893,B,A,-127.45272274757589,0
Veteran,UK,A,-57.99561094307716,31.34711737927966,15.20389810710585,D,D,B,A,A,E,32.425546228854664,A,-21.82592584698458,B,E,89.74498763268709,1
Veteran,India,B,231.2683536509264,-128.63982943219176,212.4035714791918,A,E,D,B,A,D,104.32768088915101,A,-92.65597275406611,C,B,85.53309429456228,0
Veteran,India,D,-77.01580288659174,162.86021231960194,104.96049441383207,B,C,D,E,B,B,-24.160465528490246,D,85.5423975509778,A,C,-68.46378300320242,1
Yes,Mexico,D,107.03937046099534,-159.7708635813149,15.504119786021988,B,C,B,B,D,A,-91.84530673893244,E,35.48615091905605,A,D,139.48919154022562,0
No,India,D,76.72327894229856,1.1538004546706702,100.75804168551952,A,A,E,A,C,E,83.80541844162602,D,-115.4046652760174,C,E,-48.663880732898036,0
No,UK,D,0.5395074821180439,-1.6918745455868534,29.72781479230412,A,D,C,C,D,B,-136.82435147264053,E,-110.55496903366524,A,B,-45.05479315486069,1
Non-Veteran,China,C,-94.92374181231469,-91.27777307863732,-111.93818306673245,B,B,C,A,A,E,-155.94159106504742,A,101.50938715470129,A,C,-20.190881240005016,1
Veteran,China,E,164.9848955756837,274.259854990163,6.884309826094466,C,A,C,B,C,B,8.867236449955294,B,54.90629978972981,C,C,-135.92220808798075,0
Veteran,US,B,-138.01909853440142,30.080567415301307,-89.54146794969897,E,C,B,E,C,C,2.2425589511634785,C,-80.1118014704629,D,B,-167.37113746277913,0
No,Other,A,-46.662334972715236,10.896853077613587,-75.69895635152197,B,D,D,D,D,E,50.70888511405213,A,-160.4228869587285,E,A,-16.70238227605559,0
Veteran,Brazil,E,139.743014592722,95.33217917248264,-137.15264693725516,E,E,D,D,E,D,18.38699935460641,C,178.48406306533994,C,A,132.14296550450916,0
Yes,Germany,D,-162.0166385296104,-19.35628515458173,-19.695996772747073,D,A,C,B,C,D,-144.12460169141218,D,-51.252300895572546,A,D,143.8702121385809,1
Yes,Germany,B,-134.92414269887294,-63.40130483948091,-189.66172393380558,C,D,C,A,E,D,-44.42255011191433,B,-42.36672485774438,D,C,-149.57089110869452,0
Veteran,Other,A,87.02544027930695,73.44161841198142,-56.22491258041807,B,B,D,D,C,C,-28.83293966810615,D,-141.9456585231785,E,A,29.05987779378872,1
Veteran,UK,C,-4.2922768793909984,-174.05136873867576,-116.03309679573984,C,B,D,D,D,C,-66.69339661585374,B,-69.1480863910363,D,E,-38.400422987891034,1
No,China,C,17.623574679763244,-127.41521487881677,-132.29129185498763,D,C,A,D,E,A,-51.46874070694035,A,-196.35568264578927,D,E,-2.8096727737780687,1
Non-Veteran,US,A,12.571764573396582,-34.71109384880374,-63.86324319511266,E,A,E,A,B,C,-8.077690683370244,A,-32.290353101232384,E,A,57.01824153773789,1
Veteran,Mexico,C,-19.317575441769442,6.0719915525994,47.00874153996458,A,B,C,A,C,B,-45.528910484025076,A,61.72879839571519,D,E,-30.897450419269536,0
Veteran,Other,D,64.86483893377013,-21.79254819489787,84.74892060436996,A,D,A,D,B,D,-67.52698509835965,E,56.33781763330404,B,A,1.4223288200267443,0
No,China,D,-4.501981259683235,52.34693591303233,-41.630635914205286,B,B,B,B,C,A,-15.087700558531797,D,74.07459007792434,B,E,120.18238966337282,1
No,India,C,-50.759290955272405,-130.45805395780783,7.290537418509857,A,A,D,A,A,E,16.395881349264563,E,-162.1665582115246,E,B,20.380140271727512,1
Veteran,Germany,B,75.3027294597024,-85.01612981278019,21.71205638732888,D,C,C,E,A,C,-83.67036228578979,B,127.93519354204726,D,A,-144.7718668458504,0
Non-Veteran,Other,B,-30.220589069857446,-260.4867258199152,-35.27854607368152,B,A,B,A,C,C,-55.6470898182166,C,-67.95634526015758,A,C,-161.9642201397219,0
Yes,US,B,96.35030466129417,-32.21915224886081,-118.36972719745611,C,A,B,B,A,A,-44.6832238279682,B,164.75686556176842,B,A,-67.42820619198736,1
Non-Veteran,Mexico,D,-101.44572879953448,-143.7158418887955,37.58469850473765,B,E,E,C,D,A,68.99662384355435,B,4.831031055442474,C,A,-89.1283495766318,1
Yes,US,A,-4.631851436372603,-14.204508213512776,-73.71877897510718,A,B,E,A,C,E,29.13255679632478,C,-28.57208860202351,E,D,-24.670495037356087,0
Veteran,US,B,-101.02100576931072,-83.24052870139006,-73.9788746824253,A,C,A,C,B,D,13.071515272140966,E,-68.88128313750566,E,D,-36.31184195581656,0
Non-Veteran,Mexico,E,-50.787362729966375,92.20870167320095,-4.077689550829246,D,C,A,E,D,A,59.35269383318252,A,36.686133527262015,D,A,-23.515370833597306,0
Non-Veteran,Other,B,133.3297324618489,-175.0159172724835,67.42294310458266,A,D,E,A,C,A,84.93264689943373,D,148.6740782657529,B,D,73.61572996955907,1
Yes,India,E,223.88838262429647,-11.19862069348359,95.39801983298098,A,E,E,E,A,D,-43.50239201678321,B,89.12033100473624,D,D,-100.16653630945278,1
Veteran,India,C,237.6919755899182,-40.177267538406134,-84.64619867006598,B,A,C,E,C,A,8.254690234114891,D,-126.05545245503444,E,A,-141.94830349697298,0
Yes,Brazil,E,-9.568983480569724,-8.930713111055358,-130.34477263993375,B,D,C,A,A,D,3.3713096037572527,C,122.24494801996764,B,E,-62.03769870862303,1
Non-Veteran,Mexico,C,-46.913764110681015,-19.213751511901624,-119.08144228301845,C,A,D,B,B,C,122.65856378934761,D,-7.881735099642779,E,E,94.66867285544926,0
Yes,Germany,D,26.357096682960172,189.53586025519937,-51.940645970914204,C,A,C,A,B,E,-76.9858783620974,D,134.20164467673848,D,D,49.01136463020231,1
No,India,C,81.91491192111485,-59.829424290057055,-36.71257282408321,D,A,D,B,D,B,-137.40135935950158,D,-9.864702420457402,A,A,-42.955789891675536,0
No,Mexico,E,-12.583887017310303,12.908109959425703,-31.56996871694876,E,C,B,B,B,C,63.20531951694869,A,-37.4920121199918,E,B,-45.503923581400734,0
Veteran,Other,D,70.6711256991285,-37.47851693242995,-27.79897799362468,D,E,B,D,D,E,-0.2517936823759857,C,-68.79827408545643,D,A,-51.198960290755345,1
No,Other,B,63.19528865040213,-65.49354686838734,-119.35045686767161,C,E,B,C,B,B,-20.949533669145058,A,-141.17142638577565,E,D,4.70937236282813,0
Non-Veteran,China,E,68.39635816828796,-206.14063738121325,117.86816040241092,A,A,A,E,A,A,-19.550315242134804,E,4.280711841972402,E,D,131.77595733544666,0
Yes,Brazil,D,-68.2132311042437,-173.26035461237166,-228.31665498888503,B,A,E,B,E,A,23.575624835002166,D,-167.83920241904465,C,D,-147.85013027035964,0
Non-Veteran,China,D,-28.147589051113126,-75.39472935356373,151.30256941971922,D,B,B,D,C,A,-66.61658651940775,D,141.3784328263187,D,A,156.60421754850898,0
Veteran,UK,C,10.641066533662205,170.569589025072,-76.95471296466273,A,A,A,E,E,B,-197.3574045687012,E,27.495751870865515,D,E,-103.00070408512335,0
Veteran,Brazil,E,20.198596747935273,-108.3707534034398,88.38233962076212,C,C,B,B,E,A,67.88331950436975,E,138.90264148897995,C,C,104.94686483962543,0
Yes,Germany,E,0.5112796313576315,-53.72714403765849,65.06987453020339,A,C,E,B,C,C,-36.38942836094086,E,62.94930193795313,E,B,60.58292884197359,1
Veteran,Mexico,A,-139.75933691506245,103.75076973071349,193.36918557127376,A,C,D,D,A,D,147.43091842191228,B,-2.4595351688169194,A,B,36.76601100698937,1
Non-Veteran,UK,E,-126.73343628952473,126.93087268684069,33.04607807983911,B,E,A,D,E,D,29.20872971392871,D,23.645955677975245,B,D,95.38238576383394,0
Yes,US,A,50.458332073191755,-177.11507089239166,63.609010773150466,B,D,C,D,D,B,-27.834474265342774,B,-0.24547579542106113,E,C,-16.241476276187896,0
Yes,Brazil,B,-243.73214738277835,-57.269368785086805,71.0191789660636,D,A,C,B,A,C,38.64692960041505,B,228.86043304216878,E,B,-58.33111826638158,1
Yes,Other,B,-69.05702172528964,-39.56071537296833,-77.0847765600724,E,A,A,D,C,E,195.16822908906477,E,35.75195098868662,C,E,-180.50634207683038,1
Veteran,Germany,C,-2.9439471920042615,17.834457300736908,55.062639455205456,E,A,E,C,E,C,39.69626660866587,A,-16.10642391330266,A,B,-57.86371049225135,1
Non-Veteran,China,E,-87.27877262880118,-46.6609683690039,-107.47642596643145,A,C,E,A,C,B,-102.18811403200883,B,-45.707011292037485,C,D,51.403177997030305,0
Yes,Brazil,A,-57.487310753260736,67.15126493912406,-208.11341494330898,D,D,E,A,A,C,180.66011196811087,C,25.99204770577166,D,E,-147.92596354740252,1
Veteran,Mexico,E,44.33162079927239,121.08164022924706,-22.869495121509374,C,C,B,C,C,B,-28.433312499747533,C,-176.75398962409133,A,D,-49.783428481362165,1
Yes,US,E,-221.48183943852442,-62.163076456851506,-88.2893237508875,E,C,B,B,E,B,14.678226518048664,E,188.50777754977162,A,E,-64.72920791201985,0
Veteran,Germany,E,-76.61796225124266,-106.80125574299014,76.81284456169384,D,E,A,E,C,A,49.5383635002617,B,22.19516877007372,A,E,62.8240411259544,0
No,Mexico,D,-185.74425996741425,-39.199725838076496,90.25407044112666,B,A,A,C,D,A,-154.37490879979592,A,69.15327987422668,B,D,-95.54242877017475,0
Veteran,Germany,B,-157.3247227384702,11.621337382709271,24.97208163778882,A,A,C,B,D,D,-111.90091369742123,D,-16.017390519707593,D,C,60.35514775279457,0
Veteran,China,C,50.49696078523399,-183.97517642258464,58.074611763265324,E,D,D,D,A,A,43.28738241282421,B,223.7848795639229,C,A,-90.92510728672912,0
Yes,Germany,B,58.46104425651818,75.23000882706519,78.72496893113089,B,B,E,C,C,A,-60.72069305177562,B,59.30055343770507,A,E,62.93619380825092,1
Non-Veteran,Other,B,27.27572334893536,-52.51620657175952,-21.242512896305925,D,E,B,D,A,B,71.67290714432589,C,12.438673574793874,D,A,-48.39901077348432,1
No,US,A,149.14398602504014,103.07515249085553,-107.49896902076821,E,E,B,D,D,D,49.26586928714312,B,32.082285043558535,E,D,125.37962637773485,0
No,UK,B,-145.59590850841892,18.858364807182983,10.627359235258655,D,E,D,B,E,A,-80.47684293305343,D,63.44538991525523,D,C,-31.492134429731895,0
Yes,UK,E,20.825314916746777,-6.385667199059392,110.81124989190766,E,E,E,C,D,B,-80.89920687864223,A,134.51751428706027,C,C,140.99801132655278,1
Non-Veteran,US,C,105.50858691177322,-10.841689551720918,24.366572100880774,A,D,C,A,B,B,126.14641552475292,E,73.36863335972325,C,C,46.613017037203576,0
Non-Veteran,Other,E,-35.8223369035463,121.19725758493152,-52.7941859135541,A,E,D,E,B,C,75.70639399537144,B,50.00069489854637,E,B,-10.478686075882935,0
Yes,India,C,149.71163757440132,-24.594887333680578,80.09974773039156,D,D,E,C,D,A,62.56411659316774,C,-17.69626404219424,E,A,106.13738794887797,1
Non-Veteran,Other,B,139.65061979367434,62.28080496811702,76.37927382909598,C,D,C,D,D,E,8.959260766555984,E,24.99300939631352,A,E,-89.50702586935854,1
Veteran,India,B,-106.650703720982,63.05239156091014,4.511316369312908,E,D,C,E,D,A,-91.32925903800736,E,7.367701988720523,C,E,-48.06005091209067,0
Non-Veteran,Brazil,E,-59.62835928616344,0.8049343794789353,-94.5518415567799,B,C,C,A,B,C,-91.41596089277617,C,-182.43384950600372,B,D,-81.74637184364522,1
No,Other,E,24.026714910807094,-35.97274545226315,-11.870680338468048,C,B,C,B,A,B,42.010765632021794,D,-126.83279157856731,E,A,231.26235243982362,1
Yes,China,C,-44.56418691577429,-88.77333616491725,156.4547476426458,E,B,B,D,E,B,-7.318579698250673,B,184.3790303022891,A,B,103.30304097694506,1
No,US,E,-89.43492228426342,20.365271378075715,221.38220367772416,E,A,D,D,D,A,-15.89588243923657,E,75.91382621567861,C,D,41.97175300868134,1
Non-Veteran,Brazil,D,108.93424780835083,-173.7186024629787,20.304930217270314,A,D,E,A,E,C,-27.56587096509585,E,135.88559379431322,D,A,109.3444229488679,0
Veteran,India,E,-103.37948747128259,-78.93297604874306,43.55402787507462,B,E,C,B,D,A,153.0905409173304,E,131.9278640930691,A,A,-254.63519580567174,1
Non-Veteran,Germany,C,78.9539664147725,-140.10159221987422,-63.364117390016304,D,C,D,A,C,A,-10.702412243109318,A,175.0586271514528,C,E,109.0080120058996,1
Veteran,UK,B,107.15010990371141,-105.65481233882946,62.44198176761658,A,C,C,B,D,C,-47.20001976764844,A,161.37772782872983,B,E,-3.0890727681119925,1
Yes,Mexico,C,62.73818443432141,-215.02889116966895,81.76622454495168,E,D,D,C,E,D,161.46153120684286,A,183.21705732926375,B,A,-15.829218706438223,0
Yes,China,D,152.09177714945235,-173.46671346910583,-54.16176953465267,A,E,C,A,A,D,-136.16278785724722,B,66.68190527515682,B,D,57.58571986333282,1
No,Germany,D,-17.472954963637534,-7.776720760262691,-62.82142560718955,B,E,B,E,C,E,11.72076155443683,A,185.83477432137278,D,A,63.02890078318961,1
Veteran,Mexico,E,6.8876442612010775,7.357172018307301,149.06292913838203,C,D,B,A,E,B,-17.635123158665092,B,19.742761857912125,A,C,40.633616844517974,1
Non-Veteran,Other,A,59.19920999399412,-268.5672737419962,-197.8883004082818,D,C,C,D,B,E,67.62044444318441,C,78.35942802301074,B,D,-54.72888897377985,0
No,Germany,C,-94.85954415686003,92.65931537928782,11.88720412143065,D,E,A,B,B,E,43.432721249252324,E,-92.51861106535671,B,A,-199.16640003013762,1
Non-Veteran,China,A,6.100731911961414,-38.78392989895904,-3.8774321835705496,B,C,B,E,A,E,-98.26827427120205,A,108.685596615178,C,A,-43.083277443787196,1
Non-Veteran,UK,A,-53.8282707552859,159.18128232308348,62.893252769770555,A,B,B,A,E,E,-271.00179727368203,D,5.741833000300282,C,D,154.89600081300935,0
Yes,Brazil,A,-29.7426054302041,-148.0975074358003,-113.26154582888508,D,A,E,A,D,B,57.730661852953936,D,69.20661314415943,E,A,156.90717834248647,0
Yes,Other,E,-59.49135970859326,96.82696457086146,-164.75457580141867,E,C,B,B,B,B,-4.547536206043768,B,36.10253250393195,E,B,-42.72742205772326,1
No,UK,A,51.249424820736486,-4.05726655555796,-22.524445282192616,B,B,B,C,E,D,-101.40787809942837,B,-29.23567863393145,B,D,-121.0880058887775,0
No,Mexico,B,-6.471824362196939,158.83796764904733,-83.35923994796917,D,A,D,A,C,E,-138.9075211560372,A,-14.939435884481789,A,E,150.78850432395757,1
No,UK,D,7.149553836904765,53.35790714665233,18.121559306481277,A,C,C,B,C,A,34.879367590229336,C,-27.792682742535202,D,B,10.111087595877503,0
Non-Veteran,UK,E,82.77392552014777,112.7009508727968,-126.63607305669441,D,C,A,E,D,A,-2.810325113188399,E,21.59200617995298,D,A,94.32732291038329,0
Non-Veteran,Other,E,11.198466268082727,-34.47811143818718,127.58314756265227,A,E,D,C,D,C,-67.43312890693987,E,-77.88136944619708,D,C,-178.79598999937153,1
Yes,UK,C,-5.13173445869175,-59.62638707477047,7.910505938256568,B,E,D,D,B,A,3.417555703706604,B,-111.06618043839075,A,C,14.193628926892362,1
Yes,China,D,5.770897458917903,-58.71087559029225,-148.01860543097627,E,C,A,B,A,D,-38.650837840471375,A,-4.510358274420644,E,E,-0.9075753306981552,1
No,Other,B,-73.16198897535043,-15.845309844691121,-17.26618706898946,E,E,C,A,A,A,-80.69523324546525,C,-98.19443259277134,A,D,9.818945309531053,1
Veteran,Germany,A,-22.54483792268323,84.89853305947015,-223.13449512963334,D,E,D,D,C,E,24.81419606239412,D,117.01121527219931,E,D,50.625051637621574,1
Yes,Other,B,-106.68567147223436,-228.1326760269112,-22.096105978124246,A,C,A,B,C,A,-64.7712072668367,B,-12.09188430690877,E,B,129.7333153852138,0
No,China,C,-83.25128418202958,45.24013587587154,168.95294053882296,E,E,D,A,C,B,-250.43713101383727,D,-42.365300975402235,D,C,-8.9343589477709,1
No,Germany,A,198.9316888626417,-86.21209576034327,62.52227902061804,A,B,D,D,B,E,128.73221895532706,A,60.689878370072,D,D,170.29360769122655,0
Veteran,India,C,90.77701216595803,-28.208479976598394,-34.046521359373344,D,A,A,C,E,E,78.90161350596762,A,5.599802989901905,D,D,65.56888441604,1
Veteran,Other,A,96.36640431186862,58.32375673299857,-72.71923214402342,A,E,D,B,C,C,-54.37484217756088,B,144.74878129485913,D,C,-20.086265712558852,0
Non-Veteran,Other,B,-110.10240179251917,-99.99309878431359,58.96820622379825,A,A,C,B,E,C,3.438328360288198,D,55.92866964909958,B,C,-37.48789615851597,1
No,Germany,E,111.69981079637354,78.8174829317963,6.486418055756675,B,D,A,A,A,A,-71.05783232587373,B,89.24019721312206,A,D,-67.99804841884848,1
Non-Veteran,Other,C,-97.77441016813721,-26.54925597610004,-112.28864548515642,D,E,D,B,C,B,17.258139695265744,D,-161.7199860180836,C,C,25.82172230787996,1
Veteran,US,C,104.12924009437457,26.9269407758578,-73.63928562484874,D,E,E,B,C,A,-153.1859883110765,B,9.645234387093774,B,E,30.767892561468695,0
Non-Veteran,Germany,A,53.5596737480054,62.17022963467821,105.40447217389178,E,D,E,B,A,B,-96.55807363499352,D,-163.5882356514595,D,D,-26.712165682943944,0
No,US,D,13.154314694936867,37.44029531957126,-44.255107055148784,C,D,D,A,D,C,0.3659006902895656,C,-9.803853342021213,C,A,74.36023573731426,1
Veteran,Germany,A,-46.54054896818297,120.67763545262582,93.13030865223845,A,C,E,C,E,E,-8.385028169706088,D,-16.23816474505477,A,E,-121.01156439725847,1
Veteran,Brazil,E,-71.62911188141715,68.597000464405,40.78619372026943,A,A,D,E,E,E,-173.99871603197138,A,-37.337482658812085,C,C,48.43594996441502,1
Veteran,Mexico,B,-141.2881907700516,62.630305154432584,48.07601340787938,A,C,E,A,A,A,-202.47818599406395,A,-47.87688450967041,D,A,-99.59554119434172,1
No,China,E,-81.91821848323177,128.8808898065912,-39.61241837895238,E,B,B,E,D,D,-84.33968443964521,B,126.49333485549954,D,D,150.55804674329147,0
Veteran,China,E,-69.54855491050435,113.16826273318337,76.39178705107675,E,C,D,A,A,A,-20.742326713071627,B,-34.569911235043094,D,D,53.027102613690666,0
Yes,Mexico,C,55.02285619154006,91.66382214042443,-56.850541133556945,C,B,B,A,E,C,-22.821334793355426,A,-8.916753361886954,C,C,-17.919139819109223,1
Non-Veteran,US,B,-55.127642371761546,142.88673193591305,-115.83792070856758,E,E,C,E,A,D,158.37251970795475,C,-87.847025469344,A,D,-19.34494302131817,1
No,Other,D,-121.40245331841425,-45.335732843682,-247.8512766688527,B,D,D,B,C,A,-18.485557808493894,E,-24.005351939979167,D,A,94.5309871977384,1
No,Mexico,D,164.78747177436054,9.624536361736503,174.81202140009827,A,A,C,A,B,A,224.2814370452138,A,29.637971768850267,D,D,-48.401590325304404,1
No,India,A,23.790065189855955,43.23559221133068,6.679717117536198,D,A,A,D,E,A,10.532744360030199,A,269.0521544664681,C,E,51.051160119528774,0
Veteran,Mexico,B,139.90208774414674,-237.4827763354668,1.1129474256826677,C,A,C,E,C,E,108.21724026766566,B,170.88905311505735,B,C,-136.78760381584993,1
Yes,Other,E,-202.22171386583815,69.78326700580328,-28.95648952148874,C,E,B,C,D,A,-103.12581117407811,C,-18.48363083226526,A,C,-248.27887386055147,0
Yes,China,D,176.33110418038166,-107.8036251588799,26.41811439121127,E,B,E,D,A,D,-33.44745768345393,B,42.27194474649078,C,C,180.21512304845493,0
Non-Veteran,Mexico,D,42.74758656027025,-39.238936731120184,-85.39482824683208,C,B,A,B,D,E,225.82559793908584,A,6.2687796021513975,E,C,118.72450420482875,0
Veteran,Germany,A,-155.5663935383865,72.24350621259049,90.86954118057307,B,E,C,C,A,E,8.69422511229991,D,-11.217563366382176,A,D,130.51152141013068,0
Non-Veteran,UK,C,-4.869080515821199,167.46462239914067,-31.834395205107736,B,A,A,D,D,E,41.774626445110776,A,165.02844161149167,C,C,-27.06081879487191,0
Non-Veteran,Other,D,-137.95239956038003,102.36053357294448,90.07895881259984,C,A,D,E,D,C,-52.31982717958247,D,-12.27973346627792,C,D,-65.29104292907613,1
Veteran,US,A,71.33101133080086,246.32221184260277,109.10402249911944,E,B,D,A,C,B,-93.20595767285079,B,-27.216034210807088,C,C,-8.988407603721758,1
Yes,China,B,-45.46775807795576,66.66536665738833,-187.24233058437193,E,C,C,B,B,B,-46.93760282226993,A,-32.968848870538906,E,A,-69.24551030301352,0
Non-Veteran,Mexico,B,225.66735370435427,-201.34709358915873,138.5538320466539,E,E,D,B,E,A,-33.400396513836085,D,58.65430369259407,B,A,-12.193998128521022,1
Non-Veteran,China,D,-110.68827828495853,160.53150232863592,71.57496869748893,C,C,C,B,C,D,-18.92530493967783,A,-69.8703969800429,E,D,120.9244367813435,1
No,India,D,-84.69339884453446,21.11074928401466,-112.1943802535668,E,C,C,E,E,B,211.40697873041168,B,-45.83431218639415,C,D,-24.21030905661089,0
Yes,US,B,-81.13766575958866,-90.76597615447196,38.10954649283923,C,A,C,D,B,B,169.40471345002888,A,2.235039814757626,E,A,78.72442741653144,0
Non-Veteran,Mexico,C,38.122896304735654,-54.50768130753557,-7.306849865979147,B,C,B,D,E,E,80.24685851304278,B,-50.52432991660972,E,B,-3.1520060406672346,1
Veteran,UK,A,-67.63312526738244,92.37536806640504,-58.433040413839024,B,B,C,A,B,E,-151.32183149745728,B,116.88229152455504,C,D,15.517803852776431,1
No,Brazil,D,31.784906062826927,-60.22223818821342,-93.91588850821839,A,B,C,E,A,A,-5.020568911112379,D,75.20388673137286,E,A,37.9864575064609,0
Non-Veteran,Mexico,D,89.43069157636162,229.03529927908352,31.46273111837968,A,B,D,D,C,B,141.3735935006885,E,-0.41016706446247275,E,B,-6.679878449074492,1
Non-Veteran,Germany,D,53.15614451596081,82.39233336068318,112.9967015652775,E,D,A,D,E,D,36.464107387758816,B,-142.94485451569827,B,E,72.45428346814707,0
Veteran,UK,D,-2.7634153122538145,87.18657812329684,122.00165459594939,C,B,C,E,D,B,47.02124718533274,D,65.12644417931656,B,C,-33.589613946067814,1
Non-Veteran,Germany,E,-122.50780072696041,-116.64561994913396,-81.88814817335131,E,B,A,B,E,D,33.457498160307374,E,29.78341024593267,E,E,-97.35658996677242,0
Veteran,China,D,-161.49018129510566,-16.828332208444333,-143.98832583413179,B,B,B,B,C,D,-62.30007878214927,B,-25.543196240108852,B,E,49.897441715017386,0
No,Brazil,A,1.8577414977694562,-68.52162172286658,-67.49384251712705,B,A,A,D,B,A,20.83582809687236,C,32.604968650106066,D,E,111.74175961192634,0
No,Other,D,-45.38448383857944,97.53854454132012,324.26644951230395,E,E,B,E,A,C,-11.98216404242504,E,-187.5452567477726,E,C,18.46305771640185,1
Non-Veteran,US,C,-61.023268363536786,164.36448783838438,-0.7493670059927102,D,C,D,A,E,D,21.31271947146049,C,27.652507461956137,E,A,20.715551623285613,1
Non-Veteran,Brazil,C,-137.55087044674033,-87.72716541748206,-15.758298011951252,A,A,C,B,B,B,-63.217989974901826,B,-33.133212759205435,A,B,129.080479301792,0
Non-Veteran,China,E,95.4356876856509,4.358238644812722,119.87240400226231,E,B,B,B,B,E,-84.96763275694538,C,-40.175843867187965,D,E,32.879041045270874,1
Non-Veteran,Mexico,B,-33.5522043710995,44.68736807595373,-137.79621060231167,C,D,E,E,D,A,-58.74741803270091,B,-113.12438477659306,A,A,-53.938695813726376,1
Yes,US,D,40.741326818113855,54.14089845998365,-50.78548889685499,A,C,E,C,A,B,60.225752796379474,A,-145.26889969923073,B,D,107.81800189460864,1
Yes,Brazil,D,-138.35175596490598,-108.7027043507649,-118.44657955024793,B,C,E,A,A,E,54.884718958935174,D,75.77335121453544,C,C,23.69999326411973,1
Veteran,Mexico,E,-176.98661225927415,50.527288444117616,-9.813502552287375,B,D,B,A,C,E,-51.682125874970986,A,-128.6450922816789,A,C,-7.810438632996568,1
Yes,China,C,-37.48683176784582,163.28136057845694,-41.67796599858264,E,A,C,D,B,A,-27.52212241588864,A,57.966835979468065,D,C,-142.5200226444605,0
Non-Veteran,India,E,-26.66632287039133,67.02892617114425,-101.45944419381576,D,D,C,B,D,D,-159.4112112161764,B,85.98586170958316,B,D,-18.402878952369434,0
No,Brazil,B,-12.993183556005928,-71.4536128253702,23.673214783255496,A,C,B,E,A,D,-73.44533602810343,E,158.09050287372492,D,D,-18.380015325022693,0
Yes,Germany,E,-16.169104939917105,116.59890311808543,160.36968899130858,E,C,A,B,C,C,26.380895632024647,C,96.36591891129697,D,E,-145.87194945432898,0
No,Brazil,E,60.79422004649109,203.76868228419625,-141.23497219621137,A,C,B,B,E,A,-84.40194909033757,D,-202.73695584667504,B,C,173.12073709265056,0
No,Other,C,29.968644944056315,9.891003387974717,50.05043792974657,B,E,A,D,D,E,-134.2861037159241,E,95.80575870754373,A,C,-47.55333938684092,0
Veteran,India,B,-124.13217697675168,-62.07188989938977,-28.5842517318459,D,D,C,E,D,E,-147.66240675482155,B,-79.07431376182737,D,B,87.05142015810459,1
No,China,D,75.16855802359211,-46.960268199584185,132.66076067910265,B,C,A,E,C,A,-0.7313901906510031,A,-75.66844009403115,A,E,33.018827051336444,1
