sex,country,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,target
Female,Brazil,-203.80568568993604,-5.417428622070215,129.6524525934799,-83.04851103461861,-238.83006846873184,E,A,C,C,A,A,3.1394661712830523,C,D,-9.424312595009996,1
Non-binary,US,-59.38642585710851,-44.9690055136849,-96.26530166498894,40.53259469947071,100.80387155826895,B,A,C,C,D,D,167.91662081333388,B,B,156.57552545561458,0
Male,India,-47.664032780499504,-193.18042359121264,-139.84303862649682,123.2580826432336,-17.68953275351718,C,B,A,C,B,D,-114.5723625870926,D,A,43.5160902102392,0
Female,China,38.59130969648731,-14.834855680858736,-85.07015126342236,-76.23627689124847,-110.94260817915304,E,A,B,C,A,C,-158.7262580267874,B,B,45.76512039479937,0
Other,UK,-78.92153458620815,-28.824317102819503,110.3652133359313,77.97851014121545,15.10357036703038,D,C,E,A,C,D,-77.225715092969,D,B,40.54530909470778,0
Non-binary,Germany,44.36060706357513,87.75179324981765,-139.47846884921918,14.418579688135791,-39.498683028635526,D,A,C,D,D,A,6.145234147523322,A,A,-34.43561875020914,0
Female,Brazil,-89.0723490107761,89.6690121460398,-22.36967506838864,127.09204187132796,-38.9524907827744,C,D,C,D,E,B,22.18129202734417,C,C,-28.40871609125944,0
Male,Mexico,-16.187491809464795,-85.77896326606381,-101.73044456322293,-104.93960685000825,-193.5042582983789,D,E,B,A,E,E,4.246039456622076,E,C,-162.32890482046653,1
Other,US,117.42177783612888,-20.335646475372908,-11.278456256153868,-10.206427974151838,-13.377048984333168,A,B,C,C,B,E,78.47815302308273,C,E,-31.68159838921902,0
M,UK,30.693398121490787,-10.592598114306682,-12.816809239702545,-10.004912876347712,62.96823704130119,B,B,C,D,C,E,-32.005119852194376,D,D,58.45843163540957,1
Other,India,62.633444556492215,277.8602730539251,-27.001238460413873,-34.09130506437826,2.2641471380142835,B,D,C,A,E,D,-51.54180858287643,D,A,-103.9356169366867,0
Female,Other,-24.183152153838485,-51.57232591014682,61.425324256546176,-103.89988290195203,110.89539869453648,D,D,C,B,E,D,-50.1046940204885,E,B,120.55427491226231,0
Male,India,-36.01453491682841,-163.5977677729033,47.91796187658711,166.9105112700243,64.09602826420738,C,B,B,C,E,D,-48.9685155992753,A,C,-50.448977647880746,0
Female,Other,-56.15885214826235,-68.5621977375091,-141.46297476712775,-60.308085511926514,117.10860591879502,C,E,C,A,C,D,76.4801064419323,A,A,-8.934094419842978,1
Male,China,15.237064040325638,131.02323499937103,-43.676571799588885,-15.376055553464003,31.421238237476757,C,B,C,A,D,A,97.19648393124069,C,B,-146.0414864247652,0
M,UK,-40.559658132539376,78.23502680879577,-212.0048069943637,20.64323689047755,87.25848028388431,E,A,A,C,B,A,-163.70335233847985,A,B,126.06661350903197,1
Male,India,-42.01465859886058,-44.56737204193564,-112.64170894044125,-162.00559113496888,-3.0518190039314192,B,C,D,D,C,D,62.41572690138615,A,E,-23.050433469595045,0
Male,Other,24.32392007311921,-55.90672999186642,22.20281356904619,-8.015583004088448,17.00738888467132,E,D,E,B,E,C,-55.46930581368101,C,E,1.2445142164708003,1
Male,US,-11.23660890451238,-73.9376598910315,-73.5818240329676,-74.8712632771732,99.86943259236982,A,C,C,E,C,B,92.59959340750487,A,B,-10.18257596905644,0
F,China,46.429607125661526,-8.097463533223728,-185.15541873207158,47.23128058301155,104.60037160868613,E,B,A,B,C,C,3.706529677545256,C,C,82.15586101586081,0
Male,India,14.496100962026414,-190.63818759279448,37.60279287108863,-83.29685373637739,160.00870341882856,E,D,B,A,D,C,-7.467251674445747,D,C,-15.600365331267191,1
Male,UK,89.63967471519426,-52.38244983400976,95.13502467161847,29.554905300455324,131.96837971927175,D,C,A,D,A,A,26.687403490144167,E,E,-174.39331028805145,0
Male,Brazil,129.02871351298845,48.32453011192625,18.47521330710058,103.21252053443435,36.45160236945699,D,B,B,C,B,C,-59.22077150357801,C,D,128.43787349450048,0
Female,China,37.48475654957982,-79.3633473125089,0.7125774978213281,-19.293800178479216,1.0635465650577178,B,C,D,E,D,A,-82.25728953116729,B,B,-10.32578818901175,1
Female,China,-151.37924621817115,146.19826357563926,-67.66813173833118,-131.54636254614337,-19.87911195424697,B,D,D,C,B,A,5.026298144804398,C,D,22.65901484518153,0
F,Brazil,84.00430910503462,-65.17130954040911,164.88955804470626,98.31029711811557,33.61129614122115,C,C,B,A,A,B,72.79075007596536,E,B,-38.19955932546303,1
Male,India,11.401284186600504,146.66900032102558,-1.7839092478826784,-15.712223215242929,22.390092817725158,D,B,C,B,D,D,-148.62898448421348,B,C,-61.916909816652854,1
Non-binary,UK,-1.7160576149502733,-139.76908482349975,70.70329891265888,-155.56327584667878,-68.85746030252375,D,B,E,D,B,E,-154.84092693165042,E,D,-118.69594913110639,0
F,Other,126.15816376821749,102.21300455077534,-29.89393199849682,-88.13279989226174,28.590600528526316,D,E,A,C,E,D,140.4268570207778,C,C,-172.4342630896553,1
F,Mexico,40.14106204228535,40.35930334308734,58.0680970010497,42.85725833135234,1.3654070492394397,A,A,B,C,D,E,183.7189302063736,A,C,81.16053411414109,1
Male,Other,31.360331845469208,-0.79071800116975,86.2722050615233,1.233885312254631,-8.976202436823682,A,A,B,A,C,E,19.349175791653565,E,A,141.99937047811147,0
F,US,57.70097076092641,141.55247030281708,-47.842240504532704,-57.33408517984332,46.9888494521724,E,E,D,B,E,C,164.3786721830079,C,D,-200.9313541920466,1
Other,UK,146.21571277634845,-64.86140658261962,-127.39770258693656,-77.52284664602944,101.30034204256337,A,B,E,B,C,D,-39.151497208672964,B,B,139.44790866137993,1
Female,Other,172.73081601558843,-36.993356405866415,166.83647941432454,-15.636970376120415,-3.238901793869909,D,A,D,E,D,D,-86.44583819852741,A,A,8.196274258632794,1
Male,Other,28.735899997688445,-97.95356443013888,-158.75484248378476,-98.65482279216367,66.72321057510638,A,D,D,D,B,D,-11.374832851941177,D,A,-230.29829324825468,1
Other,US,32.14123522315498,26.994571174620262,111.02624755571576,-76.92083853173033,-108.75118452826807,B,E,A,D,C,A,93.53108286378097,D,A,-63.67232592170504,1
Male,Other,99.03070886829792,-132.2745234015908,-43.51494187380202,-63.18923213772594,-149.0141708777457,C,B,A,A,B,A,-165.93784009240412,E,E,187.59002907196626,0
Male,Mexico,139.32412558492857,86.92686485889315,141.80405731054668,107.5646948247023,83.70450551100997,C,A,A,B,E,D,-110.50566340254804,C,D,50.07389727154074,1
Male,Other,-42.96607962988685,-54.3869665283138,-66.16012034942403,7.367074086984338,109.22991096662867,C,A,C,B,A,A,-34.041894683853336,C,A,-22.242043345079004,0
Other,Other,115.73871894536187,-8.52475267060368,-97.40888659508154,137.36836367896942,-87.50534784346952,C,E,D,D,E,E,81.0637193785088,B,B,-58.64440094654236,0
F,Mexico,-123.32865436566979,6.990478807102722,154.14541621518515,6.900064438988812,-101.43680654526473,A,C,D,B,D,E,135.90843603978865,C,B,-117.94393152275869,0
Other,US,10.598587342697408,68.24206440728247,-223.33756542265192,-70.2264022167585,137.5292699357267,A,E,D,A,A,D,-36.70901543959103,D,A,120.5790973175564,1
F,Other,9.03504147331228,64.40963940021311,-25.06803095767521,-118.38685674674616,84.2244998560929,D,D,A,D,B,A,113.27051418972465,A,D,136.91495136982135,0
Female,China,20.844158242453855,94.73719913118488,16.13563123923269,75.89390830474457,45.24704439386224,E,B,E,A,D,B,34.12238280323406,D,D,-97.15105897053361,1
M,UK,-151.7204864373126,-142.2239924694755,78.75129848263556,-237.022327874567,-41.26586285427978,A,C,C,D,E,E,-17.41520167404186,C,C,-59.77422123171665,1
Other,Germany,24.182798166638133,229.1898548854673,-100.20617160678268,35.46511635206218,-51.93596583675797,D,E,C,A,C,C,69.8645475571672,E,D,143.2302729168446,1
Female,Other,93.49338689884506,-0.001388158935605901,137.1394366931387,-99.02911273886374,-32.03649495289828,C,D,A,A,C,E,-66.83167800887006,A,C,40.53683921364856,1
M,India,-17.81902078545971,-20.243226317661296,-171.5444265913284,40.482096028946785,120.65016806864396,C,E,B,E,C,E,-127.21814294602358,A,B,-27.43106583211305,0
M,Other,176.347662452343,74.26790308848896,-29.815412952786236,28.382706405409674,24.314729934202806,A,D,D,D,B,D,-40.84207034350152,C,D,86.3613315854327,0
M,China,-14.261200196492455,-9.4209244598695,-29.399713729874282,-3.4258390186005183,-46.07303590230122,C,E,B,D,B,B,-55.57451730240059,E,D,-21.835494406145234,0
M,Germany,-48.314828221567716,8.787819079011333,23.80316669598958,108.48109761636495,-198.27111280900914,D,C,A,E,C,D,43.40038459588497,B,E,-93.35593034372961,1
F,China,17.079724817395768,-203.19918523688702,-140.46202018786303,-95.40231653087903,96.87496017926563,C,C,B,C,A,D,29.090055411167626,D,E,-16.315566408974217,1
M,US,-94.8925776606549,-70.32274218706027,-128.37425595273223,-29.704955141207734,-184.01804215507,C,D,B,D,D,A,175.67872437269153,C,A,-175.62239990861514,0
Other,Germany,113.44183457230106,-83.73158801998431,22.75740665270365,-106.28085164863394,62.5250228428769,A,A,E,D,B,D,30.702874498876902,A,C,61.662571756454135,1
Non-binary,Mexico,20.40108156413851,-49.778550570905246,7.710265713238919,-185.75238632362593,76.22247372445335,D,A,B,E,C,B,-22.427880181178992,C,B,-93.3386612284682,0
Other,India,-18.795646609482315,-3.464184530183013,-87.42488087327658,-26.645233719336602,39.08150199955647,A,A,A,C,E,B,243.10259625824457,A,C,-215.1807266856792,1
M,Other,281.1096324589116,-113.12502473436243,-173.4190768894677,31.987345501758057,10.853543014148794,A,D,D,C,A,D,-111.59485670468979,E,E,79.17484201004578,1
Non-binary,Mexico,-43.6220628563006,-59.53902088428619,-116.62209290698283,33.45596239198421,-4.036809887384279,C,C,C,E,E,D,-82.52413599122666,B,A,-25.132121675154277,0
Non-binary,UK,-7.5659338821551385,9.968316581960115,25.224171717152753,-0.42281091676758564,-61.74006171536013,C,D,A,B,B,A,-69.29148053273954,D,C,0.21651121875778914,0
Non-binary,Brazil,166.36442443040204,-65.7648059386346,112.57685599765776,122.44425039873055,172.17865499703052,A,D,A,D,B,D,-159.16491980622723,E,A,-84.71289875075091,1
M,US,-195.90644086384762,99.62053361597913,-72.8226138088487,46.880292255977984,63.25897119340909,C,E,D,E,D,E,-92.30486053064564,B,D,-123.8271351959179,1
M,UK,33.57335655706979,-189.31996132385441,-29.600740650348058,218.3043237918744,42.695301777038296,E,A,D,D,B,D,-54.73618268852841,E,C,127.42038695358544,0
Female,Other,117.37292884064723,63.59466097202833,-101.5665678567746,-78.60994433721972,-30.418759778907873,B,B,A,D,E,C,-105.10999239162284,A,C,157.08063826697142,0
Other,Mexico,-163.51365823110632,100.65630050045257,-104.72014243786292,-169.63652990851375,44.988155527290516,E,A,E,E,A,E,150.4752481960554,B,B,-0.44352241967178985,1
Other,Germany,-53.02365533891458,-16.537767535058038,228.01538575336582,83.98764339001268,125.32765621223638,C,C,B,A,C,D,27.397427272333164,B,B,-90.9267009972896,0
M,Brazil,-116.57590938600595,-35.76117836471678,37.45179916975228,-47.97626003433849,-50.15852767196558,D,B,B,E,D,B,-9.394005323704862,C,B,-3.6448875135820713,0
Non-binary,Brazil,-111.73026369568093,-213.72776061815912,-105.77402168508394,142.21729727084738,32.75922857953716,E,E,C,A,D,B,57.36404160363693,D,B,-2.3220265860966944,1
Non-binary,Mexico,65.29918002801381,-13.61963676937799,-35.467254358286354,70.23083063029881,117.84083344799821,B,A,D,A,A,B,-14.524606818031268,B,E,89.6478746941632,1
M,Germany,6.689892247377996,-59.35555137131834,-28.587833444421722,-33.6990195963154,-111.62560753618666,E,B,E,A,D,E,114.16786900254536,D,C,-74.02373999737497,1
Other,Other,-37.48523807126203,22.02075069605187,-93.19053289479727,162.31527585572655,-0.899557357551526,E,E,B,A,E,C,139.65510878920037,C,D,-19.64764768586759,1
M,Brazil,-19.22871034968951,214.97885908482735,98.4546834784133,-146.41401644994684,166.2292085083471,C,A,E,D,B,D,68.9767631616082,A,A,-101.86104706302478,0
Male,UK,-89.1850174120638,22.692448161281767,-27.22343313688752,287.77350041773985,42.39412322177468,C,C,E,C,C,D,-2.2953040596170196,D,A,127.89577160800837,0
M,Mexico,-36.15014839545656,-78.71652420459284,57.11299879517065,-9.788938878036797,-72.82416941764683,E,E,D,A,A,D,-42.81200849824119,C,E,64.99879599617859,0
Non-binary,China,30.666260987130222,142.84479510248792,-53.82063516959394,-3.275741937894795,2.348838768769182,C,C,D,C,B,D,-67.361640934681,E,E,51.467423658663456,0
Female,UK,56.429721488567765,49.84204722947755,-113.5325432429366,100.45230836070999,118.0994364567503,C,D,D,B,B,B,6.645426425138716,D,D,-142.27971641177163,0
M,China,21.97510379537606,-195.08951210378638,-108.08071506928106,10.174395749324542,-177.5114373611666,A,D,C,B,C,A,59.85834058592543,B,C,-80.5605570517159,0
Male,India,-48.47114881660951,139.44939897707548,-61.544764234052316,40.60805459350762,15.744830680021474,B,A,B,D,E,C,62.10520108123604,B,A,17.91523048808532,0
Male,UK,-67.95272081987648,143.8507850415764,58.4719900527487,-3.7460002169209714,14.66613823159262,B,D,B,B,E,D,-115.42863996857464,E,C,22.72262226864188,0
Non-binary,India,14.817275255721924,-49.020448434831245,-61.53514586376282,-75.30372199815656,19.186941065699834,B,A,D,C,E,E,-97.41487927906822,B,E,-38.781174548013546,0
Male,US,127.33875879608763,8.40353378103043,-13.001374969268968,-8.787813680260365,-41.7296602349907,B,E,B,D,B,C,254.66780289348225,B,A,-193.74596326627088,1
M,Brazil,201.94157611884503,44.16452066809459,22.87530726301801,45.17771328100601,92.07014714730187,A,D,C,E,C,D,31.439392877907697,A,E,29.47717217712859,1
Male,US,65.83619324863625,-91.65112163800359,-46.85581925151447,-73.43311638332726,85.97155835205479,E,A,A,D,A,B,-73.64546720473115,D,C,-3.788234876843608,0
M,China,-86.62950135315428,77.01389100901255,-65.54518010659532,11.555069887646127,-43.896487356981964,C,D,D,A,E,A,-97.58074392545856,C,B,-53.27495690956693,0
F,Brazil,-71.96381358376843,80.39259878667984,-275.86006481425903,-57.750473801734316,71.42847949511578,E,E,B,C,B,D,181.6749821591376,E,E,-170.32110572416238,1
F,China,-79.93923071330376,219.58708498756474,51.12345274201059,159.11783999924552,99.56303347579338,D,A,A,E,D,B,-92.49904495559197,B,C,181.542300282652,0
M,UK,-173.73101974096755,38.811266346059966,-36.56121958871464,-99.13185563758414,142.20253733308908,D,A,B,D,D,D,-194.28457338608303,E,B,-3.7475440848495376,0
Non-binary,US,-27.422691038090584,-9.241738475888846,84.71636275333174,145.6176160360833,-16.885759101399607,A,E,B,C,D,B,-83.90036432609891,A,C,-70.90041910556259,0
Male,Brazil,-2.696568266719369,13.747249056585828,83.28668949823984,-32.50371584372293,-164.3609803688907,C,D,D,E,D,A,23.477260323313086,E,C,44.59971245792421,1
Male,Brazil,-268.24352896175867,63.15232286157251,136.62070187311184,78.46659229007929,45.60592358333363,E,A,A,D,E,B,-177.3561094211888,C,D,-60.99757775971777,1
Non-binary,UK,10.355771690324602,-39.07370997795015,17.47237783917268,-137.32825747340308,-112.14088633258466,D,C,E,E,B,B,148.82956644537646,B,E,31.36481163737252,1
Female,Other,-101.89859497964765,20.314710069769575,-39.05406043259096,-101.71825942250669,84.08037455772126,C,C,D,C,D,B,144.71835579283743,B,D,59.597336400788436,1
F,China,-78.9646873173853,-39.34860424763734,-30.73282200491956,61.79140273648622,76.2746739117022,D,B,A,A,E,D,-172.98667579277839,B,C,152.805573626788,1
Non-binary,Other,96.05045167651211,29.18658985533058,-98.41041558413029,-50.5102459236503,-57.72337015877545,C,D,B,A,C,C,150.2634204046511,C,D,51.77403316322883,1
Other,India,-28.954814423857783,38.13704344663141,-37.03354124761029,-144.98860275858158,81.86217823350044,B,B,B,C,C,E,49.57083827030338,A,D,-32.45942608313681,1
M,Germany,111.68913191092199,-66.9439766814099,-20.982727147494465,51.099246509256076,44.51872506511226,D,E,B,E,E,B,-46.8239762530698,C,A,-66.03687557537862,0
F,UK,184.84793059428185,-46.538827920843815,70.46457011109048,-11.677864968000007,-110.30154475376612,B,E,C,A,B,E,-98.783083071945,C,A,-16.336194674004314,0
Female,UK,77.11690829756024,120.99782204303719,64.59559506239366,130.01699389728344,120.51704256646293,E,E,B,C,B,C,183.60892684163554,B,B,69.52575288709194,1
Non-binary,US,-114.46654775097555,155.24518659329976,-177.49578634316245,123.03629132280238,-1.0098878443034927,B,C,B,E,C,D,-208.90322849913244,B,C,-171.4123286173918,0
Non-binary,Other,-99.66536685424488,-150.39242210778772,-172.9522362282141,-98.14521123782461,57.29055210695802,E,B,C,B,B,E,25.899125713406168,E,D,-0.6593140371156812,1
M,Brazil,63.34523581037873,-22.750079525506315,-194.19429368998482,38.398987284585154,114.53410547554977,E,B,E,C,D,D,36.71835207716615,C,B,64.6364213788504,0
Non-binary,China,-33.78220760705496,-83.37737946704353,-44.656678235832494,89.71850240654489,127.68898987333834,D,D,A,D,C,D,-32.54610949929283,D,D,36.78091962179095,1
F,Germany,-257.6709348877238,84.98036518596402,66.26297345114837,-62.50900712595018,44.254214624424606,E,E,E,E,B,A,-110.66326069040977,C,C,25.874292133211302,1
M,US,-46.64199588165455,59.98172094335863,100.14935608487056,-92.41918409217418,80.5886640689474,D,C,B,C,D,A,24.884156267720943,A,C,277.14397162172025,0
Male,China,-49.24747822402241,-53.23795107383309,-41.34214132470035,115.23641051149379,-43.19226435373073,E,A,D,B,D,A,11.04725251731828,E,D,-10.752229127789827,1
Female,Mexico,126.96953687411884,44.701283405862405,34.483448506118975,-42.910480649791275,25.148329042630085,D,D,D,E,A,E,-4.993217952728032,D,E,90.77524848266012,1
Other,Brazil,-90.73946889241749,2.3111411874666135,-176.0279897712997,45.47523331812491,70.33805465005908,A,B,E,B,B,D,4.270119610532742,C,D,9.203853120618833,0
Non-binary,India,-11.39598593250862,51.03162225418668,143.73945876280294,151.62318898992876,56.6568990653662,B,E,D,B,B,E,103.19857823468499,E,D,16.93333234173153,0
Male,India,81.27542157885192,131.92238894693355,41.38576031929649,-62.43140781382562,-4.512999816162302,B,A,D,B,E,A,72.12120457714208,D,D,-39.070568358229735,0
F,Brazil,68.47570345668898,28.797427866006082,23.294116627201625,123.52967791304607,-73.94983739836071,E,D,C,D,E,C,94.8625774609123,C,B,4.968086228976986,1
Other,US,45.76985655270252,35.05985705523192,85.81720521410426,-150.27985184078003,-97.47248745251623,E,B,A,E,C,A,-171.3055677633423,C,B,-105.48642518113876,1
Male,Brazil,82.47433678301105,43.53488515444283,139.0195006544003,96.83765424469887,-37.90002387981627,B,A,B,E,E,A,39.022251964844656,A,B,-61.97114231380816,1
F,Germany,74.61732775034345,-17.452998557425715,-80.14457705987489,-28.253473778528804,52.171649254847885,A,C,B,B,D,B,104.80789105680748,D,B,0.9996572143045039,0
M,India,-32.58562687083855,33.590145293162706,-26.426614293503352,149.72183690745564,113.83622751713264,A,A,A,B,E,A,74.34779323629141,B,C,-63.78872761969859,1
Other,India,95.61935491072224,-128.46023356912252,7.42222867634989,15.499342353861476,-54.98339788731664,D,E,E,D,D,C,10.954609620114244,D,A,122.80829244081617,0
Female,Other,41.85475112927565,-130.65048766405167,-71.97052651881174,44.77438328445601,-71.70009480412068,E,B,C,E,A,A,-50.85479002775365,B,D,-32.99233707987488,1
Non-binary,Other,-16.162038385847577,-3.4296964184832994,38.82665255797805,-60.59682678336522,-32.86589850434016,C,C,D,B,C,C,168.43684129638598,B,C,-230.38045687937836,0
Other,Germany,-0.034423817067151016,49.655387967773315,151.9192375198245,-126.77216336571855,11.866902833612357,B,C,B,A,D,D,-89.3122573056268,E,A,-53.732642024591925,1
Other,Mexico,-113.72369583044126,295.1863709582536,-85.63530901605543,-122.84562232108145,23.701312833859888,E,A,C,D,B,C,78.37412573895728,E,E,9.300552269033899,1
Female,China,60.12498375386841,144.63068829942077,-174.01498770326137,-24.62951626591499,-214.52690340877987,D,C,C,A,B,C,132.48771004900732,B,D,-227.66376310413654,0
Non-binary,Mexico,140.15918277176547,30.401617410459338,4.20210296628132,-82.67136923839674,21.462713696987905,A,B,A,D,E,D,-242.36277158352345,B,D,70.51145732287748,1
Female,UK,-53.11071746347806,160.9859360626118,-189.09780834589748,-148.26843129258117,177.51827777782177,C,D,A,D,B,D,-92.84309472136162,C,A,-48.246588426360816,1
Other,Brazil,22.874322223060155,43.253379648159914,125.58065568688284,-16.08371923870621,35.49886886207677,A,D,C,A,C,C,227.57377179722798,E,A,-154.65545342874287,1
F,Germany,242.7626319556778,-84.81307937932311,-20.55192379801768,95.00405397225774,110.54508969979861,A,A,E,A,C,A,-26.9793976855016,E,C,6.2296168797203855,1
M,China,8.280108315410969,12.81563309005288,-7.304821715121107,-75.29197006391635,-30.628428081501397,C,B,B,C,C,D,-103.41554640496007,D,D,37.49337977373426,1
Male,Brazil,5.526927265154553,-14.45975480061523,-121.80671882586216,-31.11168960347906,-104.18774495931204,C,B,D,A,B,E,-111.73333976265968,E,B,-66.90722188917168,1
Non-binary,China,-117.96707142173585,120.76055302698856,14.45326750014268,-50.386531314849684,87.18280750701388,E,A,B,B,A,D,84.25749108439763,C,B,29.893480077359573,0
F,Brazil,-93.8094237398509,-50.33710486510896,110.68202537997236,34.98903264472465,104.23241840818721,E,C,B,D,E,E,-50.70428650362856,D,E,-149.16962940457452,0
Non-binary,Mexico,168.2327638059625,11.66039515086596,-157.28275002898425,39.88526909305189,-247.1199386751957,B,B,A,E,B,C,4.090364489114576,C,D,35.62128610520537,1
Non-binary,India,-40.694786255038515,108.00490489496543,37.3203315001116,-105.1482335603202,50.02352425240474,A,A,B,D,A,B,183.63372641030114,D,C,-108.9168776069127,0
M,China,126.33400963640189,43.052957321729934,12.032604076082391,-96.25897197666299,-4.88307196603818,C,B,B,E,A,A,35.465897931078786,A,A,16.98131807121361,0
Non-binary,China,-84.94657323682239,6.859987747249938,-80.25453841169418,-113.47046733920006,77.31466824661844,B,E,E,A,D,D,-186.82230116957294,D,D,-76.64728529586881,0
F,China,72.73503147766873,-74.29991070973271,-28.61205253954624,-95.66424620994067,58.38890286190066,A,C,D,C,D,A,19.378448386264502,E,A,23.851305344322725,0
M,Mexico,37.541231177518455,54.625712919308555,-180.8748168782164,14.355606663740343,133.0281845878088,C,B,D,A,B,B,-117.8904010732235,D,D,63.67267751513089,0
F,UK,-59.63519809753938,-7.109579545280792,-73.48106760715906,-156.6836465791948,-112.93794815676397,E,A,E,E,C,D,47.47877708073215,A,D,143.291223373767,1
Female,Germany,125.94307742071334,-12.381428464098311,8.629451019959227,-33.689101586642536,20.042737431791313,B,C,C,C,B,E,29.35978862576508,B,A,-67.10829613734947,0
Male,Other,220.2009454546061,-12.903424866337248,208.98021775201875,-43.43571220457537,7.293768392581175,E,D,B,C,D,B,-66.7543576933531,D,B,-144.2334565341556,0
Female,Other,-75.85617175798998,82.20620702887896,122.64664015072557,52.70197518128491,-29.29293531278308,C,B,E,C,E,A,-167.91626748465342,C,E,-130.25857998990236,0
Non-binary,US,-122.41103506624027,41.468017016879976,45.01047984959781,276.9588361199282,-55.69566629115549,E,B,E,A,D,A,-1.3539623318631708,A,A,127.1249625698828,1
F,Mexico,-168.06703175232886,-10.12849736417751,150.03658720910457,-30.356121403036223,-25.40057929878933,B,E,A,C,A,B,10.520488482157548,C,C,-43.36768203609281,1
Non-binary,Mexico,67.72992004600357,119.79884824622351,-36.910113531198014,-235.9980707342998,-79.84875718047505,B,A,D,C,D,B,177.57021024514356,E,B,-102.6343442120681,0
M,China,4.062958155250549,55.28250528101838,7.284245742752135,128.04949101600374,69.9984918350829,D,B,D,E,A,D,5.543407586843395,E,C,-55.87613732359679,0
Female,India,-73.07298696020766,316.43927361439904,-27.089509739296396,-70.13808445838717,103.6171431281744,C,D,C,E,B,A,63.80172982500735,D,E,110.17761717308656,1
F,UK,-5.545810949951754,73.87280616495082,76.34473142609444,-133.76431152259363,16.948189861774424,B,E,B,E,A,A,-13.282999134747778,C,A,59.213475750602164,1
Male,Other,-18.462276772113455,-102.41900879210617,23.229806105806723,188.13979630837406,-46.60874491165919,C,A,A,D,D,E,24.25973792168293,C,D,7.70789103356581,0
Non-binary,Brazil,47.46625908338208,33.664805673113825,-145.07226944437912,-21.362470267596763,9.354813014662184,A,B,E,C,D,C,-175.78178612465038,C,E,-11.717804250702919,1
M,China,-65.04360495330135,-13.899005017754382,41.58147872437708,0.4600400494943867,14.141038971410797,D,E,D,E,B,C,-6.212370067619043,E,B,-9.128167801969557,1
Male,Other,-212.35694178192279,-0.3878617660941289,1.834887777677971,-18.50822853893308,30.639832797541462,A,E,A,B,E,B,162.04707638759498,B,D,203.40478297565915,0
Female,Brazil,69.40324836933026,18.05441229781652,22.006590774592826,-7.644904671716474,-37.00120125866885,E,E,D,E,E,A,-124.43047006804274,A,A,45.198194758267334,0
Non-binary,Mexico,79.98886033657926,-111.26738829828673,35.54759340257021,-148.42069062719068,12.961911804486167,C,A,E,A,A,B,-42.657365522951515,D,A,-67.92123771071526,1
Male,Other,28.225043966732283,24.147231387536888,62.08709062459108,27.84469222997662,-56.93552229234723,D,D,C,A,D,B,137.08139573745365,B,A,49.487255910836026,0
F,Mexico,-0.636726446876719,-59.912955269744394,-199.53698929362204,-76.4946585221572,-22.384669692994976,B,E,B,C,E,B,23.071053181268994,E,A,-72.7136294421502,0
F,Brazil,53.86559240612087,153.29471271921983,-40.21956267493824,47.566607540979916,34.89553934173462,D,B,A,B,C,E,-93.77251991420977,E,A,-78.14684099054247,0
Female,China,-74.10864127923233,5.919720207323521,-161.48852923222438,74.18841681592181,5.481922638104428,C,D,A,A,E,C,-3.6169758363927835,E,A,26.996190934711212,0
M,UK,-147.32192245278887,-132.9995799493904,-49.907073055281465,80.30331647040627,41.517137278187796,B,A,B,E,C,D,-23.33649355837597,C,E,-92.25153048264094,0
Male,China,-74.27991690263511,3.7014063757716245,-70.59684378039503,13.053497529307476,-55.03698470003088,A,B,B,B,C,C,-26.10022236188306,E,E,-106.63698986398063,0
Female,Other,112.9230426009624,-82.25297004960228,17.10609140830523,-0.6240643372924328,-79.73691135594665,D,B,B,A,C,C,-198.63732698937184,E,C,-170.10622604771737,1
Non-binary,Brazil,27.659678485591215,213.61304543406345,-192.7637924349505,6.052811988892456,126.1229991432715,D,E,D,C,D,B,182.69233786871175,B,E,-50.14093579160643,1
Male,China,-85.4801287049982,47.05218282568606,-87.68028312705141,35.79595009604581,-90.20032655454479,B,D,A,D,E,C,128.851137235448,B,E,168.5594700093861,0
Female,India,-52.17866607490011,51.73583074729303,90.40979633490602,-46.75515809099246,75.63287409902316,D,B,B,B,C,A,-128.8341266735704,B,C,-161.42072036634292,0
F,Brazil,75.66873094185233,-62.19377663585723,2.70390064929795,-60.0310498871957,-133.7045366356384,C,A,B,B,A,E,79.99686778588226,A,B,218.96961954868695,0
F,Brazil,4.042446731196842,-91.68936656148718,-205.38032382936157,-53.92798239562458,-100.87002791978222,B,E,A,B,D,C,146.72009273985876,E,A,10.52893146015305,1
Non-binary,Other,-65.08381440335313,42.66766406307268,-4.560119235872153,-112.06406001619203,56.828429333575656,C,C,E,E,A,D,-88.03590908568877,B,A,149.19192777524336,1
M,US,-73.30946300872839,-275.39157864975203,67.78344261869927,36.04477327968398,99.31362167680268,D,B,E,D,A,C,-40.13450102995975,D,C,-68.20140917420864,1
Male,US,94.23056614684673,59.085787384932786,-47.73619703573606,44.77475293883922,149.02776343542678,A,B,E,A,B,E,-7.827526156381184,B,C,191.94389933234766,1
Male,Mexico,-175.78082527055494,-32.85948472886924,107.17282429140724,145.82205081689628,209.57971647707149,E,C,D,C,D,D,124.96060333991576,E,B,-47.268472847854305,1
