nation,gender,race,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Germany,Male,Other,A,-86.65338824243871,74.40850639054183,-110.32065936441838,E,C,173.87192385666154,B,B,-214.70215562863305,-169.7486804823086,-142.9077138088841,-79.0013781326193,-96.62944037415518,0
US,Female,Asian,A,24.908193583057603,-21.599892967182438,105.2797441771613,E,E,94.07465679457822,C,A,-88.9673481089459,-24.33894520268314,-57.954236159913656,150.68358558826395,-82.96352536401682,1
Brazil,F,Hispanic,D,-84.65322942247818,-127.01130783245604,208.36148144663912,A,D,126.67351655982158,E,B,-77.90100447629098,42.34019919086977,67.0834254710967,-29.54468720652073,-53.28611697403648,1
Mexico,Male,Hispanic,A,-104.47234089234216,12.928980792020395,-56.53646891505099,C,E,-1.6837414829673887,D,C,117.51958666942,3.355961731259413,-16.77720950020621,-50.82481245982815,100.80010102391728,1
UK,F,Black,C,-71.19459752245358,53.08176728011149,-37.990546773671056,C,B,5.213978466304852,B,D,-218.37399607000543,110.47581282185801,-89.3738267943353,-116.86250375336272,-143.75728942887025,1
Other,F,Black,D,-9.236219582092078,-118.68877726682857,-31.478614744574813,D,B,-13.926897798849014,D,B,13.289802669859672,51.53626503829677,-94.74743882425109,-31.51035343498832,96.40685473180028,1
Brazil,M,Asian,C,-25.404542210591647,-155.85010927677155,-108.25184531334959,A,A,-52.80327785299374,E,D,112.76831024131747,159.57879629755834,52.02132885120694,-94.92642833775716,229.9507070969157,0
India,Female,African American,D,171.49795431071706,-109.87240931962101,131.3793693414951,E,D,-11.23736720993853,B,A,-179.48893277134684,161.1707498177255,-54.352493092585576,-114.64867126307556,-24.065885359703987,0
Brazil,Other,White,B,-96.04212843625888,-57.133781029094465,-61.61355962220364,A,E,5.385202488199992,E,D,-153.05706632376902,-237.55148114256275,-95.91884433462697,-29.55797700097617,-82.89031889588254,0
Mexico,Male,White,D,71.90166732944105,-108.0068507313674,134.93180191886702,E,E,183.3689508822658,A,B,-110.35753890402862,123.27550477679125,16.352867486375665,-5.948058582049638,-143.58034047920566,0
UK,Female,Other,C,27.118011203095083,6.335114887064925,19.591880929924912,D,B,-98.8836702827032,A,B,69.96933936918408,8.99286936903903,-0.09537973720022574,17.882073706983054,-27.564586466663414,0
China,Non-binary,Asian,E,-13.927329455222312,-75.26212843186963,-32.22382781049157,E,A,99.56901215676332,A,B,-38.37218645178847,82.44314205466766,157.00677384242516,-63.976551010187436,6.450399987342285,0
US,F,African American,B,-144.42569234187886,40.35675231115774,60.2500089530871,A,A,-66.95294043267086,D,E,48.51038950841022,86.4817465436737,42.65464432518684,-69.83911354918445,-37.75997279611931,0
India,Non-binary,Hispanic,D,2.0223492189465406,42.07071624473045,-34.096921113907264,C,E,-65.70064873125267,E,C,35.49387709042452,34.87695393260776,-130.26551610098133,-152.78755066771558,59.14560359350178,0
India,F,Black,B,23.24408491916655,-13.715710083266124,-0.5166082651812078,B,A,33.08963180923612,D,C,-77.76734425802475,101.02648732834041,-193.1565804796438,117.84414145395775,132.877917531782,0
Germany,Male,White,D,-32.284003022124395,76.41103993662507,73.70807780872588,A,E,29.377492386768694,A,D,6.926430295989817,-84.24945067929568,-195.19502954938602,68.05122366088014,75.9409548899304,1
China,Male,Other,E,-239.9097938842039,-23.065219242132972,-224.0848917246633,C,C,-67.54322662137922,A,C,17.744404154352083,-94.20572149275404,14.731964390449756,-338.7470556007921,-109.59581520875086,0
Germany,Other,White,C,-78.35989883539001,136.0026509725646,-141.41117311520568,C,D,80.25538422098528,E,A,99.0398947364922,-89.29719081418651,103.7793258811599,229.47938899940002,309.51241646093644,1
Mexico,Male,African American,E,66.19005843457289,-47.863431281066084,-243.0466446659435,A,C,58.2052517247588,B,C,-232.2763640608161,-68.40882062915314,-84.95771081162627,-79.78191044926656,-7.105013584958305,1
Other,Female,African American,A,40.618191570942045,227.85106124477915,-180.7784354569972,A,C,-40.08006661821831,E,D,-9.979076668052661,-208.86281031841176,73.2308848128872,82.37228882225078,118.0215974284591,0
UK,F,Asian,E,-98.46006370760027,-11.527091753265102,146.72762247717145,E,B,-12.140164252163768,A,E,-58.77775104206585,-203.13651176135977,-109.94901169242888,-17.704679248968837,-46.272262622641826,0
Brazil,F,Hispanic,B,-23.93814678925234,-98.17199778214218,-63.73584390157817,C,B,89.86972010384872,E,C,-48.5610773414358,-57.25293466739242,-147.17133544437863,47.838364143276166,10.696594622585376,1
Germany,Non-binary,Black,E,-15.466770114503364,-147.4250517399438,-68.93208208432989,A,B,88.10605854370503,D,A,41.85678731423532,-61.01130454426104,200.32106245916657,81.21587945993552,131.4824199171803,0
India,M,Hispanic,B,101.68876268349942,-97.06747316830743,-105.73050057786261,A,A,193.12756643838136,D,B,103.8736465700421,-121.0811707902805,40.7246559507064,71.1663263354325,110.87928467634657,0
UK,Non-binary,White,A,3.2604971872147366,-57.471040341051584,201.00538791170362,A,D,-21.171123509504838,E,C,93.84987017081488,33.404642228042725,23.53191919580092,-120.84703764964951,-92.44510161377453,1
US,F,Hispanic,D,-114.26208915006275,235.21533617871725,-17.1260383888583,B,C,-14.741456695317332,B,D,173.99707258660376,-119.90583404802318,-4.668355856874717,176.74528333647518,-198.44573670113292,1
UK,M,White,A,-85.63759597928508,-77.13091090686798,73.64727104833501,B,A,104.01097692542307,C,C,189.50026467154498,-100.16978933081116,119.99819103006276,102.60440272389334,-132.1947413129224,1
Germany,M,Asian,C,64.55375313251623,-59.37553932899474,7.6581830385070715,D,B,-57.707568651317544,E,B,135.26389205959083,-122.79103889278491,-33.01820720781227,47.07556376158054,53.769697344581566,1
US,Non-binary,White,B,-24.84501864869096,82.48713735863888,-229.85091539255333,E,A,46.735992834604126,E,E,-228.73792159329932,-42.552532570950106,-78.68558188484283,-199.2898830450737,78.69370975679803,0
China,M,Other,C,-253.95669807571335,-109.1095789818408,-105.80448426938784,A,A,10.540594528946421,C,D,-2.3679042681568783,-21.233774645947168,22.950749057962845,-7.713885010677239,-148.84597588862968,0
Germany,M,Black,B,18.11009524706117,59.88901634710503,-140.04859376130324,A,C,108.97006635949813,A,C,-16.88320576067745,58.04906698618033,-25.217480847668956,-67.81239746375654,212.23992529613548,0
India,Male,Hispanic,B,-58.77009911456561,-67.35197935539097,-227.624921882418,E,B,-106.41248781263258,C,E,29.334819276500003,-24.576465310641744,-179.31345685152144,28.642881395905324,-119.71080972602255,0
US,Female,Asian,C,-40.335560156102105,325.25995146149626,75.07754125049688,B,C,-182.48203411083196,B,D,26.049768004116768,146.85103771017748,72.26530949344429,24.67793124059924,-43.14747138931776,0
UK,Male,Other,D,87.45829990357092,-167.37896503237135,-184.65487991525998,A,A,-96.35916134787298,A,C,173.41274329840203,-0.8535115380308649,166.51857998199108,124.87789592748425,49.13322056640507,0
Mexico,Non-binary,White,A,0.07974677687601235,18.37373617806669,-156.29067266309082,D,E,-130.50155732411912,A,B,-49.921952199084366,-5.3456820698755525,-61.3487450630399,58.21866533527113,-45.72797753205767,1
US,Male,Black,C,-80.77175875665517,-86.31476654515524,75.9902307625282,A,E,-141.9301118120471,B,B,-144.69781340940924,51.841291222747785,-100.69464745207412,-131.46768024022631,-14.07082465900621,0
UK,F,White,E,62.18347977140842,-95.32157757538346,50.463216702344496,D,E,47.80802878060214,C,B,114.18058515116421,-73.73374159943715,37.54894542725922,-8.060050568512773,6.632750771705499,0
UK,Other,African American,E,60.052041437225554,36.92846829118862,-52.94571009414166,C,E,228.49122447743494,C,D,19.079502246360953,62.342667646348936,-13.125364890228678,-44.33522488684389,-11.713814929234392,1
US,M,African American,E,-108.01669720633362,107.52705557589859,-243.30955206988207,E,C,-38.457700375468036,D,C,111.40629327522511,219.53329478496246,-55.25902425734639,-154.27292147740937,62.484233738942244,1
Brazil,M,Asian,C,209.4856702980815,-124.93126115418458,-137.57035376771174,E,D,6.923838340219931,C,E,50.40173182903182,-107.32100488770497,74.92840546930637,-43.61843729483542,-19.420821938272844,0
Other,F,White,D,27.46875344117956,9.4477603821017,-48.71873482727271,B,A,77.46412949555526,C,A,-43.52422218998309,55.0447794766461,-32.592191116345084,110.8236121716162,19.056341046747573,1
India,F,African American,C,-106.42563479529382,-91.22091633673163,57.98475069517293,D,E,-55.41268406873855,D,A,88.21774819666443,-29.392884536588397,106.62678403203607,16.042217561927316,59.02062380691916,0
Other,Female,Hispanic,A,-71.65530637342329,-114.51303654219527,33.17316842274632,E,E,-180.55010509072972,A,C,1.896551130331988,131.21249848319752,52.87748186469824,72.65669567048204,-9.50366368638537,1
Brazil,F,Hispanic,B,-61.60908100881885,80.48373849859333,-25.47388495008564,E,B,115.76559418925243,C,D,43.963168219846914,1.4868087513767665,49.807501296846176,-14.242896433063162,-30.85410948728573,1
US,F,Asian,D,41.05874754390865,166.528531651289,223.21541723806953,A,B,-8.730371231820353,B,E,113.19593045589559,-28.49988466941466,-26.028642623785892,-39.970599928730564,-11.22959590096942,1
Other,Female,Asian,D,-64.86933497994495,-52.94078399776014,34.253827590503974,E,C,14.304764588429823,B,B,-38.52794648024122,-18.274093462828393,-74.9312664539292,-197.07053633022338,-30.7585479988789,0
Mexico,Other,Hispanic,E,128.78350683513722,194.07495718540332,29.016170630366418,C,D,123.74749557512712,E,C,84.94672765915749,58.34273460369228,-108.97099194382396,124.46733406429477,72.49196700988983,1
UK,Non-binary,Asian,E,-79.45513402316405,-36.506797474870325,-55.712787249283046,C,B,24.452741367505794,A,C,89.37099860255196,-15.17306758149324,56.47280011560548,0.015029208426910436,-56.17962867123306,0
Germany,Female,Black,A,43.39033082098292,-73.13492645808441,-171.94619119523307,A,A,67.88752394185231,B,D,-107.82732166819164,-30.8067271723208,66.70600027969328,28.279996792626932,-13.25894598875395,1
China,Other,African American,B,124.1184606490665,-46.98177416971232,36.31303620503327,C,A,143.03091086648533,D,D,169.6468361058941,-120.0161584802929,213.02248618968864,-48.972356014793036,67.43649751641718,0
Brazil,M,Other,B,-72.94742663102295,128.25716801622477,-58.15875338248908,A,D,12.588299534601816,B,B,-1.521325302782303,78.37400614748118,269.2908986814726,1.552077266926947,-237.94743456695286,0
US,F,White,C,83.07067771272875,-134.62302886842357,-105.33507614002579,D,E,-65.15094949223358,C,E,71.133432737023,77.48317370060747,49.44943830386105,17.89686885906065,42.3649337620005,1
Mexico,Female,Other,E,19.828568268306583,-200.584587249985,166.4737198117655,E,C,66.60441079935588,A,E,-93.04543012773178,50.76493181711553,106.93199676667939,67.67394542515792,-236.35141840881326,0
Mexico,Male,African American,B,-51.171601712177036,-71.91410471546244,-0.5799727405666295,C,C,65.90700533171358,E,E,58.892163488320804,-54.84381119155434,2.1821889523613307,129.69313647454644,-14.079919317456898,1
Brazil,F,White,D,84.9671129591395,-71.24799062094456,-94.60055632529082,D,A,79.87409281117314,E,D,-21.252044927794064,-54.6017483926445,-64.73688928287457,-54.151883500032106,-117.21054785397544,1
Mexico,Male,White,A,94.48072597036082,-11.416212615248291,-89.29412184784937,A,E,-117.16975902822196,C,C,14.805859885836565,-43.93182688101695,38.706935637303104,-17.101425088897827,-98.84197324161023,0
Other,Other,Asian,D,-48.76913050962334,5.036434419409381,44.426250368669656,A,A,-89.82643641414745,B,C,-67.4327617165355,23.208798989195863,-137.5722879448626,62.19167945923696,59.27311789620393,1
US,Non-binary,Black,D,-132.7732742813705,51.26927629038707,-23.932961431839882,D,E,-148.1242884888008,D,E,-93.827103275431,-71.41222350155103,-15.902690060280399,-33.41434205146216,96.32004192969785,0
Other,Female,White,A,-100.07502805053672,44.537000830840086,-134.46209095276896,C,B,25.735023485484447,B,D,69.60107342417233,28.3999905744094,7.2387154522277095,-111.10411258331472,-34.77807138673059,1
Other,M,White,E,119.16437702331541,341.3462571195338,60.41251119564607,C,A,-6.138941329516696,C,A,73.48450200028319,-7.715636951537036,-45.57842603897002,69.35310704586372,27.978735190322467,1
China,Male,Black,A,23.813504577132235,-27.146819517804666,-4.0172605297147275,B,B,26.438449013535013,D,D,61.67365216493842,-71.2588579147804,-194.6225699812871,136.62368770493123,-217.75426528488654,0
India,M,White,E,-6.8179572984135355,-57.85910504174997,112.89473482794774,C,A,91.20972958990191,D,A,-165.9076243870508,88.87031748860895,-68.95301469865201,-5.42532510426845,-25.027626054373265,0
Mexico,Non-binary,African American,B,-193.41725176258774,-46.28366005854439,-9.597248657668677,D,A,-15.683281967129108,C,D,-125.49913907527926,-203.785179336227,53.78671479012412,38.07299004571509,-120.1089831874898,0
India,F,White,D,-227.4678797874814,61.58481711046285,10.800805649392116,B,B,59.832541642982854,B,E,-173.62816841223145,-40.58819440229791,-22.01679395306852,7.703856654702314,142.3347929529756,1
Mexico,Female,Other,E,89.8372135011273,3.3776451205443805,-21.95947472233849,D,A,-87.41609097732506,B,E,133.94374089673727,94.01435393985544,0.0027875716946707454,-23.098468707072353,-46.46662705571574,0
US,F,Hispanic,C,-90.16186549403567,125.44099394723425,70.07326182196613,C,A,-160.0744930422671,B,C,-108.75034713254882,13.517035428260252,-37.022110875497496,71.49287686427577,105.58411465645483,0
UK,Female,White,D,18.582165830538024,48.93012705551026,33.99045835769313,D,E,64.05490910908908,E,A,-28.579337258021337,141.68219687910127,124.14511748275024,-188.6168639402552,-93.03262152085597,0
UK,F,African American,A,154.0313472566286,67.51020842321053,13.735878739572094,D,B,-22.27574448845434,D,C,-7.249772870280989,-45.007706556546154,1.1880906506027968,38.20349076386213,154.0025118302526,0
Germany,Male,Hispanic,B,-30.54086855551389,-120.66051856555092,27.18742351045178,C,C,107.36940173153586,B,B,76.5290146222808,-64.24307851468807,13.644282074409169,-158.8228090644951,-107.63772028288408,1
US,Other,Other,A,19.461667474617006,-80.8289242897125,28.60335302711598,B,D,136.52855552995874,B,C,-155.73737283159946,-92.94948856609427,-64.8502100545446,59.44153974451788,-66.75866084271873,1
Mexico,F,White,A,2.8055755260280257,12.743728196177651,-87.9703739547965,D,B,100.59176078483014,E,B,14.628200008310607,-77.6167364601815,-63.90494232233925,-149.85421453021812,55.185571522794966,1
India,Other,Hispanic,B,-46.98287533746235,-49.49690979672614,159.1227223856615,B,D,-32.03884709087823,E,B,52.771968734138696,97.32702803561948,34.879283662668335,-32.49643376290147,-100.5622456874772,1
Mexico,Non-binary,Black,B,29.452354530970275,-69.84199262482285,112.89616033591278,C,E,-15.584357103853277,A,D,34.542283191058935,-29.02241792143715,-28.71802383791282,-14.185928346538953,-83.26360876847814,0
Mexico,M,White,C,-59.41443672578954,-71.83913014204043,-47.332464960288014,C,D,14.927840814074392,B,A,-11.762399079217891,45.60852582799213,186.11023567922248,-75.06610977735313,47.10404091794172,1
Mexico,M,Black,D,2.5931588959704412,89.28317661451698,-51.7519863511964,E,E,-21.54168390318498,B,C,94.1444904166303,125.67453529936627,45.05492124463282,-24.344246142625114,147.7990690742926,1
Brazil,Male,Black,E,6.11023842586322,55.528770631253565,-63.69087542295713,A,C,14.242866046783837,E,A,89.09758690574617,-62.38833457300843,-3.3866718184343796,51.24477283236884,142.44441169911647,1
Germany,F,Black,A,69.14131186410265,-18.89142319685276,22.29593078309586,A,C,-80.60940219442372,B,A,97.29047820357799,36.88449284533303,-40.09257946445429,101.938970201989,-40.226485390556405,0
US,Other,White,C,-1.5242861820062241,47.01466510769896,107.59718092740297,D,D,-27.229006877086515,A,A,24.07873112418807,26.258309739503783,63.43834367468565,66.93592526259528,70.36768525355002,0
Other,Female,Black,E,-42.94376429132636,91.06901710382654,-25.393146040321245,D,A,49.756975542317136,A,C,48.19118379514229,69.25978862596033,-1.0149948828910076,9.279195611109726,-74.32842280625847,1
US,Female,Other,A,65.4864154547251,1.0763777873222595,187.69206091392257,E,E,16.960238767391843,D,C,17.571652460341305,-44.02237770390387,59.759017205760244,77.9358287603937,-55.080410449182814,0
Germany,Other,White,E,-255.2069609485091,-21.097608434749286,-110.58201663086749,C,C,21.460042613535002,C,E,46.58977023408615,26.19525083221482,-18.255597875297795,-66.8291239842935,-122.62768313668518,1
Germany,Non-binary,Asian,B,-42.40485489653747,131.68385320273472,-39.14735901739242,A,A,107.46091872116511,C,A,81.11072392549612,-85.14998963474505,51.78055820897036,147.42647898629133,-69.61196026953772,0
Other,Male,Hispanic,E,-89.4082653928059,70.32741102158579,-45.82218355890784,A,E,-46.5691451835154,D,D,-55.645565924870745,-5.9862478425152,-10.804472871331864,12.025398860901278,133.04246849068744,0
UK,Other,Black,A,-46.65091107943338,-266.2150594169258,58.0137958848832,A,A,27.089924970952318,B,D,99.36315285893032,18.231314423363752,233.75875666272665,73.47458330532055,87.33065481788867,0
US,F,Black,B,172.56473319417657,148.01522591427877,-50.54053262877787,E,D,-72.18417540660805,C,D,85.43882568818725,35.57288524849195,-10.80345582270928,141.41848384182043,14.853497407142182,1
Other,Non-binary,African American,A,-134.2872563807753,95.01970967925224,-117.50375545550268,E,D,151.57690220563603,C,A,-109.19798807434513,-48.77521968700822,-44.174648930893575,-62.81210367608935,153.78677229506073,0
China,M,Hispanic,A,-120.39102873240344,-126.57168807430601,226.44846617140794,E,C,-59.85611453575961,A,E,103.57129386091341,111.75651702305969,185.84504135450706,119.41200556757427,109.1690766324103,0
Brazil,F,White,D,96.12840899585761,19.852171686845097,-208.07823580313266,D,D,20.927554520335875,B,C,-31.457923175920744,92.60207557308,54.27438797812515,-209.5392626697864,-21.83991711713421,1
US,Non-binary,African American,E,-22.113904442420747,-292.68083203689497,33.89309734328958,C,C,79.03517306690081,B,E,-244.78804727814475,-93.99849900643122,127.86412557190462,71.25981630540285,-135.8721647509892,1
China,Other,Other,D,-189.458864025466,135.83559913944526,-91.34192560659591,D,B,101.26681670670943,B,D,-18.503394143664682,-42.24634578072427,-125.61567935679297,90.25523945927533,53.87532695536699,1
Germany,Male,Asian,E,147.1524010678234,90.3527129048486,214.97758438253837,E,D,-129.73942886116797,A,E,15.9990535565989,-60.98894897767772,-109.95064987811682,-105.26464163814838,103.98987812043315,0
Other,M,Black,C,11.050088484277671,-32.9527764831121,-13.18158409874563,C,C,97.89750302279656,B,D,-40.59980622522542,-110.11240629035979,185.84973393003608,-17.79106190772109,33.80987125176126,1
Germany,Male,Hispanic,D,51.262296504995305,-39.629556809174844,-114.33565062415863,D,E,-0.2307214259705793,B,D,-29.868283872430734,68.65682682650775,135.83279929188342,76.46939941105234,169.17594251328882,0
UK,M,White,C,103.15863297899703,103.62175433401326,218.31851835717546,C,B,-106.13486340637841,E,E,100.10988858022371,249.33346065988812,-3.78216202782504,-43.67424736510157,106.25758058461972,0
India,Other,Other,B,-30.11007451013139,-44.54020205745958,-69.38432350415569,B,C,-47.68231622109416,B,A,60.14445217954275,12.941037382753603,106.28803253727732,108.66243155626438,100.78005746073404,1
Mexico,Female,White,C,103.18164279281933,52.253049532412554,-327.6523812929315,E,B,26.268416126080478,C,B,-22.40573792471632,-87.83817021886371,24.078589977988784,61.86743038301169,154.14473845560696,1
UK,Other,Black,D,-33.68253589345927,-25.168720605913027,56.43497275654422,A,C,-143.12895337590322,E,D,-143.77425049708975,-148.0706299051944,98.83308440903113,84.51380677452096,-24.39519038505299,0
UK,Non-binary,Asian,D,-161.04758601214644,-84.43957940151274,-14.89013158040059,E,C,-21.06193042796802,A,B,108.93455379327166,-27.078191264477102,-37.291759900878304,134.4100258914368,0.47464364611415033,0
Other,M,Hispanic,A,26.323647807606456,18.819718161571796,61.349260103748534,A,A,-82.55487706491593,D,D,-159.46305605738047,122.94303949732124,-45.98233042901837,52.32619920240759,-73.10147350349563,0
Other,Other,Hispanic,B,242.78025923611585,47.59180123417725,-46.32880803248888,C,D,-43.57710011384815,C,A,132.36313812590402,-13.733497636988812,6.378154466158559,44.737773826657765,124.3759238623132,1
Mexico,M,Black,D,138.67021739057407,240.6464458795413,66.03152301098449,D,D,-12.420323306101432,E,E,-136.135137172421,-60.06571481886587,52.834464485545375,-72.3023270713134,52.426595535856066,0
UK,M,Asian,A,-34.11942993604378,-57.02263898527268,-46.33232205708689,E,E,-12.571693211274509,E,D,70.0394705615616,-37.01445976777197,-69.66547917199065,-41.03808045035654,-97.33937175219359,0
US,F,Hispanic,C,213.51535552976014,61.40061953451376,171.54626489120918,C,C,-103.20930987918038,B,E,-35.62678128903591,-157.8403526541975,106.18808480233713,-11.173142235755199,-202.88567181219835,0
US,M,Hispanic,D,-16.032113358235428,24.402825469852697,122.32294816984084,B,A,26.017658160456847,D,D,-162.43212747047102,13.577580733660682,-111.35766600993232,-144.75524460222127,-45.693430448919074,0
Brazil,Male,Black,C,-41.54543676008374,0.9422801376780646,42.35676161504284,A,C,-79.67239770288236,C,E,136.3728756359976,-27.83878619831926,-140.46729817180955,74.0935878053402,16.196360548778777,0
India,M,Hispanic,C,-2.077697819979998,50.4905666814935,-111.56213026374691,E,A,-50.097312126609715,D,C,136.95129466522152,-4.296398846356611,-25.21226115588445,47.05809589822654,46.615422182069686,1
Brazil,Other,Asian,D,12.998796327981305,41.99668528696544,-231.7170123435224,B,C,-16.935200156676053,B,D,30.38040477509667,79.21667027634085,-82.3741566768825,-57.38143237500288,-79.3003017907405,0
Other,Female,Asian,B,45.46696516300288,-67.81346539320629,-26.669690411590945,C,E,-4.860394552048516,C,D,-137.3991724554533,100.63114824848516,69.61889967923523,-267.96354799884415,229.20305645423,1
China,Female,African American,D,-72.7941331206868,-19.410608220491557,-143.16333920259223,D,D,-14.706044084653264,B,A,70.55794343739022,-56.00276625999796,208.5605536906007,-109.3083601758433,-76.1912822313187,0
Germany,Other,Hispanic,E,213.50360179436353,71.80648031391205,90.01797304246213,D,E,128.16630449393585,D,D,-63.42731758893658,-136.9971622613456,4.531925940965413,-99.83967129863919,38.719181269495024,0
US,M,Other,E,-106.69991185629061,40.34186905231934,83.01712753241054,E,E,-156.92063302785957,A,B,-30.33004802218896,-49.32227495656196,-9.40865017855392,-19.961103712734698,-21.720075606875422,1
China,Male,Asian,E,-25.530291184632258,7.002234178950298,20.560805600284983,A,C,-39.28435235507122,E,B,65.9662047319551,168.45687822661006,-30.233060531299653,-1.1905162042470503,36.901696057295496,1
India,F,Hispanic,D,-38.01450012692322,120.01980577471767,103.52857740347528,C,A,-73.35626394743076,E,E,-153.11451982292385,-6.041037931055546,3.6384423264829713,138.84165893521708,-101.03128444270001,1
UK,Other,Hispanic,B,-73.88045296220646,-108.86615888657212,61.55442195087172,E,A,10.03034727196502,C,C,-46.87460558130381,-18.92960484048441,211.89556423419393,-40.477307004993904,166.6898162794853,1
Germany,Male,African American,C,-106.4050021285483,-160.82721451466878,-108.25352665475879,C,C,-4.787998642617398,B,C,-153.54087690152122,-52.22611946004878,-34.55100685252457,0.5211610549503277,-20.659073548566788,1
Mexico,M,Hispanic,A,108.5308463562165,6.91278968999728,-147.31423937717054,A,C,-35.01818006985445,B,B,5.066443840625942,121.74689636093554,234.99867334135794,-71.30578219976145,79.55513088166921,1
Other,Male,African American,C,83.18148149823635,-78.12677485311413,-25.73241607147814,C,E,-68.27958936365633,E,D,-7.228131793768807,-64.35031392171987,121.70856251971276,-49.65142481999729,154.56764179930252,1
India,Female,African American,D,-72.42261148682293,204.11435865923298,12.805108744453852,C,A,79.52699375950844,A,C,108.59522807476903,-95.7956684906157,-35.506109793151225,-111.36320350554243,42.96256764232759,0
Germany,Male,Asian,D,84.68388853799811,104.03617337301947,2.3167626195327125,B,B,146.58754615788106,D,A,43.3388560845203,-244.45616912156822,-19.555680055513065,-58.775542168580344,170.3369969163023,0
Brazil,M,Asian,A,-100.41128890015887,-299.3541650918097,71.5923699553846,A,C,-129.0458162191852,E,B,89.50932814274441,101.01955241574203,-33.71233398816466,226.0017797658815,31.320467172983786,1
China,Female,African American,D,152.8337784872766,23.065072249768207,-30.124768258036642,C,B,-32.009846581072075,C,C,-48.93477705756416,104.71864896181715,-22.249816891264317,-127.19756633817781,-295.2146434190593,1
India,Male,Hispanic,E,-324.7664514848937,-1.6152530404796615,31.411625286212498,B,B,145.50687759889942,E,B,-76.26042619751611,-63.31553698238884,-165.03798418293206,105.58385460015825,54.61806793105674,0
Germany,Non-binary,White,D,56.86753361113666,-114.55413749095827,-260.11252833301677,C,C,-54.187950831034534,B,E,100.10101984990175,123.15930532767929,-50.64767438486153,-112.02590960613978,186.68180097140493,1
Brazil,M,Asian,E,214.8646201335799,-73.92725881746152,82.43693734552515,B,E,-67.10077253781263,C,D,187.78238171144093,-32.471223838095504,-67.35648766661588,-49.808680118364265,184.45098795186544,0
Brazil,Other,White,D,27.54316649443234,-72.89559772840907,28.96576059150913,E,E,-23.70811025681213,A,E,-7.755425478205755,64.1758125783053,36.15767433126087,120.53447109402337,-55.417522305439434,0
Mexico,Other,Asian,B,-73.50135065315094,86.20260054613223,-38.2144508178047,E,C,138.05270236802394,B,B,126.72509619443386,-33.45997035908875,-23.83339491659813,32.06443836086574,-14.655573464033427,1
India,Female,Asian,B,-28.27579629691921,-32.411968076582674,91.76137939228013,D,B,183.79519236793826,E,E,118.42194381532754,-93.61688178355831,-239.81592189177738,-69.75675136992892,-69.94081620518766,1
Brazil,F,White,E,138.61356947559958,-40.21264290782587,-32.970929588422734,C,B,-47.41992743101268,A,E,-63.14701233733647,200.16310533196898,38.29064793085854,-70.95930566209027,-65.23094960725766,0
US,F,Black,D,26.887427363138823,66.18817293546512,-53.908302501180174,D,A,-168.37382255535726,B,D,168.7392433931896,-27.629020699292223,35.18258923700148,-106.80300269678402,-30.688479460749395,1
Germany,Other,Asian,D,10.594065418472093,-29.515082033100263,-178.66068390085988,B,A,104.3988066539737,A,A,184.14796338955094,91.6183905228556,5.464670631924091,21.411461700952515,18.79981617904278,0
UK,F,African American,E,-19.420874255221364,-103.28364123192715,57.41412568129258,A,E,102.5133240517872,A,E,-62.640663038276465,106.37103830129581,19.252399573979268,-19.998004506977203,139.8813127764654,1
China,Female,African American,D,-47.35706360838567,159.61407138046818,155.42545169478805,C,B,135.0426355962615,A,E,102.66329176900533,28.460291795480906,-1.9752049237650955,160.40114561824052,3.660189505944653,1
India,Male,Black,D,95.22731624048643,52.35663899321166,-99.41612488061375,B,E,-44.00279476652207,D,A,112.54204047028978,-1.9352611477125803,141.10027994432699,-106.08587244665027,-15.357155656664146,1
Brazil,Non-binary,White,A,134.59101893019465,-40.15066449463111,76.23356187115351,A,A,18.186386237307385,E,B,-13.339462751423211,0.22838936115386588,-31.687567508285387,121.08384002286382,-71.699755334796,1
Other,M,White,D,40.43569512742449,75.81108390024475,105.3311113989169,E,C,56.99557823910377,C,C,-118.0499280288584,-151.257209613209,-10.473325219283415,-71.35821304934512,-94.93457728416571,1
Mexico,F,Asian,E,-31.921598566228916,-155.353448638968,-48.809854022932804,E,D,-86.97152240448163,A,E,123.54059747717952,94.31270083502541,-9.388676105303404,-1.688798864846583,-231.87311163860122,0
Mexico,Non-binary,White,D,-237.06538947304514,63.16366004701577,63.71967067108303,C,E,-39.9339120371875,E,B,-29.726631658993202,116.6787416544401,-29.53864042443863,7.256848332608437,-91.38107102608764,0
Other,Female,White,D,40.412576311171556,-105.92967686675365,-110.17460498254863,A,B,173.92994356585382,D,E,-100.43461452583972,-18.774247948579255,20.532298980071527,-4.091155424910804,-118.38951225370565,1
India,Non-binary,Other,D,-62.03308556342782,-145.0009795094954,-32.54951699019336,A,C,-1.6889795109930728,E,E,-167.06398631146874,-136.26127800609302,215.0209272527786,-123.34514720880311,-89.80135824676775,1
Germany,Female,African American,A,-186.4066850109054,-103.33666852441338,-15.150952906833371,C,B,-111.05002929316842,A,A,-89.8031470683462,87.47460177184003,152.29691912161272,117.70223373886661,1.1704997277937845,0
