Veteran,ethnicity,sexual_orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,target
Non-Veteran,Hispanic,Heterosexual,-1.6312253182027763,C,B,B,161.9360000002464,-13.118690652596293,A,-46.2304750483376,-14.318217514170057,1
Non-Veteran,African American,Heterosexual,39.639852806968456,C,D,C,35.18721508266352,81.1691703622458,D,-72.17529107332003,-88.26610366617449,0
Yes,White,Homosexual,85.13880930743808,D,A,A,63.47629102349821,-102.96075723619467,B,128.5154406817446,190.07938439435,0
No,White,Other,-22.27377813657045,E,B,B,-177.46787049070824,41.32939772917765,C,-18.912700947000292,-58.243612277702816,0
Non-Veteran,Other,Bisexual,22.284837997350078,D,E,C,79.98668959251766,15.950983292690053,A,-88.94316329774878,67.69646435508814,0
Yes,White,Bisexual,15.59430916182562,E,D,D,56.84540448015364,-214.11425193098572,B,74.6616342401911,-2.4219894158411917,1
Non-Veteran,Hispanic,Bisexual,104.9001638953269,B,B,E,-43.97616813540266,20.880216197290284,B,94.32616091542589,-103.14906570016109,0
Yes,Asian,Homosexual,-94.24369267343997,C,D,D,-136.96440743026318,105.1524995367473,E,-83.73657821704856,204.6513076197383,1
Yes,Black,Heterosexual,-38.67776281768299,C,E,D,97.34016472825587,-89.73128981513497,E,-89.38779765085573,-47.07688113461222,0
No,Asian,Other,-122.61922963415172,A,C,C,45.15784154437998,94.59130487969264,B,-129.18197540381834,-85.37289033510713,0
Non-Veteran,African American,Heterosexual,236.4522316961609,D,C,E,-9.764073403647997,-1.864406470785052,E,123.81402030472002,-48.16964154923723,0
No,Black,Homosexual,-58.395321482734694,D,A,D,47.54343475370951,-102.70576557516623,C,96.54370916276135,142.16546147304473,0
No,Other,Other,-6.1290577190240345,A,B,E,-109.91571183034499,-62.98151937967589,E,-181.69509550602208,-234.49317027197574,1
Yes,Black,Heterosexual,27.495931811131406,B,E,B,-121.66206170962201,-110.81718352377901,E,-126.28012429537792,-14.033976126213682,0
No,Black,Homosexual,-36.57834598315403,C,C,E,-122.1234424420362,-267.6093937608446,A,-99.29198030561068,174.61249704641776,1
Yes,White,Other,56.04892450347801,B,A,D,202.5486777206025,-66.18461306832425,C,-79.24122708107679,-63.79744702329436,1
No,African American,Homosexual,-38.902533969828326,D,C,A,-75.6191757131069,140.27199966157607,A,-7.286112334403441,64.18533634942403,0
Yes,Hispanic,Homosexual,34.5494212917288,B,A,D,-10.874091386380288,-24.737360378443373,B,61.05059894315449,-31.55241847928244,0
Yes,African American,Other,80.05727334686739,A,A,C,93.87010511203351,38.72692101774038,B,-211.7284204364664,27.768826042723393,1
Yes,Other,Other,0.5290407729544634,E,D,B,-61.51972352816604,42.85461662436138,A,-27.413755277638668,-28.496670657309913,1
Yes,African American,Heterosexual,112.98789933806668,B,C,D,-84.06948017568219,138.7241659406416,B,28.31248211121996,7.250692952764869,0
Non-Veteran,Other,Heterosexual,-13.683009472426127,C,B,D,-285.8232047290144,107.69324639191824,B,-64.60573083129167,79.74467157283388,0
No,African American,Other,73.02038583366634,D,D,D,-82.54825235539253,-110.9793170930826,E,53.90271607414561,39.49041600103272,0
Yes,Black,Homosexual,81.91638424182439,C,B,C,-77.83457656347204,75.80266495459865,B,-73.61763767118097,-84.13152869776522,1
Yes,White,Bisexual,72.20948585746937,C,E,C,53.67494813301564,108.87908543398072,B,163.96400533328043,14.868736515335634,0
Veteran,Black,Heterosexual,-35.54089203705337,D,D,E,-168.50789827818332,42.028714150140715,B,72.92325510744526,-160.0626971163553,0
No,African American,Other,-109.48507543976969,A,B,D,-187.52334060333615,98.10048870176932,A,47.18112332841369,8.599651846160642,0
Veteran,Black,Homosexual,147.2761298515568,B,E,B,78.35496739948215,31.3413849178461,B,145.39902244261808,-8.350911142897143,0
Veteran,Hispanic,Other,-137.70377563652642,B,D,E,-58.768155185937346,-162.49673793558335,C,73.14269232543907,-162.18811512404613,1
Yes,Hispanic,Bisexual,35.36841155652283,A,A,D,-104.73605761571756,-96.99478223426512,D,35.75472148341193,-85.51348421536275,0
Yes,White,Bisexual,158.61218477489285,B,E,A,89.60467812816219,-206.77408692332722,C,10.531656541483873,119.83588942382524,1
Veteran,Other,Other,242.76643644320865,C,E,E,30.802996748715987,94.04356366860547,D,174.5107136672338,11.216286815734826,0
Veteran,African American,Other,111.77916042126283,D,E,C,-35.375094503126334,116.16559115015359,B,-134.84421530713954,136.0436620205956,1
Non-Veteran,African American,Bisexual,36.28060041435137,B,D,C,-148.21520541587796,3.7026601103845995,E,17.139348940402176,-102.31559779426773,1
No,Hispanic,Homosexual,-81.31596324240597,A,D,E,168.59702378464021,3.4705132248859285,A,-75.15985151793866,26.535027581463883,1
Non-Veteran,Hispanic,Other,-51.9481743977001,A,E,D,-83.63118225196114,116.5862677438948,A,132.0102064938128,-176.80357223636108,1
No,Black,Homosexual,233.3560087008433,B,B,D,-120.40603261463659,-64.86960838710549,B,93.82071528330205,-19.366077518617715,0
No,Hispanic,Bisexual,-36.85769981846983,A,A,A,1.3198856219364392,-292.1546146610068,D,-11.796337783466479,16.82611782948162,1
Yes,Hispanic,Heterosexual,34.21984164156523,B,A,E,46.00436077258146,8.108581659644146,E,-29.74918767837219,10.848731392065625,0
Yes,African American,Other,77.08314253168521,D,E,E,-223.74880673229808,212.42106548703293,B,74.54266376795859,-27.610481515824887,0
Non-Veteran,White,Other,20.70596645444417,B,E,B,-145.300715904775,94.17383039198913,D,-46.24351186096246,39.96234577384708,0
Non-Veteran,White,Bisexual,-14.818082729409742,D,A,C,48.949862481794895,-5.413241116014756,D,69.98004324936808,14.775153808265987,1
Veteran,Other,Homosexual,137.3870687745196,C,E,E,-47.20965523815614,32.66652430781832,A,-4.828883655241759,-68.466870698112,1
Non-Veteran,Black,Bisexual,0.0033890940632819366,E,D,C,-60.43082482700511,82.83600482586034,E,-155.88036217753753,23.416148020725107,1
Yes,White,Heterosexual,96.96869175382948,B,B,D,-23.367689581236654,-16.64421139060166,C,-226.74103513313634,79.35245857348214,0
Non-Veteran,Asian,Bisexual,15.94831962226235,C,C,C,-44.76735716739136,-7.326089917589518,A,-157.25285003381055,-161.9542285237459,0
Non-Veteran,Hispanic,Homosexual,-44.703604192036316,C,E,B,26.515775991954644,63.96973661752503,D,84.66490416030538,129.13309699367886,0
Veteran,Other,Homosexual,-29.092157504671036,A,A,C,-93.20135087482166,-38.56194891720207,B,-59.01883818531542,47.36481818152052,1
Non-Veteran,Asian,Heterosexual,-77.22613497457058,E,A,A,-108.38974534085952,17.036528273635653,A,-14.117573742245703,-92.22053020217179,0
Yes,Asian,Heterosexual,90.51212694433886,C,C,E,48.40190559390839,126.76795673630636,E,-113.4367408919787,138.2370407588116,1
Veteran,African American,Bisexual,105.3109086863258,C,B,B,-28.290181763516127,64.850252706802,C,46.90627416433084,35.54139541134684,1
Yes,Hispanic,Bisexual,-13.631502370755449,E,D,A,69.77887949970896,-101.67499968287197,A,-199.28628483282694,-273.36969552735997,0
Non-Veteran,African American,Homosexual,-63.64187101319496,A,C,B,-73.13368551013171,7.409115145125357,D,19.53268511843827,161.67074046861265,1
Yes,Black,Other,-20.87680592340079,E,C,C,8.347560049343134,-40.59097487124876,C,-40.749418386161004,-3.1695537814762287,1
No,Black,Bisexual,35.88591127590616,C,C,D,26.486385925920896,178.4527678929004,A,174.18376669069855,-33.20585629884802,0
Veteran,Asian,Bisexual,-123.63165003583603,D,C,E,-119.35432839262587,-24.90016276672265,D,17.949240587856412,47.60225333064565,0
Non-Veteran,Asian,Homosexual,45.73047374481995,D,E,C,50.391102847829316,43.89666400743074,A,-46.83234876337352,145.64766604641022,1
Non-Veteran,Hispanic,Heterosexual,-51.067743843338384,B,B,E,39.559971633662535,101.46678381696677,B,160.37913672659673,-52.12326526667365,0
Non-Veteran,Asian,Other,28.451940731777015,B,E,B,16.566168704571982,-183.74320734630155,E,-19.331159584498913,47.027348784553155,0
Yes,Asian,Heterosexual,-47.7025034158973,D,C,B,-62.86203793171224,59.18381192944362,C,-58.175336158053206,66.70078354959166,0
Non-Veteran,Hispanic,Homosexual,-145.59172264943777,A,D,D,-89.90358913704489,77.67822135777924,E,-77.9685126684293,26.227026223583955,1
Non-Veteran,Black,Heterosexual,-76.39023863724196,B,B,E,-134.16868214239634,-19.1727319026336,B,-35.24728662900871,78.38406890970936,1
No,Other,Bisexual,-63.60331515587691,E,D,E,-42.39069615255294,126.5641315685179,D,7.72624455141689,130.16285678258475,0
Veteran,Asian,Homosexual,109.69991300640002,E,C,E,125.30653516789145,127.0819034167712,A,-45.03941964463992,25.785174612814117,1
Non-Veteran,White,Homosexual,-75.56267279536783,E,D,A,-45.8886327434632,-14.72863193666033,D,20.275913992918728,-74.38256556808489,1
Yes,Black,Homosexual,-201.62876594082522,D,B,B,-73.31804015542828,-41.66935814917178,B,24.29505668028372,-17.839211122598655,0
Veteran,Black,Bisexual,-39.1392070043116,B,D,C,-217.77108034789822,-43.691222090423494,C,-54.18042728707607,-65.93243246409935,1
Yes,Other,Bisexual,31.40495134395399,A,D,E,-150.13430229160954,111.08110302394962,E,-14.707666879059408,-125.13280035941068,0
Yes,Asian,Heterosexual,-276.05534699085945,B,B,D,-9.102237574920585,-57.08468156197557,D,-8.542290940548286,-75.81866972623065,1
Non-Veteran,Hispanic,Other,-107.69070831867622,A,E,C,99.33696035428889,58.83825471885953,C,-20.819946126819534,49.28955076601057,1
Yes,White,Homosexual,-43.04873978330245,C,D,A,68.23078676707645,-100.53335270124384,A,-82.27119033506918,-64.19291100882486,0
Veteran,Other,Other,-176.81949370910522,E,E,E,-131.02282726828,-58.621995740695944,A,-12.249638869598579,-15.809881925522385,0
No,Asian,Homosexual,65.72180967117485,B,A,D,175.8641876345824,3.4405384485331267,B,-179.10334537608563,-140.9629097931208,0
Yes,Hispanic,Other,101.81935660488644,D,D,D,-87.64027011547877,91.81590617985076,A,181.76870386979363,-118.9740661732575,1
No,Other,Other,3.685834713335736,B,C,B,19.286064543799135,64.21717866996066,A,119.16395730315476,-19.099977130293077,1
No,Other,Bisexual,77.31161840874843,D,B,D,16.767869155291677,81.00441717567658,B,55.6430783501082,-156.17605102795517,1
No,Black,Bisexual,40.67599239483909,D,A,C,189.61368718434343,42.23297539446407,E,-88.13686829958861,-170.2045109543233,1
Yes,Black,Homosexual,-153.34465918914037,E,B,D,-61.631503159865886,-46.10665307947226,B,66.06677772260947,-8.702993125293359,1
Veteran,Asian,Homosexual,43.03012109579865,B,B,A,46.022018292926816,-130.5067889985977,D,-72.72155292943687,-31.889996751574202,0
Veteran,White,Heterosexual,82.51642429872881,C,C,A,-130.6985637465537,87.09839293553226,C,-39.634835674315305,27.336011666322733,0
No,Black,Heterosexual,-101.44947231794232,D,D,E,-35.93748313022524,-61.86242395339225,C,65.80106840997749,-75.40603458783688,0
Yes,Hispanic,Bisexual,-19.66832540580603,C,E,B,-26.869196321399073,128.50744752518432,E,97.46090506712602,-76.79857994738481,0
Non-Veteran,Black,Heterosexual,-66.48391792203601,C,E,D,-154.1600456336722,-95.40218389923162,B,-101.04645628852307,-150.06572737237298,1
Veteran,Hispanic,Bisexual,-150.69811144990499,C,D,C,-104.07876736170063,61.2956418259032,C,162.47042571854158,-174.88038404930413,0
Yes,African American,Heterosexual,17.199717207111934,B,B,C,-23.205893054289316,101.83778280950169,B,-87.48107115885547,-172.3046944260332,1
No,Hispanic,Homosexual,-53.64088989399259,C,B,E,-46.980893689928266,-123.4781484672437,C,19.274827077912317,-164.2983860834051,0
Non-Veteran,African American,Other,-256.09595811145493,B,A,E,-57.01052294150776,138.3694262277064,E,98.02503470873611,36.95628468142985,1
Veteran,Black,Heterosexual,59.03867155883017,A,E,D,61.122394441992846,37.05600759280053,B,-63.84179612249069,-9.293681747516418,1
No,Asian,Homosexual,-72.00512814683171,C,C,B,0.7772800618325049,85.24414105830938,D,-14.445706553120688,-338.53366606457496,0
Non-Veteran,Hispanic,Other,-220.43498768057339,C,D,B,-36.844803206797195,23.584502112381713,A,53.2530951763466,44.57871409836891,1
No,African American,Homosexual,-76.2275826726946,C,D,A,-29.779584182841756,-91.53738837088176,B,20.72700964203672,154.83627896590434,0
Yes,Other,Homosexual,7.608137789293358,D,B,B,38.89170765793414,4.131828239576964,A,129.37057914585498,-14.081877222522804,0
Non-Veteran,Hispanic,Bisexual,52.99286250453397,A,C,D,67.61246817577388,84.6255616149999,E,-56.71306120726275,-94.28162750225144,0
Non-Veteran,White,Heterosexual,-41.88746923262629,D,B,B,-120.98466705438531,16.489838889954633,B,25.968812342617486,-15.14406053643289,1
Non-Veteran,African American,Homosexual,14.374684403078101,D,C,D,37.91257392242009,18.440053478449503,B,-47.48833985344019,-88.08456215050326,1
Yes,African American,Heterosexual,0.32002539138063724,D,B,C,117.45990004930462,-78.3806280936934,A,-64.92886947990021,98.2366255334473,1
No,African American,Other,116.22080215013469,B,A,D,-83.30078585793929,139.24661798833506,B,99.29939192928003,-99.22190393843017,0
Non-Veteran,Black,Homosexual,-34.51884404138706,A,A,A,53.00959535101853,24.989478595573615,A,94.91810313064633,-37.47715626443913,1
Veteran,Other,Homosexual,-197.72984906695808,C,E,E,13.490428405997443,200.8224879881078,C,-48.04188095221238,-83.23853645684109,1
Veteran,Asian,Heterosexual,-6.634341797597859,B,B,C,-74.57292228745253,-76.02961977673182,E,-88.17533482693634,-9.649696474759438,1
Veteran,White,Heterosexual,102.26527761833144,A,D,A,-144.3520840778332,87.09029761126413,E,-29.294117533827862,-55.800252724983224,1
Non-Veteran,African American,Homosexual,-63.67213125161513,D,D,D,-152.39054327414732,-5.5333865711063215,C,74.42961633509951,45.8784073450506,1
Yes,White,Bisexual,23.252857221743245,D,A,B,-7.831791289569819,33.190571707642555,D,9.096023380096344,-18.463513886775633,1
Veteran,Other,Other,147.24967111835326,E,A,C,-231.7521433047421,22.739093930377205,D,117.67511998901816,-119.35808493624901,0
No,Asian,Bisexual,168.91833300356714,A,C,B,31.650554534731352,27.531297794566733,A,47.984934949703266,98.98080009652257,0
Veteran,Hispanic,Heterosexual,26.519308372943357,E,A,C,81.55145784973034,-36.2554098256545,A,160.5200735111976,34.9574621175045,0
Veteran,Hispanic,Homosexual,84.98876291251644,D,D,A,-42.41545717839814,-46.52726089196551,A,28.327164946927493,-120.1811744769613,0
Yes,Black,Other,10.756838900690923,A,B,D,88.92276981212144,53.64842820300591,D,46.77043082131605,-20.0974152474259,0
Yes,Hispanic,Homosexual,-47.0499207433257,E,A,A,-75.62790584853227,228.1952936886949,A,-87.3672707547934,134.74853976237736,0
Veteran,African American,Heterosexual,-26.958721226936326,B,A,D,80.5312957735653,-179.26244781927124,A,-44.44855565784357,-95.57551387798586,1
Yes,Other,Homosexual,-79.80358219785543,D,B,E,35.83848497392883,-23.676877442703933,E,52.242237234456944,13.752986216476984,0
Veteran,Asian,Other,-15.15829820019341,A,A,C,-193.42066082766956,157.0316602060692,A,-55.92568538083865,-17.060826929667076,1
Non-Veteran,Hispanic,Heterosexual,-7.041279433336426,D,D,A,-116.16612621654437,100.4332207421001,E,156.8151430082907,-147.33816961268536,1
Non-Veteran,Other,Bisexual,21.25437878996171,D,B,B,-7.461692924914266,-6.8780169070268125,B,-133.05023922655937,-67.69182385224504,1
Non-Veteran,Hispanic,Other,2.588884189541673,E,C,B,131.01590226643867,60.7125904278836,D,86.56436805894587,96.7850005552298,1
Yes,African American,Heterosexual,108.23205997857914,D,A,C,-15.822507332046126,-20.21271544956626,C,55.18081472612539,112.80096236134416,0
No,White,Homosexual,-121.61420365182983,C,E,A,49.84923303970446,-51.3380189940804,E,46.56213118673136,97.0947653414463,1
Veteran,Black,Homosexual,-30.09163938852984,A,C,A,-68.75666355550777,68.89890752294711,B,69.88514181890159,-36.81453264084919,0
Veteran,Other,Bisexual,-15.79042810263278,E,E,B,49.20002197171342,-97.20368289872633,C,61.72917903403784,-162.18778671501912,0
No,Other,Heterosexual,94.41922945227428,B,E,E,61.16008015322488,5.112497047451483,A,40.949013876814696,-98.94202646683786,1
Non-Veteran,Other,Other,154.93712268741982,C,C,E,75.81570077016069,-81.18057031978093,D,21.650497185643445,100.0558597580004,0
Non-Veteran,Hispanic,Homosexual,78.70210513625449,A,D,C,-24.337222716384897,-24.173055469477795,C,-5.290441264128415,-111.58974483639889,0
Yes,White,Other,262.7343214917772,E,A,B,-14.268959727074144,35.600479823853895,C,-127.73009627103546,-50.82856520202752,1
Yes,Other,Heterosexual,-17.20257455168732,C,D,D,-81.21715645228392,66.19923668505197,B,9.665214343422651,25.649215224366067,1
Yes,African American,Other,-85.03469361865102,B,B,E,10.13892393973337,26.87268525995428,A,38.74375288770783,-65.12411305323327,0
Non-Veteran,Other,Other,-115.82271089960308,E,C,E,-69.39047646626574,0.9886723251951646,C,-81.13234044361548,20.997283637472385,0
Non-Veteran,African American,Other,-104.71481729084007,A,B,D,35.80759422030178,41.69162716961281,B,-13.635345757148217,23.978908340026468,0
Yes,White,Homosexual,-0.21399727365981738,A,B,A,-140.55658815842443,34.01566165054918,B,99.6981935897936,-83.26744044440963,1
Yes,Hispanic,Heterosexual,13.67765444426539,A,D,E,30.717006804677798,65.60230448342375,E,22.85297581583102,16.850096820468572,1
Yes,Asian,Homosexual,-143.59182771299487,D,B,B,-156.57263028357838,-65.71581419843456,E,9.329939330024533,60.283808149718574,1
No,Hispanic,Heterosexual,9.687541426751023,B,C,C,-17.260652053910945,-18.705790666295417,D,-138.52691234681046,-100.59505348659894,1
Yes,White,Homosexual,-15.47922798477012,A,A,E,5.1557030796806025,-16.206289757122107,E,1.8330317401377507,62.091977516647276,1
Non-Veteran,Other,Homosexual,100.13381919880051,B,E,E,35.823713246950526,103.10727754126276,C,77.070364165885,-8.741760102207204,1
Yes,White,Homosexual,17.899240353720796,D,E,B,78.26458877946226,-177.46457466197143,E,-203.53018218086856,123.9563575215738,1
Veteran,African American,Bisexual,-8.080804892220778,C,C,A,-89.03978314468979,-35.110846455682456,D,56.413226552123334,24.061873380437397,1
Non-Veteran,Hispanic,Homosexual,-23.002800022128167,E,A,D,14.417278248261688,-83.58949385678673,D,-105.69129117511382,96.05142703502013,1
Yes,Asian,Heterosexual,102.32035927740671,D,C,D,83.7104770698318,89.26085233520615,E,146.56067646677482,88.10828428805958,1
Yes,African American,Heterosexual,147.05554976028253,C,A,D,211.42445835736018,105.08940071939958,B,-102.1781570801685,-161.92121591331886,0
No,Hispanic,Homosexual,27.464940908155832,C,C,E,-242.23723212609875,-50.36111534184183,B,-61.714072477278435,-180.18970896205704,0
Veteran,Hispanic,Other,32.0714527686836,B,A,E,-154.30095206226449,-148.97516303806967,A,-81.92030226588524,3.427140069602756,1
No,Other,Homosexual,-87.51228710079903,A,A,A,45.3252794349557,-57.119022209695544,A,109.39469676454195,120.24629178517219,1
Veteran,Hispanic,Bisexual,-13.39624774949128,B,A,B,-280.34455425508065,-55.48150052070726,D,-176.7941782257888,-26.824154798411907,1
No,Black,Bisexual,118.00345667392111,E,A,C,45.33461963703109,23.8599300833766,E,-60.04182176813142,-40.175411315856444,0
Veteran,Black,Bisexual,-11.643611807208659,B,B,C,199.70742022957378,-257.21806760717254,D,-130.94032841820743,79.16325907032352,1
Non-Veteran,Asian,Bisexual,-48.06414797945512,E,B,C,53.04826662072561,108.76646762709565,D,40.36295607062225,-11.0212845001842,0
Veteran,African American,Bisexual,10.702855952986654,E,D,D,-109.57360059854562,-45.8390323588382,C,3.671704369731322,185.01731526517534,0
Non-Veteran,Hispanic,Heterosexual,99.30902466867322,C,B,E,63.277297337155225,108.37486549478467,C,129.53089916849888,1.650680970831783,0
No,White,Other,249.35335039304664,B,C,C,93.42460898547904,-51.18195371448147,E,75.12085049565123,-113.45600798665079,1
Non-Veteran,African American,Heterosexual,-9.326779389471609,D,C,E,132.46358445671015,17.67391829447313,C,-169.4557966621769,97.4093286142019,0
Yes,African American,Heterosexual,56.876526060651564,D,A,D,139.93400093150424,-50.70820700597891,E,-30.83668757918862,-50.85555283149416,0
Veteran,African American,Bisexual,18.17373094782893,A,B,B,51.47286036058871,149.84369875914354,E,-96.36817244784545,-25.231671960134822,0
No,Black,Heterosexual,118.54414194423344,A,C,C,-43.45475712639396,61.35413316124792,D,16.43390665042753,-95.08687867525929,0
Yes,African American,Other,66.60807451796906,B,B,B,-118.47669064283788,73.73840703925283,B,-47.25756633475028,20.603401565724823,1
No,Other,Homosexual,60.75072204200463,D,A,C,9.610701715078369,-19.69096914286956,A,-81.62120628520447,-101.4721910950431,1
Yes,White,Heterosexual,-177.97002216524643,D,B,C,133.03244792556526,105.49091448261218,D,31.86850220263756,36.05304985434638,0
Yes,Black,Heterosexual,112.96613934100212,C,E,A,-91.44171006615002,84.67160169595927,D,14.887495768559464,-142.87762613336938,0
No,Hispanic,Bisexual,-188.7159118790085,B,B,B,15.152144320276207,48.50735699870215,B,-149.33760932727478,-10.059950147317474,1
Non-Veteran,Other,Homosexual,-249.5256619879319,B,E,A,114.73033759067141,256.25219945869316,C,-4.115043852912261,41.18091256862028,1
Yes,Other,Other,-11.676249441982343,C,E,E,74.96506578130378,-123.85496675212767,B,29.801376546968367,44.05229133174203,1
No,African American,Bisexual,-19.180261281684814,D,E,D,-58.714640720513025,-26.851039405137517,A,192.76536810923625,-82.31624710506152,1
Veteran,African American,Homosexual,-6.355841308385596,B,A,E,-72.5094590544529,-16.63377104533196,D,117.46247877811471,36.20570427706669,0
Yes,Other,Homosexual,266.3597371814633,A,C,D,70.07947195176315,28.826533866739233,B,48.87390170522345,-135.98545892360818,1
No,Other,Homosexual,-10.232219562294492,B,B,B,108.87934507669463,-194.81629541448692,D,268.27837958056193,163.4748541629893,0
Non-Veteran,Hispanic,Heterosexual,-51.23783103821844,C,E,B,-65.42211713209127,-150.74089169209978,B,116.45655481040566,-2.516279768119973,0
Veteran,Black,Other,-87.43988901470499,A,D,E,-69.09515689596611,35.85500661399501,C,-150.57309980742204,48.89738245046969,0
No,African American,Bisexual,113.43438742056402,E,B,C,-104.77700149174667,-15.729677418380373,C,26.085062750626143,-52.87985463322207,0
Non-Veteran,Asian,Other,-56.63147905574161,D,B,E,-17.972830498177167,-224.30632580938519,B,231.91872782748626,-262.06572456046547,1
Non-Veteran,Asian,Homosexual,105.2806865867576,E,E,D,-195.05494235300603,90.35400978553211,E,-121.71310560400714,-32.00765798056894,1
Non-Veteran,Other,Other,-52.606191270370175,B,E,C,-17.679964828231366,50.65742775073073,C,-20.104307044089655,-103.47254610516976,1
No,Black,Bisexual,-105.52269073735559,E,C,B,-25.931267829416793,80.54611725903914,B,-189.6524604984535,-25.716549377784283,1
Non-Veteran,Hispanic,Bisexual,-110.36736238516896,A,B,E,148.2681792309032,-96.53155980449037,E,190.61916568013694,18.545602191157286,1
No,Asian,Homosexual,-18.08906556993033,B,D,C,-58.23423428569372,106.06565471352094,C,-43.10496148325109,-118.0573018105415,0
Non-Veteran,Black,Heterosexual,-117.9072241378325,E,A,C,90.33534893476586,-176.71991604426594,D,-94.3670037010031,107.70428085721929,0
Yes,Hispanic,Other,60.25227294642516,E,E,C,13.620000205371197,66.12656118548165,A,83.2918664728429,-123.73605246955708,1
Non-Veteran,Black,Homosexual,-3.984968357121812,D,A,C,0.6598647725544965,36.30622820385129,C,-4.664879983826835,-21.470002379306543,1
Non-Veteran,African American,Other,-53.194091182945726,B,D,D,185.54958878093834,-193.6245241619292,A,139.0519396236867,-30.388251906339146,0
Non-Veteran,Hispanic,Other,-65.09634487201578,A,C,A,-13.595431518320982,45.73907049043827,E,4.181740046121404,-127.76442918990458,1
Yes,African American,Homosexual,47.80958645111088,E,B,B,-156.81625483142258,-24.43635382796486,D,44.939049665029366,39.254360553383314,1
Yes,Black,Homosexual,-21.482637533906168,B,A,E,278.26683660744607,-266.68941682962844,C,-247.19894191493316,-151.05978818283893,1
No,White,Bisexual,-64.32700663153913,D,B,C,-32.83226376731211,-41.860230822866235,E,-92.1958078583311,-81.98072787765147,0
Yes,Black,Other,6.823549660571819,C,B,A,70.17156436939734,91.15367786163895,A,67.65423494610785,-18.25833803260346,1
No,Black,Bisexual,-8.973874778115503,C,C,C,36.91108474638868,-163.3579338067556,C,-225.34217948128563,174.496338097724,0
Yes,Asian,Other,-12.317517670656757,D,A,E,-40.92744451498513,-153.6348831025515,A,-297.2097326041883,-158.50445575361283,1
No,Other,Other,-19.733664930726064,D,B,A,4.904591634732902,10.571166946231601,A,145.94605185706135,22.253545178864993,0
No,White,Bisexual,-52.73642875272281,B,B,A,-11.535088790947858,157.73907591575156,A,-191.52817668475245,10.045963362518558,1
No,African American,Other,113.20584445631418,D,A,D,8.329188956320396,17.211762561723038,D,244.73643904749176,-22.399067992052,0
Veteran,Black,Bisexual,-101.59557029836625,E,E,D,-47.66397974655407,157.52300760969376,B,-87.86123329476668,68.97253545527934,1
Veteran,Hispanic,Bisexual,-18.279684974684155,D,D,C,172.83197527997288,-29.300508789141787,A,145.3925500624683,17.62572354863174,0
Veteran,Asian,Bisexual,57.448798115740644,B,A,D,-97.49887490320852,-140.12702250200303,B,-57.993373795460236,101.11252215926751,0
Veteran,White,Bisexual,-18.492613359922753,B,A,C,71.40337670730472,100.41858268572163,D,36.888970438487654,-110.81575380951357,0
No,Other,Bisexual,-129.39833484157109,B,E,E,171.52256915407324,-97.44093474260515,E,91.10712848754055,102.44764184872052,1
Veteran,Hispanic,Bisexual,-71.73471189470536,A,D,B,103.61691487582765,-80.7338722846162,E,32.69033951582423,-39.737357385531816,1
Non-Veteran,Asian,Heterosexual,-76.25085251667767,D,E,D,30.96048344341228,-19.526891476052707,C,5.457100341659621,-17.669347821216718,0
No,White,Other,45.95661453503895,E,C,A,-63.0341846715703,49.36532681430983,C,-67.30399086029986,79.67351927152352,0
No,African American,Homosexual,-16.915551053317746,B,A,D,118.80727917883792,140.78332574003852,D,198.74153848921955,-19.137994136691155,0
Yes,White,Homosexual,127.1692341216975,A,A,A,72.17780340739446,96.66950310397314,E,95.11070923232047,-140.33489305752764,0
Veteran,African American,Homosexual,36.71141004577312,E,A,A,-78.61082742521289,-263.69362226593677,C,-47.58076150788423,-72.4474562618455,1
Yes,Asian,Other,-8.034172648763303,A,D,D,-66.85865491036668,-41.712485036830834,E,-79.13676533278867,-148.33321915320403,1
Veteran,Asian,Bisexual,-168.9199950427297,B,B,B,46.66247866800071,-97.04766373439128,A,-276.83259053525916,294.56127751252035,0
Veteran,White,Other,20.16661574373069,B,E,C,-9.871800755934384,-44.972689788759844,B,191.24512906328334,114.33759824127372,1
Non-Veteran,White,Other,45.29525068114902,D,D,C,-181.8748299313005,-22.139644976478728,C,-60.53274709488454,-37.65876969198196,1
Veteran,Asian,Other,59.11431806936376,D,C,B,-49.76339156788871,17.16799709966775,E,85.13490066408379,225.42940854838545,0
Non-Veteran,Hispanic,Heterosexual,18.486469329527484,D,B,E,-122.39963552579314,50.54166207560519,E,145.9867364170919,-25.302783144102868,1
Veteran,Asian,Heterosexual,55.75928768439231,A,A,C,-12.07507326966759,47.946685714691526,A,-38.45812359400758,-7.24547849042127,1
Yes,African American,Homosexual,187.56384566555647,D,D,B,93.74340505034306,-74.74978987957034,D,-42.13545398785111,-77.74111950239411,0
Non-Veteran,White,Heterosexual,42.01073938842628,B,A,D,-18.145288204582652,-51.52639384883037,A,-8.646211542368784,-27.303712851791357,0
Yes,African American,Other,-19.776909407272726,A,A,A,238.89692957907602,58.89165578932953,D,-31.42341142090384,136.9275064767632,1
No,White,Heterosexual,41.31904266820941,A,A,B,92.28782402663775,-52.91878406790151,A,-54.295644448900795,-48.6076586711358,1
No,African American,Bisexual,-125.05773253420371,A,A,D,-170.31374838272006,-66.67696170870687,C,-80.01915864187252,374.5916228965457,0
