handicap,AGE,military,nationality,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
Mental,57,No,Germany,A,D,42.802439346243276,B,A,36.99212806425957,-8.830960561580012,114.74939150577148,D,A,0
Physical,91,No,Germany,B,B,40.310844237752406,C,C,-62.05917478154004,-295.16198522375413,13.79186526924612,D,E,1
Mental,93,No,UK,D,C,21.585785605776834,E,E,-9.809388266864596,-157.57522534370224,177.5996532597117,A,C,1
None,77,Non-Veteran,Germany,D,E,123.83948815373829,D,D,114.19743334809651,-7.654130536861143,-79.2696484612173,C,D,0
Both,96,Non-Veteran,China,E,E,97.32543299700042,D,B,-151.0459656675123,5.607590962910751,60.875623383261704,D,B,1
Mental,83,Veteran,India,B,C,106.15697335427703,C,D,-158.3705614469397,-100.56944973975229,-84.206666678136,B,C,0
Mental,57,No,US,B,C,-55.01081150508384,E,B,-0.5281889576934808,-95.15260976699732,-93.99377419472667,C,C,0
Mental,66,Non-Veteran,India,E,D,-110.56732254045534,D,D,125.45001956536998,58.83720495995867,-165.51433495122794,D,A,0
No,39,Yes,Germany,A,A,15.110972379509585,C,E,13.815150348270194,-183.1285003568065,-40.141047128168466,E,A,1
Physical,65,Non-Veteran,US,B,C,-54.97902176720347,E,C,-77.6045933649187,-9.78829778101655,-17.269881817231866,E,A,1
Yes,29,Non-Veteran,India,C,B,37.56169134492776,A,C,-46.002972342990454,32.52694016987663,-1.8401825666211367,C,A,0
Physical,22,No,Mexico,C,C,-106.01918178198213,B,D,-76.66670156710245,46.13744328156442,32.867451570114824,C,A,1
None,90,Yes,China,A,C,-21.2502008834562,A,B,-35.4822576009687,-187.267512776216,-4.021910928429307,C,B,1
None,52,No,Germany,C,D,91.87805451237725,C,A,146.30428105174656,106.04709734774201,-40.09770791546324,D,D,1
Mental,60,No,China,B,A,13.203038491074889,B,C,-138.35953600278384,-57.30438759113006,-34.66968672552318,E,B,1
Mental,32,Non-Veteran,China,E,B,-31.30687155378391,C,E,92.7106839748192,6.586360247590189,117.6890138451903,A,D,1
Mental,79,No,Brazil,D,D,-37.39168439405529,A,A,-169.56737668212557,-0.611555505777165,-87.83740180029449,A,C,1
Physical,92,Non-Veteran,UK,B,A,74.81694089473099,D,A,-32.676080291229795,-70.03799760560318,-19.040501314628678,D,B,0
Yes,36,Non-Veteran,US,E,C,169.92915922098314,C,D,128.07761092425469,115.92399459049744,38.424085669875055,B,C,0
Physical,36,No,Brazil,E,B,-10.759133676277072,E,B,-11.912684317341995,-20.317911146964274,44.045698983869016,C,A,1
Mental,78,Non-Veteran,China,D,B,-89.07421509226722,A,A,-136.34125310023623,139.25306526009123,155.65981349105212,C,A,1
None,31,No,Germany,E,A,-21.997428582507013,E,E,-75.30075364085911,-150.23929384436985,-70.6618870918809,A,E,1
Physical,53,No,US,B,E,-73.91103391431936,E,C,182.3465714259496,109.39240049805441,6.58565131423888,D,E,0
Both,32,Non-Veteran,Brazil,B,A,30.075748506763688,D,A,-42.533720270729155,54.587164335717695,3.404932986695213,E,C,1
None,30,Non-Veteran,Brazil,A,C,-76.91821676679005,A,C,-9.856843719195552,140.79755253829546,46.384251167102605,A,A,1
None,43,Veteran,India,D,C,-60.373661501537654,B,B,111.38182431450856,-92.15362458485194,141.88614140609505,D,B,1
Yes,27,Non-Veteran,Germany,E,B,48.33132366595787,A,A,45.71798858228441,-170.61607974405268,95.25447691550576,A,D,0
Physical,66,Non-Veteran,China,D,C,-62.81150173164962,A,C,-69.36171626878938,21.354996699479063,-223.29231839953653,E,D,1
None,88,Veteran,Mexico,E,E,45.409075986406656,D,E,153.67598946569197,-177.32215216395042,-34.26380233574098,C,D,0
Yes,86,Yes,Brazil,E,D,45.50201165992592,A,E,-82.34012962328221,38.98894157372394,-74.64156076788079,B,A,1
None,49,Veteran,Mexico,C,E,125.92712489219615,D,A,-93.43483476744969,-24.623179201252082,257.9139705667447,E,B,0
Both,33,Veteran,UK,A,B,45.14665539347466,D,E,11.093793455769216,32.42755955127846,21.72672343521058,A,C,0
Both,72,No,US,A,B,-63.37000637765614,D,A,72.29859649402076,48.9481374576576,44.04498430769239,A,A,1
Yes,95,Veteran,UK,D,A,-31.94346426035755,C,A,127.54897714821958,-167.8974543633466,-12.20158800166667,D,B,0
None,75,No,Germany,D,C,3.8140674084420714,A,E,-42.26884750425094,-12.67601930310955,68.43655768436237,A,C,0
No,42,Non-Veteran,US,C,D,74.02199077314783,A,E,184.28747821955596,60.75402110776802,-92.7995780863545,C,C,0
Physical,65,No,India,E,B,-130.57782437678776,C,A,-11.529829366582232,-119.24547630739247,246.82297250133715,B,B,0
Both,30,Yes,Mexico,D,E,30.20629896585571,A,B,68.80366124161853,-110.40057855098621,50.723197469164305,C,A,0
None,38,Veteran,UK,C,E,-180.53091896154214,D,E,-73.26865297829552,-31.976632814459,165.0867067456713,B,C,0
No,39,Non-Veteran,Mexico,D,C,-34.15321344903977,C,B,102.94069402354475,-77.03530072669803,-9.231322720312022,C,C,1
Physical,76,Veteran,India,E,D,-209.41909181615608,D,A,-44.745737692577656,-16.113781264974374,-171.78069887469164,D,C,1
No,94,Non-Veteran,Mexico,B,C,-57.389303739994425,D,E,-6.4821414485605855,63.983257698238816,-47.513519226613006,A,D,1
Both,31,No,US,C,B,-60.71413994128269,E,B,-1.6640522933407331,-34.59180084617721,-83.67447993382432,C,D,0
Yes,63,Non-Veteran,Mexico,A,D,138.49541876713863,B,A,51.35362699303434,-30.343557740433052,-40.064187306693476,C,E,0
Mental,23,Yes,China,C,B,280.7350838070323,D,E,-152.17188164145733,-67.82843309092637,-119.4322645109412,D,E,1
No,32,Veteran,US,C,B,102.10419697497233,C,A,32.617139362972985,-98.32249397026844,-64.16009184342992,D,D,0
Both,91,Veteran,Other,C,A,33.95868580157452,A,C,-191.56371870062785,-125.93602283099825,-100.5675046114328,B,D,0
Mental,95,Yes,Brazil,A,A,57.56482265590886,B,A,18.214819779542456,-134.3372140114571,56.02945786511664,C,E,0
Both,54,Non-Veteran,Other,B,E,-8.581183846545903,D,A,82.28047219230933,22.433883740707575,-28.494848327802952,D,C,1
Yes,90,Non-Veteran,Brazil,A,B,76.02259687514238,D,E,164.78297286861343,-72.62759757545865,202.26854179054575,B,B,0
None,99,Yes,US,D,A,19.6743367488247,A,D,-114.59962357530986,-4.623582663408239,311.0616339790574,D,B,0
Physical,57,Veteran,Other,B,E,-58.64252895278167,C,B,-42.92915236549216,136.72799984021535,-64.66993559965985,E,C,0
None,73,Veteran,UK,D,E,96.69332394949348,B,D,-55.11774668600968,74.37213722675875,254.24754297901205,C,C,1
None,31,Yes,UK,B,D,-104.58263220369047,B,B,16.445586963784724,55.371593809770694,59.53521836225105,C,C,1
Physical,34,No,India,C,D,-13.476843772855021,E,B,-191.2711579794665,-150.6826566191455,65.14375606680179,A,B,0
Mental,18,Non-Veteran,US,D,C,152.68121987514385,A,B,31.41222418567572,-42.54193512718444,-60.18573987133503,C,D,0
Yes,98,Veteran,Germany,C,B,143.0136638750405,A,B,85.33799466159718,-171.98853005023014,-39.47118205033061,D,E,1
Yes,68,Yes,Brazil,A,B,-48.24462384380128,D,A,-56.267081855717585,-170.8595848702695,-29.328545326726207,D,B,1
Physical,68,No,US,E,D,-87.39362496561003,C,E,-137.25457788108838,-25.87190908076779,182.45430249041183,E,A,0
Physical,64,Non-Veteran,Germany,C,A,-146.11709933286193,E,A,-186.04884345985354,-40.02300003015586,-26.840984053290658,B,E,0
None,49,Veteran,Brazil,E,B,-99.41182695520132,C,A,36.42421199725504,159.1963727300829,-31.093251555569363,B,A,1
No,82,Non-Veteran,US,E,A,-15.850181571751094,C,B,30.373340013137906,-3.880162589151209,-174.44746219157767,E,C,0
None,93,Yes,China,E,D,14.595512967598681,E,B,-64.6205485522939,-118.71277255093521,76.2217136863877,D,B,0
Yes,72,Yes,India,E,D,-75.21381565617581,B,C,-11.367888814859242,2.9141253975334225,93.91625944326874,A,D,0
None,29,Veteran,India,A,D,205.43371788965777,C,D,-70.10236600205985,131.49791077797013,-7.515588415065687,C,C,1
Mental,99,Yes,Other,A,B,-170.89173304295684,C,E,218.94697878743506,-64.52734440591767,-55.643898472802455,A,B,1
Mental,37,Non-Veteran,UK,B,E,25.619538318268958,D,C,111.72274680248657,-32.47754236019,1.7117153689321416,A,D,0
Physical,56,Yes,UK,E,D,-34.64924404079496,D,D,-85.44717017519751,-175.43956666268627,-37.6076773577281,C,B,0
No,52,No,US,B,A,-127.56548611198899,E,A,52.4203010587368,120.5478318624187,191.4882623423586,D,D,0
Mental,53,No,US,D,D,-152.3765853435212,E,C,3.6036391110541364,-146.4202236669055,129.34798382713,C,B,0
Yes,35,Non-Veteran,Brazil,A,A,0.28108694229569836,B,E,-65.0613606280356,33.684816069243766,113.44346668016266,D,A,1
None,37,Yes,China,C,A,-40.586654091650914,C,C,-226.5157215875496,118.12573071727957,98.82101857994847,B,D,1
Yes,51,Yes,Brazil,B,C,16.975163139995992,C,E,20.472322346945244,39.240019143307784,8.423352693321897,D,C,1
Yes,59,No,Brazil,C,C,19.63713061176494,E,D,-134.1395055092266,-260.5046276810381,87.38249592252517,A,E,1
No,95,Non-Veteran,Germany,A,E,121.17357516469316,E,E,112.77927858090342,-50.271853911538024,125.01903980663158,C,E,1
Physical,54,No,Brazil,C,B,-116.688976921248,B,C,72.22863271484346,-77.66586587546418,17.648941213619203,A,B,0
Both,33,Yes,UK,A,E,164.0514806297897,B,B,35.53072963306925,-19.32913236476873,-93.86767746452173,B,D,1
Yes,28,Veteran,China,E,C,79.11346177870759,E,A,-86.8777525336252,-90.0378864640679,7.0101887615396015,E,B,0
Both,59,Non-Veteran,China,D,C,142.30274651177479,E,A,102.50121702165269,-59.34393614266171,42.03861019791872,C,A,0
Mental,70,Yes,UK,E,E,-119.0455244000568,C,E,-101.42598991828096,114.18616584034338,-53.54827590888931,A,C,0
Physical,87,Veteran,Brazil,B,C,35.46530253270106,B,D,-2.3631606217596595,99.65791405966239,-55.64037603827753,B,E,1
Physical,72,Non-Veteran,Brazil,C,C,134.29584416835888,E,D,10.720775574913102,185.91929231065055,37.784054562581765,E,E,0
None,56,No,Brazil,A,D,-124.58694869681106,D,D,105.64827934950142,-240.59945449237267,-14.169001713498824,A,C,0
Yes,61,Veteran,Brazil,A,A,-6.211040650045407,B,A,46.04341426817431,-8.963865900554985,59.38361511956395,D,E,0
Both,48,Veteran,Brazil,A,A,99.459644516711,C,E,77.38001222438321,33.74910647098538,-144.65019191587052,A,D,0
Mental,76,Non-Veteran,Germany,B,D,-96.44139711858713,A,B,-51.91559637328626,-19.870582950679093,130.26220203457152,C,A,0
Physical,92,No,UK,D,C,-205.09141986972153,C,D,-26.610107121516315,31.853475422623855,-39.12483479378719,B,E,1
No,39,Veteran,Mexico,C,A,4.411431488474172,C,A,67.1233822344251,36.72201922549887,34.66688891842879,E,C,0
No,33,No,China,D,B,18.491077048995884,A,C,-243.67070077747988,80.3820581078637,-33.23071895973996,D,B,1
Physical,19,Yes,China,A,B,33.21634769783085,E,E,-23.090052676907096,-39.363576090855865,-93.07263337040185,D,A,1
Mental,65,Veteran,Mexico,B,E,-46.773183455383794,C,A,-112.57640889047693,-89.52861381073693,-60.612903404989396,D,B,1
Physical,21,Yes,US,B,B,-157.54035990520146,C,C,-156.46892894555876,-37.19697894798744,-80.01352282106666,D,B,1
Physical,49,No,Brazil,B,E,38.08518572000787,A,E,41.601676844471086,43.202569130916416,-61.99536370160439,B,E,1
Both,32,No,India,C,E,3.59069604627656,B,B,62.26947507324335,-43.30438005047872,258.2082381018319,A,C,0
Physical,19,Non-Veteran,Mexico,C,B,-30.815808910631127,A,E,-140.55331194275846,-135.23804929387083,-37.67180340790706,A,C,1
Mental,70,Non-Veteran,China,C,C,60.88993389426985,D,D,120.32581412028256,-123.88155227601756,85.73522262157374,D,C,0
Both,83,No,Germany,D,C,-61.17392797208072,D,D,-7.7728183270855205,-96.339609928267,-4.062716048680399,A,A,1
No,30,Veteran,UK,A,E,127.63662118362917,C,C,-104.43241957397677,-140.24209916378098,-67.27973413525487,E,B,1
Physical,55,Veteran,Mexico,E,D,46.934983899999125,B,D,-6.768094424644253,-142.3354968692134,37.53882669185748,C,C,1
Mental,61,No,US,B,A,-18.255116151997942,E,E,-16.151063501971443,-165.0900259141226,76.9354812537334,D,C,1
Yes,62,No,China,E,D,42.62862983306868,E,C,125.6940106414039,84.5446681596586,11.815557264034954,E,D,1
Both,66,Veteran,India,C,E,-75.53247244490278,C,D,258.59268082739595,-44.60153017192516,-20.536034606750906,E,C,0
Physical,41,Yes,India,C,C,53.00535093662515,B,E,201.9242521553954,197.30289107634775,-253.30239642415776,C,D,1
Yes,45,Veteran,India,C,B,-63.16790868791464,E,D,-138.26602584891418,-0.002893948898382163,-229.3140482531025,A,D,0
Both,85,Veteran,UK,A,A,-163.13825794762963,C,E,-36.10289393391141,72.97515758784284,-63.507866935709934,B,D,0
Both,57,Non-Veteran,UK,E,C,-87.86039289957448,D,A,139.19526190526614,161.6069008955924,-91.54929510928474,D,A,1
Physical,62,Yes,Mexico,B,C,13.476564174142691,B,C,169.78713023243458,99.42511205733993,-64.41783503327173,B,C,0
Mental,30,Non-Veteran,Brazil,B,E,-160.41891538350842,A,C,-106.24683131544388,152.89592373144188,141.42888088002948,B,E,1
Physical,58,Yes,Mexico,A,C,56.45902329512362,B,A,1.54249880990567,12.8533295630296,8.543851085431484,A,D,1
None,78,Yes,Mexico,A,A,-7.837014200033219,D,E,95.22209216916387,-110.7185372695535,-67.56851936259991,D,B,1
Both,58,Non-Veteran,US,C,A,-109.90365892197515,E,E,-4.167145091174182,-6.070790651261074,130.25475531777218,D,A,1
Mental,33,No,China,C,B,-2.027516804368228,C,B,-156.10885484163376,96.65323956685857,-162.7406120112502,D,C,0
Mental,34,Yes,India,A,E,-13.367251556045945,B,D,-61.21888549562998,-47.08409175682803,83.89258953513121,E,D,0
No,33,Yes,Mexico,A,E,-41.1303487700339,E,E,42.092070677222786,-136.54580201337552,9.323123660804491,D,C,0
None,23,Veteran,Brazil,C,B,81.35226580726282,C,B,4.390365460648784,-81.02419369003516,74.57219533294773,B,A,1
No,47,Yes,Germany,D,E,-148.92478304763307,E,D,2.199207703078547,103.59555835266451,-89.44013670417564,A,C,1
None,46,Yes,India,D,D,34.91352580332372,C,C,-55.95609968596693,19.321374975464856,114.41422443357312,C,B,0
None,28,No,China,B,E,-65.92782528501415,C,A,-19.72910502926379,127.80748278776433,35.56022874149132,E,A,1
None,42,Yes,Other,C,A,-107.19867022930269,E,E,67.68536328900203,-260.7353984744133,-99.45588602388102,E,E,0
No,55,No,China,D,D,22.499167041720373,C,A,18.776257248104393,-45.36278193724865,-32.94668823805037,B,D,0
Both,37,No,China,D,B,84.31773248105094,C,C,-23.144813894619528,77.80474076944778,-21.148174609460803,B,E,0
Mental,32,Yes,Other,E,B,-113.10398839715683,B,C,-28.15926944607198,126.74355331399143,-139.30970345770731,E,D,0
Both,40,Yes,India,C,D,-86.08360058054336,A,E,92.08319700756128,9.736824893382801,-27.200115585940665,C,A,1
Mental,66,Yes,Other,E,C,167.7129660109435,E,C,95.7389023710774,-7.423491745423946,-10.96430958781177,D,E,0
Yes,72,Veteran,US,B,D,154.7824429285344,C,C,-55.756146297695054,21.97116932580879,-31.992268955018776,D,D,0
No,24,No,US,C,B,-8.879083780078934,E,A,-143.98233122113885,36.895261681241344,118.4665916662605,D,E,0
No,27,Non-Veteran,Other,E,D,-26.910803811550267,C,B,-98.98812073221904,-5.104126063982337,50.775347320569395,D,B,0
Both,69,Yes,Mexico,E,D,35.9258477393956,E,D,126.42719833896238,10.821308390684095,54.60870372951031,D,E,0
No,93,Non-Veteran,UK,E,C,80.48996175042693,D,D,49.86580505068207,192.16658721321087,-23.12305554208073,B,B,1
Physical,79,No,Mexico,E,B,120.5861318534069,A,A,96.16243397759249,4.119899314689977,-54.44857843629928,B,A,1
Both,35,Yes,Mexico,B,D,-62.1597374645648,E,E,136.9553285989197,166.61674662942988,-25.22253677537153,A,C,1
No,47,No,Germany,B,E,-8.736268403472849,C,C,-108.43209996501963,-10.262893337870748,140.8381320400848,C,A,0
None,62,Yes,Brazil,C,B,36.65661309173217,C,E,-123.76947110125178,101.94473985811425,-3.5768319088846243,D,D,1
Physical,85,Non-Veteran,Brazil,E,D,-23.44786426563656,A,D,79.1243457144574,-52.183822571938634,34.477623847900546,C,B,1
None,69,Non-Veteran,China,B,B,-75.33506125967627,B,E,-39.35401745446778,-58.28552765673055,-153.92814742967605,A,D,1
No,58,Veteran,Germany,E,B,87.45826180840191,B,D,115.25361532360736,52.132106315852376,7.1715587075124185,B,B,1
No,39,No,UK,C,D,32.940925851268204,A,D,38.59198672167993,-236.11495928212952,-157.34740710850127,E,A,0
Physical,69,No,India,E,E,-76.51523696207406,C,C,-55.759752948526575,-90.3472227880829,24.759630045620455,C,D,1
Both,37,Veteran,Other,E,C,29.061925411979576,A,C,18.180473197661644,-146.50666799359917,-236.58273531409023,E,E,0
Both,37,Veteran,Other,C,E,11.347368221703467,B,B,38.9305553508221,82.65243057703631,133.49095320995778,C,E,1
None,27,Veteran,Other,E,E,-120.00435233882705,C,D,-104.23457226600716,-118.06700318600689,23.996871566693088,D,A,1
None,64,Yes,Brazil,B,B,-94.08775229115875,E,D,41.52831514956784,19.242653568805874,-102.73164549722169,C,A,0
None,68,Veteran,UK,A,D,-136.66353380569691,B,D,68.40167481902168,7.415653940508357,-92.54859428162122,E,C,1
None,24,Yes,China,D,E,23.582451362696716,D,E,55.96340262223789,-91.66143310236396,-272.99404302075055,B,D,0
Physical,39,Yes,India,A,D,132.37894240603697,A,C,-20.221189410267417,158.27732074505624,62.2015539314269,D,D,1
Physical,48,Yes,China,D,E,-51.94330161278353,A,A,79.57559420304425,-159.8007679868286,71.79647206948668,E,C,1
No,99,Yes,US,A,B,-156.1716826676148,E,E,-140.57967699795753,-31.069927094426554,-15.265267339183655,C,D,0
Yes,90,No,Germany,C,D,-55.03610007660343,A,B,36.49857300753631,-76.0331129804931,99.26415567927376,B,E,1
Both,96,Non-Veteran,US,A,C,-49.65408695786433,D,E,-69.37407381085976,14.195515183402973,-100.82365403087744,B,E,0
No,42,Veteran,Other,A,C,-60.01173980355555,B,C,-103.01970060728894,35.595754101501335,164.6566125731575,C,D,0
Physical,92,Yes,India,B,C,85.84784980167403,A,E,23.50527985374701,-228.30833198016367,-75.78131935669154,E,D,0
Mental,46,Veteran,India,E,D,5.965140940331713,B,C,60.16021528996139,183.0787112644029,-75.98675479657298,E,D,1
Both,20,Yes,US,E,A,-202.86477345325426,C,E,-132.1400780933162,-261.2538241090138,-135.28924141499377,A,D,1
Mental,80,Veteran,US,D,C,-234.21626220020624,C,B,-168.84257562201185,151.92017673143766,43.13386941936627,C,B,0
No,32,No,US,B,C,62.389934014296145,B,E,72.70766519780757,58.550791026544424,63.97370867979005,C,E,0
None,70,Yes,Mexico,A,E,-179.08851076280453,A,E,64.13665129446144,-4.621907749539974,-51.54422896470637,C,E,0
None,99,Yes,Germany,D,A,-130.4015462662505,C,C,-23.53728753783348,94.90554922782842,-45.552516160450025,C,E,0
None,82,Non-Veteran,US,B,A,5.577001819070867,C,D,-5.121740381178464,-73.29234046786456,209.95929404828445,C,A,0
None,22,Non-Veteran,Other,B,C,-96.47768965395409,B,E,-50.579455716013655,-65.756316049252,113.15904302400814,C,D,1
None,63,Yes,UK,E,B,40.887602341690524,D,C,-32.10163809133933,56.035891182364765,-108.06718350338554,B,D,0
No,29,Veteran,China,C,B,58.71539095965448,A,A,-124.60880531919878,-112.43475733677695,76.94353556944478,D,D,0
None,98,Veteran,Mexico,E,A,124.76681480193017,D,B,23.534795036102878,165.98035482508504,110.70139500771793,A,C,0
Physical,80,Veteran,India,E,E,-53.816221432656405,A,E,-159.05901380328623,125.53713300771628,-50.72792973045706,A,D,1
Both,29,Yes,US,C,D,-103.78359703774613,B,B,112.57203154215803,-130.46971367513672,-134.4206780007751,B,C,1
Physical,50,Veteran,Brazil,E,E,-157.6009739850868,E,D,-7.018867284502998,-84.377788570024,-84.09089105856508,B,B,1
Physical,51,Veteran,China,C,B,120.71853753406998,C,E,-173.77532487845727,-71.4875158358875,3.962191262452757,A,D,1
Both,66,No,Mexico,A,C,-70.55352504917946,B,C,-52.572205499672066,-61.14657641522299,227.48503113445588,B,D,1
Mental,97,Non-Veteran,US,C,A,109.14114790590959,A,B,-218.80450313788012,-322.6062404007104,159.86871126599402,D,A,0
None,76,No,Germany,E,A,2.085923264247019,C,C,230.60788383761027,-21.28058707479006,149.12041384485664,B,A,0
No,79,No,India,B,B,17.688799152193123,B,A,-144.29605165161138,5.270310996448795,54.17981599124657,E,B,1
Both,55,Yes,Brazil,C,D,107.12112324749566,B,C,-2.9411263307203597,-43.51734351428422,-211.90854090672565,A,E,1
Physical,94,No,US,B,C,-185.9859874678276,E,E,5.748973181273321,156.48275450713678,18.947235745432266,E,E,0
None,90,Veteran,China,A,C,-54.76817042706822,B,C,130.4175228408467,-158.39391547972383,7.621520958080278,B,E,0
Yes,77,No,China,C,B,149.63311830206578,C,A,-50.14257379228879,-84.70552937387866,0.07156810981329641,B,B,0
None,35,Non-Veteran,China,B,D,-91.09580331397417,D,B,109.85631810515395,120.43823108907709,-229.18656676676287,C,C,1
No,92,No,India,E,E,-16.996084922861886,E,D,-15.423137305143767,-64.44604028803089,-163.34549388465274,E,B,1
None,37,No,Mexico,E,A,101.90885575765485,E,C,59.62481589480038,109.04931699098277,94.44838617141491,E,D,0
Yes,92,Non-Veteran,Other,A,D,-45.99357517552517,C,A,-14.691499987384535,-118.11241125522368,242.6440722857291,C,C,0
Physical,89,No,US,C,A,-62.84585181353993,B,B,-176.26510017347167,-148.93805419259368,42.94415491016031,B,E,0
No,69,Veteran,Germany,A,C,56.561325170472955,C,E,18.404108299893316,-139.53181166228876,-95.87672211199275,D,B,1
Mental,87,Non-Veteran,US,D,E,3.0302238015401066,E,C,-49.88847879118769,124.82412099528008,-94.03037511296785,B,E,0
None,58,Veteran,China,A,C,-126.86569701692135,D,E,100.46612813940672,127.6599661319306,146.65256621851478,C,C,1
Yes,99,Veteran,Mexico,E,C,37.757876352373025,A,E,12.263875749363379,-79.07957600586852,-58.618198336831554,B,B,0
No,46,No,UK,C,A,102.5409060721957,E,E,163.56404803611795,-58.59618641729701,7.400900371761142,C,D,0
No,80,Yes,Germany,D,B,-33.23973084812189,B,C,208.80127626193737,-49.668029333803524,-159.13146959132217,C,E,1
None,38,Veteran,China,C,B,-79.4338938110971,D,A,0.36806762283289246,-51.79734569116163,-76.68711742967183,A,C,0
None,19,Non-Veteran,China,D,C,-36.299476078417406,B,D,139.66441382711426,43.34299160208832,27.03568073642577,B,D,1
Yes,20,Yes,Other,B,D,248.22246332580863,E,C,-3.448103477353569,31.39329953180082,4.70625846948187,C,E,1
No,67,Non-Veteran,India,C,A,25.67027340616992,E,C,-24.02599565143921,14.997677166396542,157.59841808120078,C,B,1
Both,79,Yes,UK,D,B,159.62515837367317,D,E,105.26479791730591,-127.01718322447553,-20.379190717837265,A,A,0
None,79,Yes,Brazil,D,E,44.316121444595716,E,A,62.069060053829915,-25.880109289320348,-37.42944055250055,E,C,0
Mental,69,No,Germany,C,C,-135.78892959198325,D,B,89.00722094228495,165.40072382314744,111.27048762346227,B,D,0
Physical,43,Veteran,Germany,E,D,-70.9503071211799,C,C,-80.1126046367435,20.96244044300536,57.172336210514466,D,A,1
Mental,49,Veteran,India,B,E,-29.863437177945446,B,A,61.34152590364131,-87.78795425248879,-155.351197841152,E,D,0
Both,76,Veteran,Brazil,D,B,-54.903400889302766,C,C,-154.40492593586518,-31.30183937030175,12.346844375719227,E,D,1
None,79,No,Brazil,A,A,97.29771255184941,A,B,-59.55176590521158,38.62576491594923,46.8758352557488,D,D,1
None,52,Veteran,China,C,D,201.0243902298431,A,D,-33.28870723117987,202.87763493576801,14.689067782969017,E,B,0
None,92,Veteran,US,B,B,-64.4556701210994,E,D,-65.10818275980009,-125.8332154365687,-97.29123592804115,B,B,1
Both,30,No,US,C,E,59.81184144887045,E,B,-43.984903807340494,146.58429165872147,205.94215916531576,E,C,1
Yes,47,Veteran,China,E,D,114.41769074442188,D,A,-17.735800198311757,-174.4177900789646,138.3419133501621,D,D,1
Mental,47,Non-Veteran,Mexico,D,A,45.510239636090056,B,D,-28.10680368216008,-57.551775420877945,125.23032946498327,C,B,1
Physical,48,Non-Veteran,US,C,A,-234.67790056627126,D,C,263.0315620624934,103.52542845831624,203.83095250635276,E,E,0
Both,73,Veteran,Other,A,C,193.6114895855661,C,E,107.07718287700769,-114.56197298689818,3.711360839716992,A,A,0
Mental,49,Yes,Mexico,E,E,-220.02112269782054,B,D,-36.602704977969516,-40.470777664643926,89.1131039439701,A,E,1
Both,96,No,India,A,A,-12.42566996202348,C,A,110.77474878548497,-72.72693395699928,-183.45072307445716,B,A,1
Physical,33,Non-Veteran,India,C,C,103.10033787219982,B,E,130.0326782725435,188.4634650255253,99.40476777749822,A,E,1
None,90,Veteran,India,E,A,45.153326420205566,B,A,-93.47766617819632,-47.35994673333885,93.19983606006544,D,D,0
No,54,Veteran,UK,D,E,-30.378706212633055,A,A,52.97707783526011,30.677397916213216,-150.9413112894717,B,B,0
None,34,Yes,Germany,C,C,-67.17063463106633,E,E,-16.526998885361643,66.4851188680384,-51.17428123768061,B,D,0
None,95,Veteran,India,A,E,-80.53901145032005,E,C,-44.417471561589814,164.45721762668447,56.30184354984085,D,E,0
None,74,Veteran,India,A,D,56.71134578691549,A,B,-147.33764954109253,-95.9703329009431,96.05692656025418,B,A,0
Mental,46,Non-Veteran,Mexico,E,D,21.350629597632537,C,C,107.54513671404713,-85.01920447062714,-161.33178416499024,A,C,1
Mental,89,No,Germany,D,C,149.553405896364,E,A,-15.18098846275289,132.9271116016532,22.1847114387375,C,D,0
Physical,56,Non-Veteran,Brazil,C,B,-23.372006673662142,B,B,-21.503464372838778,-151.98956431847793,-73.19965322233755,A,C,1
None,94,Veteran,China,A,C,-225.406705452042,B,B,-337.41453674390846,-129.40013329357924,102.3784702017317,C,B,0
Physical,89,Non-Veteran,US,E,A,-94.41484142842042,A,A,78.38350150739181,96.94774771015804,-34.07580519205805,D,D,0
Mental,72,Yes,Brazil,A,D,51.66604214573242,E,E,-47.95014017744881,21.300901512692132,-28.61695741812969,A,E,1
No,97,Veteran,China,B,A,147.86352538913536,E,C,37.27310720144686,-146.6173134765695,101.14066195277962,E,C,0
Physical,48,No,China,C,A,-92.0032423714217,D,D,103.62095795698988,-108.0225393515037,26.10605774471336,E,D,1
Yes,68,Yes,Germany,A,B,-89.49777374344849,A,D,51.396944763638906,-72.95983827539985,207.37508560288802,E,B,1
Both,26,Non-Veteran,China,D,C,-47.842819571915534,A,E,37.47306394772945,-135.95883320981594,139.650394661366,D,E,0
Mental,19,Veteran,Germany,E,D,202.7778464391096,E,B,92.73034113915148,-77.02254836100988,89.25235724375078,B,E,0
Both,51,Veteran,US,C,D,35.85681323497803,A,D,71.93634589264776,31.292486260464457,-78.44690689776114,B,E,0
Both,59,No,Mexico,A,C,-38.91139453099121,B,A,133.8347194702328,-191.3231552897218,-299.32099335132153,D,D,1
None,25,No,Mexico,D,D,100.42666300593032,A,C,-2.005612132695559,150.06146388736653,10.646561721825904,E,C,0
No,77,No,Other,A,D,-34.31957708630078,A,E,79.22065601570625,16.17527034722867,-32.63684372497168,D,C,0
None,63,No,India,E,C,22.606171666480293,A,C,45.957351128509075,-180.81505008864613,-45.086272863116065,A,A,1
No,37,Yes,UK,B,E,185.80603947270694,A,D,47.36133876090585,8.544140595324249,0.662141384103313,C,C,1
