ethnicity,SEX,age_range,religion,feature_0,feature_1,feature_2,feature_3,feature_4,target
Other,Non-binary,51-65,Hindu,145.01987297703195,82.80441164723617,B,C,C,0
Other,Non-binary,36-50,Muslim,8.379858530049725,42.450689413791224,D,E,B,1
Hispanic,Non-binary,65+,Muslim,-104.26646349505234,22.961556092141112,D,E,C,0
White,Non-binary,36-50,Other,167.1194950364606,15.552152789588103,D,D,B,1
Asian,Female,36-50,Other,-101.5293630029191,-171.53029806406812,E,A,B,1
African American,Other,36-50,Other,-40.448426084505904,48.57630130574625,C,A,A,0
Hispanic,Non-binary,36-50,Hindu,-208.9595307661317,92.9677833286735,C,D,E,0
White,M,18-25,Hindu,-86.92846766617622,316.19873324040657,E,C,A,1
Other,Non-binary,26-35,None,-2.5777322277967283,-41.12982895876945,D,C,E,0
Other,F,51-65,Buddhist,68.30841693185819,-6.548581507359058,E,B,C,0
Hispanic,Female,51-65,Hindu,-173.56042987945196,164.19872357742165,C,B,E,1
Hispanic,Female,36-50,Christian,19.498777142958794,-31.18742599596943,B,B,E,1
White,F,26-35,None,-99.7084806201608,-46.88085040658584,B,A,A,0
Asian,Female,26-35,Muslim,-53.341893113946206,131.25277721888045,E,B,D,0
Black,Other,51-65,Buddhist,50.481632391129,18.4479385848878,C,A,B,1
Other,Male,36-50,Jewish,60.22169759728149,-74.37200533598109,D,A,A,0
White,M,26-35,Buddhist,92.1145422016383,-177.52455400458345,B,E,B,1
Black,F,65+,None,-60.013218586869876,5.446018622953185,B,E,D,1
Asian,Female,65+,None,-67.58615261870867,99.47345945907543,A,E,E,0
Hispanic,Male,51-65,Christian,106.78246975996726,34.19587973805921,A,D,A,1
Other,Male,18-25,Muslim,-26.4783927384805,192.12216667306046,C,A,B,1
African American,Male,36-50,Hindu,13.410729016111217,-45.972720525913225,D,D,B,0
Asian,Other,18-25,Buddhist,-182.2295960743981,-17.03232501302924,C,A,B,1
Black,Non-binary,18-25,Muslim,19.144365468959222,-7.78827508701333,D,E,D,0
African American,M,51-65,Muslim,160.7379868371696,-10.924568306985485,D,C,E,1
African American,Non-binary,26-35,Muslim,117.76165805101357,-200.72164863458138,D,E,B,1
African American,Male,65+,Other,-1.1994049743187936,19.138566624638916,A,A,B,0
African American,F,36-50,Hindu,-120.29862797843475,21.935183187248683,A,C,D,1
Asian,Male,18-25,Muslim,-23.793718591764165,-13.955579440324009,A,D,A,0
Black,Non-binary,65+,Other,-108.65675821113439,-169.29108357238653,B,E,D,0
Other,M,18-25,Other,138.75012927717188,111.14639250779162,D,C,E,0
Hispanic,Male,26-35,Other,-101.8451371556252,146.8506888235853,D,A,B,0
Black,Non-binary,36-50,Christian,-165.1233827322015,105.81607813677185,C,C,E,0
African American,M,26-35,Hindu,-20.140272161295915,-83.36601305481925,E,E,E,1
Other,Female,51-65,Christian,-1.4481202396425064,-57.75472233153343,E,E,B,1
African American,Male,65+,Muslim,76.56010657554677,19.310792647700737,D,D,A,0
White,Female,18-25,Muslim,-145.04691225127334,1.8770505405132116,C,E,B,0
African American,M,18-25,Hindu,-74.07399848637975,-14.522208855939652,E,B,E,1
White,M,51-65,Jewish,50.34858266866203,-242.54245542619373,B,B,E,1
Asian,M,65+,Other,82.16536579507172,-12.12300799443048,C,C,A,1
African American,Other,26-35,Buddhist,-78.94972031337349,-5.617737636734877,E,C,C,1
Asian,Female,36-50,Hindu,-121.88404335232693,24.041024512328217,C,D,C,1
White,Other,51-65,Muslim,-21.305002496079283,154.45149430983895,C,E,B,0
African American,Other,26-35,Other,-105.8094081008649,-61.87678427837472,D,C,A,1
White,Other,26-35,Buddhist,79.95414154892882,43.59798503945424,B,C,B,1
Black,Other,36-50,Other,65.32590000523291,-82.76450936350575,D,C,A,0
Asian,Male,26-35,None,99.78814772005894,-25.651998051735948,C,D,A,1
Black,Other,18-25,Buddhist,-109.16175559982528,26.865079163795542,A,B,D,0
White,Other,18-25,Muslim,7.488316673288496,-121.85826344709739,D,A,B,0
African American,F,51-65,Christian,-128.49126297092545,-74.05554713208682,C,A,B,1
Asian,M,18-25,Buddhist,-77.05996174488459,-9.843722381428112,C,E,C,1
Other,F,36-50,Other,-60.01336362175034,-76.21793320653018,E,B,A,1
Black,Male,65+,Other,-31.308266094792614,-6.436539208221043,D,C,C,1
Black,Female,26-35,Hindu,81.1114140504262,13.476808123273912,D,B,B,1
Hispanic,Female,18-25,Other,-101.30685814787029,29.635149233264883,B,A,C,1
Hispanic,F,51-65,Jewish,-39.64585848297392,-26.721015445541283,D,C,E,1
Other,M,18-25,Jewish,-58.48409579132073,-73.85680986732584,D,C,D,1
Asian,Male,26-35,None,186.98168533690384,101.77007708515605,E,D,D,1
African American,F,65+,Muslim,37.6027080926167,10.046925411542041,A,B,D,1
Asian,M,18-25,Other,-118.60156215399064,15.41573525412855,A,B,E,1
African American,F,18-25,Other,-38.478951221912226,-19.02616127220136,A,D,E,0
Other,Male,18-25,None,7.369429176543821,86.82136606513488,D,E,C,0
African American,Male,36-50,None,-35.09556633907071,51.86161597269939,D,E,A,0
Hispanic,Female,51-65,Hindu,-27.862094947726973,-35.92388304191153,B,A,D,1
Other,M,18-25,Buddhist,-175.03773014618818,-102.72147489512209,A,E,A,1
Asian,Other,18-25,None,-44.12885837547843,-13.81650014372201,D,D,D,1
White,M,51-65,Buddhist,37.10383547438497,47.008326308276594,E,B,C,0
White,Male,36-50,Buddhist,-28.941953443201502,4.943341055157152,D,C,B,1
Other,Other,36-50,Christian,76.50831372174376,7.848992644995499,D,E,B,1
African American,Other,51-65,None,236.80997434267107,-63.96087744928462,C,C,E,1
African American,Non-binary,18-25,Christian,-15.010440426775585,-91.15471144512051,D,E,C,1
Black,Non-binary,65+,Muslim,88.47373436283637,-79.22053219717284,B,A,E,1
African American,F,36-50,Muslim,121.47036176385302,157.90448951205744,C,E,D,0
Hispanic,Male,51-65,Other,-36.2859804138915,94.75142763556947,A,C,E,1
Other,Non-binary,18-25,Jewish,24.15556141631392,-34.14572212586266,A,B,B,1
White,F,36-50,None,-67.38189831367501,101.4722562921526,B,A,C,0
African American,F,18-25,Jewish,37.13536809328956,73.88976350943817,C,C,B,0
Black,M,18-25,Muslim,65.99261487024415,-41.70787700416939,C,E,E,0
White,Male,51-65,Jewish,62.376148234047115,76.31187719735168,B,B,D,0
African American,Female,36-50,None,17.91066616003334,-30.63983712091478,E,C,D,1
Other,Non-binary,65+,None,-118.05213369613996,-111.35402055402875,E,B,D,0
Other,Female,26-35,Other,142.56170360632984,-76.41959940747266,D,B,A,1
Black,Non-binary,26-35,Hindu,-147.95380383878472,-30.092745269378447,A,C,E,1
Black,Male,51-65,Buddhist,92.06037448347021,56.893730970867175,E,E,C,1
Asian,M,65+,Other,-14.931872805995347,-51.962872840041044,E,B,E,0
Other,Non-binary,65+,Hindu,26.586303676359453,82.14646128510951,D,A,B,0
White,Female,26-35,None,102.08528810396278,-108.65303089320106,E,A,C,1
Hispanic,Male,26-35,Other,-50.85421079197451,141.86326210221364,C,B,A,0
White,Female,51-65,None,207.3779391996243,-61.21157526403446,C,A,D,0
Asian,M,51-65,None,-240.3693852251937,-144.64531895888888,D,E,C,0
Other,Other,18-25,Muslim,-121.82314705271993,-130.42507531102825,B,B,C,1
Other,M,26-35,Muslim,-209.51382000012032,106.88670588225528,E,B,D,1
Hispanic,Other,65+,Jewish,14.016406750738634,205.55887735252924,C,E,B,0
White,M,36-50,Jewish,-46.34766513680571,67.48758938110264,D,C,E,1
Black,M,36-50,Muslim,-41.62887115686807,93.88801359360367,B,C,A,0
African American,Other,36-50,Hindu,-10.844242517973454,-116.36405987433139,C,A,D,1
White,Non-binary,36-50,Buddhist,97.28554358177426,-126.21258016643428,A,C,D,1
Asian,Non-binary,26-35,Buddhist,-70.63984705586235,93.27752246394626,C,A,A,1
African American,Other,36-50,Muslim,80.30993228747157,10.859321720424289,B,B,D,1
Asian,Male,26-35,Christian,7.161100102709852,211.39001909526698,C,B,C,0
Hispanic,Non-binary,26-35,Christian,-145.968105549787,-74.04857748387018,C,B,B,1
Hispanic,Female,26-35,Muslim,227.9355912385038,132.46535499723058,A,D,D,0
Hispanic,Male,65+,Muslim,-86.41935277429693,-88.43980750168124,A,E,B,1
Black,F,18-25,Other,67.6535328794363,44.38409350752623,E,D,C,1
White,Female,51-65,Other,-92.88141366245655,120.79347607166493,B,B,E,1
African American,Female,26-35,Jewish,-167.88346310489277,-125.62056569701923,B,B,B,0
Black,Male,65+,Christian,-41.320036799092186,-107.4975560248115,C,D,D,1
Other,M,26-35,Hindu,-11.314388516133784,-62.80721119046997,B,E,A,1
White,Other,36-50,Hindu,12.743356510746025,-114.79685754462787,E,A,D,1
Asian,F,18-25,Jewish,-54.678729730772226,-148.63585476011883,A,A,A,0
Hispanic,Female,36-50,Muslim,-53.59965551920053,7.834522274378459,C,E,A,1
Black,F,36-50,Christian,33.7074610444481,-36.38703967675141,C,A,A,1
Black,Female,18-25,Hindu,-32.42157978500888,-61.897459942095935,B,B,D,0
Hispanic,F,51-65,Other,-65.53211531164077,-41.878533794801406,E,C,E,1
Black,F,65+,Other,-85.4688787484831,45.04981418066599,D,C,A,1
Black,Non-binary,26-35,Jewish,5.745742842554754,-98.31040057907744,C,A,E,0
Hispanic,Other,18-25,Jewish,94.74729352778296,-22.690147397661082,C,D,B,1
Hispanic,F,26-35,Buddhist,-7.432120891272978,-111.65790588064493,D,B,A,1
Other,Non-binary,26-35,Hindu,-171.39613232694958,-57.443429809926414,D,C,C,1
African American,Female,65+,Buddhist,70.32959003671839,48.61735644994665,E,C,C,1
Asian,M,65+,Muslim,-231.02440454448262,-88.56922994130008,B,D,C,0
Other,Non-binary,51-65,Buddhist,-40.47145491363475,2.79260058871963,E,D,D,0
Other,Other,26-35,Hindu,105.97529569396133,12.286441890908964,A,A,E,0
Other,Non-binary,51-65,Buddhist,55.87954138608555,59.5644279367417,A,A,A,1
Black,F,18-25,Muslim,29.97007494887251,-160.35632779081092,A,A,B,0
Asian,Non-binary,18-25,Muslim,40.11471083025003,-176.23653680851558,B,A,D,1
Black,F,65+,Christian,-94.72297174465244,-140.74815151056913,A,E,A,1
Black,M,26-35,Muslim,102.16664971254758,70.30142925549569,A,B,A,0
Hispanic,M,18-25,Christian,-36.301410303913215,-148.79582484614778,A,A,E,1
White,F,18-25,Hindu,-75.91414088174406,-93.13853264912863,B,A,E,0
White,F,18-25,Hindu,118.68523997787241,-138.90011083021506,C,A,E,0
Hispanic,Male,65+,None,134.31212999140527,122.1520500505662,A,A,A,1
Black,Male,18-25,Christian,-88.10731279370123,-248.42196754693666,D,A,E,0
Hispanic,M,26-35,None,57.98030883129438,-54.82186487751364,D,C,A,0
Black,Male,65+,Other,-64.1740178429833,-109.35276496266424,C,B,B,1
Asian,Male,36-50,None,4.436028574035291,-51.54876333419484,B,D,E,1
African American,Other,18-25,Jewish,63.314789387616045,-43.09489556900871,D,A,C,1
White,F,36-50,Jewish,36.5770573188073,-30.72722707829334,B,C,E,1
White,M,18-25,Buddhist,-80.25971801551833,23.24095747699134,A,C,A,1
Asian,Female,26-35,Hindu,176.62327528687027,-97.19540569814399,E,D,E,0
Hispanic,Other,65+,Other,41.55454277866919,137.47271574791776,D,B,E,0
White,M,36-50,Christian,-98.02384763021547,29.881039063316052,D,C,E,1
Hispanic,Male,18-25,Hindu,72.8335555212809,-33.72353220170583,C,E,D,1
Asian,Male,51-65,Christian,102.69441152740977,303.04824915953355,D,C,E,0
White,Female,65+,Jewish,150.0636422754667,144.93949051115834,E,A,C,1
Asian,Non-binary,26-35,None,76.3274970194172,-56.17045684888963,A,A,D,1
White,Female,65+,Other,-17.803460733403448,-131.83010250865945,E,A,B,1
Black,Non-binary,26-35,Jewish,27.970850649210384,80.99089637000615,C,D,B,0
Hispanic,Other,36-50,Hindu,120.0163872872465,-7.038541396078222,C,A,D,0
Asian,M,51-65,Other,349.3158023415153,-217.93627064816735,B,A,D,0
Asian,Non-binary,26-35,None,-211.65459701524574,170.0185439160496,B,E,A,1
Other,Other,36-50,None,124.43758055396101,-62.28353027216955,A,B,C,0
Asian,Female,36-50,Buddhist,3.0681922959443533,8.096604157109123,E,D,C,1
White,Other,51-65,Hindu,-73.75468483409333,-196.6565828950327,A,C,B,0
Other,Other,26-35,Christian,34.32144955516897,21.99236640999045,D,E,A,0
Black,Other,51-65,Muslim,46.850988455756806,-56.79672463262696,E,D,C,1
Black,F,36-50,Hindu,50.91618928402747,119.00056501528707,D,B,B,1
Asian,Male,18-25,Other,-8.365794806784569,-108.31554874112095,B,A,D,0
White,Non-binary,26-35,Other,314.02152389842064,129.2547024952286,A,A,D,1
African American,Non-binary,65+,Jewish,-23.320922129540946,-66.5298172367896,A,D,E,1
Hispanic,Non-binary,26-35,Buddhist,-104.26586875253432,-51.14074584793754,C,D,E,0
White,Female,51-65,Other,-101.5418373078275,-180.7624835329194,D,B,A,0
Hispanic,Non-binary,18-25,None,71.09155112931133,82.21130729447029,B,E,C,0
African American,Non-binary,18-25,Muslim,-16.262578385805188,184.0731892999314,B,D,B,1
Hispanic,Other,36-50,Other,-35.76215927500272,147.39701274608618,D,A,D,1
Hispanic,Non-binary,51-65,Hindu,149.91666014700306,-53.63611975534085,A,B,C,0
White,Male,26-35,Muslim,-15.042265718028464,-90.08516652482041,D,C,E,1
Black,Non-binary,65+,Christian,198.7126463478059,68.65417833216404,B,B,B,0
White,F,26-35,Jewish,86.90786927941886,-53.856714658836545,A,D,E,1
African American,Other,65+,Christian,-59.80481461701482,0.45571538164140446,B,B,B,0
Other,Male,51-65,Muslim,116.9210392893247,105.15790387349475,E,A,E,0
Black,Non-binary,51-65,Jewish,80.44170131021859,-61.8796061312612,C,A,B,1
African American,M,36-50,Other,-79.69584929755756,29.884213672873607,B,E,C,0
African American,Female,36-50,None,-57.38238630031076,45.281155252892184,C,D,D,1
White,F,51-65,Other,-21.2412304499733,-55.2442538311428,C,A,E,1
White,F,65+,Christian,-204.0572155766594,-3.0056058903717946,D,A,D,1
Hispanic,Other,51-65,Christian,-213.94508363313406,-69.66187386946203,E,E,A,0
White,Female,65+,None,144.21748560895227,8.849022207667085,A,D,A,0
White,Female,18-25,Buddhist,-187.00665619446866,112.90995499087451,A,E,E,1
White,Male,65+,Hindu,-71.66288288200148,7.446100476624348,A,A,C,1
Hispanic,Non-binary,65+,Jewish,-114.38012539726084,-200.16501479001727,E,C,D,1
Asian,Non-binary,26-35,Christian,-52.00921291495217,-11.513303379665864,E,C,A,0
Black,M,26-35,Muslim,175.70819171697394,70.72550958928484,A,A,D,0
Hispanic,F,51-65,Jewish,1.923100197518162,-152.64922793443884,B,E,B,0
Black,Female,26-35,Hindu,-119.28216309727482,176.3922873874074,A,A,A,1
White,Male,51-65,Hindu,-57.56951503866167,17.037009612591227,C,D,A,0
African American,Other,18-25,Other,33.53739489220804,-6.619572925026317,C,A,C,1
Black,Female,26-35,None,-111.40392444922591,100.02297599774552,E,E,E,1
White,Other,65+,Hindu,-10.514610211887627,55.438114962596316,A,D,C,0
White,Other,26-35,Jewish,184.12492414992906,-60.72394584277242,B,C,C,1
Black,M,65+,Christian,-15.18656521198181,25.12431096641667,D,E,C,1
Asian,M,26-35,Other,-68.91132035315202,-164.09467262877962,C,C,D,0
Asian,M,36-50,Buddhist,-262.29356565673834,177.7361277292863,D,D,A,0
Black,M,51-65,Hindu,68.37688253186758,87.71831352518112,A,D,C,0
Asian,Non-binary,65+,Buddhist,145.9647100645574,71.14691911458169,A,C,B,0
White,Female,26-35,Muslim,-111.43152531828535,35.69159931374925,A,E,C,0
Black,F,65+,Jewish,-64.21365556641322,80.35655494444485,D,E,C,0
Hispanic,F,51-65,Muslim,104.9024050300299,-32.66620989531276,C,D,B,1
Hispanic,M,18-25,None,-4.269001559550444,-6.069800815752375,E,B,D,0
Asian,Non-binary,26-35,Buddhist,19.848313520365174,-58.73658635335386,C,E,A,1
African American,F,51-65,Christian,92.30673435332898,-120.16586727011429,C,A,E,0
African American,Other,51-65,Buddhist,153.70651515226982,41.23837021941494,B,C,E,0
White,Female,65+,Christian,21.321152334075247,-100.83220000647539,D,E,E,1
Hispanic,Non-binary,26-35,Jewish,55.29292674760959,51.63365054587119,E,A,D,1
Other,M,51-65,Muslim,27.85114982673444,84.15438173551415,E,D,E,0
Other,Male,26-35,Jewish,-35.10947515674093,37.31099277969433,C,A,E,1
Asian,F,18-25,None,-117.22829761305165,10.63254358847228,B,E,E,1
Black,Non-binary,18-25,Other,-60.72915863146756,-102.77543925345816,B,B,E,0
African American,Male,65+,Hindu,1.9717307923661886,-153.9924748265441,D,A,B,1
Other,Male,36-50,Buddhist,29.350241987795876,68.7436540696018,D,B,E,0
Hispanic,Female,51-65,Other,-103.32903148411343,18.629511870319586,D,C,A,0
Black,Other,65+,Hindu,32.576286877605845,10.677447286562794,D,A,E,0
Other,Non-binary,18-25,Other,88.6588553417286,66.80861904463215,A,E,E,0
African American,Female,26-35,Muslim,-168.33636141231452,-244.44632674500025,B,B,A,0
White,Non-binary,65+,Buddhist,124.28151358436834,-81.32628264784073,A,C,D,1
Hispanic,Other,65+,Muslim,25.817988241788402,147.72762835527413,E,B,E,1
White,M,51-65,Other,1.8315592877645785,45.49220127135166,D,B,C,0
White,Non-binary,51-65,Christian,0.8681827710492033,-77.56090841114195,D,A,D,1
Hispanic,F,18-25,Other,144.18561591432706,113.13807319018545,E,D,B,0
Other,F,26-35,Jewish,-158.39070506902695,104.41807040916741,B,C,D,0
African American,F,36-50,Hindu,12.301981409851365,83.25321792099608,A,B,E,0
White,Female,36-50,Buddhist,-73.66235563828891,119.64172992671062,B,E,D,0
Black,Non-binary,51-65,Buddhist,49.0536303914077,55.66376798001323,A,C,A,1
Hispanic,F,26-35,Buddhist,-107.20765258164376,-46.17539001280633,B,A,A,1
Other,Other,26-35,Hindu,43.22869638584616,-47.431724129063284,E,E,B,0
Hispanic,Female,26-35,Jewish,139.41172386631132,-140.6552496704454,E,C,E,0
Other,Other,18-25,Jewish,-108.49544158784002,82.99304939967207,C,B,C,0
White,F,65+,Christian,12.494656850499648,-39.343114503224044,D,B,A,0
White,M,65+,Jewish,-11.978091186786534,-61.81328832358937,D,A,C,1
White,Female,65+,Buddhist,43.57061593687387,55.107211097382404,D,A,B,1
Hispanic,Female,36-50,Buddhist,26.111872040802915,13.19353517052522,A,C,D,1
African American,M,18-25,Hindu,-145.80055753881828,57.49943047458154,C,C,C,0
African American,Male,65+,Other,170.41602900214116,-37.8971440880428,C,D,A,1
Other,Female,36-50,Christian,-3.5889994629258175,-5.280046810270073,D,B,C,1
White,M,26-35,Hindu,16.411943238256736,-166.97196903942572,C,E,E,0
Black,M,65+,Hindu,-40.20226498238754,163.80785725889916,B,E,D,1
Hispanic,Other,65+,Muslim,99.15791944782636,0.5432346826669056,B,C,B,1
Other,Male,65+,Jewish,-39.84766503964144,39.95111158977167,D,D,E,1
Hispanic,Other,18-25,Hindu,128.30180574085637,-155.8044136886127,E,A,D,1
Other,Male,51-65,Hindu,-57.941353682176086,-177.85761484209587,E,C,A,1
Asian,Female,18-25,Christian,-25.951305023826876,-0.48913522170302215,A,E,D,0
Black,Female,51-65,None,80.73349702966055,-69.01909288539126,E,C,D,1
African American,Female,51-65,None,25.648620458173454,62.50076438298527,C,A,D,0
Hispanic,M,36-50,Christian,80.69528037497766,134.17883535307388,B,E,E,1
Asian,Other,65+,Muslim,-176.8152151150096,-1.0190112869749843,B,A,E,0
African American,Other,65+,Christian,-19.998476164554983,46.262346394877966,B,C,C,1
Other,M,18-25,Buddhist,-39.244973096647406,8.917350598497448,C,B,B,0
Asian,Male,18-25,Muslim,5.644625273574489,33.22397040889189,C,E,B,1
Other,M,51-65,None,-52.59497233787245,134.8857222137489,D,D,D,0
Hispanic,Male,36-50,Jewish,-226.3647325000763,-1.599267400621043,C,D,C,0
African American,Other,26-35,None,31.59507795330196,-84.69011619755018,B,D,C,1
Hispanic,F,26-35,Jewish,-34.184336168242496,74.46777408744092,D,E,A,0
Hispanic,F,36-50,Jewish,-83.99036002735075,105.9836985438733,A,D,E,1
Other,M,51-65,Hindu,-68.35028026242604,-83.66762499507979,D,C,E,1
Other,Male,65+,Hindu,-27.64956572972465,-22.91238879365583,D,B,D,0
Hispanic,Female,51-65,Other,-260.1325431898219,108.1811945879914,B,C,B,0
African American,Male,36-50,Christian,47.2260230858572,52.37445944075769,C,A,C,0
African American,Non-binary,65+,Buddhist,-46.283244382588016,147.82331317997972,B,B,C,0
White,M,65+,Christian,-93.84365054074861,-7.301378828576406,C,D,E,1
Other,Other,26-35,Jewish,-72.79859733706344,23.118693297913563,D,C,A,0
African American,Non-binary,65+,Other,6.733388033833849,121.16344590528232,A,B,E,1
Other,Non-binary,51-65,Hindu,-141.89066506934418,65.25206138105652,A,B,E,0
Other,Other,51-65,Other,40.50045552717924,-78.62179596919476,E,B,D,1
White,Non-binary,36-50,Hindu,-31.28127517007843,-17.690421307455928,A,B,C,0
Hispanic,Male,36-50,Hindu,-8.161966342776193,-56.45337787360807,D,C,A,1
Black,Female,26-35,Other,-111.92224714412906,4.635344896235719,A,A,D,0
White,Female,65+,Other,37.89628108213975,115.37880145860609,B,B,A,0
Asian,Male,36-50,Christian,42.47678007071433,93.97928727895064,B,C,D,0
Hispanic,F,65+,Jewish,13.698970734330999,27.753495237818072,A,C,E,1
White,F,51-65,Buddhist,-34.01202410118779,-54.88985429151519,D,E,D,0
White,Male,65+,Jewish,126.87944174747705,128.9180514004929,E,D,C,1
African American,Female,65+,Christian,-120.31700236819354,89.50275051333003,D,A,E,1
Asian,M,26-35,Buddhist,-11.085281227934574,-132.63489349266072,D,D,B,1
Other,Non-binary,36-50,Hindu,91.78371664499349,-147.07668280793877,E,E,D,0
Hispanic,Other,18-25,Other,21.73172912258721,52.22482290928194,D,B,A,1
Black,Female,65+,Jewish,-149.71545741078486,-43.929965933457474,C,B,A,0
Black,F,51-65,Christian,-0.5713961654514775,25.461084049659714,B,C,E,1
Black,Non-binary,18-25,Hindu,-61.6696122856769,-131.9587202552294,D,B,A,0
White,F,26-35,Christian,46.391956946447685,82.88900216098185,E,C,C,1
Hispanic,M,18-25,Buddhist,109.24664784000859,22.68109745145405,B,D,B,1
White,F,36-50,Hindu,-190.50575615610404,-19.025738113400532,D,C,C,0
Other,M,26-35,Christian,-49.267879663047324,61.43837116197398,D,B,C,1
Other,Female,36-50,Other,83.05927618650273,-201.15885868428217,A,B,E,0
Black,Male,51-65,Jewish,124.00928347525209,-80.05014660244808,E,C,B,1
Other,Other,26-35,Buddhist,126.65282726477002,63.228968977293974,E,D,A,1
Hispanic,Non-binary,26-35,None,169.63353494247022,-6.496636535746308,B,C,E,0
White,Male,65+,Buddhist,-146.76322435645545,-115.88130058823845,E,D,B,0
Other,Female,36-50,Hindu,-50.33006335341904,81.20173665032762,E,A,D,0
African American,Female,65+,Hindu,-52.96737657498868,140.6313610091829,B,C,C,0
White,Non-binary,26-35,Jewish,26.876105991251144,-155.48860523951,A,C,E,1
African American,M,26-35,None,12.272644288704923,-115.11142932122283,A,D,E,0
Other,F,51-65,Buddhist,133.08687396847856,105.56694739151298,C,A,D,0
White,Male,26-35,Jewish,-61.787379011705035,12.517343876832562,C,D,D,1
Hispanic,M,65+,Other,-30.473144759542176,7.371376855611693,B,A,D,0
Hispanic,F,65+,Buddhist,-135.19124463116438,-58.11716370492328,B,D,B,0
Asian,F,26-35,Buddhist,-115.4363172430163,-78.45555438881927,E,D,C,1
African American,Male,65+,Christian,-93.20710004832343,44.99072549776584,E,C,E,0
Other,M,65+,Muslim,76.17856791952121,13.983935018421247,A,B,E,1
White,M,36-50,Hindu,-53.23088866952803,133.69758666968224,C,A,D,0
African American,Male,26-35,Muslim,-109.17804431923244,-83.19173628800708,A,C,B,1
White,M,18-25,Other,-293.2265559130352,-68.8622568084584,C,E,A,0
African American,Male,18-25,Jewish,-83.82338889705923,55.61292319428449,B,C,A,0
Asian,F,18-25,Muslim,70.28668096049793,-49.98336401311334,B,A,E,0
African American,Non-binary,36-50,Christian,166.84011724183193,-12.541314534458067,E,B,D,1
Asian,Male,18-25,Christian,109.4433208744074,29.927069282330127,C,B,E,1
Black,Non-binary,36-50,Hindu,142.02524226337928,75.74678936767184,A,E,E,1
White,F,36-50,Muslim,-89.4989659693681,-84.12075671359098,A,E,D,0
Black,Other,18-25,Muslim,10.299466894194058,-159.897669870259,C,A,E,1
Other,Female,26-35,Muslim,-194.02317586999922,-13.471217198224238,C,B,A,1
White,Other,65+,None,-54.33608219524092,20.968868954681344,B,D,B,1
Other,F,65+,Muslim,-77.3863027187533,-132.59975211493455,E,E,A,0
Asian,Non-binary,26-35,None,-225.26976884116777,54.09806665332236,D,E,A,1
African American,F,51-65,Buddhist,-68.782395211664,-45.52050766223427,E,C,D,0
Black,Non-binary,36-50,Hindu,-195.63781848913416,-43.953657610914995,D,A,B,0
African American,Female,65+,Jewish,3.607995830850151,-54.39227365774604,D,C,C,1
White,M,26-35,Muslim,151.13115726630497,-163.9401437482427,E,C,B,0
Black,Other,26-35,Buddhist,241.48370851177546,17.696513203587063,A,C,C,1
White,M,65+,Jewish,-11.446630936902016,-260.483286824223,A,A,D,0
Black,Non-binary,51-65,None,33.928037355754874,-120.51472953485583,A,D,E,0
Black,Other,65+,Christian,38.97178337203437,-33.49622842311553,C,C,E,1
Hispanic,Male,26-35,Christian,20.79791440350801,-157.65388039880096,A,E,C,1
Black,M,65+,Hindu,83.04353392931496,-3.7529072462765067,E,C,E,1
African American,Male,26-35,None,61.429000240350874,32.50701640298818,B,D,B,0
Other,Other,36-50,Muslim,-27.864525250497845,-23.068828618261815,B,D,C,1
Other,F,51-65,None,-130.29539736547602,-131.9883630078497,A,D,C,0
African American,F,51-65,Buddhist,150.41088529552889,-85.52943800224662,E,B,A,1
Other,Female,18-25,Christian,-118.87222092685428,83.44207501524319,A,A,B,1
Black,Non-binary,26-35,Other,125.41576298763802,-131.3527181121736,A,B,A,0
White,Male,26-35,Hindu,71.1151533782391,-79.9859105292856,E,B,D,0
Asian,Male,36-50,None,-18.135090609526106,-70.7846083191113,B,D,B,1
Other,F,26-35,None,-37.405247978022906,-36.173456791134036,C,A,B,1
White,M,36-50,Christian,152.27479823780686,12.214958736614467,C,A,E,0
White,Other,18-25,Hindu,39.22815095896915,-66.73205718096226,D,C,B,1
Asian,Female,51-65,Other,53.50346439327001,-15.96771882713129,D,A,B,1
White,Male,65+,Muslim,-160.60641636590535,-5.444938438413288,B,D,A,0
White,M,65+,Buddhist,149.71746193893193,-5.711810725275495,A,A,E,0
African American,Other,36-50,Muslim,-37.232844233031756,112.32346072376632,D,A,D,1
African American,Other,65+,Christian,14.241186674452075,76.4677497832836,E,E,D,1
White,F,26-35,Christian,-161.86983032640794,101.71485214775129,A,E,A,0
Asian,F,51-65,Christian,37.66183854864345,-50.8146266187654,C,E,B,0
White,Non-binary,26-35,Jewish,-23.86124126516919,20.094068316514697,E,C,D,1
Black,Non-binary,26-35,Hindu,-38.175077420350554,-94.43233814154917,B,E,E,1
Asian,F,65+,Muslim,-0.9387404117995123,-106.66288682531955,A,B,A,1
White,Non-binary,36-50,None,25.080288048510972,232.35290842477974,B,D,E,0
White,F,36-50,Christian,-71.91131693919894,-19.277476145987336,E,C,B,0
Other,Male,18-25,Muslim,155.6467917051505,43.65025681546621,D,C,E,0
Asian,Female,65+,Other,9.451135783557515,-147.30159846263908,C,A,A,1
White,F,65+,Hindu,144.40618704950106,79.49379033544359,B,B,B,0
White,Other,36-50,None,43.35331746901032,91.64725800042427,A,B,E,0
Hispanic,F,18-25,Other,-91.49716835847573,-126.12692668074237,C,C,A,0
