military,age_range,nation,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
No,65+,Other,Non-binary,104.14100221453164,-120.93341919524813,-145.1971595239316,D,57.34825216525805,D,A,14.317511356809012,E,-5.899349055882904,1
No,51-65,Germany,Male,8.189521019703147,-171.54887890747133,-83.62354315228843,A,-169.25812866208724,B,D,4.699770194139984,A,-68.88478176084294,1
Non-Veteran,26-35,China,Female,157.34623295762074,53.324985294457775,12.945035607458372,B,32.460276372286934,E,C,70.7481382876167,C,39.1603761175512,1
Non-Veteran,36-50,India,Non-binary,39.69865714129677,-15.609314771546726,18.450777804975974,A,-127.95489453874708,D,C,-87.19772283929984,E,12.63371153609587,1
Yes,36-50,Brazil,Other,26.78421539329328,-27.51497133209063,60.55954246243407,C,16.430042548832677,E,C,10.328765740635143,A,-40.350790462761,0
Yes,51-65,India,Male,-44.31565270085604,-110.19599910119331,-147.1885804345503,E,-87.1743616072511,A,E,19.721596553650727,D,141.26838624840948,0
Veteran,18-25,UK,M,-283.8806095482296,-65.08164204981664,264.7737730025012,E,153.9661787806694,B,C,111.80492137748776,A,-70.74168525811127,0
Non-Veteran,36-50,China,Non-binary,-7.979961830439226,-267.92829854210765,-159.6481860748077,C,-46.28332623024681,B,C,-17.078642937356904,D,-135.36749481853843,0
Non-Veteran,65+,Mexico,Male,-77.61435723954042,-1.0894415809916675,-121.61555543091131,C,-38.412259750817114,E,A,116.00192788157801,C,56.798360310838625,1
Veteran,18-25,Brazil,F,76.28916949841552,141.62479363705535,-37.35148081065505,D,-89.27688012202435,E,C,-104.96090267564541,E,29.46338591543431,1
Veteran,65+,Germany,M,-8.971433593957125,-79.09175111874706,22.010531766605343,B,2.990964217796974,C,E,-128.0514131859116,C,-36.530643726324726,1
Non-Veteran,26-35,Germany,Male,23.84238930982383,-67.35035051258406,195.3393172453622,A,-47.99183899668127,C,C,-79.76772699682941,E,-97.8775733257784,1
Non-Veteran,65+,China,M,99.27977263691267,-45.36576701105699,91.7079399090862,B,12.882105089700852,E,B,-104.89301116515328,C,-141.5374551784017,0
Non-Veteran,65+,UK,F,-28.13315302974263,140.50094910728868,105.14520409221761,A,74.24565225724349,B,A,-176.80542763125482,A,20.378103263913516,1
Yes,65+,US,Female,-259.9460746233183,23.71007770233291,50.38301755176685,E,-16.7116565988305,B,A,22.4350017018763,C,-64.76193519267007,1
No,65+,China,M,199.11253794768075,-17.453612681307902,-34.72693834849646,C,70.4977782041985,B,D,-49.614629981364615,C,19.70565533026319,1
No,65+,Mexico,M,48.831980686292056,-99.00677081825003,-239.52920134557988,E,-27.54652083958961,A,B,-80.45555046002416,D,-113.79396844217118,0
Veteran,26-35,US,Other,-283.10969784642623,48.50196937890654,-83.96572813498506,D,-126.32853091081348,D,A,-162.0995443025062,C,-1.4977245091382445,0
Veteran,18-25,Brazil,Other,9.289025440325016,-53.57343531613738,-78.86080092837506,C,-163.0888594704934,C,D,57.87032811895163,C,18.293470342839484,0
Yes,36-50,China,Non-binary,-118.7038612214233,26.521526403353963,-138.61683761726718,A,-58.674716219157204,C,E,36.84592587468013,E,-97.5708485440573,0
Yes,36-50,China,M,-5.333253883928497,-154.93498902634892,-58.32019607198903,A,46.57577725931879,A,A,127.1304991965837,B,92.29805204560549,0
Veteran,36-50,Brazil,M,38.29775128132697,-18.097573940865953,-110.59487171259906,C,-194.79499960353766,E,E,207.36436789207087,E,26.49523498119307,0
Non-Veteran,26-35,China,Female,42.654663425935404,25.971049033739966,109.95875083776916,B,21.251380439882038,C,B,-49.11401647030069,C,-110.44464917095458,0
Yes,51-65,Mexico,Female,135.28303013477841,-9.971850587793815,-65.09469881030473,E,-68.33698485923037,D,C,-14.15551115048322,B,-6.870004764790001,1
No,36-50,China,Non-binary,85.10276243400668,-7.346160410434358,205.43621529454867,A,84.75427381510528,D,D,-79.87299795478981,E,100.95278076371534,1
Yes,18-25,US,Other,27.514630799579088,67.12724695238948,-177.37667418274464,C,-47.44456688691686,E,B,-91.74101102342048,C,296.14846409602944,1
Non-Veteran,18-25,Germany,Female,23.0494616413673,61.34243746489477,93.09983705947201,A,-30.914728749722187,E,E,-64.14226230485386,B,-64.82298394965684,1
Veteran,26-35,Brazil,Female,-25.572337924029696,24.643672396656264,15.405654966776833,A,86.10523081923222,E,C,79.04996288905463,E,-139.89826614010482,0
Yes,36-50,India,Other,-28.674533691338343,-48.758211909589974,53.132082243569045,E,120.87909828408108,A,C,140.1442483083422,A,-56.22388215969346,0
No,18-25,China,M,-74.6533832681601,35.10251394303101,106.8680623000937,B,4.348452086009279,B,A,-58.547736642209166,E,63.42482129586608,1
Non-Veteran,26-35,Brazil,Other,147.78291495822552,58.62096874438444,-256.6884065627446,B,72.73565626226299,E,E,-19.54023639332315,B,-103.52739317295432,0
Veteran,18-25,China,Non-binary,-88.92764126927895,-128.63693563551143,-119.68944183374278,C,162.9432772593203,B,C,82.17570535707391,E,-37.459095874686646,1
Yes,51-65,Brazil,F,140.09894453596044,-19.256250322573113,1.1753910976893447,D,193.5298698954677,C,E,-155.65906878572093,A,-190.45482146525032,1
Non-Veteran,26-35,Other,Other,-174.2865412612145,125.82231028985214,69.01902547121777,A,-43.31464250244508,D,A,52.54622519566789,B,97.35755585460863,1
No,36-50,Mexico,F,61.862766512032486,-103.54153717599672,-3.327070064537977,B,11.468270082116753,E,B,-12.541653615785531,E,-48.725118472581684,0
Veteran,36-50,India,M,114.48388082309779,71.03291601504009,-8.419751216864318,B,160.31815339812096,A,E,118.82202632331705,C,-152.0675570876641,1
Veteran,26-35,Brazil,F,-22.601597304044184,215.5456052132977,-39.45697372790566,B,-8.754855296950012,E,E,-257.5374100751476,C,-183.6157768863448,1
Yes,65+,US,Other,-100.97395260676403,43.93811498109739,27.9245374967496,B,22.886434983457544,D,B,-56.37726575810675,B,-11.054175786071267,1
Yes,36-50,UK,Non-binary,-97.26836671658127,-6.616785947177227,93.24934159137864,E,-125.84664157212455,C,E,112.59110563763741,C,211.3997818215802,1
No,18-25,Brazil,Other,-18.477616314412607,119.89095053883321,-146.60834145469983,D,97.42716335128091,D,E,44.59393786341394,B,83.76212356990531,1
Non-Veteran,36-50,Mexico,Other,-4.340347949486387,-98.53215223974264,-2.463273857772683,A,44.86168090224491,B,B,-201.86380538354064,B,-161.75855711368618,0
Veteran,51-65,Mexico,Male,-91.16220249977644,100.00908329443538,-16.60774202892423,C,17.17644637944131,B,C,252.69205098763913,A,39.253201141936664,1
Non-Veteran,26-35,Germany,Male,56.755252142058275,-67.54733168450592,-50.48935886750231,D,42.84158178287638,E,C,40.1176671660173,E,-47.41388779819614,0
Yes,18-25,India,Other,13.231242326768792,34.01712046932199,-99.1591694927954,C,97.98136318585134,E,D,-78.75303779954318,D,143.1909078103377,1
Non-Veteran,36-50,China,Female,139.65932165272426,-109.85497887725968,72.09525938660578,D,-4.468371125813437,D,A,-19.27626261269062,A,-8.266574522555649,1
Veteran,51-65,Germany,Non-binary,90.91377563959634,60.37458753889112,119.49482184890844,A,78.1756180273671,E,C,-153.86006264266126,C,172.15137303446957,0
Veteran,51-65,US,M,-57.40358397266826,-177.83069295329716,16.917778230098474,E,12.639702466103863,B,C,-83.83677823240455,E,51.350569137784085,0
Veteran,36-50,Other,Male,137.05930587872706,36.38960080785271,-126.50013036028295,B,-69.78487138438477,B,A,-1.8249577972397697,B,16.704113503442144,0
No,26-35,Other,Other,105.47009297229198,34.11792948465131,-154.45421555684916,C,41.030215817672,E,B,85.62328994164528,E,-123.16046811161274,0
Veteran,51-65,US,M,-106.8271319661593,120.48404808794405,97.3455232535001,E,33.37975113514211,E,E,136.92373720701113,A,91.74172075676441,0
No,36-50,China,Other,290.3050021336737,107.2323581853811,-45.24722654432413,C,-27.679486014396204,A,D,-61.98662635004278,D,-135.04818092392512,1
Yes,18-25,China,M,-140.49951061122084,109.3222705550894,-5.99793586589132,A,152.21963293200025,C,D,-158.83339569695485,D,8.839563294931096,1
Non-Veteran,36-50,US,F,-84.90282741182428,-266.9782565095208,276.8260924071879,B,94.55152597787568,A,A,-3.933273426795917,E,40.224176042731955,1
No,18-25,US,F,-53.588597270688034,84.0311434340193,-13.516961522551755,E,-80.37736604586807,B,E,146.99280657903424,D,-109.22254764799115,0
Non-Veteran,26-35,Germany,Non-binary,91.8579932734695,-87.66166949116266,-91.63839957485075,E,-34.24728648418267,A,C,-157.63714046391405,B,-73.93766395248694,0
Veteran,18-25,China,M,78.1431394940641,-68.39442769990161,109.46771191131712,C,-55.6644944075064,E,B,57.676318833892445,C,11.86138373754653,0
Veteran,51-65,Mexico,Non-binary,-143.56591191216103,-38.40762236642657,64.62276429960218,E,111.40331279686566,C,D,-15.062875451127711,A,-108.88879734540279,0
Veteran,51-65,Mexico,Female,29.373510101460177,-31.027614769746002,-51.455411245243845,D,4.345133463957181,D,C,71.49032270238008,C,-162.47365254571952,1
No,65+,Brazil,Male,37.92938303677232,-80.28098586006529,40.84751270892576,D,287.1884907458631,A,B,-154.48581202647085,D,-59.02237567281416,0
No,26-35,Mexico,Non-binary,54.45069485336466,-13.588656215819316,-23.507020253952422,D,53.98703301554799,E,D,-121.84237125176449,A,65.49477451434738,1
Non-Veteran,26-35,Brazil,F,-67.22088516515502,47.14266011867437,-4.080854220901015,C,1.368920163374407,E,B,147.07198782890202,E,59.6886811331771,1
Yes,26-35,Germany,F,-43.26504524844183,45.99271133263766,-88.4842401514639,A,31.601481955577565,A,A,13.512459267880473,A,-48.64437275182604,1
Non-Veteran,36-50,Germany,Other,84.51816282014484,110.45535935512076,68.33137844821793,B,102.47653232497149,B,D,-30.81071992561522,D,-103.36129404557485,1
Non-Veteran,36-50,China,F,-30.466984526058027,31.15165711815888,142.6214333235108,C,105.87164521382108,B,A,154.10324633273166,B,-237.6894042269251,1
Veteran,36-50,Brazil,F,52.53274786141699,-112.56220895328642,10.056967768449988,C,91.46986417399661,E,E,36.33323322148622,B,-96.63736109333202,0
Non-Veteran,26-35,Brazil,F,48.940771571484504,9.098581842215582,131.80893676386057,C,-13.472408506620448,A,E,28.0289229917541,B,142.1410514660538,0
Non-Veteran,51-65,US,Other,80.31685588799661,-57.29022406179334,99.90080072738388,E,208.27092159164638,E,D,27.935124266299432,B,-98.55591261976829,0
Yes,65+,Other,Male,-220.2971656391037,1.642585215961315,65.30431261033885,B,-93.78296801704458,B,D,-191.26425766065816,A,-65.52738345291826,0
No,18-25,UK,Non-binary,3.686528685578746,87.97946877220801,-0.3553604729145997,C,208.6415282381847,E,C,-93.19493798439167,E,-183.44351631110501,1
Yes,51-65,Other,Non-binary,138.51217235379875,158.82541103753758,23.25741460403534,C,133.3897112184888,E,C,92.2958431827322,C,117.3274081254919,1
Veteran,65+,Germany,Non-binary,-16.36875136611749,58.78299513439572,69.90973166366967,B,-24.9784551970762,B,E,109.84760548000017,A,37.45040574320216,0
Non-Veteran,26-35,Mexico,Non-binary,-53.05632714721572,-135.1575764780304,-90.00595968942339,D,-88.94887219209706,A,B,-63.91132548983527,D,54.881562039940334,0
Veteran,18-25,Mexico,Female,-99.96333383289786,62.187983898197174,13.787223634948804,A,16.04526881843295,B,B,84.0630476335409,E,-8.565258878511376,1
No,36-50,China,Male,33.18624202099273,34.75597744623797,10.105979615045525,B,218.51486353126242,E,A,101.31331715617236,B,143.06169850085627,1
No,26-35,India,Other,-26.573092406950376,198.73923627990987,-68.00269010545372,C,76.74027526665921,E,B,-126.85682230961255,A,110.0750938787759,0
Veteran,51-65,Germany,M,-15.213065433983203,394.2388426850265,58.902754960319484,D,27.091675422853438,B,B,54.023547243487066,D,101.225402578807,0
Yes,26-35,India,Non-binary,-79.29718904625798,-29.550703307616853,-198.85253362216508,D,-106.99431677579818,B,D,43.825310956727165,A,-8.084623398437909,1
No,18-25,US,F,34.79374623981861,-46.8185377727243,-11.009330630364449,D,-92.42530912825532,D,C,-23.270012587375046,C,3.5542473820137643,1
Yes,51-65,Mexico,Other,39.9651690887217,-87.66036004190218,-44.87295126553399,D,135.9191753988192,D,C,5.314996086769076,D,43.90922476296619,0
Veteran,26-35,US,Male,-105.22372352790109,2.1975553666531646,239.50162315412652,E,-62.983762575379,C,D,-22.75434900607926,B,-64.80462810555142,1
No,36-50,Brazil,Female,-147.29825925277487,105.0967319936722,52.936949303787316,E,-193.86117169506105,C,E,-150.21185525100228,B,-36.850491715975004,0
No,36-50,Other,Male,-56.05651897609793,-173.97263656860065,17.0620571009401,A,-290.88116784736775,C,B,76.93784825298222,C,-203.74448479200115,0
Yes,65+,Mexico,Female,85.54380732722436,1.4716896838024935,-33.52100567790634,C,10.24724457511192,D,A,58.6155860819097,C,113.57176030333697,1
No,26-35,China,Male,14.216182463066213,-115.10940246682819,-87.61301072286395,D,-54.564645990008245,A,D,-33.193762265979586,B,-2.299513906018196,0
No,51-65,Other,F,111.79940064407103,-22.159576115261046,-65.64806249454703,E,-132.7774754326661,C,B,-24.132422173004493,E,-161.33654453184042,1
Yes,18-25,Mexico,F,160.73339494216677,-114.90976077233546,128.51570835333018,C,-36.90768751052459,B,B,-181.50959804264258,D,-42.898186755169675,1
Non-Veteran,65+,US,Other,-96.65706026139162,-238.98864709520348,121.56703187642768,A,-10.762846720027301,B,A,109.12640565991076,E,-126.50637648471184,0
Yes,51-65,Mexico,Non-binary,96.29573447293356,180.97591216690222,83.927758541162,C,-117.70365177483053,B,D,59.903382254872064,D,-16.95675192214196,0
No,65+,Germany,Male,31.467898476952083,50.78444438796551,-133.41058544466543,E,40.23815288366077,E,E,16.96257221233697,A,5.757967658728702,1
No,65+,China,Male,-27.468712298383384,-65.95551399971188,29.953623684873538,E,208.6783707829945,C,A,54.44604423114904,A,77.85875978020465,1
No,36-50,Germany,M,66.844246140636,-123.27111279086532,13.179660422455955,A,-41.39878165847456,B,E,163.2933661193361,A,61.90654269407199,1
No,18-25,US,Non-binary,83.11910252782766,58.12262252709511,-21.019674954548346,E,-51.17327564596839,D,E,3.7571665234285483,B,92.04346246461388,1
No,18-25,India,Male,-11.160380461336237,35.111160533214296,-84.03180037681932,B,161.7137163685696,A,E,-1.3254960771619526,A,-204.34397736848572,0
No,36-50,India,M,17.977859462069834,-89.5427517963235,-80.16407698914601,D,-173.53577723170673,A,D,-71.45071816733841,A,104.80319355602565,1
No,18-25,India,Other,-14.866245561798888,-58.29319868087555,-42.39985903519308,C,-127.372661738493,E,C,-122.22456041557092,E,-54.70333106219852,0
Non-Veteran,26-35,US,Other,-108.09738938515186,-154.7185236080697,60.8597252688505,D,72.87109668056051,D,C,-18.219623223484966,A,-229.1711009621847,0
No,36-50,US,F,-87.04002155064303,17.504491805896823,112.42505342307851,C,82.2600947579586,E,B,54.29222739590735,A,0.5204509460565088,1
No,26-35,UK,Other,-66.08386798179785,52.04930788418015,108.57113152844693,E,-138.5235460127073,C,B,94.38394154069321,C,145.19389623298207,1
Veteran,65+,Mexico,M,-12.030233528711538,-26.75126394631131,72.60910401841346,B,-46.262750025810426,E,C,33.25640513386934,E,75.9552569610814,1
Veteran,65+,China,Male,-77.23113903066633,-197.2953219228171,50.12720093217248,B,138.04677891702428,B,D,-77.86713978252506,D,-2.2597879067443354,0
Non-Veteran,18-25,UK,Non-binary,12.174836368366435,52.46388951100956,-143.0045017653122,E,181.69827337954877,E,B,-12.992185446977597,A,-137.46437305486825,0
Yes,51-65,Other,F,16.46194711993226,33.86644181151809,82.32755889698551,C,-158.13569560199872,C,D,19.367228308432978,E,60.08743048250984,1
Veteran,26-35,India,Female,35.69938376154943,22.220126626076254,-128.3904099902899,D,-24.574075624580626,D,D,185.70859021625162,A,-57.55263122894699,0
No,36-50,Germany,F,31.399438626726827,-59.203862719605695,64.3379228693743,A,-72.06232072632865,E,A,85.90782712251792,A,-83.1103932767073,1
Yes,65+,China,Non-binary,-46.28748237345262,63.49176873836144,98.40896769832887,E,-5.633735866108961,C,E,-92.73554825751464,E,37.097889148989864,0
Non-Veteran,36-50,China,Non-binary,-67.61102431421544,47.134904747090815,106.55860027418255,E,13.838439356816645,A,D,129.3306314717559,B,-280.3926569855084,0
Non-Veteran,65+,US,Other,7.7844015918184715,-168.19116883623795,12.60306370513002,B,100.2821902727031,D,C,150.95471945178988,E,14.321379251556705,0
Yes,18-25,Brazil,Other,-13.387504267461726,-55.35866102373045,-159.76963864352246,D,67.29911326246834,C,D,-14.10863157470711,B,81.27091877863337,0
Non-Veteran,65+,Mexico,Non-binary,-2.6917853009467,-18.307188249233203,139.1351667454321,E,-63.21864657679278,D,A,154.16442571651748,C,-101.04436129868195,1
No,36-50,India,Female,-143.46252603821918,-28.05778726369133,53.241222370036944,E,41.77736152277083,D,C,52.07091731537642,B,-19.56646539980887,0
No,51-65,Other,Female,67.52710276619003,-102.85733794442953,-27.413474053426267,E,47.2324705661762,E,D,-89.31684077644972,C,48.89409579566201,0
Veteran,18-25,China,F,-175.88968798504246,71.49440785878139,73.93438446363311,C,-4.045733933848688,E,E,-11.822829209726917,C,1.3413322539769827,0
Non-Veteran,18-25,India,Male,-135.56903153001596,146.23606620390828,42.30473877475001,C,13.807442819285582,A,E,82.5878293085553,B,-144.10900187318282,1
No,51-65,Brazil,Non-binary,6.440443667102404,-90.05833303648669,52.526584057872775,A,-109.36219230981459,C,B,90.08967888465371,A,-196.90767267538558,1
Veteran,18-25,UK,Male,-5.63804342610034,-26.305075306618264,-98.90185695123111,D,7.887854473702251,B,A,63.8497110852965,E,-37.893829311548366,1
No,26-35,India,M,60.37451682152315,280.69998539598896,172.4128589663444,C,-61.435656328789165,D,D,1.9681242754273383,D,47.69678396691373,1
Non-Veteran,26-35,India,Non-binary,55.241053194571734,90.72184115621954,-91.37971087070771,A,-49.550972506996395,E,B,-226.77841500655808,C,-141.95785837533498,1
Veteran,18-25,Other,M,-78.36435501689084,177.676421575726,-86.83680613328761,A,83.62138565225717,C,C,-76.16363574856459,A,-55.122470664194736,1
Non-Veteran,18-25,UK,F,41.343906999736426,44.35579689544408,98.79192326633128,B,-14.343613277924073,B,E,93.62075252719721,D,-90.83364496730985,1
No,26-35,UK,F,-67.21907925314953,151.98362159707105,2.7702181382880298,A,46.19923368426558,C,A,32.52810717294251,D,-94.61764595108774,1
Non-Veteran,26-35,China,Non-binary,23.441324066619202,54.852863530171135,39.29638133721048,C,-45.9298497123021,B,D,233.83824842746114,C,-140.41226701094595,0
Yes,18-25,Germany,Female,-86.31511605994035,118.86331389683626,-132.36676215195482,E,-10.25527846023069,D,E,-49.71779882564058,C,153.98172429962815,0
Non-Veteran,18-25,US,Female,19.74776138774265,-20.899975531685953,-186.22289774410743,E,-23.97713592037096,B,C,30.016272989097004,A,-61.088008986008845,0
Veteran,65+,Germany,Other,31.83177011197507,-49.912300031725685,-73.21260399049476,B,-19.552726768229586,B,C,-38.594146039702046,E,-94.58733618793208,1
Veteran,51-65,US,F,-39.55419677479026,135.87091108626367,11.238830137429137,D,-59.35350501008047,E,E,40.10518542606961,E,-214.55023835849087,1
Non-Veteran,65+,Germany,Female,-101.35432404173417,-33.83999164401398,86.18387104651224,B,-3.807256915581694,B,D,84.74445973159584,D,-113.86861399220476,1
Veteran,51-65,Other,M,-42.71816948741348,-123.33175836676882,88.88226600973408,B,209.45056828799525,D,A,-6.701071057876475,D,2.820135261012942,1
No,65+,UK,Other,19.0442071030322,-11.990676416896653,59.518609410089226,E,37.58355446037817,E,B,-36.85795302399908,B,36.76578150109678,0
No,65+,Mexico,Male,-28.075348342726958,-25.918650221281077,237.00889726838113,A,-42.28335217112546,C,A,98.08509707876578,E,-98.53218734406668,1
No,36-50,Other,Non-binary,-100.42236309784236,75.86595494912225,-49.59405828313972,A,-139.94055811365922,A,A,-6.13569645368916,D,88.85773980161545,0
Non-Veteran,18-25,Germany,Male,113.0571344641141,171.10648591254767,-151.86892983522333,B,60.307698033761504,D,C,-7.67933166701239,E,-21.602372874626322,1
Non-Veteran,36-50,Germany,Non-binary,40.67849292616867,-23.471960163181077,-17.12929985449727,D,-93.91668433834825,C,D,54.362120798756294,A,4.585615887857548,0
No,26-35,US,M,19.991642946075483,-58.824009885177354,-32.07484715788296,C,205.78250773678218,A,B,4.9642274409832465,B,74.64570528207857,0
Non-Veteran,65+,US,Female,-53.270894632780916,-98.1679943983527,71.80574587231808,C,-32.38870849176877,A,A,-86.09087760910731,B,-208.6767162395339,0
Veteran,18-25,Mexico,F,184.7200152848382,-89.11257140370482,-17.823953459241114,E,138.65050046834065,E,B,59.619259083210366,C,-71.72601709903991,1
Veteran,65+,Mexico,Male,-28.410625892863443,-65.67823358013875,-317.7276034060862,B,-25.658123140763607,C,C,-142.46419843810463,C,68.8923868269466,0
Yes,36-50,Other,F,-2.6844806381688398,-122.53838352130832,-71.78640067369562,E,52.774885354296266,E,B,185.52303021085925,D,-32.47334993928807,1
Veteran,26-35,Germany,Non-binary,23.103850061495216,129.40605091341385,8.538309168832853,D,-42.904164120549794,B,D,122.4334527700442,B,-64.09889844070341,1
No,26-35,China,Female,-55.16155661156294,43.731327528715724,102.52334616093539,A,-2.3618483030482076,C,D,67.01278558700695,B,-124.19596636439086,0
No,18-25,US,F,-66.71711597381166,-76.49465013268807,93.35894267765516,D,101.2160534953508,C,C,-33.504374750428276,E,25.775304255706477,0
Non-Veteran,51-65,US,Male,26.22938027859417,-10.36443171942249,-153.53797782694693,A,131.95524221093532,A,B,-19.824275199271305,E,-42.05356800055537,1
Veteran,65+,India,Male,-128.73766265153765,71.4084560937748,63.07280548289715,D,74.5512699986708,D,A,-56.98829484751191,C,115.66349594461809,1
Veteran,51-65,US,F,203.77923498924258,23.826549720747465,-102.42124400109218,A,39.26656368940163,D,C,-193.5707555406834,D,-77.2269952375439,0
Yes,18-25,China,M,-81.10583827432312,-45.93181911146832,124.83640650813832,B,-167.74770278991778,C,B,35.37608072058069,D,7.727749412363568,0
Yes,26-35,UK,Male,162.50590131028923,41.87506843855597,95.8283708756944,B,-71.97155649334593,B,B,12.215581979062113,A,80.15946422006456,1
Yes,36-50,Brazil,Other,128.67587846982263,64.48673652184115,94.74987113428433,D,-80.62085379606636,D,E,1.3179097874638062,D,54.2604204373595,0
Non-Veteran,51-65,Mexico,Other,-92.1829668471632,25.13874082924402,-13.104285561385923,C,-24.326486567946638,D,E,62.360261773473766,C,-31.730692082404765,0
Non-Veteran,26-35,India,Non-binary,-67.75982585252565,29.552187944851692,85.32034832396687,E,-183.51265966603458,E,C,35.30138543548272,C,-2.143399964203516,0
Non-Veteran,36-50,Other,M,39.30469954931406,122.37261642280185,111.78234977502485,D,68.99241098507342,E,D,109.59444637327927,D,-37.324020408379276,0
Non-Veteran,26-35,Germany,Female,-1.0003103884097995,-80.95225566618971,302.3176959184983,C,-3.1254196576812094,A,C,20.933206995805183,A,-166.62950454647253,1
Yes,26-35,Germany,M,-235.95785945831702,116.58868598575609,20.848163944506386,D,-205.00071088312941,C,E,62.3934615661764,A,-7.551469833071516,0
Yes,18-25,Mexico,Male,-72.89416720632339,62.46592965812731,-47.83973291168607,B,-142.3076687629709,A,A,151.26572986897804,A,-84.00836725117428,0
Veteran,36-50,Other,Male,-5.02258386789232,-80.25193531524317,-188.44332042788295,E,-18.73173021839359,D,E,171.32127600805467,B,-58.06938013393502,1
Veteran,26-35,Brazil,Male,10.660586611007133,-58.65256178511344,-35.53917951581613,B,83.52814694239757,A,D,168.00653390116986,B,-18.03374895976709,1
Non-Veteran,18-25,India,M,-64.61007035117694,-6.521093685636325,69.25221533964634,A,-89.61189974102054,C,A,-40.879026182163805,C,-4.175398501299206,0
Yes,65+,UK,Male,-175.7444782377964,30.924606583396457,33.898331169139844,C,86.17079878308219,B,C,-118.14291743265535,D,112.56227333213164,0
Non-Veteran,51-65,Germany,M,91.40434822768178,-16.653534690833983,-12.622325934179496,E,-71.06223155435724,E,B,-6.207035936500605,A,11.468915049128134,1
Non-Veteran,65+,Other,Male,42.99193061840912,-26.127086760477823,-19.64981791598312,E,85.6632930909002,C,A,-33.15357369410936,C,79.6804061149049,1
No,51-65,US,Male,-27.144363294713663,19.43987934933565,-148.6464211372359,B,-137.50357181693258,E,E,-95.17452963333118,E,-32.89822650949058,0
Veteran,26-35,Brazil,Female,125.41250433486016,-222.5443104899699,-19.38621275743951,E,245.6857247549384,B,D,106.02818909472104,D,-89.77223554240577,1
Yes,18-25,India,Non-binary,-49.47955710692625,107.8675900094377,-93.35522096579422,B,-82.36904455356482,A,B,-58.24812784879696,E,40.46021361736935,0
Veteran,51-65,UK,F,119.61738893280591,-152.4861841391298,2.8306605559534783,B,-87.0019144698115,A,D,-30.802401084718138,B,29.137560725717048,1
No,51-65,US,Male,-59.74133910277056,16.554137099452497,-67.64332666804606,A,87.69193485096723,D,D,-10.549760647355482,A,38.736635634866104,0
No,26-35,China,Non-binary,160.4645362380266,-216.70672273279217,-69.87014868968814,C,-162.42892344660376,C,C,-23.444620323603026,A,-72.2801552139875,0
Veteran,36-50,China,M,-81.56798205777058,28.560019209356273,41.16608184869382,D,-3.5811320028001554,B,A,-128.7821623006067,A,-59.62280532485924,1
Veteran,26-35,Other,Non-binary,28.535566358041116,52.77417247688315,-190.01143582114003,A,-4.613116985638769,A,B,37.21112812368645,E,46.375195432559195,0
Veteran,36-50,China,Non-binary,-78.76954106956498,-90.24851217864477,178.83481188042532,C,62.10795943350204,C,A,-85.60174549361062,A,-87.47540504355575,0
No,51-65,China,F,-48.78422898575908,-87.37839653147078,-65.91500534878425,D,-51.93942645897403,C,D,-51.20767572610144,D,104.89062997200618,0
No,26-35,US,Other,16.775406633268545,238.1506355672069,39.17678123052252,D,-14.331208718074087,C,B,90.42052196442368,E,106.45531408271904,1
Yes,26-35,UK,Female,57.528757446686406,-49.299299123865794,-129.28471699397605,C,58.91667842280018,E,C,-141.93650887085434,B,33.05236529931556,0
No,18-25,Other,Male,-152.28481108820827,80.6317815625847,-103.31684350658648,E,32.81929036660703,B,A,53.44806589525479,A,-19.311204820010353,0
Yes,18-25,China,Other,-73.00444180934107,88.18002932484629,-26.25123811156848,E,-16.614815556372,A,C,24.444023108627317,E,44.15258844684367,1
Yes,18-25,Germany,Male,16.265287286294683,12.677254846275629,-46.54993562892902,A,102.47494641402102,C,D,65.59458616970815,B,-195.20077579980006,0
Veteran,26-35,US,Other,-127.52152238847836,80.21876431924882,42.89662922152253,D,4.362010973535553,D,A,27.263631335714322,C,-165.13705718438604,1
Yes,18-25,US,Non-binary,-10.17179479995372,4.9069199302288,-1.960117985688714,B,153.7278458959703,D,E,116.87545879135781,E,63.95556014171721,1
Non-Veteran,51-65,Brazil,Male,-147.2068253689158,29.217605206137627,79.21224445101664,A,-154.26878102895694,C,C,-65.58273216242625,C,-155.68559681473505,0
Veteran,18-25,China,Other,120.48964847230555,-174.17880957794628,-99.57736906636468,A,30.45224869835818,B,E,66.93328737069608,A,83.36927747557398,1
Non-Veteran,26-35,US,F,-105.06179356406741,-0.7452640319637688,22.01552111346357,C,138.70642232436234,B,D,8.792197964321929,C,27.01452963719545,1
Non-Veteran,18-25,China,Female,38.2285929643402,19.58893652326223,76.09111371697239,C,106.2594770975824,E,E,-159.0217953404512,B,45.25946174928515,0
Non-Veteran,36-50,US,Female,27.584965212451273,34.817164385604684,67.01858156384262,C,-82.6370611975346,C,D,-86.7988773667871,D,-121.77145827635682,1
Veteran,18-25,India,Female,103.25387821142289,120.2713504546013,-95.1347843669075,C,-19.832689394637665,C,C,-123.79455405433842,B,-44.378175563360145,0
Yes,51-65,US,Non-binary,-1.8367607533612396,13.790026257584609,-178.93702954559066,D,-87.91010790137508,A,C,3.1591799237310236,C,-14.501172632178555,0
No,65+,India,F,-181.2321016725331,85.22514761143644,-70.30555381576715,A,21.093106934614905,E,C,77.48454916834673,B,81.69074765180021,1
