nation,birth_year,age_range,Gender,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
Brazil,65,51-65,Non-binary,C,D,E,-173.36196051568928,-78.98832404869816,E,D,D,5.572344669319727,18.2022980965499,E,9.892791783935834,1
Other,58,18-25,Male,E,B,C,200.92484657560243,-58.50730622292611,C,B,D,-36.29361017246343,139.80268342420763,D,-151.36073866109083,1
Other,24,36-50,Other,A,B,A,-24.288654503537536,91.47403225637093,E,B,B,47.65604832832523,-51.863971591256266,E,129.5422999148274,0
Mexico,53,65+,Non-binary,A,B,C,-32.234707110614266,-35.806894346189075,E,D,E,140.40621334883005,-5.528563110979283,B,52.77123226331496,0
Germany,21,51-65,M,B,E,E,146.4146137010422,-47.97814404832882,B,A,C,-10.697428787713093,80.56698345673465,B,6.894782918020494,0
UK,79,26-35,F,A,A,B,131.56787035567953,-38.3746247855412,D,E,A,24.959344324747708,180.16719823914784,C,-140.22975694645766,1
US,37,18-25,Non-binary,D,B,B,7.004494441418808,134.79731121176962,B,E,B,28.611387374351903,-129.40901623022614,C,-114.01950057120504,0
UK,53,26-35,Other,A,C,B,91.52105247276629,35.710769096615834,B,E,A,60.565864679605276,-133.83691381179986,C,-80.2840714455666,0
China,67,51-65,Male,C,A,B,-104.65219284454916,101.93827927375052,A,C,A,-144.77121026248153,67.0898746142537,E,74.71774654843239,1
UK,33,26-35,Other,C,B,A,124.06590451098909,17.042934837761965,C,A,A,23.53894804056903,-2.3485829652778145,E,-39.88815819880222,0
UK,32,51-65,Non-binary,E,E,D,107.75595594968583,87.99193336458224,A,C,D,-92.99698269393247,124.71714588421654,A,182.70369964923978,0
Other,74,18-25,Male,B,B,E,-12.348927214563275,-54.972955368504174,A,E,A,-26.69839771391363,-50.819702245772305,E,-4.884004330496195,0
UK,46,26-35,Other,A,D,D,-157.56418172572714,-20.888750658443538,E,E,B,-70.32220064691171,187.67339516562146,D,119.1570392667335,0
Mexico,79,26-35,Non-binary,A,B,D,67.67216384994808,20.847056990812487,E,E,C,-111.9144864816923,-84.5373910678823,D,65.14781327836133,1
Germany,54,51-65,Female,B,E,E,-64.8239003381544,50.161831343154326,A,D,C,-178.91092971883901,33.10227411393199,D,-31.8300912504043,1
China,28,36-50,Non-binary,D,B,E,60.90550994648516,-110.14422980397644,A,E,E,147.5823868270026,-90.24448656428508,C,23.58569248003624,0
Brazil,19,18-25,Other,B,A,D,-92.88621961454558,232.2544240089198,C,A,D,-237.00487606872858,60.12871601327772,A,99.76858890486803,1
UK,30,18-25,Other,D,A,E,-12.895225782535954,113.00679404440525,C,B,D,9.856270132635608,31.542462665144004,D,136.9682399891916,1
India,57,65+,Other,E,B,A,-86.87275077726186,-6.385552841558718,D,B,A,71.71527509595903,144.4413525568485,A,-60.71225696628062,0
Brazil,39,51-65,M,A,D,B,57.52268756902019,66.15341991473198,B,E,B,-163.1588895718284,-39.298150079470425,B,-56.654077258220006,0
Mexico,31,65+,Female,E,D,D,-17.90977659935385,-15.882808873525633,E,E,E,194.80807514118632,-65.57779291352543,D,-77.59764949294454,0
US,48,18-25,Non-binary,D,E,D,-73.7868647221963,-73.06617010022897,C,E,E,255.23785581423786,-102.54570185307885,C,-47.73717875574894,1
Other,27,26-35,Female,A,E,D,-69.83501257349133,-108.5217822690836,B,A,E,139.66208315683005,-41.91454129621524,E,56.54526384403066,1
UK,49,51-65,Male,C,A,B,64.6045332222171,35.384881611272284,C,C,E,-5.902323055782813,-10.678996186429828,B,44.77193533715641,0
Brazil,65,51-65,Male,B,E,B,-2.7165004937219397,-115.27477390179166,E,D,E,15.434625496253803,-27.684458257426712,D,-20.987814988820723,1
Germany,36,26-35,Other,D,D,D,-9.572297729325111,-61.51538879618913,C,B,E,-269.6455973913656,30.250284325177386,A,55.87913987012647,1
UK,41,36-50,Non-binary,B,B,E,35.53748472706346,-88.68843717114625,D,A,C,-81.06547478721933,58.8795003002088,C,81.46025947803646,0
Other,62,51-65,F,D,C,B,-133.98465151019613,-88.16226221182022,C,A,E,53.77753750580108,-120.26331909521659,B,49.8222720477925,0
Other,24,26-35,Other,C,A,B,-122.57629829317995,-106.25551952344976,D,B,B,-30.032805267085543,38.22873311916453,A,-121.8780145655025,0
India,65,18-25,F,E,B,E,33.253439914660305,21.027074058035087,C,C,D,-17.21215649515957,84.25805976780511,D,208.1897607532334,0
Other,79,26-35,F,E,D,C,129.48357008995578,97.57214392784826,E,D,A,49.64463740170875,-87.18794886327649,E,-195.49057237843536,1
US,69,51-65,Male,A,E,D,33.499090702650406,18.818489268660006,E,D,D,-237.54837331773336,-126.2036354726605,B,19.126073626002217,0
India,40,36-50,Other,B,C,D,-80.42731822867188,47.51409846120398,B,D,D,-34.489127077928174,57.569646246161795,C,108.32826764610397,0
Germany,79,26-35,Non-binary,D,A,C,52.334625235891664,50.856424442798286,A,B,A,-116.9849844324428,39.398627810144234,A,-166.6440597002407,1
US,74,65+,Other,D,E,B,20.551363079483778,5.309998110122223,A,D,B,2.053699859464652,-16.764123280683503,D,100.94602401525373,0
Brazil,50,36-50,Non-binary,C,E,D,-22.121831680351104,25.12269357007216,D,D,A,-84.35918699012562,-12.300621681772018,E,-172.24127472426323,0
India,27,65+,M,B,B,C,-140.21388730364654,-52.284378108997366,A,A,D,152.21367145076937,56.47775269076279,C,-13.423460971798324,1
Germany,30,36-50,Male,E,E,D,21.781138742731002,-62.000931924947736,E,C,A,40.907382197333014,-155.76582251136045,E,257.20916481184844,1
Brazil,56,18-25,Male,A,D,A,41.07467984156364,-130.61180635772777,B,E,A,-22.20466610615704,119.96948203088884,A,14.833038571570247,0
India,61,26-35,Female,B,C,D,-148.5267048931037,53.56889550073198,D,E,A,8.939799686623045,-170.5724752409307,B,161.54276601972109,1
Germany,45,36-50,Female,D,C,B,-8.844263561535302,10.692167918959845,C,A,D,125.90401739087828,82.16974847327796,B,-87.47464652042176,0
Brazil,38,51-65,Non-binary,E,A,A,108.6372363673487,77.6391221034147,A,B,B,-4.505759632710958,-66.75598639381639,B,56.707673307738126,1
Brazil,73,51-65,Male,A,B,A,-36.63709534141249,-62.17341983506219,A,E,B,-46.239540515708235,-90.27079104561741,E,-34.738152819545306,0
US,38,36-50,Male,D,E,D,-25.22669662596086,-3.3051806492195004,C,C,E,66.14852878544353,-132.00706877466527,B,53.86196239184623,1
Other,36,26-35,F,A,A,C,89.26277463899169,84.31765382854891,B,B,E,3.121558626908968,132.5528536530561,C,-140.39103433410585,0
Brazil,60,36-50,M,B,C,E,49.022509008952824,50.72716045178516,D,A,A,-27.906855784696543,146.17546791005574,A,54.53139406238837,1
US,27,36-50,F,C,D,C,109.17333785279497,-171.88734005236893,E,E,D,69.26802698653724,-75.11856299938107,E,111.19130378569942,0
India,48,65+,Male,C,A,D,-2.3914610676352757,144.40692254476,B,A,B,-138.266492781483,113.82926681548255,C,-34.88983413789475,0
US,61,18-25,F,E,B,A,81.13805301681359,-91.56736174228604,E,A,C,36.52926080824261,113.57677097694767,D,64.99484259487723,0
China,62,18-25,Non-binary,D,E,A,-215.1132216004068,-49.43842048101464,D,A,B,11.53285851913182,-117.21232840379454,B,-99.99431057351049,1
US,41,36-50,Non-binary,A,E,A,-73.44163237077028,12.1852355364891,C,B,B,-86.66501186064896,-67.13477467384838,E,-84.62471788196827,1
Other,54,18-25,Non-binary,B,B,A,9.917405795464909,127.47606009178516,E,D,D,-71.51117586777625,-16.369669376183957,E,49.49839209573433,0
China,38,65+,Other,D,A,D,83.0050870902511,-44.67981970448051,D,A,B,24.03642358792988,-143.02494093121913,A,-19.751628093986675,0
Mexico,62,51-65,Female,A,A,A,-50.77108020120714,-41.00922335146435,C,D,D,-47.749111594440286,147.05263289100643,C,40.35008877361421,0
China,70,18-25,Male,A,A,C,-134.8809447156458,-39.725413300056715,E,E,A,93.13302189406332,-34.354224545103165,D,82.50513657500676,1
China,59,26-35,Non-binary,E,C,D,50.15628250499778,86.97120206554288,A,D,E,21.13946482317654,59.502600028785345,D,128.2533383855336,1
Germany,19,18-25,Female,A,C,A,-147.1902496972426,-9.37393422541754,D,B,C,-106.68737037581062,-73.23253310229477,D,111.59419902212267,0
China,44,26-35,Female,D,E,B,-92.93548071746976,-63.382205006569905,C,D,E,-82.60810496145345,-65.16770786191069,E,-6.297330838399971,0
Brazil,49,65+,Non-binary,B,A,D,35.53253387358051,-17.783364699738748,C,C,A,235.69100702115375,-27.767163316637912,C,35.11488514729937,1
China,54,65+,Female,D,B,C,133.50200733411504,-17.147664518533425,B,C,A,-82.31949945199477,64.4127008420309,C,63.77887301947484,1
China,27,65+,Female,A,C,C,54.664942371930955,97.67882428189012,B,C,C,79.39494618944268,4.150614836249854,C,-13.96124295374475,1
Mexico,62,26-35,M,A,E,D,51.179495059410065,-37.707911647383455,D,B,C,23.62450628417328,55.73140827171107,A,-19.34019629729645,1
US,41,36-50,F,E,B,E,36.20654332592911,86.7125968231932,E,C,A,-59.58033997141345,-48.84978869110271,B,61.507472634593896,1
Germany,51,36-50,Other,D,E,A,299.4349508455773,149.09015295720957,C,C,A,-39.87617612649429,61.766748151690884,A,-45.63492893576678,1
China,21,65+,Female,A,E,E,26.107767883895917,48.32772785656063,D,C,E,38.61377586583456,-57.0899675706248,D,-147.27667184544734,0
Germany,36,51-65,Other,D,C,D,-58.15255789864582,-23.937226419798847,B,E,A,70.64666861304298,19.347659459796894,A,33.191717594197826,0
China,36,18-25,Female,D,B,B,142.85035944858964,47.55051468455508,E,B,C,203.65242703660883,-231.36609660475222,A,-188.51416801702953,1
Other,64,65+,Female,C,C,D,-146.21739416397062,-37.94547729273005,B,D,C,-56.917854606911135,39.11755076189168,B,120.39606196878823,1
Mexico,28,18-25,M,A,D,B,5.461785026798651,-34.723296535220776,A,A,E,-71.49321202108166,-35.74386164975017,D,-41.53181114009347,1
Germany,64,51-65,Male,A,E,E,-62.4381833304991,133.42179665314748,C,D,E,-115.0613691624327,50.70857207757429,C,-124.24554769593202,0
India,72,51-65,F,C,A,C,-13.714584843029746,149.64040818221363,B,D,A,26.462807183955935,28.63480495769044,C,-58.611009164690174,1
Germany,61,36-50,Male,C,A,B,-8.686610174970879,115.81883147115653,D,B,A,116.6850026325442,20.40626358653602,A,-41.14956368461747,0
China,66,36-50,Male,A,E,E,37.5964212745816,-31.00897297055747,B,B,A,-3.332529438615283,-169.1222591535698,B,10.787658547396244,0
UK,22,51-65,Male,C,A,E,-70.91263706724864,99.18757189449056,D,E,D,-117.33623504649111,44.16534925651788,E,87.5402828579111,0
Other,66,65+,Other,C,C,E,-69.8883871612729,-28.135515444732768,A,A,A,111.53367803343468,-198.1026749883715,D,174.0469894235429,1
India,23,36-50,M,D,B,B,12.65350845368656,-89.43173357282573,E,C,D,-150.9070944267201,-21.232687286905964,A,8.330467029314974,0
US,65,36-50,F,A,D,A,-38.2892002072159,204.10877189999056,B,E,A,140.4574911020481,102.18245489787319,B,158.08415759112435,0
US,39,51-65,Other,C,E,D,26.77607506001079,-186.27776768532505,A,A,A,-221.82720579466047,-46.320725667726606,C,-32.03375636427741,1
India,46,18-25,F,C,A,E,43.815194317820044,-52.269824485495256,E,A,E,43.46436055317804,-99.13242889662877,D,234.74002049276677,0
Other,39,36-50,Male,D,A,D,119.35204889493004,123.87755297870666,A,D,D,64.96841677481552,-90.62291010821345,C,137.02221866629463,0
China,34,18-25,Male,A,A,E,-99.21697624047205,34.4786381125048,D,E,B,-173.38497803150213,-125.98127300734308,C,83.794384777347,1
Brazil,38,18-25,Female,D,C,D,-59.8065922095217,-190.06054934983464,D,E,A,29.705561724627337,-75.84660752703503,C,5.254919208472362,0
Other,40,18-25,Male,D,E,E,-104.49169372470189,22.524708148892817,C,E,D,28.053486757574998,15.808303013028011,B,-33.072217786976786,1
India,79,65+,Non-binary,A,E,C,0.1472497293251231,102.94379601906995,A,C,C,-72.2911058613415,156.02267698628194,C,-73.97916580586981,1
Other,61,36-50,F,E,D,B,22.783318085606457,-156.39253986247226,C,B,B,-50.8804634365,46.87695866162257,B,-59.44961659000396,1
China,39,18-25,F,C,D,E,-59.09808070674364,109.49596567491476,D,D,C,-64.61275489360804,71.83954804367254,C,176.75895034706008,1
US,49,36-50,F,C,E,B,202.95921787008817,50.6208379362349,B,D,A,4.883611400740735,7.053755882584692,C,7.005017447379426,1
Mexico,61,65+,Female,B,E,E,15.05455576139774,-78.41970415289492,D,E,B,-29.658578376120758,-23.21511478046024,D,67.48948969395597,1
UK,51,65+,Male,E,A,D,136.27309257185084,-45.266202667469294,E,C,B,-110.72955402418457,55.421200653962885,C,141.24323235439454,1
India,59,36-50,M,D,D,D,-46.76092067987591,-55.35741624233271,E,E,E,-95.53196053504594,-58.04125751803683,C,138.35449228220264,0
US,67,51-65,F,E,B,D,-78.94032438796185,-10.255416991312542,A,A,E,119.79678844840697,95.79564769758218,A,-34.5719154347369,1
Other,61,26-35,Other,B,D,A,22.756848750859636,154.12058059212643,E,C,A,6.286630850707696,130.09492749475646,E,60.8751100086657,1
Other,62,26-35,Other,B,E,A,-1.124457159436914,-6.019457172451829,A,E,A,-73.9348307632185,-65.11215628585754,D,16.67635806974684,0
China,57,26-35,Male,C,A,C,18.969390248184208,65.74356359211085,A,D,C,25.852113492266408,-15.387916045453073,E,89.95868074543326,1
US,36,26-35,Female,E,C,B,-117.43137876011703,27.086663917324298,E,D,A,-218.357416241163,112.40509178901684,B,2.734419571138639,0
Other,55,26-35,Non-binary,E,D,B,-37.33224648966133,197.36909998090394,E,E,A,127.5729465447164,16.09273918382941,C,61.343707633486,1
Brazil,43,51-65,Male,B,B,B,71.36152660047212,164.67199242222264,D,C,C,0.7657471613084388,-79.46226573638859,C,3.0516356482319815,0
Other,33,26-35,Male,D,A,E,-57.92886175559603,-5.588816603765745,E,A,C,75.08691667213716,8.28056470800256,A,94.81127423573687,0
Other,43,18-25,Female,C,B,A,-6.7937251939838585,33.86041344437736,E,B,B,-81.2913215398309,172.19379062168792,B,-44.516621563509766,1
China,26,36-50,Male,E,D,C,127.51429282394184,115.99081110910838,A,A,D,-13.462409633911607,66.89419554515335,A,74.0078070163782,0
India,19,51-65,Female,E,E,C,-165.1975902830383,-169.87223393882843,C,E,B,27.290575970853048,7.568194701551875,E,-48.42525267263564,1
UK,53,26-35,Other,D,C,A,-13.507930660291187,-24.72537695888864,A,E,C,-24.707759514982968,19.51818438855157,C,-6.999500162841336,0
US,67,65+,Non-binary,B,C,A,-39.839149311756444,-32.24283305968531,C,C,B,71.80156134320983,24.85975725376426,E,-17.268537429195298,1
Brazil,40,26-35,M,C,A,B,35.3234416100384,-92.72814308500574,A,C,D,-25.559642807290533,-79.35385469936153,C,-129.71238446870973,0
Mexico,30,26-35,Non-binary,C,E,A,28.22537704441111,84.95699153346396,E,C,A,127.7627941290043,33.77415385663397,E,6.293614807404259,1
Mexico,46,36-50,M,E,B,B,-9.653679868719886,-100.78623418066093,E,D,B,-112.02351307396412,63.2701979095054,C,82.85533915065855,1
UK,52,36-50,F,A,B,B,19.940456334974535,-38.0867782295628,B,B,C,86.88268418613355,34.646394590191356,E,38.764915148470614,1
Brazil,37,18-25,Male,D,E,D,55.531783297269676,-82.23225391277951,D,A,D,-60.35710487327947,-43.51809475859649,E,-166.02090685809017,0
US,43,51-65,M,E,B,C,124.96650604700407,17.985072467487665,A,C,D,80.40155397223181,100.99858606811485,E,-159.17680541990117,1
China,28,26-35,F,D,B,C,-78.08401998846631,143.88987980539375,C,D,E,-115.37373791173648,11.520621218491398,A,-101.72832688328515,1
Other,24,65+,Male,B,C,A,171.90578912303536,-227.4331271519967,A,B,C,-97.1147936103414,15.125455422548317,E,62.05764121853995,0
Mexico,31,36-50,Female,C,D,D,219.98576266666504,-116.14533613657846,C,E,D,-27.35878278546451,-8.597478288996403,C,-138.91930607481083,1
Germany,71,51-65,M,B,C,E,66.3108421728276,-127.66006010528514,C,A,E,-127.65763478216832,61.762448717403,B,-80.87105245616442,0
Germany,63,18-25,Other,A,C,D,105.03596060876512,-9.000135252295111,B,A,B,-46.86492134765064,18.911588288773142,A,136.64233672876628,1
India,66,51-65,Non-binary,D,B,E,60.453837610299864,-85.46536623870317,D,D,C,-42.109910028352225,110.50088942912947,D,-23.339375643153264,0
Brazil,25,36-50,Non-binary,B,C,E,68.2389194198963,23.054430738345776,E,B,B,-224.6052204333475,-186.3372113438768,C,-101.50387246102655,0
US,22,26-35,F,E,A,A,210.47846095532407,35.124337836079064,A,A,C,-22.15303927345051,40.530992048615225,B,66.58886330993933,1
India,72,65+,F,C,A,E,-21.045217651567167,71.30614496924466,C,D,E,17.96325488426679,180.46919830164268,D,-48.21308953039606,1
China,33,18-25,Other,D,D,B,-57.967004456322215,-249.55019917031782,D,B,B,53.26626449192209,-32.71261761588236,A,125.92685544185862,1
Germany,66,51-65,Female,D,D,C,34.45934018831748,-32.19092584937471,C,E,E,-59.179847857260135,76.45635402713422,E,205.19164464968878,1
US,41,51-65,Male,D,D,A,-66.70171278355467,84.10124012952917,A,C,B,61.259967018874875,122.5519419505177,E,-26.824631024661528,1
Germany,77,36-50,Other,E,D,E,-210.36335849000386,8.698037760764462,C,A,B,-84.74897416746212,-25.966116561887194,B,13.702382279975364,0
Mexico,61,51-65,Female,D,D,C,35.06892386561044,14.590730343798732,D,B,B,170.38175943129318,182.08669845702337,A,-60.98717691025729,1
Other,58,26-35,Other,D,D,E,-150.78640980840532,-217.89179411844523,D,A,E,57.04282372112077,145.67511062324158,A,-15.252698200499143,0
UK,69,51-65,Female,B,C,B,56.6694406689757,166.65281325278093,A,E,A,-0.21544664984656683,-90.05319471888342,E,-219.2629646085011,0
China,70,36-50,Other,D,B,A,97.36515378129388,-129.28301119160952,A,A,E,-91.86040580915143,-85.36403341167997,C,1.5437990547265037,1
China,53,18-25,M,B,E,A,1.942344334964063,-246.24113393494576,E,B,E,-73.3174136913178,-19.887815149933918,C,-66.14514607017135,1
China,40,26-35,Non-binary,D,B,A,-155.03247185057413,-65.7992933179397,D,D,B,100.04616630648783,-88.48648136368703,A,-143.75498052998645,1
UK,18,26-35,Other,B,A,E,62.20483369215106,16.71203044706444,B,A,C,-1.4130148209549507,-177.18647203718356,E,-5.329748814291895,1
UK,21,51-65,M,E,D,B,38.281370435967744,154.69928470259507,C,E,A,-58.46562176715996,-15.721710094768627,A,-248.529437396399,0
Other,37,18-25,Other,B,B,E,-110.26651102043763,-39.82164935505389,B,A,D,-80.5211190783608,53.53614729798999,A,19.698783221965634,1
Other,20,51-65,Other,B,E,C,-35.716973294711195,50.12141604471923,E,E,B,-93.49662425452323,25.772672410289104,D,2.8390015233002552,0
Other,20,51-65,F,E,D,D,-100.55402174804307,-10.866177609959921,C,B,A,-138.46249421022694,-82.75978693165239,D,169.94067750337584,1
Other,47,65+,M,C,D,D,227.74032567854002,38.235676795415245,C,A,C,-19.547073827546203,-74.24883372419761,B,-79.98409336567913,0
Other,18,65+,F,C,B,A,-167.83462598293266,-81.98212814901633,D,D,A,23.06727546073965,97.78895350834034,B,2.223871923958759,1
UK,63,18-25,Male,E,E,B,103.92311573532247,-107.41664567860896,B,A,E,124.82440113735203,27.589470480139482,D,-138.01431397760192,0
China,28,18-25,M,D,C,D,56.59311070150008,36.8518851115012,D,C,A,-57.93879904364159,40.011311650630475,C,-54.7081037230229,0
China,57,26-35,Other,C,E,C,-40.192755216895584,7.266986576838297,B,E,C,-23.204127458766003,237.96983019176258,C,65.94423123490046,1
US,48,18-25,M,A,D,D,-134.28509514350097,-5.4195583847427935,E,E,C,41.006143701643,117.63555725123645,B,67.20317887131345,0
China,22,65+,M,C,B,D,95.38199705846142,-134.54564301118762,B,E,B,-69.40968227076799,34.87736569554073,A,79.04437639445288,0
UK,71,65+,Non-binary,E,A,B,191.59282674445407,71.5044812840916,B,A,E,55.34402634744621,-6.250809274508355,D,159.7694451156216,0
Other,75,36-50,Non-binary,B,B,E,-173.13670430959712,132.08137448469458,A,E,C,-13.137126945285683,-23.620848410004402,D,-56.62414855631776,0
Mexico,67,36-50,M,A,A,A,45.467954378489516,-44.339235279933774,B,D,B,-95.13915881112679,0.44534710361879976,C,-141.80219974816296,0
Other,18,51-65,Male,B,D,E,-27.890931753853938,-153.41066195597955,B,B,A,53.39839928457576,-151.2995674763687,D,15.564940867273858,1
Other,39,51-65,F,C,D,A,-38.392579318250164,-3.2111899294402972,C,D,C,167.65653824944184,46.39062081303803,B,-89.59291020467647,1
Other,69,51-65,Male,E,A,E,-96.97980149633182,42.943138635499146,A,C,B,-80.92558020260688,-20.128733917648734,C,-7.605787697550517,0
UK,28,18-25,Non-binary,B,D,C,68.26726071715558,141.3479285091861,B,B,A,-33.49836886034969,54.17615890359501,D,73.2305713391972,1
Other,71,51-65,Other,E,D,A,106.14113112931935,178.99397964453502,A,A,A,18.21853479387312,-20.613681156170333,C,-6.50541787670459,0
China,40,26-35,Other,D,C,B,14.727136351091612,-135.34188498296857,B,B,B,-118.84617203027132,-100.58978351271975,D,10.106586827585556,0
Germany,70,36-50,Other,B,C,D,-53.082955281302446,-8.728559337102027,A,E,B,-120.32748784774499,24.392811469186775,B,-55.92076005005858,0
China,26,36-50,Male,E,D,C,155.62181262630693,-87.19051263968855,E,D,C,-53.36683573101143,17.79633371785771,B,-162.45105657859114,1
Other,55,18-25,Other,D,C,C,109.99832555437474,-13.760611968903877,E,C,D,222.24925893191374,39.50525048573937,B,-9.459814167894413,0
Mexico,36,51-65,Non-binary,C,B,B,36.406630728596575,68.58087694337101,D,A,A,-48.52008569939237,134.26466436604176,E,64.8802302985691,1
Germany,66,65+,F,C,A,E,54.820316990243555,82.18254292661615,C,C,B,-153.64299123505242,-115.04713694725001,B,-38.95016817166406,0
Brazil,18,51-65,Other,C,A,C,-72.32523153857639,38.17186199755326,D,B,E,10.475769695105864,-28.86303408696738,D,95.4008436356712,1
US,19,51-65,M,B,B,A,-39.02957829257018,56.30135122790705,C,A,A,-140.3116058249539,86.67672638704214,A,-19.65183010256672,0
China,25,36-50,M,D,A,C,82.80216866108174,-52.47404765013008,C,D,C,281.5640626650533,-13.819776776425774,B,58.92549895104383,1
India,56,65+,Female,C,E,C,6.096702682064806,-60.6302058666494,C,E,C,6.575517260283687,-121.21406822798227,C,69.29784035177656,1
China,48,26-35,M,C,C,E,-50.85690876953878,5.402374206872881,C,C,A,14.961646407420828,-89.07002853373339,D,74.99499218618604,0
Other,20,18-25,M,A,A,E,-2.8316979506046804,56.03069036111743,B,E,A,100.47805900797624,134.18616680912456,B,170.261720157797,1
India,63,65+,Female,D,C,B,-99.31605508276472,-28.67707554026347,A,E,A,81.77295817897246,-29.80158308841738,E,182.96700065701543,1
China,67,36-50,Non-binary,C,A,B,-11.919706847484186,26.40648213819065,D,C,C,150.4022248277416,81.51500217243797,D,-157.58926999951476,1
US,58,36-50,F,C,D,D,65.05797880932465,101.36226252022152,B,A,C,8.963223022474551,35.05853367974266,B,96.00327100918949,0
UK,55,18-25,Non-binary,E,B,E,-24.320243234611475,-58.83044896985277,A,E,C,-80.88806799144979,-124.49004224027647,B,92.48033050570362,0
Germany,71,18-25,Non-binary,B,E,C,144.67480199922625,-15.190489169179216,A,E,B,64.35139898217275,16.261684779812853,E,46.87057008368465,0
Mexico,68,18-25,Non-binary,A,D,D,70.01505878742672,33.28677753751138,B,D,D,-61.020988530582265,82.64640530590827,A,67.409595068354,1
Other,57,51-65,Female,D,D,D,182.92204689539932,106.9976083416109,E,B,B,-51.46388470448508,-5.2871692240764965,C,-190.02252301313953,0
Other,31,36-50,Female,D,B,C,-90.52900116710907,16.255509687738652,C,C,B,-66.54411890873472,-112.7363738320115,A,-83.15044494352317,0
UK,53,18-25,M,E,A,E,129.73052662805296,79.10474364409781,E,A,E,-191.01729863919786,18.927772748603434,B,-88.96667016741169,0
Mexico,26,36-50,Other,C,C,D,-20.118319474126224,-8.911525733573912,A,A,E,66.77886754388169,42.52859449028163,D,-33.733337118364446,1
US,79,51-65,Other,E,A,C,117.2039442104505,-6.0110120232735165,C,D,B,-95.3301405452231,26.30992407150216,B,-47.12319192688501,1
US,54,18-25,Other,D,B,B,-66.59564758577761,138.0070556014599,B,E,A,-69.54264681664883,-8.845334641884055,B,-122.53617573106375,1
Germany,69,51-65,Male,E,B,D,103.7699479488748,3.800386749826487,D,A,B,105.37552918414646,-67.21510083233818,C,62.61986836663721,1
US,74,26-35,Female,D,C,A,-116.12754972998438,210.9524620881394,A,D,E,132.71843139020226,25.51548903433162,E,126.9166328264055,0
Other,20,65+,Non-binary,D,A,C,108.19363561592752,60.0965836249206,A,D,D,51.881978333357935,66.03525295245292,C,38.466937438214,0
Germany,77,51-65,Other,D,D,E,120.43488434560005,4.374478254779903,A,C,B,-92.50045745573307,-115.04032850248144,B,-90.4869930530004,1
China,70,26-35,Other,E,B,C,-13.794053608318313,-37.75625241003596,C,E,C,62.19975326039864,0.7076911610470435,D,120.29627757216967,0
China,62,26-35,F,B,D,E,-78.68940257049417,14.793824143551838,E,B,A,94.6686929699461,120.29496305120395,D,3.6381907121661006,0
US,63,51-65,Female,E,B,C,135.58028643354257,52.48652481477593,E,B,D,17.913798755337123,-4.677758661740475,C,68.75844461620673,0
Mexico,46,18-25,Other,E,D,E,243.8053868831741,223.1924096918962,D,B,B,-37.631664154848195,81.53190278965727,D,-56.42984922690029,1
US,21,26-35,Male,C,D,A,-81.02568919382615,106.87371711710469,E,C,D,58.473192588472756,31.17036768437585,E,88.86301048185912,0
China,35,51-65,Other,D,D,A,-32.02420315448941,-78.044423761791,E,B,A,-52.303626888874135,-169.84418001047092,B,14.17093918241347,0
China,34,36-50,Male,A,C,B,105.77099122209465,127.10621155342383,B,C,C,271.546282478359,-23.98622143982579,C,-30.306408219003906,0
Other,70,51-65,Male,B,C,E,229.43648759524632,4.616727741445759,B,E,B,8.098972921443568,-22.36591900736054,A,-3.101129411338489,1
India,52,65+,Other,A,C,E,83.79595912827993,-156.12406673035952,C,C,B,241.26531335869817,74.18155344126941,B,55.37421655770505,1
Other,18,26-35,Non-binary,C,D,B,-81.5925839928405,136.91842749159912,A,B,B,118.8323559067773,122.73060300592999,C,-35.93724393509844,1
India,28,36-50,Male,E,C,C,22.283676270509872,-24.934783610822244,B,A,B,89.60151676420519,-44.794810350557974,E,-116.45640486966707,0
Brazil,32,36-50,Non-binary,A,E,C,68.64346453190305,-76.07292390606452,E,E,A,70.64082325198041,146.91662151242886,C,71.99525237864289,0
India,54,65+,Male,C,E,A,-85.10784006675591,249.7882999724473,B,B,B,-20.634128646256915,-19.02319845784326,D,89.04581746730975,0
Other,46,51-65,M,E,A,A,10.137759391806119,-26.00793121762952,C,A,A,-190.67657696795692,-6.763296153599555,B,124.92561297754787,1
Other,75,18-25,Other,D,D,C,87.50869748685324,-143.43710866298832,A,C,D,-104.230548812868,18.254148653978618,D,-97.31701960154525,1
UK,26,65+,M,B,C,E,-219.07288174997265,12.015407631260851,A,D,C,100.9332176007002,34.05984016601102,B,37.007848888591646,1
US,31,26-35,F,C,A,A,-106.2049232184249,-19.06611928155315,E,E,B,-6.4701040154898095,94.55403038225082,A,21.903240129794398,0
Brazil,65,65+,F,B,D,B,-126.37960804938044,52.23793041559398,B,C,C,38.65986986320469,-128.75131347625782,E,-83.7485135227514,1
Mexico,77,26-35,M,E,A,D,55.801179144165594,-149.60738719839014,B,C,E,-114.00344793484074,-42.13730441107112,D,-124.1897352942321,1
Mexico,51,26-35,Non-binary,D,C,A,122.46042799201713,-115.30675171043454,C,D,A,-114.03656071319956,-2.474324458487169,D,38.05804561511081,0
India,37,65+,M,A,B,A,-29.27317299509221,-60.916921953859784,C,B,B,205.80693117129866,147.88578992271522,E,-108.37864979249356,1
