sex,Age,nationality,orientation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
M,37,UK,Homosexual,102.6928455976174,166.8941971914637,C,125.47004404604012,111.40865033317286,-58.0650199402309,-194.53771835765428,C,7.750035187333168,E,D,B,C,D,0
Female,65,India,Heterosexual,25.10678142547425,16.803915562679926,B,-111.5146330496543,188.66376328383367,14.190954470447004,17.983163301677614,C,63.033913359511864,A,D,C,C,C,0
M,76,UK,Other,-48.19013726778019,-78.60262639369718,D,70.70393391471272,77.27506009130835,248.8090171833994,42.91597918374729,C,-188.33124061513422,B,E,E,C,A,1
F,51,Mexico,Bisexual,-74.58195116423859,-14.87670906611297,B,-12.096532880922698,269.5557626841258,-98.52294155954655,45.174559505851995,B,11.487982909931116,B,B,B,A,C,0
Female,41,US,Heterosexual,-9.468297431477165,67.40133504469753,B,-61.88065935751068,8.857435132067053,-54.263551599265035,-128.0028272391341,E,-145.9600199671008,B,C,D,A,E,0
Female,77,Other,Heterosexual,-102.1771226572321,-191.56883941169605,C,-69.53647066999447,-204.0488060939491,-60.004676207461216,36.33734173729293,C,18.267220891852997,A,D,E,C,B,1
M,40,Mexico,Homosexual,27.510711284808487,-50.58940244916585,B,-219.4922048821508,-242.43142056762915,-27.349742687010348,-132.51210912626337,C,12.732815500199326,B,C,D,B,A,1
Male,41,China,Other,-83.5698294881184,-7.823651905612445,E,112.40305660768546,246.10123275494345,79.94163060139454,-139.80435276213007,B,-89.68742418860627,D,C,A,B,D,1
Other,26,Brazil,Homosexual,73.81233224964203,-2.2176936363046327,E,-159.01816252488507,94.29192555247899,127.05798421891686,5.830823635514038,C,48.28351200987273,D,A,A,B,C,1
Female,55,Germany,Heterosexual,-42.59796991118262,-69.09734184214823,B,-110.0431316464537,37.211968376503094,-189.4587474016332,122.06496411129304,B,34.74190668403701,C,B,D,B,A,0
Female,64,India,Homosexual,-73.56451923154312,-87.46239202401527,E,-49.70395492269295,-178.27907443671654,22.46504067393031,92.56764366636833,C,63.03004791070328,C,D,A,C,C,0
Female,61,China,Homosexual,-53.58538377531063,102.53228309753686,A,-11.731997313727133,111.40093507953883,97.0626080212766,81.45078146973387,E,16.630234501549197,E,C,A,C,E,1
Non-binary,77,China,Bisexual,76.5883534899867,16.417481881446,E,99.06434788888959,-82.80382538512782,-175.68093681565668,-30.317802317338792,D,-5.871217692443255,B,D,E,B,D,1
Other,71,Other,Homosexual,130.30542140532998,4.334108436825219,C,84.88664713766177,17.99609565186006,118.76775166008642,-81.11918804746253,E,-36.84971342396287,B,D,E,E,E,1
Other,65,Other,Bisexual,52.751126226438906,-82.98190170124377,D,23.876913319638465,-99.46686002615411,141.2927576858712,-47.74453760700014,A,-104.78383352635426,A,B,C,A,D,1
Other,71,Other,Bisexual,184.9752669251666,-85.80516500142376,C,24.655543612146154,29.48656316019499,165.95871981186622,-109.67170890621925,D,-25.463911236425673,B,A,D,C,E,1
Female,62,US,Homosexual,-97.45868091092181,-18.863302871084763,C,116.09151463469742,197.6256587289553,-135.19184068210546,-64.88535905269902,A,-80.5554171938336,D,C,A,A,C,1
Other,37,Mexico,Other,110.41640242414937,142.92230465211287,D,112.43209962165106,87.89514068312111,-94.95061293859696,-135.36665557361002,D,115.42063368803855,A,E,A,D,D,1
Non-binary,64,Germany,Other,-59.673337124183504,13.526383518111345,E,-162.66060180179045,7.753086611257344,72.39194195372052,-101.55003899226438,B,103.59542672031232,B,C,C,A,C,1
M,69,China,Homosexual,-47.24025080550643,69.97487940142648,D,-4.812578141207668,-24.029346513637968,68.26006402881076,-100.69081238739344,D,-66.83513148234863,E,C,B,B,D,1
M,19,US,Heterosexual,-144.5323431194376,-29.55821418894717,D,-35.76318942501277,-172.14272846154762,-200.54615203923527,-91.63884616948013,E,53.22756151003517,E,D,E,D,C,1
F,40,Germany,Homosexual,93.77694559174302,47.30797758221438,D,-41.03962803606383,65.71143083298678,-125.61192820381828,-80.83634198309238,B,44.87334901790383,B,E,B,A,D,0
F,19,India,Other,33.06869679262192,97.25728811089486,A,50.74372151435951,243.7208412217363,-53.82546105973171,71.2071911444462,C,9.404552950006515,B,E,C,A,E,1
Male,62,Brazil,Other,-21.678314149793337,117.9344193780668,E,-64.52869411139577,-107.73361828805473,-42.22288607854382,-174.99928862183805,A,-36.03108355715386,C,A,C,D,E,0
Male,68,Mexico,Other,21.841462622912353,15.641714606142578,D,151.78759551387628,139.72762522609355,-6.369773679934461,76.6407306569437,B,-72.81777942967183,D,C,B,E,C,0
Non-binary,29,UK,Bisexual,-12.289602036202018,2.0949363770255793,D,-24.79937193460115,18.352214871709403,-61.33498265782734,-32.73640648240274,C,128.9860482602321,E,B,E,B,B,0
Female,49,Other,Other,-92.25347259480769,36.98162902554357,A,40.02479576509765,28.940040871209384,90.10854181979,-261.6512049783296,C,-179.58444382113018,D,E,C,A,C,1
Female,36,India,Heterosexual,72.49972963641109,-125.89046539819266,B,-78.17125040430227,75.19014299799596,56.26361086194902,-238.48367213313995,E,69.57988313685598,E,B,B,A,B,1
F,18,China,Bisexual,-120.21047297129013,63.271251759142,A,-3.85189267486186,70.71063380152016,11.78638496320892,-151.3633855370305,C,-91.18840948369089,B,A,C,D,D,1
Other,66,Mexico,Homosexual,-63.24286320354204,-6.958157867342853,B,228.01581874593813,-137.86438336424473,207.51247364299977,42.22159904647525,D,66.97470186282905,E,E,A,A,D,1
Male,48,China,Other,94.18135836994333,53.97233937002256,D,-45.96486658315103,-48.42477928176196,-91.33373917951685,-21.900583763074525,A,155.61676694569587,D,E,E,C,C,0
Non-binary,77,India,Heterosexual,13.651938558106757,197.50498676253488,A,-0.933226070547624,-61.2673291369331,123.34202162227248,95.05018950271725,D,-0.6807508892295956,C,B,A,C,B,1
Non-binary,52,UK,Heterosexual,63.375399651705,-98.36241494356864,E,45.99029986197169,-115.85431769770216,-190.01778145986447,-149.58380013922158,C,-44.38175712979696,D,A,A,B,B,0
F,27,UK,Bisexual,-9.497844541200843,-42.76086308449699,E,20.661215018960448,-193.58884575496432,-5.662274962550038,-54.44524455245286,A,66.00468796398377,A,E,C,B,A,1
Other,51,US,Bisexual,207.62954884681218,-40.93528614127365,A,-9.784553515279384,-57.72567498408382,64.30206818160248,74.85795327195542,A,60.98083345135215,D,B,B,D,D,1
Male,48,Other,Bisexual,-80.21384403835243,183.5174881704037,B,81.80119849469021,-122.61448075238108,40.06751952381952,-16.084645069211533,E,-94.4552040889991,C,D,C,E,E,1
M,19,India,Bisexual,-230.47558011629272,-26.218199268910304,D,-97.34950362167636,214.93530360120042,325.90165421851066,-1.2712017609811541,B,48.66875139010703,D,E,A,A,A,0
Female,48,China,Heterosexual,-60.61587968887837,-127.20243993840792,B,-169.9047899380138,6.399129696384205,21.33241424954949,-194.72432141354753,E,146.66608376395865,D,B,D,A,C,0
Female,40,UK,Homosexual,-34.32889074461652,-136.5402596386973,C,-21.62889059922552,-53.05814475840296,-54.91628412275287,-62.57437626042908,A,-106.83328373038262,C,C,D,D,B,0
Non-binary,44,US,Heterosexual,-72.69259919345038,-9.872917122140242,B,116.54548295397092,-10.27201774617469,17.203021381771613,-25.211830109967735,D,-122.801665298093,E,E,A,C,C,1
Female,78,US,Heterosexual,61.273900986635134,-194.6152819954566,D,101.00509790681438,78.34434298272784,-77.56880195509702,56.4023889584675,B,0.5344492412928137,A,C,B,E,B,0
Female,25,China,Heterosexual,-17.13771438188593,-134.48915143653736,B,58.278881124879526,-92.6527495696967,38.90463704137424,151.76113009693742,A,-108.60925596050804,C,C,D,D,C,0
Other,69,UK,Other,-123.60637738301214,168.88704317372225,D,43.249438788699045,72.8360190244546,203.6795513777507,63.684113944504425,D,-18.850113993932673,B,D,E,A,E,1
M,51,China,Other,-111.4521808815131,-49.58986608805392,C,10.699662082891821,-121.54685441910141,96.4572681193,-50.08870467688238,B,54.12212655042977,D,E,C,C,D,1
Female,63,Brazil,Bisexual,27.150146474487507,-13.359486547168464,E,-112.81551878373716,208.28032940527078,-72.54328324777997,-39.9559613535365,E,51.83748726375352,E,D,B,E,A,0
Other,22,Other,Other,-79.54254607103633,0.49766688953271987,C,-12.311148605728496,-160.8039877654389,80.45233829101555,-150.1704760563965,B,132.97793603316052,D,A,A,E,B,1
M,54,India,Bisexual,64.56174793742439,-112.0725834570209,A,5.948409828164027,103.16561358823331,62.15840600016982,30.921828118500212,C,-97.35434438611438,C,A,C,D,A,1
Other,65,Mexico,Homosexual,49.27911526235234,-18.95395537038148,D,12.75795598694433,-92.38177555330395,195.8694935690095,44.99306231172371,B,-110.19781851251909,B,D,B,E,D,1
Male,47,India,Heterosexual,1.293111669500486,144.955298407474,B,91.14088855981446,2.203048024390821,21.137410019775952,52.440307417154905,E,35.65157453142763,D,B,E,A,B,1
Non-binary,44,Brazil,Bisexual,-58.511033485188214,-53.22600808886963,D,-108.86088914256811,38.252565485030765,-34.315438456659294,69.7626901062312,A,-221.7477758699285,C,A,B,C,E,0
Non-binary,29,US,Bisexual,-11.144060236265771,-46.893717004966575,E,4.482389387036435,-84.41051194926995,81.49485215079716,-80.40090280502577,A,-107.37545880334334,E,B,B,A,C,1
M,77,China,Bisexual,-81.83318476803504,24.642963295325185,B,-149.0075584863772,-103.19467426437356,18.066779273253385,-73.19362755534954,C,-39.186799041470096,D,B,E,B,D,1
Other,34,Germany,Heterosexual,-66.10144083899445,78.72777537549857,D,-10.210181409271721,-87.25166586372106,217.9529929504606,-120.41420033472437,A,-60.58414036915188,D,D,A,E,B,1
Female,45,UK,Other,-70.96766178792932,-21.84494964573259,A,10.10873116291376,-105.79991193041214,-125.71918604443862,-23.588986149997606,E,64.27539587367305,C,B,D,D,B,1
M,50,Brazil,Other,1.4947783106899095,-149.318266976672,B,-43.900091637104246,-95.5622031661906,-112.78118248601106,106.1400678759578,E,93.28124358820703,A,C,E,D,C,1
Male,76,Other,Homosexual,84.62681194378709,-303.5465552259397,D,-19.296360349821793,-14.71824179320826,-67.75498501505142,208.59145785611219,B,129.52005265686773,A,D,C,D,C,0
Male,19,UK,Homosexual,-64.54909225230817,-13.691073102854912,E,38.40254720354623,275.8316289238849,-156.03045856038253,-191.6748916125169,E,-134.7792494914912,B,B,B,B,B,0
Other,44,US,Bisexual,29.109058962245456,136.9264408434027,A,45.211025204805715,54.72775623383151,-34.62727390693222,-34.36150489834945,B,144.23480094960638,E,B,E,D,A,1
M,66,US,Heterosexual,6.02117303881327,138.90960300895068,A,-7.396242643083077,50.92591160456477,-99.40731779532173,118.16432334540717,C,99.85570777313914,B,E,C,B,B,0
Female,51,Mexico,Bisexual,-47.42352617814088,-120.72468425942063,C,-157.74262375913207,105.98279509207408,-189.62340933743897,-64.72839648111336,C,-21.550033097998163,D,D,D,C,C,1
M,69,China,Heterosexual,-18.54583467148645,-19.558892942427835,C,84.21807578597155,-70.42394789741236,-179.30633894640863,-62.40911635876806,A,3.178103064696413,C,B,B,A,D,1
M,42,Germany,Homosexual,-104.7696301604523,-51.973355759789456,B,-212.1859124184588,179.76586138047998,115.9966879575866,23.656300961637132,E,15.706893147508783,E,A,E,B,D,1
Female,58,Brazil,Bisexual,-40.32036459981369,-33.355309307162536,B,180.62801290676168,51.18358286055194,88.35894087734918,35.280961168970784,C,10.145126873585204,A,B,D,C,A,0
Other,65,India,Heterosexual,-56.77530076931422,88.87414182903112,B,56.03045235591887,-4.109119030462438,-112.92061615413893,-200.0634005366407,A,73.3423685522322,B,A,C,D,C,1
Non-binary,45,India,Heterosexual,97.39141500231037,63.613156863172705,E,-158.10619498997235,-74.86386846073596,-99.06400336329597,-153.17150999771695,D,-75.94935504195514,A,D,C,C,C,1
Female,51,US,Other,151.62239029927667,34.200278642972734,D,-112.2148926146148,-84.02940810360822,-6.4882967553508575,5.553904718102054,E,-26.68014506704861,C,C,C,B,C,0
Female,74,India,Bisexual,-197.50595745042594,-140.67456293484398,D,124.54557634666554,35.57484234900981,60.066932208412496,147.92205668827066,C,-161.02991653772366,B,D,A,B,C,0
F,66,China,Other,-91.00749360619712,-124.61309199357741,B,198.79723421246794,-84.36767203756487,17.50964602269599,81.76610892375082,B,-15.075455565205337,E,A,C,B,E,1
Male,32,Germany,Homosexual,-188.4277238120914,-38.566727204861124,D,186.89737764932735,-46.62985314063962,-154.12094920713523,-96.46697151845532,A,-68.51514755614974,A,E,D,A,A,0
M,53,China,Heterosexual,172.5306341091605,26.411844192685823,A,-22.00878975920178,219.0176953043565,127.39129548000622,154.42880982614156,D,-34.700239589456125,E,C,D,D,B,1
Other,27,Mexico,Other,-174.34429144022894,-87.6295722608231,A,-54.79070789318986,-38.04902466996309,196.9509991765981,58.47094999287362,A,127.0743006407775,B,B,A,B,B,0
F,61,Germany,Heterosexual,-41.46071737034931,86.09443225117752,D,-104.56015720238751,-50.96569783648105,-57.52762876476578,255.87815248183398,A,4.4258846581475995,C,C,D,E,B,0
Other,48,Mexico,Homosexual,93.8827875474791,0.36782717777844653,A,84.46137209461271,-46.865389761549636,-160.58634143547698,92.16763595031588,D,-322.0138825303354,A,E,E,E,E,1
Male,62,US,Bisexual,-195.3563645619736,-17.066705206362386,D,100.77528423939492,76.23983789285192,-5.703021005426055,151.30963204419396,A,6.937206771521964,C,D,E,E,D,1
Other,51,UK,Homosexual,37.998570221239056,-57.55161604925444,D,-58.04001781582948,-14.948893592195803,53.54568384357573,-2.702904157640267,B,16.099737071905945,B,A,D,E,E,0
Male,21,UK,Other,21.84042836486534,-4.508197310982006,E,76.05323137930661,-67.38688042471135,110.94327354397913,64.93479115790615,B,-77.04579505822011,E,E,B,C,A,0
M,26,India,Bisexual,37.51046858689761,-20.450978233565497,A,99.36868677527494,-33.72233872436246,-27.611972461055288,56.33093263820037,C,-8.711997160509116,E,C,A,D,A,0
Other,22,US,Homosexual,-12.988263313975937,22.91984478007451,E,-211.50997294066946,123.0976792925447,19.234211680280357,59.37100782450222,E,-213.31940407009878,E,A,C,A,C,0
Male,28,Brazil,Homosexual,-63.17949595550053,7.046915210876441,D,25.735029451008568,1.2569295096371935,-67.30146272054111,-44.33285323923235,A,29.560916425005257,E,A,A,B,B,0
Other,27,Germany,Heterosexual,51.18773078679061,12.428494864494473,E,-47.592320211510845,187.86509837026037,73.96517564562446,48.25920854667217,C,25.533212168642113,B,C,E,B,A,1
Male,36,Brazil,Homosexual,174.19759547767728,82.24791347808916,B,18.608924168169956,-78.54341407847456,-100.69890009696083,2.8204134695898233,E,-70.74180950448437,E,A,D,D,B,1
Female,67,Mexico,Heterosexual,-63.39103908114635,-42.89129829625327,A,41.93090879750509,74.13278004125752,159.08090359086106,-83.48936436363641,A,-93.78385505289258,B,B,B,A,B,1
Female,70,US,Bisexual,51.14182677222746,24.141067188763145,C,36.38250383537102,-153.6784998168234,138.47851052782596,14.031796282820974,A,13.204858448676957,D,D,C,D,D,1
M,78,Mexico,Heterosexual,-53.482947904521275,-82.27082824881393,E,-88.97407151137735,-23.926597533561573,-91.66544564337941,106.67205946829203,A,-140.17926670698935,C,D,D,E,A,0
Other,57,India,Heterosexual,96.6142511452814,119.51242837050306,B,-17.34204650628259,113.26858363011829,-68.54916794900969,-50.434506987961136,D,36.86369554340338,E,E,A,C,B,0
M,74,India,Other,-171.79292125635263,-12.38806964910215,E,-179.15321351039287,153.1027141259148,-89.84579923568873,-157.69855390436442,E,175.25059572121256,C,C,C,B,A,0
M,34,Mexico,Other,-12.849239995220895,-52.1608549383137,E,-139.82698557560605,52.74322977981417,47.34436684270869,-48.0179468188127,B,86.52017006543826,B,B,C,A,A,0
Male,44,Germany,Bisexual,-89.99176209337524,67.30471695687046,A,114.15138523456281,-4.038305584625436,-76.2059995097213,-130.43658801397086,C,-58.30990165071116,E,D,A,C,E,1
Non-binary,18,US,Homosexual,47.862044006456685,-128.0515936576964,E,33.38322265032194,2.3094960919030636,-95.20688913085516,-101.84281118548016,A,167.57736240487665,D,E,C,A,A,1
Male,36,UK,Bisexual,186.08966255475306,3.057077558344083,D,-113.58672788617082,-56.5683802692912,101.17144659588757,146.7819393500911,E,-88.93283013475617,D,B,A,D,C,1
Other,50,India,Homosexual,-165.68926345809194,27.443650295124637,A,7.867325140723162,-39.156372915236496,-87.16739925210479,-73.23973005626962,E,-57.55071551424393,E,D,D,B,D,1
F,76,Germany,Bisexual,161.99688338526565,-125.04006417114415,C,121.71450300766593,88.72894271066336,64.7181384919246,-61.239311837241615,E,49.96501349943123,C,B,A,C,A,1
Male,76,Germany,Other,15.797562861855113,107.45229133665713,A,-27.446782880788934,-27.515415617872545,52.20641210248834,59.482631897324154,E,-147.98027661201226,A,D,A,E,C,1
M,73,Other,Bisexual,-47.675172054543815,102.18634135005618,A,-56.12793398222168,57.65860292585428,-104.14077918920448,51.995645026271944,D,-147.15395783893854,C,A,B,B,B,0
Other,62,Germany,Heterosexual,63.48321962527139,-28.424249502430936,E,140.44203433299066,-107.0906718263017,-60.76132412376782,75.25497990245343,C,173.15667899138498,A,E,D,E,E,0
Male,79,UK,Bisexual,153.16110056652596,82.53095378291732,A,56.59629744354853,-6.976551114831565,-37.940559426403226,5.969827729724572,C,81.04427007194506,E,D,D,C,A,0
Male,64,China,Other,117.17064998336242,137.80327694992224,A,132.9167012973305,66.07527697970902,48.144350919614844,265.0575174058184,B,98.68625670884113,B,D,D,E,D,1
Male,41,UK,Heterosexual,28.986214793375915,-4.850779721149856,E,85.95199345502733,82.95697194419978,122.92238451443842,93.85133043694056,C,-66.77354336964589,A,B,A,A,D,1
Female,54,China,Bisexual,-46.436025972671295,-42.920657377931036,E,97.88694122630262,219.98769222512644,-3.1077052718833755,-94.64694179137861,A,57.091663494753654,A,B,B,C,C,1
Male,69,Germany,Heterosexual,110.70569875192248,-84.95133648895921,D,-154.34451593856556,23.338386971829216,-37.72093499954064,187.4380200339326,C,172.08645846159854,B,E,D,D,E,1
F,76,US,Heterosexual,51.63351199432563,-53.288460525952075,C,-102.00862371001833,-124.24719926282259,-82.20969584242063,-80.72078877662256,D,153.5497726533442,A,D,B,B,C,0
Female,41,India,Bisexual,43.42111115210533,176.49095714520234,D,-52.20341773403493,24.73883968494507,38.89243132476376,147.1656559175522,B,41.275417755967844,B,C,C,E,E,1
Female,37,China,Bisexual,-86.58593057628461,161.7373289831044,B,-42.6487409771515,17.416884242302263,-95.14083050382922,12.30647464058025,E,38.69157799646865,C,B,B,D,D,1
F,68,Germany,Other,-123.96980284142703,102.48532750189494,A,54.60527603291454,102.5403780725209,60.61039814512069,-144.21672398127106,E,-77.1164825294402,E,A,B,C,D,0
Non-binary,18,Mexico,Bisexual,37.98950431950063,-81.62619287194737,B,-132.2770596435678,36.90342546780974,4.736090019885099,-163.89145281572257,A,-28.005435542839834,A,D,D,A,B,1
M,63,India,Heterosexual,55.84737064853308,15.827573195098868,A,-44.76353435066166,-50.25061470447524,-138.4576752139792,53.298289427948255,A,-36.95727838030916,A,C,D,E,B,0
Other,33,China,Other,-247.2918610322,150.78812585007677,C,-144.59691600413214,-40.98064204428692,117.57310030352248,-114.92840267292468,C,215.0513761885389,A,A,A,C,A,1
F,65,UK,Other,-5.226565004266096,-90.21341703587773,C,-58.05648483617826,1.365357101495457,6.114328372576554,103.11394604877478,A,139.0470155588527,B,A,A,B,E,1
M,72,China,Homosexual,56.47402729292842,149.61542774957246,C,132.06650182121933,38.08061280411065,8.29781044606675,-120.60082633297348,D,-87.16813125994007,D,B,E,D,B,0
Male,47,Germany,Other,183.19158610534518,100.43690455687391,E,-87.06917235279182,-59.85753991141172,-128.63014515015735,-44.150462784587994,A,6.7885484318324485,A,D,C,A,E,1
Male,67,India,Bisexual,-81.32002901322974,66.90516201425977,C,169.5291321129667,135.29340836623928,145.81776837529833,-56.4921220408663,B,99.67873058673462,D,E,C,A,A,0
Female,28,Other,Bisexual,-100.01132355723894,184.73970479656842,A,-51.64011070611869,-6.904162622860474,-81.49008384314122,-109.64896395195866,D,-122.3614005716654,E,C,B,C,C,0
F,35,Mexico,Other,72.09530393844979,-46.57242606122864,C,-126.4932574217356,-60.795374131244905,21.19459990391272,-190.9889912709787,E,-40.922909785701435,E,E,B,C,C,0
Other,63,India,Heterosexual,198.02218128940913,46.75370067166288,A,0.4528809208140725,-30.17768943202218,4.402428144194821,-79.89550989497504,B,148.89422825426456,C,A,D,D,D,0
Non-binary,44,Other,Heterosexual,-86.08664636849228,71.9765153211757,E,-74.44510569722236,178.1717863327417,35.91382015188266,-43.38586535144691,E,55.29588093613164,C,B,E,B,A,1
M,48,India,Heterosexual,-15.217820107194083,15.688036173343821,D,36.362189951135996,-83.06975528222554,86.83626636938787,-120.40580146296101,B,-116.27339588917052,D,D,E,D,B,0
Other,26,Other,Other,15.860005229494762,-81.53557602269265,D,-5.17638815222992,-33.00453510286459,1.465061431603873,-89.29356651532376,E,-70.99574728871868,E,D,D,E,C,1
Other,41,Brazil,Heterosexual,70.72306903531633,82.99419022898263,B,234.33811077239807,-57.92755253931507,-215.38297687035475,-158.22775627481752,B,-100.1197031128517,B,A,E,E,B,0
Other,50,Germany,Bisexual,-52.28661208745471,66.76783383988639,C,-61.554648277946775,-26.4979652489112,13.108047215376534,1.5135174789906352,C,60.75457590742054,B,A,C,A,B,0
Other,78,US,Homosexual,3.658989351853612,24.324052067723343,D,14.676909487523343,-44.676064268901776,-188.8872968766655,42.446802631930595,A,52.15697774426316,E,B,A,D,B,0
Other,62,Brazil,Bisexual,126.89225498515928,144.25091536777592,C,72.46046306817452,-180.96960563412412,-260.08443309521687,5.20066508879945,A,108.14191689145265,A,D,E,D,B,1
Female,58,Germany,Heterosexual,-113.80966524442447,-97.50820144976272,B,11.170866801341752,-44.03226436808191,60.580378439297824,-106.77404954961587,A,-82.27509388920362,B,E,A,A,A,1
F,67,Other,Bisexual,283.49171661642856,-10.670507275311794,B,-77.91576887741004,-33.357374788222735,-4.733555038600962,-51.26934094560708,C,-1.8487843873608227,B,E,B,C,A,1
Other,77,US,Heterosexual,-204.13114136083203,146.71825633541314,B,220.136153089926,-18.59289845071253,-58.40144413069898,-5.400830535975102,A,-167.44025545854427,C,A,E,B,E,1
F,39,India,Bisexual,32.35022341888662,40.339912200037205,C,23.7674714410608,27.54907124857763,72.18369633704327,-33.22385032256653,A,-126.70890182257656,A,D,D,C,E,1
Other,42,India,Homosexual,-25.32588085600655,-114.06105172278616,C,58.473283282001944,230.96324050566616,-133.53391564298647,168.21763107904434,D,8.0346894610317,B,D,E,D,E,1
Male,65,US,Bisexual,22.188542145182303,-11.814463279553857,C,12.207040637802486,277.31433099858276,-160.69291954599376,-14.792745921892658,B,46.22523560027414,D,D,A,D,E,0
F,29,UK,Other,69.4468779377979,-89.5964247704027,D,57.291569620523696,-14.76226332430721,61.992616186032954,-9.621339639083706,A,60.962169432624634,E,D,E,C,E,0
Male,43,Germany,Bisexual,34.959886444467486,153.09546453422618,E,70.42105817708914,-29.485634440221204,-67.07636090911774,16.565329223073366,D,142.44192985853545,E,A,A,C,A,0
Other,24,China,Other,-32.4522358368162,118.82361022357246,E,-202.870734975584,-8.733310188669547,168.84432122457346,156.07259006649204,E,61.61433370925881,D,B,E,A,B,1
Other,40,China,Other,55.755489657630605,-157.02292379214506,A,15.269804945025427,62.30884302498001,9.705142170085832,42.28882846884133,D,-66.59618156560194,A,A,C,D,D,0
M,18,US,Other,23.829036332874104,177.34415066576653,D,20.017903991526342,-63.22446960544168,0.7467528885935284,203.51879576946516,B,-46.74970332620322,A,D,D,A,E,1
Non-binary,73,UK,Other,180.45418113155736,-77.08343373291548,D,155.73333877095823,113.42965255152788,128.36061791909492,201.5274834421465,B,51.026770613252936,A,C,A,C,D,1
F,79,Mexico,Heterosexual,-67.86459678893068,17.90858256625892,B,27.597488195888513,-295.55011582014623,4.0097896738928975,128.76285394264355,B,-36.738530919151934,B,C,C,D,D,0
Other,79,Other,Bisexual,-17.810567142807994,-48.410191122880036,C,32.81352475739421,94.4215844677672,115.21523801506407,-50.61881291110597,C,-42.60704845500406,E,A,B,D,A,0
Other,66,Brazil,Bisexual,30.16426272067302,-17.632083107212676,D,2.523179257153201,-97.90871928998813,52.910275334597,-17.26745987763573,D,125.16738048461258,B,D,C,C,B,0
Non-binary,70,India,Other,24.119901816391685,12.645842422922327,E,-23.166706240369923,168.95417450345437,24.363545125893378,66.53923455918115,A,36.44393271629177,A,D,E,E,B,1
Female,39,Other,Heterosexual,184.71009824719172,72.34289916565271,D,-228.035761461647,55.81221307607335,-71.10709926924179,199.5380036736742,B,-150.0788340833781,C,A,D,B,C,0
Female,68,Mexico,Bisexual,-24.89209933775974,79.99968522989053,C,-13.037740673976812,114.75626158965623,-149.25905841884122,-116.19892144027892,B,77.79723408245113,E,D,B,A,C,1
Female,47,China,Homosexual,-25.904658239315115,71.99345234378434,D,-194.33407787365022,-11.344261869297801,-71.63008986566733,128.89150213427592,E,-128.39699298567865,A,D,C,D,D,1
M,22,US,Homosexual,175.19498193757562,20.95638157523247,A,-127.22842072770378,-53.767438443984226,135.73233743692103,-51.35842979923334,E,-19.816486528723306,A,C,E,D,C,1
M,55,China,Bisexual,-21.14794661089095,94.01355599922302,E,-208.9826129092226,126.7965019259837,176.84763918548168,107.33921439541515,A,27.54011164236078,C,D,C,D,A,1
Non-binary,79,Other,Other,227.84374337061757,-60.4393021764542,E,60.53236816181479,11.952585646257571,86.53065177671877,-19.16664883678621,B,1.7640568255504665,E,A,D,C,E,1
Non-binary,25,Other,Bisexual,-5.625609834667649,114.65500975724845,E,-24.169856447190718,-253.7665218170178,-36.4376321523996,53.59492950355804,B,-54.65436993614139,D,C,E,A,A,0
F,55,US,Bisexual,-18.909694676248172,-33.158360699068076,A,-31.4566105026202,-15.937240575836627,-65.30491639883024,-27.145782593576957,A,-55.86336341749166,A,B,B,B,C,0
Non-binary,61,India,Homosexual,-42.95976197761145,96.04318682405992,A,178.4068269185869,6.159049691606703,-54.33971767736689,92.0189386176956,D,-53.84599476327071,D,C,D,E,C,0
Female,24,Mexico,Other,61.47957223127837,-27.1129313429398,D,84.04061358410686,-126.28695962877082,-8.065255872758335,195.08378467199017,E,-118.28858964877892,B,D,E,E,A,1
Non-binary,54,India,Other,-63.18521791942657,-149.27682710737528,E,103.62308401067406,-169.9026198810713,55.78559172079293,83.40611534651863,B,-113.63974000405616,D,C,C,A,E,1
M,43,Brazil,Homosexual,-101.25204476350763,29.06124042549282,D,-81.80994850829413,96.72917567487531,116.30689378421934,82.45601139525296,D,-129.51028731360054,B,C,E,D,C,1
F,78,China,Other,124.86502885294443,9.049606125258434,A,85.25140693934861,84.4614584350908,39.700672452164525,-33.24469060367077,A,47.48442706296397,D,D,B,B,D,0
Male,59,Other,Heterosexual,-27.688113836887656,83.72223510233144,E,207.63880502389563,-68.13061887853095,89.77742759161853,-54.84484601728587,C,-21.307219935511952,D,D,E,E,B,1
Male,40,UK,Bisexual,56.99656512173009,-29.82356792515446,D,-130.6341871488104,166.96679030240753,-68.18106138000363,-172.13896981377727,D,-164.9762335698939,D,D,B,A,A,1
M,48,India,Bisexual,-12.643063229618793,-102.67919114083317,B,19.263171017629908,-66.26279892771257,-11.94933793549691,91.26244675183645,D,62.52900005722404,A,D,D,C,A,1
Non-binary,22,UK,Homosexual,144.10336794656718,113.66282143172013,D,89.64520048742159,133.30142023581857,-110.13256446302069,-21.792623980762844,C,14.23289720979099,E,B,E,D,E,0
Male,52,Other,Bisexual,-35.96460745599399,-2.963684561438315,A,-71.03306956671604,15.973176217111273,-116.68509657465466,196.5075823129233,B,94.06314411653356,B,C,A,B,B,1
Other,20,UK,Other,-87.22829068426739,-34.84138665564603,C,21.834040951387905,32.34053999570111,67.34681430098632,-126.93569684643155,D,-114.5850764223209,E,A,E,E,A,0
