sex,anos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
Female,66,-66.16389139271683,45.66615697033847,C,C,B,D,A,D,A,84.27323531507619,E,A,B,C,0
Other,35,-133.1345680667226,-32.47630041667834,E,E,E,D,B,B,D,-99.4356792245904,C,D,C,D,0
M,89,-158.2348608971258,-178.75735934012974,C,E,A,C,D,C,E,-121.22241857736664,E,D,B,D,0
Non-binary,44,-35.358384863236395,-77.88682521812424,E,D,A,A,C,B,D,-111.34200249832304,A,B,B,E,1
Male,27,-16.509880976435035,-36.08613284202343,C,A,C,D,E,C,E,245.92074739320742,D,E,A,C,0
Non-binary,91,-63.53112511548983,42.53959100215654,D,C,B,C,A,D,E,114.57814608999561,E,D,B,B,0
Other,45,-23.664098452167323,-71.55676777992119,C,B,D,B,D,E,B,-113.90149561110306,A,C,A,B,0
Male,66,167.8146170236617,-33.95709466211852,C,A,E,D,D,D,B,69.34777259765022,A,C,E,B,1
Male,42,-35.871571605839414,48.67911525397012,D,C,B,B,E,C,B,17.857699706238193,A,D,B,B,0
Male,95,151.93224754271714,33.49209653544102,C,B,B,D,A,E,B,38.17430573813049,B,D,E,C,0
Female,27,-24.763864005763914,141.35124065873984,E,D,D,E,E,E,A,151.88866292747466,A,C,A,A,1
F,92,52.92540453491025,52.36613730208648,A,E,C,C,D,B,B,-11.999943699233464,E,D,B,E,0
Female,54,-94.02027404903161,-223.524462880037,E,E,D,D,C,A,C,34.671388531962634,C,B,D,B,1
Female,96,31.21227725431141,31.274016915027126,D,E,D,A,A,D,B,38.871586022761925,D,B,B,C,0
M,52,-123.33060587321683,104.75544622019568,B,B,D,B,B,E,B,-25.558535826840078,C,D,B,E,0
M,73,30.802896264027375,2.6390063068788585,C,B,B,B,D,C,C,67.83572945847077,A,E,D,E,1
M,35,161.96918979836994,-23.636271168005283,E,C,E,C,C,D,D,99.25639367558496,D,E,B,E,1
M,26,143.80317190241684,97.86089855816425,D,A,A,B,E,A,B,135.55752584873616,C,A,E,A,1
Other,24,-75.7583743375645,204.35433609531862,B,E,D,E,C,A,A,-87.53964659011598,D,E,D,D,1
Non-binary,37,-107.45080397747313,-186.2289602418184,A,D,E,E,A,B,E,-19.529757824275226,C,E,E,A,1
Non-binary,90,5.230686360284578,-47.02014266364153,D,E,B,D,D,A,A,-221.10456151730432,D,C,A,D,1
M,95,18.735840789053597,-57.46071681283169,D,D,D,D,E,C,C,-1.6010666330125027,C,D,C,C,1
Female,83,-82.6000587124689,106.12786199419955,E,A,E,E,D,B,B,-35.06452971867101,C,A,E,E,1
Male,75,41.781906236151734,-99.6868373393643,E,C,E,E,A,E,D,58.195401696223236,A,C,D,C,0
Other,69,62.322922554988246,107.41063212633017,D,B,B,C,E,C,E,102.58135560649487,A,C,C,B,0
M,82,87.56651412702332,-37.12488699607014,B,E,E,E,A,E,D,70.74306557789721,D,C,A,E,1
Other,80,73.88115133849185,-33.64931673600453,C,D,C,A,D,D,B,-67.26252976403049,E,D,D,D,1
M,56,-40.56289288094652,-52.82836726521572,A,E,C,B,E,B,E,196.99943418861068,A,E,B,D,1
Male,72,-121.94064142972564,-75.50261276089807,E,C,C,E,A,A,D,-93.69659808133729,E,E,A,D,1
Male,39,102.48427417324667,-93.93838618646853,C,D,B,B,B,C,E,59.071345015344555,C,A,B,C,0
M,41,-87.82712270216855,60.710894974353835,B,A,A,D,B,B,E,1.2780637361026028,D,C,D,E,1
Female,32,203.09330218874834,-87.21748780670117,E,B,A,B,B,A,A,-58.28669576449725,C,E,D,B,1
M,93,64.50837543605378,-179.34177432952896,D,D,C,A,C,A,E,78.83288806510535,D,B,E,E,0
Female,38,125.79688560339619,-18.546012646415814,E,A,C,E,E,D,C,44.05308897746642,C,D,A,B,1
F,90,-32.599744268841306,40.26522996530736,A,E,B,E,E,C,C,240.5720264618288,D,C,B,A,0
Other,27,-50.5387330936019,152.28112244335475,B,B,A,D,B,D,A,35.12892860358915,A,C,D,D,1
Non-binary,77,165.5931067745431,144.0843172116678,C,C,E,E,D,B,E,14.376294747945762,D,C,B,B,1
M,44,119.71063822163998,54.457167777802674,A,D,C,C,A,E,E,-17.767230603561764,A,A,E,C,1
Other,39,-84.16074284613734,73.85464600330461,E,C,A,D,C,E,A,-201.11877982519326,A,B,A,B,1
F,73,-55.60329807320217,87.50725730811467,C,B,D,B,C,B,A,-52.430605103393034,A,C,D,A,0
Male,63,75.34966780696159,-11.446606024312509,A,C,D,B,C,D,A,-33.55349291692335,C,E,E,A,0
Female,81,27.388099274323967,35.86557085725883,D,E,E,D,E,B,A,-6.317739238360194,E,D,D,D,1
Female,94,139.88801047929087,-31.869619009963646,E,B,D,E,C,E,C,-1.9175263067558381,B,A,E,C,1
F,77,-67.67169906335815,41.81276333521901,A,D,C,D,B,B,C,-100.50354388997174,D,D,D,E,0
F,88,48.60952551386876,47.71545994120284,A,B,A,A,A,C,C,-70.95546265796526,C,A,C,E,1
M,49,16.119978463169023,8.691315866980451,C,E,E,D,C,A,A,38.34187325122021,B,B,D,A,0
F,92,139.74202324752466,19.20327684609777,C,E,B,B,B,D,B,0.06274310444521557,D,E,E,B,1
Male,56,18.64109174744529,-132.5481309606316,D,D,C,E,D,A,E,17.443146898753824,E,C,C,D,0
Other,61,-35.81743311676836,-140.40087484156248,A,D,B,E,B,C,B,-8.850031949706947,A,E,D,A,0
F,87,186.16267433853668,-12.216072566346634,A,A,E,C,D,B,C,-105.28668696271663,D,D,B,A,1
Non-binary,74,-73.57325721921325,206.4221039235326,D,B,D,E,C,E,B,36.447040464843525,A,E,D,A,1
Male,64,-131.56523275634189,41.807276812227215,D,C,A,C,E,A,D,119.95664903632486,B,A,A,A,0
Other,70,185.85911780403123,64.39093466776364,D,D,A,C,C,D,A,24.91507663559372,A,E,C,B,0
Other,18,-97.61755458262513,48.35553963561267,C,D,A,E,B,C,B,87.6378984016691,D,D,D,B,1
Other,53,115.36161613042198,-73.71034044374669,A,D,B,B,A,D,E,-36.94992097649244,C,E,B,E,0
Female,87,6.170349676165934,72.690750758703,C,C,D,D,D,B,C,52.68579751001291,D,B,E,A,0
Other,76,68.826128225136,93.7149818786777,C,B,C,B,E,C,A,-103.08113814415498,D,D,A,D,0
Male,67,37.18547271249085,-102.99336040624776,B,A,E,A,E,C,D,-87.75172136766261,E,E,C,B,1
Female,54,144.96053101237044,-108.19923815213828,C,C,B,E,E,B,E,80.78158546774033,C,A,E,A,0
Male,97,-141.64546726096182,108.07460032617573,C,A,E,C,C,D,D,-115.40917033464618,D,B,A,B,1
F,53,-34.146901352524715,92.2736621947481,A,A,A,D,E,B,B,-150.7646135547213,E,D,E,E,1
Male,33,-49.87751427410527,70.64551356394807,D,C,E,A,A,A,B,-53.37497503059663,C,B,B,E,1
Non-binary,93,114.05391158686497,-65.90891288029374,D,D,A,E,B,B,D,52.59820829501041,A,D,E,D,1
Male,94,34.25658592675714,26.827682969836708,C,A,C,A,B,A,A,10.907535543604187,A,B,E,E,1
F,41,-37.72581202166237,-85.83224004100033,B,E,C,D,A,A,A,82.07549487207405,E,E,B,D,0
Other,20,-87.62328735636456,-23.3027647137225,A,A,A,A,C,B,B,17.80398355575417,B,B,C,E,1
Male,84,-149.7317820007956,107.11675469455409,A,E,B,D,E,B,C,-197.93735446277663,D,A,E,A,1
M,90,-5.9520664084865755,-141.78418374992597,E,E,D,B,C,E,D,60.319923649195125,B,B,B,E,0
Male,83,60.20900213074777,-88.78145183636241,D,E,B,D,E,C,B,-19.63112549560408,E,C,D,B,0
Male,95,85.10219269180148,111.11543821700327,D,C,C,A,C,B,C,128.94983195888366,B,E,A,E,1
Non-binary,98,101.99903335327343,3.235580919810569,B,B,C,B,A,B,E,60.10150035420325,D,E,A,E,0
Other,30,-108.01268318462837,-29.430748913934536,A,D,E,E,C,E,C,-24.984329429841388,B,D,E,D,1
Non-binary,79,-19.39718579629755,53.662030045605235,D,A,D,E,C,C,A,82.7344002580873,B,A,C,E,1
F,45,-16.584643099364612,-101.30489036454979,E,E,C,A,E,E,E,-32.75280384525881,B,A,A,B,1
Other,30,-113.86314745376981,32.629103206607404,D,A,B,B,D,D,C,155.01753022718,C,C,D,C,0
Female,94,157.81169181542128,-150.63381857691064,C,C,A,C,A,B,B,-35.22470130606517,C,A,A,D,0
Female,39,-134.43232509442004,7.7520197979392425,A,B,A,A,A,D,C,45.52906548029393,A,B,B,D,1
F,80,-165.0771429000342,157.24617741359688,A,B,E,E,C,C,B,30.559821863273278,E,A,A,B,1
Other,44,-160.40656548669836,-102.95015355327183,B,D,B,C,E,A,B,-154.94000562412205,E,A,C,B,1
Male,69,27.36809841505744,-127.69787718630299,A,C,C,A,C,D,C,193.11665204412313,B,D,C,B,0
F,95,0.7274556851932372,83.56836710874607,A,D,D,D,A,D,B,-45.889046414653976,B,A,E,D,0
Other,97,171.65489540590997,64.2610216901996,D,C,E,E,A,A,C,-31.123707242985233,D,C,C,A,1
F,70,-87.15924699460756,-42.40985848149469,E,E,D,B,C,B,D,92.29528874976356,C,B,E,D,1
Non-binary,29,167.13069014618026,28.84176933048067,A,C,E,C,A,E,D,16.030393699476996,E,B,D,D,1
Male,52,-71.9923796349086,49.90162640323511,D,E,E,A,E,D,E,-105.86821588626476,E,A,B,E,0
Female,58,82.93790352604584,-71.06748230111684,C,B,D,D,A,D,E,-44.42878967959,B,A,D,D,0
Male,61,54.04161254525758,157.00393611492967,C,E,E,A,B,B,D,63.3429336339031,E,A,C,B,0
Male,44,45.03248069450033,-53.08039012065648,B,D,C,D,D,C,D,114.31896309634047,C,E,D,C,1
M,96,-24.545872712146128,34.84927650957822,E,D,E,C,E,A,E,99.017713013274,E,C,E,B,0
Male,20,30.44304306247721,-16.2546864719947,C,D,E,A,D,A,B,50.42387327308232,E,E,B,D,1
Male,26,-16.48310095321316,51.29140906358134,D,C,A,C,A,A,B,-112.29068093183623,B,E,C,B,1
Male,98,51.640276388896986,-88.81115789666674,C,B,A,D,B,B,C,-6.170065843751477,E,C,A,B,0
M,91,82.41994374528299,18.41911663507016,C,C,E,D,B,E,D,61.420276155241616,C,C,A,C,0
Other,50,93.45236337889675,-92.86541001088456,D,E,D,B,B,B,C,14.358131056223666,A,C,A,A,0
F,34,83.5879479389701,-100.46490742491589,B,A,E,C,B,D,B,55.92729101694187,E,D,E,B,0
Non-binary,32,25.662828806632938,147.31309447129863,A,D,B,E,E,E,E,24.83973037818382,C,A,D,B,0
Female,19,61.705057655341754,-36.366471991108114,C,C,E,D,D,B,D,144.88123601723905,D,A,C,C,1
M,52,138.83186995150234,6.359661032350488,D,B,A,D,C,A,D,-10.175288315518921,C,B,D,C,0
M,80,118.82714438081254,109.37954273457771,B,A,B,A,B,E,D,-1.5932902385145429,B,B,E,C,1
Female,73,76.9185852738018,-189.62524948543975,C,B,B,B,D,C,E,-66.30123929429128,B,A,B,D,0
Other,43,180.5178794703324,-89.84428640834176,B,E,B,A,A,D,C,102.58236205623406,A,A,A,C,1
M,67,85.21868207099769,228.07293638240762,C,E,D,C,E,B,C,56.643944293670636,A,D,E,D,1
F,35,-179.33759868464762,151.4477288255541,B,B,E,E,E,B,B,-4.533415330382757,A,E,E,E,0
Non-binary,30,-146.87717175361303,2.0114716865573414,A,A,D,E,D,C,C,-48.05630076725681,A,D,D,E,0
F,68,211.80756582011702,-113.7085671279803,A,D,D,A,D,C,C,89.17289139153807,B,D,A,C,0
Other,33,141.50288262625836,-6.123168798907836,C,A,A,C,D,D,D,59.41083152925015,E,E,B,D,1
Other,44,-24.143311747569314,-34.766690005553485,D,B,B,E,A,A,E,62.48329275173249,A,A,C,A,1
Other,34,144.98584457116257,197.0067064606748,A,E,D,C,C,E,C,-34.18853305741674,B,A,E,E,1
F,44,137.02227313453747,-74.16289209158232,B,C,B,A,D,B,B,-106.88086621923402,D,D,B,A,0
F,21,-17.87668385385769,-14.868672336362291,B,C,E,E,C,D,D,155.78875915537444,C,A,A,A,1
F,26,0.7877001744768081,-75.8079392202368,A,C,D,E,A,B,E,-45.5723816115122,C,D,D,C,0
Male,54,-146.6402160500754,5.1329094753257305,E,C,E,C,D,D,D,-1.0096196912475632,C,B,E,D,0
F,76,-34.16454592598623,109.92764847507395,C,B,C,D,B,C,D,84.33518884195114,B,E,E,A,1
Male,85,-44.41301946262911,73.79168800072155,D,C,A,C,B,A,D,-123.63528823086352,D,B,A,E,0
Other,47,-12.453550680869489,-21.332821686066076,E,A,C,D,E,E,D,-213.87480131800805,A,E,E,E,1
Male,86,-89.81248384030768,137.19784951547408,D,E,C,A,E,A,C,-65.24889185572323,D,E,D,D,1
M,32,-85.60500795263353,-84.4539222704232,B,E,C,C,B,C,B,26.82113865812837,D,A,A,E,1
Male,29,143.03636083281754,-118.6248037047935,D,E,B,C,D,C,D,-4.057007222012656,D,B,E,E,0
Male,19,111.50540577825025,65.9060867612808,E,B,D,E,D,B,D,-136.7231542465269,C,B,C,B,1
Female,33,158.34733778250325,-99.18661597786331,E,D,C,B,B,C,C,-14.188038096641959,C,C,D,D,0
M,55,-164.58218080501493,54.74317661807193,A,B,B,D,B,B,C,-90.49394654935156,E,D,D,E,0
F,43,-4.034692648730666,101.86509737678,B,B,B,A,A,B,A,403.171632211787,A,B,C,D,1
M,70,17.376783013725323,-24.668374618940963,B,B,C,B,A,A,A,-27.793064042090766,A,B,D,B,1
F,59,-11.298273526185666,-69.33871680943568,C,B,E,C,E,E,D,-209.71877270187238,C,E,E,A,0
Female,75,-17.309209559869508,-83.20542903803909,D,B,B,C,E,E,D,-130.39817399838628,D,E,D,C,1
F,47,92.6559493680417,7.340981324599606,B,C,A,A,B,A,E,125.98018231843821,E,E,B,D,1
M,42,66.29558813970998,-43.80296528382528,C,D,B,A,A,D,B,-28.003523020993075,B,C,B,C,0
M,75,47.51288848359328,-106.89014277055595,B,C,C,C,A,A,D,-40.8918347704045,E,E,B,A,1
Male,95,-23.97566302946833,-57.98630530198986,E,C,B,C,E,D,E,-28.306145587578897,D,C,C,B,0
Non-binary,18,-139.20344467498686,-14.525596885982178,A,D,B,E,C,D,A,-37.959455275049066,D,A,C,A,1
Male,72,106.5790677249084,-120.9998186646114,A,D,C,D,E,A,A,24.0644225084768,A,A,D,B,0
M,89,-130.1144559047102,117.25536731896895,C,B,D,A,D,A,A,-9.799142807810505,A,C,B,C,1
Non-binary,67,169.04514377077433,230.08135786111689,A,C,D,D,D,B,C,111.28989215567138,D,C,D,A,0
Male,68,-44.783030697857065,36.56863830538903,E,E,E,D,B,B,D,-165.5693108390241,A,D,A,A,1
Non-binary,32,107.97555644285734,-114.83227741864748,B,D,D,E,E,B,D,-194.44296124106552,B,E,C,A,1
M,53,66.3050593860351,-90.31378235681385,E,C,B,A,E,B,C,19.848659928890537,C,B,B,C,1
Female,98,-114.06182041420416,-32.57229103562831,D,A,E,C,B,E,A,33.95571374915435,C,C,B,A,0
F,49,126.89090102660873,4.558322542691247,C,B,C,B,E,C,E,-60.707328973678855,E,E,C,B,1
Other,38,-84.7729076894096,-58.610880916650174,A,E,D,B,D,B,C,144.8984822450119,D,E,C,E,1
Non-binary,53,56.86206056309588,-46.03090541391122,D,D,D,E,E,B,E,-74.91076681811974,B,D,B,D,1
F,49,2.60612664457768,20.810632838650402,C,C,B,D,C,E,E,67.64039340933464,A,D,E,E,0
M,84,-36.37848135663354,44.38410587872919,C,A,A,A,A,C,E,-7.185909777361227,A,D,C,D,0
M,23,-222.82171309624,-199.15477741499765,E,B,C,B,B,D,A,79.78898784822759,C,B,E,D,0
Male,25,166.93979185839967,227.3770009284638,C,E,A,C,B,B,C,-47.07565224311768,A,B,E,C,1
Other,45,100.13295049308478,-10.976630674278773,E,E,A,B,A,A,D,100.91739622982723,B,E,E,A,1
Other,52,-51.475856877008596,117.3618711503373,C,A,B,C,A,B,E,-63.731109725125265,B,A,C,E,1
Other,68,15.211331150288068,19.96875220187108,B,C,B,A,C,D,E,11.640707503306018,D,B,B,E,1
Non-binary,43,-143.1062466661181,24.361050266017394,C,C,A,C,C,D,A,-27.745742251507032,B,C,A,D,0
M,75,110.98398560481925,170.67652156511238,A,E,B,C,A,A,D,119.82862214811033,A,E,A,B,0
Male,30,-90.35294362735102,-20.663440524952964,D,E,A,E,B,E,B,31.198481652965487,A,D,D,D,0
Non-binary,52,-104.84577756893036,66.94644956350893,B,B,E,A,B,D,A,-132.93819771517772,B,A,C,C,0
Male,38,-51.07685757981517,-62.461996365423445,C,E,C,A,C,D,B,-91.85260560090525,C,D,D,A,0
Other,80,76.88120882416531,-62.86687472612381,A,D,E,E,E,D,A,-117.03854325079112,D,E,C,B,0
Male,53,139.3176360576934,34.33098760187527,C,B,D,A,B,C,D,-81.3544772988911,B,C,E,B,1
Non-binary,31,-70.54067867402061,-124.33656466653349,C,B,B,C,A,C,A,-174.42267878500084,E,C,C,B,0
F,82,102.25856973472504,112.61645529698066,E,D,E,B,A,C,A,-78.06771199871237,A,D,E,A,1
Female,41,-19.08017353973722,-60.46965398050565,C,B,B,C,C,D,C,-40.20476505166728,D,C,E,D,0
Non-binary,92,-5.533724842456016,-71.41311722543445,B,B,B,A,C,B,A,22.76294961523368,E,B,D,B,0
Female,53,-30.935211284247494,23.416812722071306,E,A,B,C,D,C,B,60.44379854253329,D,D,B,A,0
Non-binary,35,29.892425443942066,-113.76606049564234,D,B,E,B,E,B,E,-72.26359322793884,B,A,A,D,0
Non-binary,86,129.82834362976544,-77.05334534260136,B,A,D,A,A,E,D,244.03472168355586,C,B,B,A,0
Non-binary,77,-14.365660693986019,31.598603151466136,D,C,D,E,D,A,E,97.21816155910976,D,C,C,B,1
F,61,46.94518701612043,70.60422961291799,E,B,B,E,C,A,A,140.64226492514072,D,C,A,C,0
Other,36,53.11450487800743,25.00674012375948,D,C,B,B,C,B,C,-27.31575811692512,D,E,D,D,1
F,57,-26.332684889106844,-52.006213503019026,E,A,E,A,A,E,A,2.230940226577524,D,A,C,E,0
F,67,281.98344177118156,-88.9951222011937,C,B,B,C,B,D,E,8.229050272154604,C,B,A,A,0
Non-binary,44,54.17919295808555,-94.70525836559062,E,E,B,D,C,A,D,29.484661511675135,A,E,E,A,0
Non-binary,80,23.990322617626635,166.58008611193594,B,D,C,E,D,C,C,-171.48303476855523,A,E,E,A,0
Non-binary,55,153.49523425821587,-142.86330120673236,E,A,C,E,A,C,C,97.17634565999133,C,E,D,B,1
Non-binary,35,-5.848534357422484,-9.360090916860653,E,B,E,A,E,C,B,50.22417118074678,E,A,D,D,0
F,31,79.68175204691265,24.025364701104614,E,B,D,D,E,E,A,115.12801752779889,A,C,A,D,1
M,28,-75.40463061055738,-30.843038172670095,D,A,D,C,E,A,A,238.37032179342313,E,D,D,C,0
Male,35,-92.19463396444971,119.94899542421027,D,A,B,A,A,B,C,-89.6909784077364,C,A,A,D,1
F,89,50.75034843805564,-24.018014138746288,D,E,D,A,A,D,A,92.26147941745135,B,C,B,C,0
Male,61,15.250455001432394,37.73393875665735,C,C,E,C,A,A,C,-116.49534783212702,C,C,C,E,1
Female,26,58.646852155148,133.40142427202628,C,A,D,C,E,B,E,14.786827650952205,A,C,C,D,0
M,61,158.47020786811348,95.32367672323947,D,D,D,D,A,C,D,-43.22618172674687,C,C,C,D,0
Other,56,1.646533177208182,-84.88477460452103,A,C,A,B,A,B,E,-35.7852515467558,C,D,D,B,0
Female,91,-8.887108047050637,-9.162625695374885,D,D,A,D,B,B,B,7.122773580783923,A,E,E,C,1
F,52,123.33360205278443,231.71119639479843,C,E,B,C,C,C,D,-26.448362188833187,A,D,B,B,0
Male,89,69.37159020780473,22.761146078461536,B,E,D,A,D,C,C,-27.54261448094837,D,D,E,E,1
Female,70,39.87681015202332,-13.700488794435595,B,D,C,B,B,B,B,-10.501288706690428,B,E,B,B,0
Non-binary,71,-94.22990460970834,9.174553615571673,E,D,A,A,B,B,B,-2.7072942196153744,C,B,E,D,1
F,95,15.91012187750001,-106.78893913339415,E,B,B,C,B,C,A,-6.774805099460266,B,A,E,C,0
Male,21,79.27075311089325,81.22152896211158,E,E,E,A,E,D,C,-70.46953627254449,B,C,B,D,1
M,93,250.8507746808121,-152.85747505547295,E,C,E,C,D,A,B,-56.5439060727994,B,A,C,D,1
M,29,-50.288622378085634,-17.28689982654485,C,B,C,B,A,C,D,-147.35783951313505,C,A,D,C,0
F,66,79.74436585927991,-259.41769308089937,E,C,B,D,C,C,C,-64.20584848809877,D,D,A,A,0
Female,64,71.96929070328972,-197.13890103364636,A,D,B,E,E,B,E,-9.997193934478913,B,D,C,E,0
Other,64,143.13495184554682,-16.443571240516714,E,D,E,B,E,C,E,123.44089475140227,A,A,C,C,0
Non-binary,46,-47.42828583668148,40.7034937787327,A,A,D,A,A,A,A,5.3117080722862955,A,A,B,E,0
Non-binary,99,17.791430788877264,7.207259239131905,B,C,C,A,C,C,E,63.20201760062362,D,E,D,D,0
Other,64,-238.0826992445836,60.676314997419965,B,C,A,A,A,A,E,-41.368795891732525,E,A,E,C,0
F,92,91.20357088621785,-56.02796641591827,C,D,D,E,B,D,D,-22.39365147213527,E,C,B,E,0
Female,46,46.49686464571286,-77.4789893565404,D,A,C,E,B,E,E,150.36177160472548,A,E,C,D,0
M,67,9.911496685543696,-37.27900919804444,A,E,B,A,D,D,A,-158.9374193189106,E,C,E,B,0
F,95,-53.340192261001675,44.81461816490337,D,B,A,E,C,A,A,-101.06411593733912,C,E,D,C,0
Non-binary,37,-51.79604507943307,-103.5813119113916,A,D,E,A,C,D,D,-19.7352276528968,E,D,A,A,1
Female,44,-33.230184961827355,175.22764354447668,E,D,B,A,B,D,D,-81.14730079164244,E,E,C,B,0
Other,20,8.363527554288785,83.54492007765651,C,E,A,B,D,D,C,66.19542498770069,A,E,C,C,0
Male,56,-20.022685396282288,98.63875485417469,E,C,B,B,A,B,A,-200.5748719516555,A,A,B,E,0
M,79,-68.7212901169467,-42.223506868178326,A,B,A,A,B,C,A,-16.356498050184694,A,D,B,A,0
F,73,-156.8558308584131,-97.26837145219693,B,A,E,A,E,D,A,-75.7859412658447,E,D,D,B,0
Other,24,-10.081074848153458,34.826114659094195,B,B,E,E,D,B,D,124.71276941261571,D,D,D,A,1
Female,98,-85.81693196490325,70.34021593896045,A,A,A,C,D,E,C,-97.02398877972071,B,C,D,B,0
F,45,10.508018656288755,-38.41890588578124,B,E,C,A,D,B,A,-114.22311523867859,A,C,C,D,0
M,55,16.760552374891624,132.82877029766357,A,C,C,A,A,E,B,-103.12081798326416,A,E,E,B,1
M,90,78.57788525391405,-86.22042314044812,B,E,B,B,C,B,D,-138.83941839744708,D,B,B,A,0
Male,68,-204.8922831957107,-158.3746408617569,B,D,B,A,B,C,B,-4.085214525107755,B,A,C,B,0
F,62,-0.8525759479483366,77.63461550476363,D,E,E,E,E,E,D,73.75686915451318,A,C,C,D,0
Male,94,13.433602517214569,-27.582861839889183,C,E,C,C,A,B,A,-207.64085085943015,E,E,C,D,1
Female,21,-1.576612489436701,181.87667413509277,D,B,B,C,C,E,B,-28.125729205881537,E,A,E,A,1
Male,29,23.216900517585746,9.448672230360902,B,D,D,E,C,D,B,60.21783904867147,D,A,A,D,0
Other,85,-127.86142974905246,-10.669671293329847,C,C,E,B,C,D,B,97.65701211677094,A,E,E,C,1
Female,48,62.328044640127565,40.45600294712565,A,A,E,B,E,B,A,129.64525043676255,A,C,A,C,1
F,67,-140.5908489675407,-66.24683460179729,D,D,C,B,C,B,B,19.211242228054136,A,A,B,A,0
Female,90,75.5290527062636,-151.26316991423886,B,E,C,A,D,A,A,-106.29385195033205,D,B,D,B,0
Non-binary,39,-214.77816077017096,236.45171258211937,D,B,A,B,A,E,B,-87.36405323580392,C,A,E,E,1
Male,83,-42.83581858326855,146.736863532281,C,E,E,D,A,C,D,-56.99857347401138,B,B,C,C,1
Female,34,18.773913910603905,-19.604012475620795,E,A,D,B,E,E,A,20.075730075781667,D,E,A,E,0
F,91,57.64908367186321,4.008357477602102,C,A,A,A,E,B,C,88.95706767870897,C,C,A,B,1
Female,71,-3.930722948573258,136.81220057639442,A,C,C,D,B,B,D,88.99569738448028,C,B,E,C,0
F,59,85.51856968603651,-105.33701567550328,A,A,C,E,E,B,A,-171.4569067380899,B,B,E,E,1
M,91,-50.7436911059996,-113.34052236102801,C,C,A,A,E,A,A,69.53202551655114,B,D,B,B,1
F,49,-83.69979710672614,131.51277914382337,B,D,E,E,B,E,A,152.97425372558513,E,B,A,A,0
Male,34,-190.5483660535548,-32.94528269202676,D,D,B,B,B,D,B,-109.39284025567895,C,C,C,A,0
Male,69,71.26716482019198,9.53200283643215,A,C,D,A,B,E,A,87.63100476148573,C,C,C,D,1
Other,74,27.483677463709498,169.62031907686844,E,C,A,B,B,A,B,-17.559468900769943,C,B,C,E,1
Female,94,154.39491507667944,-69.49724256356772,E,A,D,D,D,C,A,16.397550981487377,D,E,E,C,1
Male,25,30.469244273372198,72.94148270985337,E,E,E,A,C,E,A,-227.75991363794307,B,A,D,E,0
M,81,103.22662669803466,-22.694016533596447,C,D,C,D,E,B,E,115.59879577884146,E,E,E,B,1
Other,79,23.95920978533991,75.52650222622115,A,D,D,A,A,B,B,-26.366996558645116,E,D,B,E,1
F,44,-53.37773396864751,-63.28768710692388,E,A,B,A,A,A,C,198.01045309470743,B,D,D,A,0
Non-binary,35,40.53487786696189,-139.24597373693055,E,B,D,A,B,C,A,-30.251146818275565,B,A,B,B,0
M,42,102.8204191507917,-186.72920566895382,E,B,A,A,D,E,E,143.5296949579613,C,C,D,C,1
Female,42,-80.84621472857619,-32.99454698973754,D,B,C,A,E,B,A,255.40922492005825,C,A,B,B,0
Male,50,34.3498509322872,-40.40896242993893,E,C,E,E,B,E,E,85.9854908100402,D,D,A,E,1
Male,70,-55.22276878157534,39.9679514683478,D,C,A,C,E,C,C,-254.6050192450577,A,A,E,C,1
F,87,5.9491374915424995,-17.51150929052565,B,E,E,C,E,D,E,-28.619780878523688,B,B,C,A,0
Non-binary,67,15.798024177299883,-38.08988070047157,C,A,A,A,E,B,C,-76.4034081127798,E,B,C,E,1
F,91,37.145039116786535,-189.51215157304725,C,C,D,B,E,B,B,-44.920526303111984,E,C,E,A,1
Non-binary,53,235.00732828347526,-69.61337132719022,B,D,B,D,A,A,D,-124.19513946760365,E,C,C,B,0
M,38,48.09144672843463,76.76165693277383,D,A,B,D,C,C,D,-88.60957809900988,B,C,A,D,1
F,91,0.06643725470751231,-99.95705624134685,B,A,B,C,D,D,E,63.955556922450555,E,C,D,A,0
F,68,-35.88334879759812,-61.89203501534681,D,D,B,A,A,A,B,-235.52562693181028,B,E,E,D,1
Male,41,35.33783672035778,21.05765840004329,A,A,E,A,E,D,B,-103.26334048367387,D,D,E,E,1
Female,50,33.802695195915376,-92.03105246208185,C,D,E,D,C,D,B,-257.83555054725593,C,C,B,A,1
F,94,104.79481558130837,0.6415170018698378,E,D,E,C,C,B,C,111.87129157845321,C,B,C,A,0
Non-binary,99,-87.93654350304107,175.22868885150754,D,C,C,A,C,C,C,74.14739760982168,E,C,B,D,0
Other,57,-4.525748857843798,9.732777486741611,C,B,E,C,A,E,C,-16.226587980376646,B,B,A,B,1
Female,48,-169.8736320588611,77.76431971543042,A,E,B,B,D,A,D,-80.70674085570336,B,E,B,B,1
M,30,86.86474051009128,-19.49177035575159,E,D,C,E,C,B,C,-87.2997219809551,A,D,A,E,0
Other,51,-46.54660604198622,-225.89089474844508,B,D,E,B,A,A,A,51.877704804302816,A,D,B,A,0
F,41,79.67036792558879,-145.27892776064994,A,C,E,B,E,B,A,63.800740094124606,E,A,B,B,1
Other,84,107.38574902654668,2.453053701453142,B,B,C,A,D,A,B,-163.93801470198954,C,E,E,E,0
