military,anos,AgeGroup,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,target
Veteran,51,18-25,C,149.2888147837279,-5.9959172769353515,D,E,E,115.82810751012272,D,C,C,-0.08994908077814306,B,E,1
Veteran,35,36-50,E,-102.40819300541126,-101.72716225437625,E,C,D,137.38689022784237,E,E,D,76.98264200969601,E,E,0
No,50,18-25,B,-142.04431410892587,-225.88227731233226,D,E,C,24.56486662842047,E,A,E,132.91875756057573,A,A,0
Non-Veteran,67,65+,E,-73.55094813522078,47.11872692048353,B,B,B,-134.83670392452635,B,C,A,-41.09751326695073,C,A,1
Yes,65,26-35,C,-95.29474503791518,61.077406052240676,E,E,C,-87.35483367666636,B,A,E,-108.92291466057604,A,B,1
Veteran,27,65+,A,81.97472800871567,-46.33326984731887,A,D,E,231.1207881289684,B,E,A,60.052729223813884,A,E,0
Non-Veteran,56,36-50,B,-120.23383643688913,75.63001606440685,A,E,B,-45.16148215959894,A,A,D,59.040651144310466,B,E,0
Yes,54,65+,C,-32.736109351354834,58.233458025245845,E,B,A,-21.86298845550678,A,E,E,66.09611268831284,D,A,0
Yes,34,26-35,B,-42.72801198804041,-229.63753490651294,C,C,E,-57.66520538139257,A,E,E,-129.9978369517967,E,E,1
Yes,65,65+,E,46.21946831690741,20.258985327024195,D,B,C,-71.01725304896598,D,C,D,90.166579004156,E,A,1
No,46,65+,E,34.96325411922674,76.96927645587768,B,A,B,14.504403646634517,C,D,C,23.882621006366684,D,A,1
Non-Veteran,33,51-65,A,-186.279988576964,-63.223904047102394,D,B,A,-127.90793357740478,E,E,D,80.82310761908985,A,D,1
Veteran,33,65+,D,13.373875821182743,-197.42608543253763,D,D,B,90.46086870822859,D,A,B,-69.43264917688055,C,A,0
Yes,73,18-25,C,23.26941998571305,-5.628560767931738,A,D,C,143.21162242178121,E,A,D,228.33823036563393,B,E,1
Non-Veteran,26,26-35,A,-148.12003388836683,105.91272594381012,B,B,D,110.19483225608724,E,A,E,159.25941565255297,A,C,1
Yes,56,36-50,D,30.153953567591785,-82.82599511163534,B,B,E,-54.49323580610438,E,C,A,-24.47813883787615,A,A,0
Veteran,78,65+,D,-13.458594731557818,152.3319526474873,C,B,E,182.4255046495731,C,B,C,146.57114131921608,D,B,1
Non-Veteran,65,18-25,E,-143.62076673623804,34.2011926309634,D,D,A,-68.84606215550076,B,B,A,-61.732039867618646,C,C,1
Veteran,27,36-50,D,-70.74485988553934,-7.702998604208237,D,B,D,-39.14457219737862,C,D,B,-132.49010449281042,E,A,1
Yes,31,65+,B,10.413968365773224,-63.16457933041022,B,A,A,-132.64866238097167,D,D,C,-128.46091316159712,E,D,0
Veteran,43,65+,C,-49.525042442779935,4.491542680136133,C,A,D,-74.88204883581999,C,C,C,-61.62888342748977,D,E,1
No,61,26-35,D,-174.68650459237014,31.810050411701223,E,E,D,101.58706623942786,D,A,C,36.17976936419519,C,E,1
Non-Veteran,45,65+,D,38.30052564438708,-78.67853401283402,B,C,E,167.31522610066256,C,E,D,170.43184331380388,D,B,0
Non-Veteran,38,18-25,C,128.46027986027687,-78.3093809723229,E,E,C,-167.53067972791735,E,A,A,19.07031932366181,D,B,0
Veteran,18,26-35,B,-170.72899980900337,-81.8145009353548,C,A,D,-2.099910475721172,E,C,D,33.455352096743425,B,A,1
Yes,39,65+,D,-1.4097444081917698,75.45151285129191,E,C,C,2.819580745493933,E,B,A,165.4479508967108,A,A,1
Non-Veteran,31,51-65,B,45.449128610572686,-23.04556366488378,B,A,B,1.4135278650430187,D,B,D,-48.2401908235126,A,C,0
No,38,26-35,D,203.3439110414481,22.422949767679356,E,E,E,96.76082731926404,A,C,D,7.743514217579257,C,C,1
Veteran,21,51-65,E,-216.4160088430243,-75.24980869400413,D,B,C,-120.12865199858678,B,D,E,-110.46290582836187,D,D,0
No,59,36-50,D,-43.26607719867139,21.543506721997137,C,D,E,-3.459637156818001,C,D,B,35.54974156492292,B,E,0
Yes,77,26-35,E,20.128723060158805,-119.8100304213442,A,D,E,20.675068582276534,A,E,C,-23.49190797166502,C,B,1
Veteran,50,51-65,C,-172.34109728402655,261.52076304252404,E,A,B,-3.4272388344267246,A,D,D,76.94897227762426,B,C,0
Yes,51,18-25,E,-134.02253698647718,192.98561678581598,E,D,B,-61.77580287721957,D,D,E,5.912235423602104,E,D,1
No,66,36-50,D,63.927065930689345,-18.142148012544126,D,E,B,56.34850491268843,E,E,D,24.56574935427233,E,C,1
Non-Veteran,32,18-25,D,-52.979624094950616,19.24476976768833,A,B,C,-97.79609520637717,B,A,B,-81.34118464018526,A,E,0
Veteran,75,65+,D,-44.73987369109995,-61.05326451188662,D,A,D,67.07056923357085,D,B,B,-61.543336424917946,B,D,0
Yes,52,26-35,B,-180.82868646017263,88.7123951808847,D,B,C,91.51032890006012,E,A,B,76.9968502541161,C,E,0
No,65,26-35,A,47.21976578557919,-60.228056722311095,D,D,A,-72.59228765059233,E,E,B,-83.61315760740452,C,C,1
No,71,26-35,D,-4.6165947877897,27.56849285893158,D,B,E,87.83266326340102,E,B,C,34.81495503972932,B,B,0
Yes,78,51-65,C,124.66287834717392,-31.749072526118642,A,C,A,36.832125737641356,B,C,C,8.400039379301248,E,A,0
Yes,76,51-65,D,129.88274992228304,154.1891893663873,B,E,A,-60.37384699593255,E,E,C,79.45398464595603,D,B,0
No,27,36-50,B,81.5390713874972,-79.89717315548384,C,C,B,-33.1224502738369,A,C,C,162.4793067028818,A,E,0
Non-Veteran,71,18-25,D,-91.1377747517019,-108.31630350703139,A,E,B,-47.2323775265625,E,B,A,101.26686738881563,A,A,0
Yes,71,36-50,B,44.3671343519343,52.9268811009731,C,E,A,82.55158674278593,C,E,B,-194.27210212619678,D,C,1
Veteran,29,65+,C,-11.455961455785085,0.39574933889926334,B,E,B,-167.72110606968693,C,B,D,-103.07811832697742,D,D,0
Veteran,67,51-65,D,-172.90500148212817,94.57734238884103,E,C,E,104.72746147205623,D,B,C,-63.1878028989481,B,D,1
Yes,24,26-35,B,73.47604936056277,-111.69703861679805,A,C,D,32.99184051332878,A,B,A,11.318923935329968,E,E,0
Veteran,20,36-50,D,29.643129236564498,-10.919029542967634,A,E,B,-10.012235486728658,B,C,A,-82.2134134303459,B,A,0
Non-Veteran,59,36-50,A,-14.844971661295563,-142.77353937071996,E,D,E,-109.648724101015,A,B,B,-49.88474545129314,C,C,0
Yes,67,18-25,E,-3.7240809256311054,126.96590153463383,C,E,A,56.31766742079193,B,A,B,123.32034933420124,C,E,1
Non-Veteran,79,51-65,B,-34.20676976647936,-7.8314530355522995,C,A,C,-40.63961742783751,D,A,D,-119.4715505078035,A,C,1
Veteran,53,18-25,C,132.7063174887785,-24.377860503016727,D,D,E,70.60769196811833,D,D,B,114.49339778207022,E,E,1
Yes,48,18-25,E,7.790582334790209,98.76995975367625,D,B,C,95.55412143177195,C,D,A,-55.689557005055654,C,D,0
No,67,51-65,A,-88.23679012269999,85.01405245632276,D,E,B,-184.31383393096758,A,C,D,-14.309185961321475,A,D,1
Non-Veteran,34,26-35,D,-175.35274590931635,102.1996388186172,D,A,D,60.846312390671265,B,D,B,195.72603099153653,B,D,1
Veteran,44,26-35,A,-11.395600477451051,105.83880260937902,C,E,C,-58.67228123909617,C,B,D,49.25150849967214,A,B,1
Non-Veteran,65,51-65,E,-3.41390553697407,-10.4027403781396,D,A,D,-133.30483354322075,A,C,A,-248.20565837424567,B,E,0
Veteran,42,18-25,A,177.6561246639483,163.04270820108138,C,E,E,-106.76838004252365,C,B,A,48.39945515641974,B,A,0
Veteran,63,51-65,B,58.826233347749344,-37.69086333954343,C,C,C,-15.686272106626465,C,A,A,16.3301963823709,C,D,0
Non-Veteran,57,18-25,D,-58.05798017714704,-100.04593763126148,C,D,E,-75.80049668666598,C,E,B,-61.566422011791424,A,C,0
No,23,18-25,C,188.9724262229219,-59.58020343835035,B,E,C,208.1631066538267,D,A,E,24.935643989967865,E,E,1
No,25,26-35,A,-88.05580955625163,64.95079296075767,B,E,E,151.11317303960377,C,E,B,-1.261030211635297,E,A,1
No,60,36-50,D,-99.13637480943257,156.90727903897675,D,B,C,-64.74493583120221,D,B,C,75.88245476008377,C,E,1
Yes,29,36-50,B,26.841281529598334,-147.07813622869014,B,D,C,3.568173666160039,A,C,C,-150.03237417058278,A,C,1
Non-Veteran,69,36-50,D,-106.81867918980484,68.93433789862632,C,D,C,67.9016080258362,C,B,B,30.675448011755897,D,C,1
No,53,26-35,D,-39.06201733186561,93.94763211032692,C,A,C,-139.31740136703556,D,B,D,-147.90028614223212,C,A,0
No,38,36-50,D,-35.344230126356514,94.30966230170253,C,A,D,62.698440303574834,E,B,C,44.316815705604974,D,A,0
No,65,65+,E,27.105494393281642,-12.986921265359557,D,D,A,-9.710062766920444,E,D,D,174.25270776969833,D,E,0
Veteran,36,51-65,B,-75.42861079802762,-2.1302839200674786,C,C,C,-9.372553885430317,A,A,E,-43.54030286568371,D,E,0
No,71,26-35,B,-14.743214275213653,15.27199756756411,B,D,B,11.182498010207723,A,C,C,-21.946495275840096,B,B,1
Veteran,40,51-65,A,-35.11093788230598,-116.44835155697919,D,C,E,34.84604697603482,A,D,E,125.21473480224641,E,A,0
No,73,18-25,D,-47.56751514513452,22.693213880939055,C,C,A,92.19885556826168,B,B,A,-110.66711742849876,B,A,0
Yes,31,51-65,E,34.95321277058274,154.0500254762736,E,D,C,0.6949834550221825,C,B,D,-36.01106625902153,C,D,0
Yes,45,65+,B,-31.65218897257062,155.79628256972174,D,B,E,5.546024175649529,A,C,B,1.4405748475971876,D,C,0
Yes,46,51-65,D,-2.3440928204386893,-259.2089510394354,B,B,C,61.10389814239191,A,D,B,26.696850274739138,C,D,1
Veteran,54,18-25,B,-55.69161750585134,-47.06441403160722,A,A,B,-191.02231135785982,B,E,D,-155.8608001327279,E,D,0
Veteran,27,26-35,B,19.61559722856669,-106.56897946514854,A,D,E,68.62506770268124,D,A,E,4.694311255705714,A,E,1
Non-Veteran,26,26-35,C,124.59316580928805,154.83562727554454,B,C,E,33.01263707306796,C,A,E,91.94887053545949,E,E,0
Veteran,52,36-50,D,10.77391867926876,-191.5816001950091,D,D,B,124.92323503416102,C,B,C,44.6630254331325,E,C,0
No,32,65+,E,4.01998823933532,-134.70915736923413,B,D,E,-89.65132768723572,D,D,E,-99.24858093499473,C,D,0
No,33,36-50,E,37.09487242026517,-78.63350926831477,A,C,A,138.71309218366838,D,C,A,13.254215996067057,E,D,1
No,57,36-50,B,163.21594959896413,44.96788574742091,C,C,E,-31.992739593576896,D,B,C,41.030704204742435,C,B,1
No,70,51-65,B,301.5452417836927,-32.63212549494141,D,B,C,233.7047348352129,D,C,B,37.10912253518177,C,A,0
Veteran,75,36-50,D,-60.508450549135,-64.71117727075811,A,E,B,-113.6583072419535,C,A,D,-149.05792916640561,D,E,1
Non-Veteran,62,36-50,B,-158.59261804542425,18.048909353260605,A,C,A,-16.226893866424515,D,B,C,-68.03045412492521,B,A,0
Non-Veteran,28,51-65,C,-111.1964270700585,-141.8776520921892,E,B,D,-104.23708014788838,C,A,A,113.13330402754636,C,A,0
Non-Veteran,64,51-65,E,53.3047133411651,184.72165897095337,C,E,D,-35.97725947088914,D,B,A,-174.26896252480756,C,A,0
Yes,70,51-65,B,5.018485396534695,100.38853010288351,A,B,B,-73.33954600169604,D,B,E,15.123821618755558,E,D,0
Non-Veteran,20,36-50,E,-18.123059264651776,77.44855038875939,B,A,A,134.63076869480835,D,C,E,-61.298797535524585,C,A,1
Non-Veteran,22,18-25,A,-63.230822858888644,65.93971066040034,C,A,A,-95.29162413656869,D,C,C,-99.7573480968195,E,A,0
Veteran,63,51-65,B,81.25785851236377,100.21407936509577,A,B,E,147.54859932173696,A,B,A,-100.31426518969108,C,C,1
Veteran,38,65+,B,13.373797216647093,27.080923749065448,E,B,E,88.65559564276356,C,D,A,-62.357264268980096,C,A,1
Yes,36,36-50,E,150.36877518842644,13.71536279970906,D,C,E,19.281207301067397,E,E,E,41.93754306328415,A,C,1
Non-Veteran,39,18-25,B,71.09198963005814,-13.82612530182662,C,B,C,-68.98648273667621,E,D,B,-41.50900540295274,A,A,0
No,29,51-65,D,74.62529584041461,211.99041077614189,D,C,C,-69.7014010821643,D,C,A,-40.09632790644897,C,D,0
Veteran,63,26-35,D,-61.98269317634164,-122.37577977158942,C,A,D,82.85507846065472,D,A,C,159.56722337886893,D,E,1
Yes,72,36-50,D,19.870197805429775,142.93371995502739,C,B,E,211.1886308493346,E,C,C,88.584677845399,E,A,0
No,42,26-35,E,133.7354619773053,-100.60875895227261,A,C,B,-17.944585211969635,E,A,C,-1.060423741504469,A,D,1
Veteran,73,26-35,A,-116.13179873440028,12.974549818345748,D,D,E,-102.5055249090897,A,B,E,43.006872376586145,B,C,1
Veteran,39,51-65,D,-72.00134340071564,0.3715249293732184,A,E,E,-106.15516407016075,D,C,D,101.89600577356339,E,D,1
Yes,27,18-25,C,12.221402087242568,-4.12399116898531,C,E,C,-111.57756956796865,D,A,A,141.66746309584715,E,D,1
Yes,55,26-35,A,-65.10333772595311,64.35290675324319,C,C,B,-24.95528760039116,B,C,B,46.17590041628868,E,D,0
Non-Veteran,53,18-25,A,-77.28721374674834,76.4091601525272,C,E,A,-3.389559873202615,D,D,C,-12.087119379831792,D,E,1
Yes,21,65+,D,-27.3367600601096,71.78071892135284,D,C,B,134.2890130471707,E,E,B,-14.08477570141983,E,D,0
No,19,18-25,E,-17.395714443675914,76.23140777544424,A,E,D,85.08419893470082,C,D,C,118.42230498818742,B,A,1
Non-Veteran,72,26-35,A,67.20807930945705,86.8349000333535,B,C,A,-201.97313851088308,A,C,B,15.733780728808682,E,B,0
Veteran,24,36-50,A,-40.51852867837014,-118.75970235130298,B,E,C,25.659716769413333,B,D,C,-84.35587078777401,E,A,1
Yes,19,26-35,A,-114.82793797121467,70.33393411392453,C,A,C,91.95961645828093,C,D,B,122.68686668288495,B,D,0
Veteran,34,36-50,A,-38.342675566596924,-46.60829944824956,C,C,E,89.9837608772879,C,B,A,28.131471864133168,D,D,1
Non-Veteran,29,65+,C,49.905827646629724,191.7250709976596,E,E,A,-51.2504791452259,D,B,C,20.815696672778575,E,C,0
Veteran,79,65+,A,62.879669851046394,168.6607669041915,C,E,D,-214.15547144792865,B,B,D,-67.70544940863446,E,B,1
Non-Veteran,67,65+,E,-106.25154971916233,107.74317000201872,A,C,A,65.95202923746021,B,B,A,35.75721648378047,C,A,1
No,26,65+,D,-35.2741185870922,-45.97457753680667,E,D,B,-58.264256915571345,E,E,B,6.141609771700506,B,D,1
Veteran,57,51-65,C,-5.129752276758129,-151.86758925592173,C,D,E,15.011166886523053,A,B,D,106.43993858297401,D,A,0
Non-Veteran,79,65+,D,120.2587161618039,61.41986047251474,B,B,D,-100.93032190039197,D,C,E,-64.93994179404434,C,D,1
Veteran,57,26-35,E,-191.18303150415414,-84.06810822259509,B,D,A,-40.36295865534375,A,C,C,-103.20979514797892,E,D,1
No,52,36-50,A,33.11980688973887,46.90534081129942,D,C,A,7.6905972351602445,E,A,E,197.31977517244133,E,A,0
Veteran,75,51-65,D,-5.827555566209826,-30.781564144061374,A,E,B,-1.407719864176704,C,E,D,45.411342397103844,C,D,0
Yes,77,26-35,E,38.4629835751316,-113.46801377558427,C,D,E,-87.91162211234584,D,E,C,-52.03878295537818,E,A,1
No,48,51-65,C,7.006485661365715,76.39211380916615,E,C,A,44.01972430439778,C,D,D,146.9353077305289,E,C,0
No,22,65+,B,74.77032331140877,172.5137894937135,D,A,A,-29.16666096868709,D,A,D,107.25673946956348,B,B,1
Yes,36,36-50,D,58.75168322349664,100.72222901480126,D,D,D,-179.206010354418,C,B,C,41.01420600470803,A,D,1
Veteran,51,65+,D,-67.27210587240486,71.81196614334465,C,A,C,-160.14349007317864,E,B,E,-4.351279901667448,B,A,0
Yes,49,18-25,E,55.07816704870353,113.77989319982696,D,A,E,-125.16293701070211,E,D,D,-95.97488779647938,A,C,0
Yes,27,51-65,D,-121.6809818225459,141.8660938816,E,A,C,-59.760284568785195,A,B,A,-82.16534925574912,D,C,0
Non-Veteran,53,51-65,E,-104.65835610246977,22.455850150248246,D,C,C,124.98629459684906,A,B,E,-57.71144598255326,C,E,1
No,20,65+,B,-68.42572849395086,75.39781654786171,E,C,A,-278.5497897531928,C,A,B,97.0573860396509,C,B,1
No,46,18-25,A,6.749576785583606,93.94092777050606,B,C,C,46.45144677293839,E,E,C,-149.01013901370703,C,B,1
Yes,56,36-50,C,-23.460680924105855,144.40652745195484,E,C,D,-132.36974620981016,B,D,B,29.568998713233473,E,C,0
Veteran,27,65+,E,-51.708698508940465,-68.88228349479023,D,D,E,-22.091075762668098,C,A,D,-117.02449386187814,A,A,1
Veteran,44,36-50,C,19.9823158664202,130.09704733593537,A,E,C,-152.43811565127612,E,D,E,69.24363563387404,D,E,0
Non-Veteran,54,36-50,B,126.81391876890457,23.687001187338634,A,B,D,6.625492699513738,A,D,A,49.674796203481186,D,E,0
Veteran,36,65+,B,-0.863383209078469,-47.41234999339621,B,B,E,-79.69901083264244,C,D,A,-41.88780300072733,E,A,0
No,70,26-35,A,1.2629593312282295,-107.54041395190465,E,A,D,24.246620011678285,B,E,C,25.513447136762224,E,B,0
Veteran,60,36-50,D,-69.43196269264106,-61.12229504236172,B,E,D,226.4334980659849,B,A,B,-85.55400441850948,E,B,0
Yes,63,26-35,B,16.34722393749162,-85.59575317864439,A,D,D,32.82505616896889,A,E,C,22.89164481842043,B,E,0
Veteran,65,36-50,A,113.316006796078,-37.938683083907,B,E,C,-30.939461941202058,D,A,C,-66.60373837342276,D,D,0
Yes,56,51-65,C,29.106542822993813,-171.72368000377674,B,B,D,-10.246470320707635,C,B,A,-64.30440286380461,B,A,0
Yes,32,36-50,D,76.50618102140356,-7.556706297276045,C,C,E,96.07492417237904,A,C,A,-49.770443318475934,D,E,1
No,46,51-65,D,16.84208140383471,77.88519571853175,E,B,E,9.698893450452736,E,C,C,61.025690934507836,C,C,0
Non-Veteran,31,18-25,D,-66.80795675508982,-105.16758666616843,D,D,E,68.82343327263148,A,B,A,-49.94136445938203,D,B,1
Yes,52,26-35,D,71.98440679420133,-101.0038068635309,C,C,C,-178.43155576038424,D,C,E,-65.95104795883671,E,C,1
Veteran,74,51-65,E,226.93834082815485,65.37882330573133,E,D,D,164.56593713295223,B,B,E,-63.823723328335824,C,D,0
Veteran,33,26-35,A,18.691749613754965,-43.50939706667109,C,C,B,21.375747894017717,D,E,A,-5.3792574750456055,C,D,1
Non-Veteran,49,26-35,C,79.85939307754228,-8.210881028149977,D,E,C,47.45073555872209,D,D,D,144.1387430533514,E,E,1
Veteran,71,18-25,E,-131.6036300552797,24.354095823026764,C,C,B,-188.1418210742368,C,B,E,153.80679233547212,B,E,1
Yes,31,18-25,E,-106.63750620234158,-72.72528326152995,B,D,B,-135.45090534193963,D,E,D,150.15245631397758,B,C,1
Veteran,59,65+,C,-136.77754656982125,-39.77068301217463,A,A,B,31.839694488208682,A,A,D,-22.68351428844978,D,A,0
Veteran,35,51-65,E,54.28145672449772,-21.316297274697927,C,E,C,218.21374705166585,C,D,C,-10.514879870577648,C,A,1
Veteran,30,36-50,C,97.50700575581921,-145.40067270247292,D,C,D,-48.935418033611164,D,C,B,-76.5111655467521,E,C,0
Yes,74,36-50,A,1.3819416044883033,18.194855622822427,E,C,E,14.24913832860229,E,D,B,76.00195595159481,D,D,0
Non-Veteran,47,18-25,E,116.26798093280553,4.514572482609427,B,B,B,12.417501825541654,C,E,D,124.63874855366979,E,B,1
Non-Veteran,28,18-25,D,44.40949184448937,39.646640910851296,A,C,B,61.991344466387055,E,B,E,-122.04319992951791,E,B,0
No,34,36-50,A,66.34221963438976,-68.04877170199308,D,E,E,-82.25428840669639,B,B,D,310.85046721748256,B,D,1
Yes,32,36-50,A,37.80543478007513,1.4777744289311965,A,E,A,21.287235714995877,B,D,C,17.048060010978382,E,E,1
No,34,36-50,C,-43.62993095638275,-62.45049825320469,A,C,C,-169.4484869625412,C,E,D,141.6290683852135,C,C,0
Non-Veteran,36,36-50,E,47.183675763769514,70.24328702740988,A,B,A,-36.28131353105216,D,E,E,-22.12243786338413,E,B,1
Veteran,41,65+,D,30.839566514318406,-206.92511726740926,B,E,D,-106.97462398125637,D,C,E,32.74909410129838,A,E,1
Non-Veteran,52,26-35,D,31.38240482370839,100.94626800152473,D,E,D,94.86558618085257,C,B,D,-15.908986815811666,E,B,1
Non-Veteran,49,51-65,B,-1.6327734972662458,-76.34939935990768,D,C,C,-100.43860127964084,C,E,C,64.52801418967339,C,D,0
Yes,20,51-65,D,-29.348630637032414,-31.491514351430787,A,C,A,-64.8092712482155,D,E,D,-28.613392952589194,A,B,1
No,31,36-50,E,103.38291987037671,52.60135473239049,A,A,D,147.8881619068678,E,A,D,35.108212032379086,B,C,0
No,29,51-65,D,224.27454151004085,-66.99076853616425,D,A,C,-9.617369432485894,C,C,C,37.67804585513537,E,D,1
Non-Veteran,30,51-65,C,-40.882108136492135,-183.15730357867685,C,E,B,-27.084145813187344,C,E,C,-8.548270100190244,C,C,1
Yes,69,18-25,D,38.872074389380835,37.70532508485019,D,B,C,6.6725769864350335,D,A,C,-72.0174429671724,C,C,1
No,42,26-35,A,20.47755273839414,3.1780000340895147,E,C,A,92.72472464437435,C,C,E,5.252742619588821,B,B,1
Non-Veteran,21,65+,D,-135.64334599807657,-113.74573805835857,D,D,A,52.549644081981775,B,C,E,-3.9163172485176747,D,E,1
No,79,26-35,B,-35.35514964656097,12.700113736268841,E,C,B,74.7929385754855,C,E,B,-42.993088148984796,C,C,1
Non-Veteran,27,18-25,E,155.28156973244168,105.45689562217007,A,D,C,9.982857841262833,D,E,D,11.797835821238758,D,D,1
Veteran,20,26-35,E,-157.03563568441305,35.11456252243276,E,C,A,-30.147241188892902,C,C,B,20.60350074525001,B,A,0
Non-Veteran,69,18-25,B,72.78721468464711,21.089527033366622,A,E,B,-89.63199926307178,E,B,A,16.898163323357885,B,E,1
Yes,55,26-35,A,145.7300205921834,75.21302994177053,D,B,A,51.83482897785616,D,E,C,48.86276825490702,D,C,1
No,65,36-50,D,-82.01913252733523,-63.01063563133222,C,D,C,68.48149217772865,B,C,D,36.6281027870304,E,C,1
Non-Veteran,37,36-50,B,36.06532100274353,-51.98557592711758,E,B,C,66.99684534851986,E,A,C,8.362653048672724,B,A,1
Veteran,71,26-35,D,81.79077240934635,50.12721396863012,A,A,C,-41.03830333349992,C,E,B,-21.5978554045155,E,A,1
Yes,56,36-50,E,74.88138594410528,0.03774921049875923,A,C,B,129.37108777331773,C,A,B,124.5076750134465,A,E,0
Non-Veteran,69,65+,B,72.56917397672176,31.311382808236765,A,A,C,122.89184777863721,C,D,C,148.43995914373664,A,A,1
Veteran,42,18-25,B,-68.89454346847158,10.377423350773473,C,D,D,-6.095249527058055,A,A,E,-35.6136600013318,D,E,1
Yes,45,65+,C,174.05803089909594,-7.5602355543598705,A,E,A,-87.96942664097831,A,E,E,36.24774809296368,E,B,0
No,38,65+,B,-35.04262644960948,-11.553633511246137,B,B,D,-58.17580819721124,B,A,E,77.72374177326459,B,B,1
Veteran,23,51-65,A,18.027672254644962,10.439846266055456,D,D,D,124.28013360211865,B,B,D,-134.35788321985453,D,C,0
Non-Veteran,51,26-35,D,-24.230294661131467,47.55433841734188,A,D,E,70.6647911492486,A,E,A,136.19260195204285,D,E,0
Veteran,73,51-65,E,-19.748432010779197,80.16665720212684,E,C,C,3.784943302351449,B,D,A,-86.209546142515,A,A,1
No,20,51-65,A,29.7193541416495,-82.155866510351,B,C,A,-109.82839023672643,B,A,E,24.29058405615479,C,E,1
Veteran,61,18-25,C,83.66816080959595,193.71384120612146,C,A,D,177.83666093208902,E,E,E,-119.19934911937686,E,B,1
Yes,21,65+,A,105.53032767473411,13.12400766939644,C,B,C,-185.6911521025396,B,E,D,41.586410768548426,D,C,0
Non-Veteran,33,18-25,B,-94.02329186160695,-27.3468066334005,A,C,C,64.17741417075126,D,D,A,92.94267483834003,E,E,1
Yes,70,18-25,A,-123.96667909268733,95.09707049127819,E,D,D,17.103642085597123,B,D,C,-186.29857446997477,D,D,1
Yes,73,65+,B,93.21878267646622,62.08642314873415,B,B,E,30.296087033892434,C,D,E,48.17841082411964,B,D,0
No,29,65+,B,65.0169144835932,61.26103019078716,B,C,E,26.208305887101492,A,D,E,-109.96969015133165,C,D,1
Non-Veteran,58,51-65,E,-177.59667747991452,94.55452102449455,C,A,C,-14.648348331272674,D,C,A,72.01647800942645,C,D,1
No,28,65+,A,-88.38231386077796,-61.280245556190636,B,A,E,0.9555775444684609,E,A,A,-93.76407597184134,C,A,0
No,53,36-50,C,-138.37015090218594,-197.61211180901282,C,C,A,62.07227832837798,B,C,E,-188.06681246620468,A,B,0
Veteran,28,51-65,C,-74.14737574973853,-90.2040689855836,A,D,B,105.34527098605085,E,C,D,188.50782065683117,B,C,1
Yes,20,18-25,B,-18.956872026936946,-116.99731510589682,A,E,A,85.75801618330533,D,B,A,-41.6675581510718,C,E,0
Veteran,30,36-50,D,-64.02923146315716,-112.61509661028111,C,C,A,66.06143443935125,B,E,D,22.60827533024129,B,C,0
Veteran,28,51-65,D,3.8770728400751517,-70.96749660358384,B,D,C,97.64233367692972,D,D,B,-105.75998157705916,A,C,1
No,23,65+,C,77.41319188909415,-87.10162840171175,D,A,E,164.73654357293833,B,E,B,200.25596117508658,B,D,0
Veteran,74,36-50,E,-5.005295279945603,174.75468209395532,A,E,B,81.88133243103798,B,E,A,106.71765896135466,A,D,1
Veteran,28,18-25,D,-4.993329385124876,-11.778300529946693,E,C,C,94.36045728168875,D,D,B,132.07700502605832,C,B,1
Yes,78,36-50,D,131.96375263828014,-37.62431307948243,E,E,E,-50.98034904007596,B,C,D,-97.23925962845925,E,D,0
Non-Veteran,28,36-50,B,133.41730482748707,18.734968244788654,A,E,E,-64.85940011160925,E,E,C,34.030924535429804,C,E,1
Non-Veteran,59,65+,C,133.7404256010766,-321.85621785052155,D,E,B,-179.53233016744701,C,E,D,-36.280414063941095,E,C,1
Non-Veteran,25,51-65,C,229.90955701649045,55.252027543098116,B,C,D,-13.5528120356263,C,E,E,192.8156357169686,C,E,1
Non-Veteran,60,26-35,B,81.54352705444032,35.27385061072348,B,E,B,74.19516333013509,B,D,B,21.9052018630472,D,D,1
Veteran,27,18-25,A,64.2575293556945,40.186852208775484,B,E,D,-81.9953688623483,C,E,C,67.97257744507932,C,C,1
No,72,51-65,A,100.80036120963585,-139.79246112608158,E,C,C,109.84521545656077,A,C,A,176.27025132349254,E,B,1
Veteran,30,65+,A,-139.6319043046987,-36.26615428843458,C,E,B,-114.66417745826433,C,E,D,-56.131494069033515,C,A,0
Yes,64,65+,B,-201.56231463561096,-109.81017652728823,C,B,E,-33.456653618911695,A,D,D,98.56371067150259,D,C,1
Veteran,45,65+,A,80.95555592890638,-98.58715293920855,E,A,B,-8.777859702656098,A,E,C,-8.59251680387432,D,E,0
Veteran,23,51-65,B,-110.45486904381015,52.70674576082255,B,B,E,153.83765414495954,E,B,E,64.18749915469455,D,D,0
No,19,36-50,B,221.1746911785405,89.95452342276343,E,B,B,27.966203345746067,E,E,D,-42.70980803019776,B,E,0
Yes,61,51-65,A,104.07466514969283,51.90564921570214,D,D,D,-22.18952872077876,A,E,C,-29.647226861220123,B,A,0
Non-Veteran,78,18-25,C,205.38864720076887,113.9512544194929,C,B,E,-103.16648194827933,A,A,D,-135.66897316079152,A,E,1
Veteran,66,36-50,D,-117.35890098971285,42.68989839830624,B,D,E,46.113144763086126,E,B,E,-16.43637134715896,E,B,1
