age_group,orientation,genero,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
36-50,Bisexual,Non-binary,No,E,A,A,E,15.55749433449515,-121.38328071875486,A,-34.019308391024275,90.48668001728356,-39.678529827687704,0
26-35,Heterosexual,Non-binary,Yes,B,E,D,C,28.035315811084406,0.6682257184691356,B,5.7451491185128924,-18.982403517349702,-131.912727366999,0
18-25,Heterosexual,F,Non-Veteran,C,D,C,D,92.66202422974479,61.04055261677226,D,-48.88314463229348,-91.3477787173805,56.17957172338785,0
36-50,Heterosexual,M,Non-Veteran,A,C,B,B,-47.98948396424496,150.58976237798788,C,20.19670345197019,306.2100344882619,32.11629598252782,0
26-35,Bisexual,F,Yes,A,A,A,E,-165.94846965548734,4.693008143366998,A,105.08098590476366,39.728776310421175,-72.66686598795744,0
36-50,Homosexual,Other,No,C,C,C,C,12.013648834210814,50.06483876174828,E,-239.91361073546753,26.60136269902946,-142.94069333282235,1
18-25,Heterosexual,Other,Veteran,D,A,D,C,-88.77646402355245,23.969744526407613,C,19.792434231134255,153.92062607056283,-53.80225462228119,1
26-35,Homosexual,Non-binary,Non-Veteran,A,B,D,E,-33.606524824166556,9.988419290114996,B,-54.032087356048706,30.074933846442665,-181.0195554545654,0
26-35,Homosexual,F,Yes,B,B,A,D,15.295104400782101,-9.679686142669112,C,-15.32034859175489,81.25813287359907,130.0502438179641,1
26-35,Bisexual,Female,No,B,B,E,B,25.651063927245698,94.78679135079689,A,300.70799928499355,138.47086259182737,-76.74668566176575,1
26-35,Bisexual,M,Yes,E,B,C,E,69.51298926992024,-11.659082103273482,D,-22.463203682166835,-58.01687161170796,94.66973176678147,0
65+,Bisexual,M,Veteran,B,E,B,D,-150.40429689099315,96.98211204843406,B,107.53353970188539,27.93836345657375,-22.48180499574121,0
36-50,Bisexual,Female,Veteran,D,B,C,C,-111.80982936394628,-102.16720402533426,E,123.09778552166657,-81.25275834898986,-56.03543469681891,0
18-25,Heterosexual,F,Veteran,D,C,A,B,-26.564400526527432,185.91345697037877,D,107.02778257708401,27.11661652563006,-62.23209679080214,0
36-50,Heterosexual,Other,No,E,D,B,A,145.6967361773414,95.99972277839923,D,-23.88136925065233,-98.03853000862787,-9.832623308404154,0
26-35,Homosexual,Other,Yes,E,B,C,D,7.437996241826738,-252.77091831764236,A,-113.96669514189574,-95.57110593159183,56.2043470704106,0
18-25,Heterosexual,M,Yes,E,B,A,B,-89.43552458579862,-211.69016952821443,B,-24.10258048442368,47.54177357954332,88.06259432058873,1
18-25,Heterosexual,M,Yes,C,A,A,A,-37.71581634730741,198.49310549873155,C,29.625853749116565,40.66828079232238,-178.27962548895022,1
51-65,Bisexual,F,Yes,B,B,B,D,44.983744108535625,-119.03131602663659,A,83.46287330724684,-105.76510089113758,163.26438521121736,1
26-35,Homosexual,Other,Non-Veteran,D,C,D,B,228.99749092353088,-129.72765244929562,E,19.531352204651988,84.37767618916806,-114.29750840692263,1
51-65,Bisexual,M,Non-Veteran,E,C,B,C,31.06460372207061,-26.6195637759881,C,-98.88083306874972,-13.434175603209273,8.248325698015789,1
18-25,Heterosexual,F,Yes,C,B,D,E,-247.48412508560685,-261.16054257040673,B,-117.76755776282725,93.48592421578746,-80.82370197240245,0
18-25,Bisexual,M,Non-Veteran,D,A,B,B,89.5778231575577,-3.093405036042768,A,-68.53352795282615,-171.40353101451805,29.187170502919678,1
36-50,Heterosexual,F,Yes,C,C,C,A,51.86135442050097,79.86164459123935,E,45.060399387670294,21.86362513991008,-55.38293459114261,0
65+,Bisexual,Other,Non-Veteran,A,D,D,A,51.62447435239726,103.44864685126076,E,-7.2252872031482855,-172.48018009362823,194.53287198099483,1
65+,Homosexual,F,No,C,E,D,B,34.717288088823466,155.90124437673856,C,18.826373981703824,-20.770990338013267,45.99205191315469,0
51-65,Heterosexual,Male,Non-Veteran,E,D,A,A,39.507165164605816,-137.65041279362094,D,-65.72854259356711,89.59575335035565,44.33324411013927,0
36-50,Homosexual,Non-binary,No,E,C,E,A,92.2655130174038,55.232386197839446,C,-57.03966788352906,-131.56870723861277,63.47150598581399,0
65+,Heterosexual,Other,No,B,D,E,D,28.87484822694465,-81.6893877509114,C,122.16500118869223,20.374956060546207,-98.85661957122245,0
18-25,Other,Female,No,A,A,D,B,83.14733998567904,48.658224999108214,A,-51.5787942418705,-29.933929197831116,-156.0663296147878,1
26-35,Bisexual,Non-binary,No,E,E,A,B,159.68380983680083,-22.114073706563588,D,5.557426699153751,58.8869731793528,-95.81684318244467,0
36-50,Other,F,Veteran,B,C,E,A,-90.81833776959553,18.242747930003368,E,-1.325797861831928,-45.57318078237801,32.22504282016383,1
65+,Homosexual,Female,Non-Veteran,C,E,A,B,40.96108480645311,99.91516219982086,C,118.51023230806084,67.97422389078521,70.60375621426472,1
51-65,Heterosexual,Other,Yes,B,C,A,A,-172.1129789570571,-40.85793067835982,D,-113.20313765464374,22.14727889530215,30.399620320985733,0
26-35,Bisexual,M,Yes,D,C,D,A,-75.11249597601613,20.54379401753006,B,149.98780260251286,147.81307638349688,-23.196464176363563,1
51-65,Homosexual,Other,Non-Veteran,E,C,B,A,-74.71844993358042,171.2235020667767,A,63.07377170793039,-133.0351678615761,7.891539150008723,1
65+,Homosexual,Female,Veteran,D,B,A,E,-105.68351376608479,-61.12964443113521,E,114.32136823401409,102.96250882015727,104.2394831400649,0
36-50,Homosexual,Male,Yes,A,D,C,D,-59.554155955874265,-89.16664662275923,B,58.12667035040984,28.70748628167031,63.12025765650161,1
26-35,Other,M,Non-Veteran,C,A,D,D,-70.252619359633,104.26221526913196,E,6.1840842273733205,-99.99663253526904,168.74042676156492,1
36-50,Bisexual,F,Yes,B,D,D,A,83.07525403390181,103.12973194452518,D,-64.36990857919581,77.20945446237172,3.2776355564627586,1
36-50,Bisexual,F,No,A,C,A,E,-166.7056021359011,85.27899241607044,B,206.1280470652236,-2.0421995779559188,-6.614609985372964,1
65+,Bisexual,Other,Yes,E,E,B,A,101.08779936174473,65.7838726602042,A,-31.161732627220655,-85.28889924254524,-97.1141808264829,1
36-50,Heterosexual,Non-binary,Non-Veteran,D,B,D,D,16.667260620865004,178.35022955990502,D,106.91077992240028,74.05295782110004,-168.65303802048425,1
36-50,Heterosexual,Non-binary,Yes,D,B,C,B,100.44386689918761,36.99451273260152,B,108.62521546634191,38.93637759876652,-117.35924450658943,1
51-65,Other,Male,Non-Veteran,E,A,E,D,149.27142746930795,89.11882189043281,B,130.21104393099478,77.6752445574762,-4.1813330169783045,0
51-65,Heterosexual,Male,Non-Veteran,B,C,C,A,21.012358663521574,87.11662695574329,B,-157.66503849324945,-152.61140978440662,107.64343072976517,1
18-25,Other,F,Veteran,A,C,E,E,133.55123753562805,147.02628213445595,E,-46.007005595428424,-48.90973588438617,-90.55663464282229,1
18-25,Other,Non-binary,Non-Veteran,C,D,C,A,204.1769629750863,-95.49052570013443,D,-3.0803340738625065,163.26102584744183,-87.0937251783158,1
51-65,Other,Other,Non-Veteran,E,A,B,E,69.01376348587979,7.607241738760467,A,110.85595971786249,77.70228436124903,81.85868479538148,1
36-50,Other,Female,Yes,C,E,D,C,4.836418503942665,-40.93582873267576,A,20.693961970628784,75.49002149064152,38.2073320083751,1
51-65,Other,M,Non-Veteran,E,D,B,B,-36.40525783057678,59.106438400974305,C,121.20094212826673,-200.18986231430827,138.85580446577453,0
51-65,Bisexual,F,No,A,B,A,D,-158.24326702594166,-10.129100852805944,E,101.39332244878008,-10.011073149286869,-205.03830524135589,1
65+,Homosexual,M,Veteran,B,C,A,E,117.79820037840148,62.6365120277857,E,-105.71739675894585,-47.51346217682356,14.653548127358254,0
26-35,Bisexual,Female,No,B,C,E,A,-113.0021474398756,-62.82948272209611,D,35.22347958798664,-96.6326313750629,103.31714809625745,0
65+,Heterosexual,Other,Non-Veteran,A,C,C,C,119.92280539134921,2.0623411104370977,A,115.76687725826761,-41.104975752003064,83.56109524657137,1
26-35,Other,Female,Non-Veteran,B,A,C,D,72.79949870509238,87.9854229922903,D,-56.577398170996,-5.716141627649703,-188.08929477088233,1
51-65,Other,Female,No,E,D,E,E,-127.92945009474224,157.99291574921173,C,30.63482423988474,-47.097608833589575,18.0988929678204,1
36-50,Other,Non-binary,Veteran,E,C,D,E,35.306467533834486,241.8737406901703,D,43.46937886695122,192.535292796733,267.8182383844489,1
51-65,Homosexual,Other,Yes,B,C,E,D,79.82777948802355,-120.60459222222306,A,3.7377172068692546,165.59739374341513,-179.39116149925513,1
65+,Bisexual,F,No,E,B,A,D,47.734616220275825,-19.14388843533208,A,-4.6988372916113725,-202.0403400806456,24.187256972081112,1
65+,Homosexual,Male,No,A,A,D,E,-37.04878434878858,11.466912008424762,B,-49.28236418985549,127.32963473848335,201.40954100868746,0
18-25,Homosexual,Male,Non-Veteran,A,B,A,B,-45.169457440743976,-235.3733456677066,E,-26.47741134146579,225.8636500020237,112.38587686709968,1
26-35,Heterosexual,Female,Non-Veteran,B,B,B,C,11.671707021322185,-106.3152267244202,D,-72.93054751968745,-39.7802930230884,-47.49236065028766,0
26-35,Homosexual,Non-binary,Non-Veteran,B,C,E,D,112.04724359503201,59.17862292918169,B,-46.77369002137581,-43.73675544382703,96.33822670075332,1
18-25,Homosexual,Male,No,A,C,C,C,-15.862575756859554,-41.434328388039276,A,-87.17769674753994,82.84106735819265,-27.239692657232496,0
65+,Other,Non-binary,Veteran,A,A,A,A,31.645585108641328,-44.32338512212331,D,-113.89637416403025,27.500123267934605,-118.98585282925312,1
36-50,Heterosexual,M,Yes,D,B,C,D,-60.894359714840284,-131.16956573605782,A,41.55894131434169,66.70409704112038,194.6673095475464,0
26-35,Homosexual,Other,Non-Veteran,B,C,D,A,83.02681559711017,113.89529513009215,A,-58.56915862860317,-94.53124659478101,266.47407592638024,0
18-25,Homosexual,Other,Non-Veteran,B,D,A,A,37.24786975851241,231.96627705264578,E,-171.43994124554095,103.44106388027437,123.65720773024043,0
26-35,Homosexual,Other,Veteran,B,C,C,B,111.70280105623662,-35.063017677507816,A,173.28244408438186,-114.74243788061769,-8.456397437755534,0
26-35,Bisexual,Female,No,B,D,A,D,-32.92723733228271,18.332519118507925,C,-86.33929348968935,-92.95952625978887,53.204937572382924,1
36-50,Bisexual,F,No,B,B,B,A,93.3097828476708,-25.871728338332993,A,121.99022933407136,33.20702613231863,90.03095971687624,0
36-50,Homosexual,Non-binary,Veteran,A,A,A,E,-45.539141119719,138.30658626649546,E,-144.93141163244508,17.423220486768844,-55.64581202988694,1
18-25,Bisexual,Other,Veteran,B,C,B,E,-102.67470633716601,-14.798499311254554,A,-80.15085124206576,74.73635242492603,190.18431981572505,0
36-50,Homosexual,Male,Veteran,E,B,E,C,-32.864782104467096,111.1368815098697,A,104.0768838933086,-53.65164484024265,97.03267561681558,0
36-50,Other,M,Yes,D,B,E,E,26.776939232505054,-24.069200375540866,B,-53.56504426018088,-25.94868329904905,-123.8722974865652,0
51-65,Homosexual,Male,No,B,B,D,A,11.321198364272366,73.34595655385513,C,-65.35619113551941,12.043409894250182,123.64266730457152,1
51-65,Bisexual,Non-binary,Non-Veteran,B,E,E,C,-73.65470431504272,62.00200769070066,D,84.54400465518808,30.039727898028758,-169.517886346523,0
26-35,Heterosexual,M,Yes,C,B,E,D,-23.645357875060835,25.80991806143768,C,13.460896246727428,-167.68430037655645,90.2097926543895,0
36-50,Bisexual,Female,Yes,C,B,A,A,131.08729500621752,47.08812352022474,D,187.28549004502645,3.7766708278288026,153.31142820828407,1
26-35,Other,Male,Veteran,B,E,D,E,-8.796368304448707,-4.095845737930608,D,-69.77400744552543,-62.8266722986595,119.80924357630933,0
26-35,Homosexual,Non-binary,Veteran,B,D,B,B,42.438569065487606,96.32633751493742,E,-33.40606395898498,-244.2166762523708,-43.02920289586556,1
18-25,Homosexual,M,Veteran,D,B,E,A,-133.88876310217188,57.64268923955693,E,-76.58687930553047,-11.77061810613978,37.025382005762836,1
36-50,Homosexual,M,Yes,A,C,A,D,21.603226827372005,-56.62434555655804,B,81.2310218214694,87.99453239847217,-11.287770962575362,1
65+,Bisexual,Other,Non-Veteran,B,D,A,B,21.08546197024505,183.72084144861174,D,2.9008298819676446,119.57436215531175,-186.81408731908246,1
51-65,Other,Female,Yes,D,B,D,B,55.14933432506661,-66.51415786718172,D,208.7514021842946,-91.96495695606095,104.0535806143292,1
26-35,Other,Non-binary,Veteran,C,C,A,B,-40.351255379422724,133.7145918503588,C,5.043265794532173,41.15640886499109,-91.40232346060164,0
26-35,Bisexual,Female,Yes,C,A,C,A,-18.150307592214528,133.58714001180107,C,-194.57704599930884,147.36839880185033,87.94503642877127,0
18-25,Heterosexual,Non-binary,Non-Veteran,D,D,B,C,-68.02756638564809,-41.385636523349866,E,35.24976842253491,263.13463728081945,-117.32717414447524,1
26-35,Other,Other,Non-Veteran,D,E,A,E,82.86427455128403,7.65478962750083,B,59.80334584496752,-69.41923692842835,62.543705882701104,1
18-25,Bisexual,Non-binary,Non-Veteran,E,C,C,D,63.340333675176716,78.71929717473846,B,-102.94786748302482,14.123187226770423,-57.73624842448611,0
18-25,Heterosexual,F,Veteran,A,D,C,D,87.95546769459153,84.65404343360944,D,117.21943319508838,63.692247154967276,-38.18739529775438,1
18-25,Homosexual,Non-binary,Non-Veteran,B,C,E,C,-36.152713476720315,-31.504034626269195,D,-53.35501061168427,79.8694379189565,-58.76929857444361,1
26-35,Homosexual,Female,No,D,B,D,D,12.915671775538293,92.12129950896431,C,-27.689690179923847,-119.11158684274037,-25.740484609933738,1
26-35,Homosexual,Male,No,A,A,E,B,-135.90218096800413,-62.32049891115666,B,-7.25988951489121,-133.27067908669406,40.283007870399004,1
51-65,Homosexual,Non-binary,Non-Veteran,C,D,A,B,-97.57540692887743,-40.462972116421255,C,26.05214202793652,-137.63104055778803,-99.76200761904313,0
26-35,Bisexual,Non-binary,No,B,A,A,D,-10.258258081735027,8.752466660390388,D,118.57564426359797,-82.52649143395176,94.8250788456003,1
51-65,Heterosexual,Male,Veteran,A,C,D,E,11.173825256348247,7.267094507391876,D,23.015290439545755,-39.98803187647397,-35.68405557281466,0
36-50,Bisexual,Non-binary,Non-Veteran,E,E,D,E,22.366546427680444,34.348712341834734,B,38.3404077108774,-21.446184617312934,237.1824788091185,0
51-65,Other,Non-binary,Veteran,B,E,D,E,-93.41786317171535,15.331233453493919,B,-104.65861154266972,171.4474266849775,133.70578300688965,0
65+,Heterosexual,F,Veteran,E,E,D,D,34.078066496068665,0.33683734654514313,E,-79.60526096132861,-160.16280835994263,115.31552645740912,1
26-35,Other,M,No,C,E,C,C,18.168082903323263,104.64826417004487,D,-17.518977066286865,-27.349717095530746,89.91599520265507,1
65+,Homosexual,Non-binary,Yes,D,B,E,C,249.93291157539997,-2.815391141950399,B,68.70680423574066,-40.674495478226255,119.28273057923127,0
65+,Bisexual,Female,Non-Veteran,C,E,C,C,-66.20574415163088,36.630038996837996,B,-25.975356652515064,2.667039449401017,77.5760767648285,1
65+,Other,Other,No,E,C,C,C,34.821865306089585,7.367479017491056,E,-32.38078000345739,40.14608249584713,3.090227552489858,0
26-35,Heterosexual,M,Veteran,B,D,E,A,23.159235229385665,-130.24371565183264,B,-139.6366698828,-183.50870570361252,-117.43848723193724,0
51-65,Bisexual,Female,Veteran,E,A,A,E,13.076935179197305,-19.78712955471106,C,174.00413935313,-115.69638914440645,47.298081287919516,1
18-25,Heterosexual,Other,Yes,D,C,C,A,-57.28086280036009,-2.387967582027754,B,42.96560779721222,-45.92051694175442,63.40838059664853,1
26-35,Bisexual,Female,Yes,D,D,E,D,245.02122869042483,143.20055378131255,A,-34.380912830680565,-22.536051100973413,100.02929085678312,0
18-25,Heterosexual,M,No,C,C,C,C,-83.71565292288366,-154.2016667763593,B,-145.41143448453312,8.113597569634628,-103.07277351793964,1
65+,Heterosexual,Male,No,C,C,A,E,16.370130089105583,52.040725447568214,D,29.21098103929242,-25.564903667685083,-49.50332085789459,0
18-25,Homosexual,Other,Non-Veteran,B,A,B,C,-124.51034171272201,-96.05806973585739,E,128.98008336479185,-122.51854597517857,129.03343800418995,1
18-25,Other,M,Yes,A,C,A,A,-110.64586681696542,-70.34944361481953,C,54.34071869995449,-59.3087519768018,116.17353508067063,1
26-35,Homosexual,F,Non-Veteran,A,D,C,A,-62.226659228602365,172.95315714774122,A,16.706170415410053,40.61207147335091,119.59512577305655,0
36-50,Other,Other,No,E,E,E,E,-169.32248941216258,176.82589838036918,D,-80.26344983789937,84.61582605862692,214.2026554947057,0
51-65,Homosexual,M,No,E,C,A,E,-207.52646488947352,11.724846229394153,A,-44.24851766633936,73.1244239865649,316.1867159499562,1
51-65,Bisexual,Non-binary,Yes,C,C,D,E,-16.001171979932074,-27.488781202037433,E,153.69741078473155,19.732141728131854,-44.36816171577095,1
26-35,Bisexual,Other,Yes,C,A,C,B,1.7754577899310453,-106.9942816598454,B,-31.213074777075654,-55.268829001223594,6.9814213671124365,0
51-65,Other,Female,No,E,B,D,E,-94.0558322732281,-46.38255092821648,C,-173.51223722828803,19.189854676483986,40.15786170172071,1
36-50,Heterosexual,Non-binary,No,C,A,E,B,48.402920684568564,26.60884641475658,E,-38.40703665280732,28.69844849849364,135.04677145783492,0
26-35,Homosexual,Other,Yes,D,D,B,B,133.96341985845456,-131.7457196452526,E,-92.19843341618093,61.293612685224076,-90.6443368575145,1
51-65,Bisexual,Non-binary,Veteran,B,D,A,D,-17.133640756448195,-56.26089655966434,E,94.30064650668447,-285.4328497561522,-69.77011483295891,0
18-25,Heterosexual,M,Non-Veteran,B,A,C,A,17.679785694657316,-208.3147144963517,E,143.09007555897344,-153.85387113238878,-84.9206060001644,1
51-65,Homosexual,F,Veteran,A,C,A,B,17.046715040093282,120.10515280168048,A,81.73510624428334,-97.87719429684483,-10.257222868085634,1
51-65,Homosexual,Female,No,E,A,D,C,135.4503701062393,-87.80767705269898,B,143.94048475411472,87.07719602315268,-10.135089758273303,0
26-35,Homosexual,Other,Yes,B,C,C,A,116.09660863762397,23.51337805222807,C,80.05293655450491,-63.53999614205373,36.73083910247536,0
26-35,Homosexual,M,Non-Veteran,E,C,A,B,20.421190282727764,33.514847045724935,C,12.20952528068376,27.577702914437115,-120.45675784392877,0
18-25,Heterosexual,Non-binary,Veteran,B,C,A,E,-48.51659742155484,62.96009600604631,D,126.51852190761004,-264.8984434117004,-161.89464365911581,1
36-50,Homosexual,Other,Veteran,C,E,D,B,9.729692213887125,24.036621579593128,D,94.9497578996192,33.024536593352614,33.88292894191506,1
51-65,Heterosexual,F,No,D,B,D,B,-57.73685486941715,-49.97691498027091,A,-6.716419895613955,-169.21277294090447,24.42352044372199,0
18-25,Other,Other,Veteran,D,B,A,B,171.62361438248402,-151.812102220281,E,-92.96352545672306,58.90658251352179,-216.7235651623693,1
18-25,Bisexual,F,Non-Veteran,A,B,A,D,-71.14416309031142,-190.12029011217675,B,-142.516333817375,-156.04903424607184,121.20654802741207,1
65+,Bisexual,Other,Non-Veteran,C,B,B,B,142.47451106712103,81.36847982369684,A,-294.34323627224114,181.82587494781225,43.885040718297745,1
36-50,Heterosexual,Non-binary,Veteran,B,B,A,D,79.93950911104457,46.11102349624217,C,53.422910173636886,8.35177738640535,-30.428182973222928,0
26-35,Other,Female,Veteran,A,A,A,D,-129.62408644894825,-34.585314709421446,D,-52.66083392087031,-56.62315185040199,132.57956697944834,0
18-25,Other,Other,Yes,A,E,E,A,65.47891952279431,5.880340337742202,E,59.9995545840661,-37.299987192733845,-75.40115315556777,1
51-65,Homosexual,Female,Non-Veteran,E,B,D,D,-4.570544148397014,-134.01649244763036,E,-217.91145281482142,-22.38198694283256,46.69026535836109,1
65+,Homosexual,Male,No,B,B,D,E,-81.1937084943063,-200.3550069915792,C,-50.82916040783629,-121.32863194667955,191.8260231512859,1
36-50,Homosexual,Other,Non-Veteran,A,B,C,A,87.9613869223476,93.90660078625996,D,-14.032478180719934,-70.61849821544521,-90.3069344650349,0
51-65,Bisexual,Male,No,D,B,B,A,-8.130241879025068,-0.8472468270489827,E,-150.83207752962318,142.13140755625025,29.325315317639156,1
51-65,Bisexual,F,No,C,E,A,E,28.552721656313274,65.70345611645588,E,22.102056339466657,-31.047503469438247,15.804400595782983,1
36-50,Other,M,Veteran,C,C,E,B,-96.2763217096788,-222.06051103595854,A,38.91068099447111,-38.84411040216999,37.67926024446985,0
51-65,Heterosexual,Female,No,C,D,B,A,-102.52090748215754,-71.45441000784459,A,-7.730624917659921,-20.601814726670476,12.34653721706153,0
18-25,Other,Female,Veteran,C,D,B,A,94.90572931884347,-107.50216783233357,D,-14.186136892337423,166.60697822507203,81.41430707317431,1
65+,Homosexual,M,No,D,A,C,A,30.90362393522184,-109.89935539873194,D,-9.602010757494972,134.03187029776998,72.00127358948853,1
26-35,Homosexual,Non-binary,Veteran,D,D,B,B,49.161917710267716,5.12723422679176,C,67.75152228558689,188.5536985910238,-88.04300200286403,1
36-50,Other,F,Veteran,C,D,A,B,71.52460322400745,-92.66611385657122,C,-170.6573067357867,48.85498058741638,90.12255374331465,0
18-25,Bisexual,Male,Yes,E,D,B,C,94.66003270704016,-59.094565023122904,B,-11.193158136715809,-86.11928803274232,-66.73581107598953,0
18-25,Homosexual,Male,No,B,C,E,E,198.79170074075057,139.9560983622794,D,50.13575362745,7.729249785233525,1.0011580548177186,0
51-65,Heterosexual,Male,Yes,B,C,B,A,92.90560372156442,-19.048061525918992,B,147.3538052600262,-59.474933822639976,-81.2120454257561,1
65+,Bisexual,Non-binary,Non-Veteran,A,D,B,D,23.04293538480057,-46.512625092138336,B,0.6291800514678967,-19.043013753540794,-120.33131935408225,1
51-65,Bisexual,Non-binary,No,A,B,C,D,-112.14558265854795,49.0809089089832,A,-83.37052964469818,47.779869333975654,19.985992266805024,1
65+,Other,Female,Yes,A,C,D,B,14.894556886367708,-102.09995892594057,B,-102.05517794899556,59.95977250568993,-47.82268258196165,1
26-35,Heterosexual,Male,No,C,C,A,E,-56.93886375141701,-210.68405522383924,A,-118.65967503550445,12.230117532564087,-50.665090026284574,1
51-65,Heterosexual,Other,Veteran,D,C,E,A,44.510014263847566,72.06024569233658,D,-48.37092069850178,126.20445000435332,-119.97913340529168,0
18-25,Heterosexual,Male,Non-Veteran,A,D,C,D,80.89794657529885,55.39497136108326,D,95.07347360477092,-204.51856854005564,-22.658333940035728,0
18-25,Homosexual,M,Veteran,A,A,E,A,290.0163547821058,140.14267284227034,C,54.24888873019474,20.879496667209615,145.58608930370653,0
26-35,Homosexual,Other,Yes,D,D,C,A,89.60624833586903,-77.46493959630776,C,4.278593299568549,-21.52543153406651,-20.249622967670724,1
65+,Homosexual,Other,Yes,C,B,D,E,174.3273968554105,126.17995847268695,C,78.34146483268503,7.546460129203347,-40.86394751022233,1
51-65,Homosexual,Non-binary,Yes,B,E,E,B,163.76608225027255,26.027595894430107,B,18.096049093228473,129.6315742788045,149.7510557954226,1
18-25,Other,Female,No,B,D,D,E,23.94295107229742,-60.07897980996751,E,-62.920431318901514,191.1516765645387,-79.11140852181565,0
65+,Bisexual,F,Non-Veteran,C,D,D,C,-59.22706453114219,-103.47057041227788,B,-8.373649157933722,126.00060835057121,-22.212876102391878,0
18-25,Other,Other,Non-Veteran,C,C,C,C,-104.61549261174588,51.842189451952656,B,28.176336988494143,-51.61119636887078,45.86611869682199,1
18-25,Bisexual,Female,Yes,D,A,E,C,-263.44766833396545,28.119037374739868,C,-169.4745314324805,117.16806340103898,80.99160793010736,0
51-65,Homosexual,M,Non-Veteran,B,B,C,D,100.0828703617405,-22.32212538328873,D,82.7549621589367,-183.68342760273669,-106.43043203448892,0
51-65,Homosexual,Female,Veteran,E,A,A,A,-21.303186393048506,-192.06352054862913,D,8.679519385057938,-45.97153599067985,-26.332357603947454,1
36-50,Other,F,No,D,C,E,B,-29.747373145829027,61.558108753164994,B,211.89028693159875,-157.1465927892669,59.86678420592577,1
65+,Other,Other,Yes,A,D,E,E,-6.0644121929630765,-0.8675962306957077,D,-29.922253435720297,-96.86109411763164,-142.77683578797274,1
26-35,Homosexual,Female,No,D,B,E,E,-184.059097285756,-0.7096273518749207,B,25.58273986003784,155.21965194403498,94.24391383460663,1
26-35,Other,Male,No,D,E,C,A,78.91907511525191,-38.90955138886244,D,-15.488547545540083,109.55801505128491,-144.03595418395753,1
26-35,Heterosexual,F,Non-Veteran,D,A,B,B,-53.85314619423271,1.6197652912928957,B,70.5945315174057,-40.41982387074475,4.3969722467020285,0
26-35,Heterosexual,F,Yes,D,A,B,C,102.24909662684402,-21.00391168726871,B,35.44314409156183,-27.705786021750445,-28.615706430465508,0
51-65,Heterosexual,Female,Veteran,C,B,C,C,-2.023325980562194,189.66197339206653,E,225.30601918151635,7.3692296465757225,84.34685873660388,1
51-65,Heterosexual,Male,Yes,D,B,B,E,8.59645876213413,87.93393766755361,B,-63.1503723569671,-179.3391539430023,48.19131472224637,1
18-25,Homosexual,M,Non-Veteran,D,D,E,E,-43.65459244256177,-6.5431494585678,B,59.09163015652644,-24.685333719425724,-23.02535731069692,1
51-65,Other,F,No,C,A,D,A,323.74042253023777,-22.936566870867985,D,-98.15649330716671,81.67482290415307,89.20550667193311,1
65+,Other,F,No,A,B,D,E,-169.36811055198677,-19.019590749442905,D,0.35591289772099577,97.11818949314112,98.36973432704325,1
18-25,Other,Other,No,A,B,E,D,101.30233971656493,-63.952035776285975,E,-3.6284098291640374,62.15122324401881,-105.77325346976308,0
18-25,Bisexual,Female,Veteran,A,B,E,E,-57.43715743134402,34.80033742464489,A,170.825934598093,-134.0798407004651,72.09293816488443,0
51-65,Bisexual,Non-binary,Non-Veteran,A,A,E,D,-33.44109784929175,50.11902955401008,E,-1.2145130628951264,33.65491633247243,-207.63522068245237,0
18-25,Other,F,Non-Veteran,B,A,B,D,64.89496477446335,-60.88712504052235,D,-129.4177144073809,-70.44128401064017,-63.76828379605506,0
36-50,Heterosexual,F,No,B,D,C,A,-147.23820393034225,-27.89655976110848,A,-167.2070376699124,13.316467625630551,-140.92361911937428,0
36-50,Bisexual,Other,Veteran,E,A,A,D,-21.055834135090514,52.91565385443666,B,-10.898906114283193,-93.0734722297948,-40.02134508386471,1
36-50,Heterosexual,Female,Yes,E,D,B,E,-131.45256963364722,-152.78908949830017,C,110.61821566748569,-206.50223760957084,-41.96173979284655,0
65+,Other,Non-binary,Non-Veteran,E,C,C,A,68.37295904905093,-63.7346593609408,E,38.535079619201575,-12.315479470847489,-5.619600656012571,0
26-35,Homosexual,M,Veteran,C,A,D,B,3.380095235208004,12.356451239313731,E,72.15079367337383,-24.956867016034483,-58.319516954874274,1
18-25,Heterosexual,Female,Veteran,A,A,D,E,-9.469091029334429,-125.51282866377105,C,33.70907263717757,-192.2249097841961,99.2827382564123,1
51-65,Bisexual,M,No,E,A,B,E,90.14807033132138,-54.61911253705749,C,142.8233994956515,121.10439891645035,-14.234109580775577,0
36-50,Heterosexual,F,Veteran,C,C,C,B,-25.231276029108194,2.107598829376327,A,-36.4783621728274,44.740115631626956,-74.37077715027924,0
36-50,Homosexual,Male,Yes,B,A,C,A,-27.8101772160326,65.41878879701706,C,-188.76632804462724,-10.316751809270608,44.11449012938566,1
18-25,Homosexual,Male,No,A,E,A,B,-4.639814161616397,-31.328917573331722,B,167.8808785492399,52.83081214259718,114.16722500067888,0
36-50,Heterosexual,Female,No,A,D,B,B,-20.904019822478446,-136.59168140299144,A,47.08126381861136,-73.09094460257725,-56.78080212069456,0
51-65,Heterosexual,Female,Veteran,A,E,A,E,-9.510015752240388,219.20672762743902,A,135.7110926959594,292.619625597376,-97.1326488283193,0
