veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
Veteran,-221.69661320224048,A,-72.39973401258344,A,161.44401128181303,D,E,B,E,C,D,0
Non-Veteran,-80.41199583884953,B,127.15311504190716,E,-5.069595888330056,E,D,A,E,E,B,1
Yes,-80.03772965441715,D,-52.716835032742715,A,-120.1197461028242,E,D,B,A,A,B,1
No,-32.38858643561738,E,-220.99585492809985,C,-30.455774553273056,E,C,A,A,B,C,0
Non-Veteran,-157.9147512405191,C,14.31590781510477,A,98.75575178923674,E,C,C,A,E,D,1
No,163.74262238412058,E,198.7005630927367,B,-35.59737634473205,A,C,B,E,D,A,0
Veteran,-38.20196802808964,E,-71.71510704167164,C,23.31648102395561,A,D,D,D,C,D,0
Yes,185.70983395304827,E,29.249293120880328,A,106.12645434831684,D,D,D,E,B,B,0
No,53.01502617136721,E,-0.24287185006348794,A,-30.228402780665693,E,C,A,C,A,A,0
Non-Veteran,-167.89040320016096,A,-81.69489663861584,A,152.39641405512845,A,E,A,B,D,E,1
No,-77.29686568711341,E,97.34445089527469,B,-134.95743047781207,C,E,C,C,B,B,0
No,-192.8269420931754,C,15.22126373766304,D,93.78684142388548,B,C,C,E,C,B,0
Veteran,76.09951507402094,E,-166.719905016174,D,108.85198398595246,E,D,A,E,D,D,0
Veteran,70.19336663720385,E,70.23926641336408,E,-45.587276626630235,C,D,D,A,D,E,0
Non-Veteran,284.75915726107235,C,48.35465528937736,D,55.194585523261594,D,A,D,C,A,E,1
Veteran,174.07135770353483,E,2.9223824074645397,D,30.712097028737983,C,A,A,D,A,D,1
Veteran,-47.42671945411636,E,-88.84785601459235,B,22.941298175631864,B,C,D,E,C,A,0
Non-Veteran,-125.81269069980463,D,156.9575185689542,E,-57.2405234952734,A,A,C,D,E,D,1
Veteran,4.340751140799407,B,-96.64836922361665,E,-32.73961994640663,E,B,A,D,E,A,1
Non-Veteran,-117.80432248528707,B,27.419835449879304,E,18.15062245782069,B,C,C,D,D,C,1
Veteran,33.12295910021012,C,-61.36488140749798,D,185.3899233496371,A,D,C,A,A,C,0
Non-Veteran,45.08432660871802,E,144.44140172128388,D,132.20849401085496,E,E,C,D,C,D,0
Veteran,-316.8549018888735,A,138.6276638515685,E,8.889032233607908,C,E,B,B,A,E,1
No,-29.819000767123587,D,-124.00271401264813,D,17.348432798771956,E,B,B,D,E,C,1
Non-Veteran,-116.89723973754495,E,-41.22373751731202,B,63.68775846847562,E,B,B,B,E,E,0
Yes,188.34193956090158,C,98.66603912946148,A,19.699286946612588,D,E,C,E,E,B,0
Non-Veteran,-78.35068402909606,A,-110.86571704475143,D,-23.949200456931795,B,B,E,B,D,B,0
Non-Veteran,-86.34545670222542,A,-0.13373390971049257,B,37.83384937957942,C,E,C,A,B,B,0
Non-Veteran,-58.319051724693914,E,92.74221004637532,A,122.81841926217494,A,D,C,A,C,B,1
Veteran,-136.5636567771711,D,-75.26401194467923,A,-193.4778684175396,D,E,A,B,A,E,1
No,-222.03248454852985,A,15.216210013334655,C,151.08073004437185,E,B,E,C,E,C,0
Veteran,76.76083381685253,C,-133.0527642791465,B,81.55226487036306,D,C,C,C,E,B,1
Veteran,-56.613121707815694,E,2.257615071162973,B,19.33178918289313,A,A,C,E,A,A,1
Yes,-34.69400647705138,E,44.64986290340175,B,163.43320932887292,C,D,B,A,A,D,0
Veteran,26.681361019718697,D,-158.55257292444665,B,153.12486987780264,B,A,E,A,C,D,0
Yes,-4.110776037933802,B,14.612571183793834,A,115.29574462689523,C,A,C,A,E,C,0
Non-Veteran,31.736876007063636,B,-55.030605397817276,C,5.226132587182423,C,A,A,A,C,C,0
Yes,27.235615930247477,E,-91.2268693695784,E,-125.60467182853729,A,A,B,B,A,E,0
Non-Veteran,-21.657075715887746,D,-85.42574949708226,D,-35.81146331147143,A,B,B,E,D,D,0
No,-72.33899380826429,B,54.726107564606906,C,40.149912222936344,C,D,D,A,B,D,0
Yes,-46.95835541702343,E,79.53953004977927,B,-8.014068241375902,D,D,D,B,E,C,0
Yes,-95.38356021495788,A,201.75316743865096,C,-47.86046629954874,D,D,A,C,E,C,1
Veteran,-68.78536550782589,C,168.206451260999,C,59.631208722266734,C,A,C,C,B,D,0
Non-Veteran,185.09260711785933,D,-75.64185272415506,D,8.278905044359654,B,A,B,A,C,B,0
Non-Veteran,72.57533995032301,E,-45.927638013348684,A,-147.94038150312866,D,C,B,C,A,B,1
Veteran,81.71644401483175,B,35.27561789680655,C,122.92313888437552,A,A,A,C,D,E,1
Non-Veteran,-97.06599630050765,B,-65.55902120155926,C,-36.01292167564388,A,B,B,E,B,D,0
Non-Veteran,100.6280315616142,A,122.08771764446702,B,-30.267908878521794,B,A,D,C,A,B,1
Non-Veteran,138.05983110127474,B,45.203275437155135,C,61.41647432036732,A,E,C,A,B,D,1
Veteran,52.750862756258954,C,-54.07362923345785,A,191.83226731435101,A,C,B,A,C,B,0
Non-Veteran,-2.9544732109438994,C,91.74522904902481,A,-223.97552709827454,E,C,E,A,C,E,0
Veteran,-15.943643180916967,B,-45.1245170848579,D,-72.78825849144125,A,A,E,B,A,C,0
No,82.11344206586769,C,8.848786078247045,E,-38.003903030426535,E,A,A,E,A,A,1
Yes,224.36363261729988,C,54.429870450076436,B,171.45684531770675,C,E,B,B,B,E,1
Non-Veteran,-22.46427898516306,D,-53.228496672418444,B,7.110476625199381,D,A,A,A,C,C,0
Veteran,-94.75842119865081,B,-111.78344494025288,A,64.37380481276101,B,B,C,B,C,D,1
No,98.1175722056151,E,-28.789829431977545,B,-74.75906643325766,A,C,E,D,A,A,1
Non-Veteran,102.97876026023486,A,126.77659700338147,E,-110.99069857971249,E,D,C,A,B,C,0
Veteran,30.141996459483245,E,-8.191029005972577,A,45.400654413890855,D,E,C,D,B,B,0
Veteran,-144.01545424933676,A,159.3052266617522,A,60.31695154657609,B,A,C,D,C,E,0
Yes,109.08789694182013,E,236.22303152438752,D,75.58466150908724,C,B,C,E,C,B,0
Yes,67.32893877536831,A,-35.881800648227404,B,-38.35102652168165,D,E,A,C,E,D,0
Veteran,-117.69465542580843,E,110.15554478336043,A,-118.27695901928146,E,C,D,B,A,E,0
Veteran,56.84315783789516,D,-10.723089016735454,C,93.32832316081857,E,C,B,B,B,D,0
No,4.948698130702203,A,54.47063759072622,C,-96.83752254395964,C,A,B,D,A,C,1
Yes,112.64504776317861,C,-54.59886066871864,D,-83.31549866831249,A,C,B,B,D,C,1
Non-Veteran,-56.52395135540923,B,-93.13356208000127,A,-81.51383141206458,A,D,C,D,D,A,1
No,38.32213406809613,C,-15.059782157330249,A,69.95878805797643,E,C,A,E,A,C,0
Yes,-15.598940197848234,A,181.81468262679888,D,-69.3647879474307,D,D,A,A,A,C,1
Veteran,-27.580705473761924,E,-193.97655260291597,D,36.13357749920643,A,D,C,C,E,B,0
Yes,-36.48182792926734,B,126.90871243206863,C,-48.69756625670863,C,C,A,D,D,A,0
Veteran,44.82829681861192,D,-36.35829378253742,B,46.99401993004914,D,E,C,B,E,D,1
No,32.23815228426881,C,-62.95976280224876,E,-235.01420516277807,E,D,D,A,C,D,1
Veteran,-46.39231984852231,A,79.05987210672856,A,40.5616152125252,D,E,D,B,A,A,0
Non-Veteran,155.55209902556945,E,-18.751220540848514,A,-12.1281269586799,E,E,C,E,E,C,0
Veteran,-100.0713246164318,C,-37.23837908422255,E,-91.59173952197357,E,A,C,A,E,E,0
Veteran,-91.80371581858982,A,22.371701640359593,D,-168.01265053317871,C,B,A,C,D,B,1
Veteran,-65.72634759874579,E,153.6482323650119,B,-40.409077058732976,D,D,B,D,D,B,1
Non-Veteran,-77.63672252799853,D,-107.07528280301892,D,-10.312608210151941,D,D,A,B,B,C,0
Yes,11.064171176252042,E,179.43462047170343,E,138.41101750992902,D,B,A,A,D,C,1
Non-Veteran,124.14768094313591,E,58.36312012540134,D,-166.36202324283875,D,B,C,C,B,D,1
No,28.73691895233581,E,207.9154673654182,B,183.25594732071505,C,B,D,E,D,E,1
Veteran,-61.19818122642408,A,-176.01831378197633,C,-8.360971492968817,E,A,E,E,A,E,0
Non-Veteran,25.6142622668785,B,-63.008855111953686,E,136.3798686423311,D,B,D,E,C,E,1
Veteran,-32.56943868687861,B,-67.03884082247244,A,-151.9367959381815,C,B,E,E,C,E,1
No,74.9078024347162,A,54.59748385069694,E,80.70553850889884,C,B,E,B,A,D,0
Yes,-66.48710039716362,C,26.357312145907635,B,72.12183093645702,D,B,B,E,A,E,1
Yes,-31.268192293615808,B,-85.25871774371645,C,-43.792206815285745,C,A,C,D,D,C,1
Yes,-90.94762103053577,A,83.29132155063648,A,39.916258565222265,A,D,E,D,D,D,0
Veteran,-219.9216245834529,D,42.041420019964185,D,-40.77764564973705,E,A,D,C,B,E,1
Non-Veteran,-3.9938922179578515,B,5.041737629689709,A,11.880719292755181,E,E,B,C,C,E,1
Non-Veteran,39.34640872439899,A,-41.70100118216897,C,-178.86333542115233,D,D,E,B,E,D,0
No,6.625898706139882,E,165.19294601300132,E,-34.28632611584648,B,C,D,D,A,B,0
Veteran,25.023315701892006,D,123.2648861028382,C,-130.06664350711,A,A,C,A,A,E,0
Yes,-92.85352318680576,B,145.82087322064942,B,124.80433615196947,A,A,C,E,B,D,1
Veteran,215.75364855654175,D,10.8708531681339,C,-62.4992909427051,B,D,B,D,C,C,1
Yes,53.652355969460395,D,-44.0879258096609,D,-32.83643416187781,E,A,C,E,E,B,0
No,35.169290029184204,E,71.54516588256604,D,41.70146404190568,E,E,E,C,A,A,1
Veteran,-137.35025697807686,B,-28.0915350214815,D,113.56196410109894,E,C,A,E,C,B,0
Non-Veteran,87.52400564689184,A,13.807358001084728,C,101.09413288264517,A,C,A,D,A,A,1
Yes,12.887284119883141,C,-0.4869939667281561,E,-59.403686193675355,B,A,B,B,A,E,1
No,-143.54541288746583,B,53.01084209332244,A,-124.27682250851187,E,D,A,D,A,C,1
Non-Veteran,-171.23335410111187,D,98.6660646809137,B,120.99394569692564,E,B,A,C,D,C,1
Non-Veteran,-164.48889195737686,D,59.75826642295616,A,65.94256987935537,C,D,E,B,C,B,1
No,-92.2825140346745,B,32.07851643256694,A,72.30083311715127,A,B,D,B,B,C,0
No,-22.08057887015148,E,95.25286514320183,B,-76.24004238592157,C,D,D,A,D,D,0
Veteran,84.23861095341807,C,-79.09580332138462,C,140.90205089355658,A,D,B,B,E,B,0
Non-Veteran,103.69219385003312,B,-50.130668612002815,D,68.38247317463649,A,D,E,E,A,D,1
Yes,86.61202742782196,E,-7.5872956075224955,E,44.18331032293724,C,C,A,D,C,E,1
No,-87.42217169564151,C,133.05120822099056,C,144.53476814008104,D,C,B,C,A,C,0
Non-Veteran,65.08248882464808,C,-177.81075423794334,B,133.09402102573335,C,D,E,B,A,E,0
Veteran,-145.75120719365688,A,-69.84050399452549,D,-31.455873903549897,B,D,B,E,A,D,0
Yes,70.4366930606891,C,214.24293793591156,A,5.400286866895473,A,A,E,B,A,A,1
Non-Veteran,55.99998416426553,D,131.32718314321735,B,-43.856842534735726,B,E,B,E,E,A,0
No,-112.8062180922002,C,-163.9888925032382,A,-81.52113183745179,C,B,E,D,A,C,1
No,-100.9750844045168,A,-127.49940183251927,B,-74.01528046629193,A,A,D,A,A,C,1
No,189.13229777965563,B,147.75616044825443,E,-185.6326011321222,A,E,B,E,C,B,0
No,-76.31615619729565,C,124.52979883139044,E,-44.19251396813241,A,A,C,D,A,D,0
Veteran,5.462862251026586,B,53.527489777298975,C,-81.01656926453231,E,C,C,E,D,B,1
Non-Veteran,-211.67628535412874,E,-86.57061672805324,A,-85.96378857955106,B,C,E,D,B,A,0
No,78.08759530651156,D,-56.37721658996219,E,63.96034861426727,E,A,A,A,B,E,0
No,69.38371696184238,A,-17.1882535693155,C,-50.91587535026788,E,E,E,A,E,B,1
Veteran,-123.76272364917003,A,-164.1257177140051,D,-134.1269444354896,A,A,E,C,C,D,0
Yes,2.63087405537706,B,-62.314193432197385,C,-73.28111156101035,C,A,C,A,A,C,1
Veteran,-97.67078673409618,D,98.0646714005083,C,66.5939932958538,B,D,D,A,A,B,0
Non-Veteran,47.8003828516245,C,-26.01506881471755,A,148.52435809731332,D,C,A,C,D,A,0
Veteran,-42.225739675288494,B,-50.320646919629695,C,-68.70546393982148,D,B,E,E,D,C,0
Veteran,63.36232763506785,D,61.514054503055796,E,-96.16181237070613,B,D,E,A,E,D,1
Yes,5.742767048452054,E,64.55105645905707,D,68.80864460843328,B,E,B,A,A,A,1
Veteran,34.19270087374737,B,-32.100780508345935,A,146.93559296495428,D,C,A,A,B,D,1
Non-Veteran,-59.65959971413655,C,10.926029243113863,E,-39.72585614806584,D,A,B,A,D,D,0
No,168.36072224277638,A,96.77542381639188,D,-134.7826604718524,B,D,A,E,B,C,0
Yes,101.8482826035723,B,93.3828687957971,A,30.292010593184017,C,E,A,D,C,E,0
Non-Veteran,20.80232864636922,E,175.56023760874055,A,-74.50063401851905,E,C,C,A,B,E,1
Veteran,100.49480019968118,A,221.46815100176892,C,-18.03722246956398,E,C,D,D,A,E,1
Non-Veteran,-34.6571122013417,D,71.8792739264429,C,161.54131795188547,A,A,C,A,D,A,1
Veteran,19.980720168551716,E,8.621266755625442,E,108.28794067512881,C,B,D,B,A,C,1
Veteran,-93.0506191707226,D,-203.87836949824424,A,-103.88658864345356,D,C,B,B,B,A,0
Veteran,-13.917874816261202,D,39.07692904369198,A,10.666498472985957,D,A,C,D,B,A,1
Non-Veteran,91.71725557029704,C,0.3594999345415926,C,49.8319855033933,B,E,D,B,C,B,1
No,55.31527031504735,D,-6.672408651246981,C,-115.82674046748961,E,E,C,D,B,A,0
Veteran,-11.17461144110768,C,27.866344093664523,B,80.87989654167593,A,A,B,D,B,E,1
Veteran,75.61936624943499,D,80.19494004677664,E,-16.33772590171741,A,C,C,E,B,E,0
Non-Veteran,-39.975934817260125,D,88.11421126999839,E,-92.99529495031005,A,E,E,D,C,D,1
Non-Veteran,-27.941761567552376,D,-25.267833047103238,C,-0.6956148058069344,B,E,E,B,B,E,1
Yes,66.8993910284119,B,-119.57700202053122,D,-55.490407400746314,B,A,D,C,D,B,1
No,111.96026576484329,B,-5.922195453777774,E,-20.520022952788025,D,E,C,E,E,D,0
Yes,-47.797882697416966,C,-24.355711025725167,C,-94.1835743213499,B,E,E,E,B,B,0
No,-117.10034664488758,B,158.56417210330943,E,-42.189766015694765,C,A,C,A,D,D,0
Yes,85.73556302878185,E,163.29405874432751,D,-81.05062705732603,E,E,C,B,D,C,0
Non-Veteran,-100.95660847775365,D,-93.94028299456212,E,47.53590094260866,A,D,C,A,E,A,0
Veteran,-71.06333334578824,E,-67.82303692217002,A,66.74308611746453,C,B,E,B,E,B,1
Non-Veteran,-32.94717511720302,E,-91.68826500689772,B,149.01067638673862,A,C,E,E,A,A,1
Non-Veteran,3.9988485364422033,A,78.15287351992927,B,0.3992185795431832,B,E,A,B,B,A,1
Veteran,-4.051007162207844,A,175.79244954125107,A,54.936505545190094,D,E,A,B,A,E,1
Veteran,76.97912448292124,E,22.617192366672313,C,126.90576221871422,D,B,A,A,B,B,0
Veteran,29.2686270505751,D,120.96327173459609,C,142.7049798454421,B,B,C,B,C,A,0
Veteran,17.27073863222712,B,-207.9468430441428,C,68.93771894582376,D,D,A,D,C,E,0
Veteran,163.1726625707265,A,-39.522356681574486,D,52.028317383235645,C,E,B,A,D,A,0
Yes,25.348100305662904,A,-109.94463472033576,B,53.108463384095884,A,D,E,A,C,A,0
Yes,-79.09392392422127,C,-119.01354547538534,B,-239.1640453374351,A,B,B,E,A,B,0
Yes,-83.55139613132351,E,-44.84929391705329,C,71.55411810005162,E,E,C,A,D,A,0
Non-Veteran,6.6269006507790635,A,-99.38627217710886,E,-97.54075754449025,A,C,D,E,A,A,1
Non-Veteran,-7.835196322299057,E,262.43742982104357,C,-40.711776619805725,A,C,E,C,C,C,0
Yes,20.953128653434185,B,34.358896589356284,C,-52.75287225046109,E,B,E,D,C,E,1
No,112.6507010438061,E,-177.58859979020744,C,-80.73964788384859,E,A,D,E,A,C,1
Veteran,-118.97575864019814,E,47.333223845828556,D,-59.179460885139555,B,D,C,E,E,B,0
Veteran,112.77003354788408,D,47.950571174590266,A,-72.73264265529981,B,A,A,C,E,D,1
Veteran,-89.16983900864115,E,-107.46392003717686,E,-35.033977222876665,C,B,A,C,D,D,1
Veteran,-132.73587097041562,D,-121.07627370941574,E,-37.67401922954131,E,D,E,D,C,D,0
Veteran,85.79574104947154,E,111.75335445122654,E,-89.9475381748563,A,B,A,C,A,D,1
Yes,130.23412393472486,B,-72.91740091148344,D,-22.535326152001435,A,B,D,A,A,B,0
No,135.69341837818487,B,-185.11531257978874,C,22.34205509536445,C,D,B,E,B,E,1
Non-Veteran,92.80191183831349,B,117.63747886668699,C,185.82547154716718,B,D,A,B,E,A,1
Non-Veteran,76.91476789706905,C,-14.58322410472518,C,-132.15336440580327,C,D,B,A,A,C,0
No,4.740948168679007,D,111.17926745590256,A,-140.44919988026987,B,D,E,A,A,D,0
Veteran,49.94723106579478,E,-103.65025536587422,A,-120.05349213339053,D,E,A,D,C,A,1
No,81.87417713242287,E,31.283241273805825,D,29.20114353994963,C,A,D,D,E,C,1
No,-13.4838602198274,B,130.9769187332473,B,-50.43261100126985,D,A,E,E,B,D,0
No,-10.97207123572576,D,91.90468621336619,C,68.8920244315068,E,A,E,E,E,B,0
Yes,-181.8060194792246,E,-45.27808331493699,B,92.43282719717824,A,D,E,D,C,B,1
Veteran,86.80017440137698,A,-45.3064736309225,C,36.41416017127334,C,D,B,D,A,C,0
Non-Veteran,18.062503482945118,C,-24.124069485765464,E,-3.108253080955967,C,D,D,B,B,B,0
Non-Veteran,53.20548999502027,E,-9.029015072688471,B,-6.885713407589937,E,D,B,D,C,B,0
Yes,-0.8310911560497484,E,-35.70497761685814,B,-24.19324898785211,C,D,E,C,D,C,0
Veteran,103.25437446878148,C,157.74955777553726,E,-60.27755137567191,E,A,A,A,D,E,0
Yes,-106.15204634864793,D,158.00106366299647,D,-24.290355095618732,D,B,B,B,B,C,1
No,232.98607599400566,E,-32.642947554340275,E,20.37741904218177,E,D,E,A,C,A,0
Veteran,-90.64059820743573,A,190.02174846051594,B,15.26993762682791,B,B,B,C,B,C,0
Veteran,169.8973334350959,E,-21.26334411804392,A,-44.40604788095753,D,E,A,D,B,B,1
Yes,44.92790621552476,A,-105.22054845682463,A,88.4978869374788,D,D,A,E,C,C,0
No,-137.33460247182055,C,-30.625699016315817,C,69.72946461858598,A,C,B,B,D,E,1
Yes,-49.216133067563426,E,-116.63077294750282,A,-215.19020178968046,E,D,E,B,B,B,0
Non-Veteran,108.5134721517216,C,88.565474806833,C,-72.8428562309438,D,A,D,B,B,C,1
No,-125.54152124075104,D,-44.33652152645541,E,42.32301596759297,B,D,D,B,D,D,0
Yes,35.53922119086659,B,35.71630269580537,D,-35.759646495861546,A,C,B,E,D,A,0
Non-Veteran,-38.05104166978761,C,6.322018287268059,E,-98.53949184312879,E,D,D,D,D,E,0
Veteran,36.658483091706685,E,-16.060310163856258,A,260.2637763725339,B,D,B,E,D,D,0
Non-Veteran,17.40983081548575,D,-65.46035407861848,E,141.85032185096554,C,B,B,D,C,B,0
No,77.45809079803121,E,-12.05316269703631,E,-43.77624858398334,C,E,B,C,B,C,1
No,-0.08049632814552307,A,19.848294815049293,C,-28.574093894218404,E,D,A,C,D,E,1
Non-Veteran,81.18248030838194,D,-58.90924736297114,D,-180.00535043207154,A,D,B,B,D,D,0
Yes,-164.356940928249,E,-4.430819190013534,E,-151.01906660041053,C,C,D,A,B,C,1
No,-173.42869114579625,A,-6.540730800490484,B,-95.6908589700422,C,D,B,E,D,A,0
Veteran,-254.41925644826236,D,-119.93532958580752,D,-42.10740439863328,B,E,B,C,C,E,1
Veteran,279.21769077118114,E,-304.52103442454177,A,-51.270565956640034,E,B,D,D,C,A,0
Yes,89.59628268524504,C,10.54381009274223,E,-74.39896655887601,A,B,A,E,D,E,0
Veteran,-89.08140931087357,E,70.90654609567876,E,-51.42838185862782,B,A,E,B,C,E,1
Yes,-29.818538238218395,E,89.63909230541364,C,-142.4768787420191,A,B,A,D,E,D,0
Non-Veteran,95.13046831601703,A,17.55127463477774,D,-1.4484726424632866,B,B,A,E,E,C,1
No,-81.06112977338726,E,-97.02150777128492,A,-55.56921157253698,E,E,B,D,B,B,0
Non-Veteran,4.898509155543998,B,-12.465011482709036,E,-133.65118121421673,E,D,D,B,C,C,0
Yes,-147.54485698167892,D,-66.79143829225596,A,168.49232539822577,D,E,C,B,E,C,0
Yes,-5.993441586839039,D,-27.735551828750303,C,54.079719796508755,D,E,B,B,B,A,0
Veteran,-297.02947777770225,C,143.45031994387577,B,-246.91207915335286,B,A,D,E,E,D,0
No,38.796591512909366,A,-68.6826948736401,C,-40.42266660945886,D,C,A,E,C,D,1
Non-Veteran,18.446689261210807,D,109.28204658648684,B,-32.82278445762748,C,B,D,A,B,A,0
Yes,-111.96528569098072,D,54.51323159508807,D,-1.3494490307881164,D,C,D,B,A,C,1
Veteran,-106.45758316291354,C,-12.011984099397113,C,49.92030859417951,C,C,E,B,D,E,1
Veteran,95.83460076707618,A,30.741650268603664,C,72.19181850002026,B,C,E,E,A,D,0
Yes,54.94479162005768,A,36.621672624614554,D,50.864739712375204,D,D,D,D,B,C,1
Yes,4.940487617730822,C,-17.895237874233626,D,74.35812291223127,B,A,D,E,A,B,0
No,-1.7686529400508497,B,-44.53528354509514,E,-36.87543649506055,E,D,E,A,B,E,1
Non-Veteran,-91.5069922664174,D,86.81967771207269,A,106.4971402912672,D,D,C,D,A,A,0
Veteran,-30.99327169364067,E,-77.77661689328703,E,3.8927528625000716,B,E,A,B,E,A,0
Yes,-43.04334558257321,A,-83.68455583592129,C,23.897888340715223,B,A,A,C,E,C,1
Yes,89.84573796197954,E,14.185894256263035,A,103.75059050416058,B,C,B,D,A,C,0
Yes,11.212018284276072,E,-132.40429736988017,E,-8.917156638545027,B,B,B,C,C,C,1
No,36.04514754832457,B,-56.214064819480825,A,62.35169564846671,A,D,D,D,B,C,1
Veteran,19.677949767734525,A,19.488022930928864,D,68.8569472272974,E,D,A,D,A,D,1
No,122.69824846228849,B,-55.07379364346872,A,48.79212981564973,C,E,E,E,D,A,0
Yes,125.06216385804933,C,-17.123651118005004,A,-29.724655773064235,E,D,E,C,B,E,0
Non-Veteran,-134.7548109373173,D,44.782347994850475,C,96.51729986383982,A,D,B,E,A,B,0
Non-Veteran,93.1225722634791,E,-82.05483487185614,C,2.122941367402355,E,A,D,B,C,B,0
Veteran,-154.3050142867623,D,-16.188785039953878,C,31.229079301627706,E,B,D,A,B,A,1
No,-29.30196106809282,D,-71.30461024645142,E,-129.8369940763697,D,E,B,B,A,B,0
Non-Veteran,57.17614062427152,E,157.63565055392058,A,23.76378423517071,E,C,B,B,D,C,0
Non-Veteran,24.023311483502074,D,-9.687630818079652,E,256.7560037423666,D,B,E,E,E,D,1
Non-Veteran,-139.13654901189076,C,-37.46452583595644,A,62.92210537613636,A,E,C,E,D,E,0
Yes,-16.147874419534734,A,51.05956555357396,B,20.892585807081353,E,C,C,E,C,A,1
Yes,-48.77824766384213,C,2.8583952014430354,E,29.48122691247103,A,D,D,C,A,D,1
No,47.05969207224635,C,-8.495833132793857,E,29.307499291521577,B,C,B,D,E,A,1
Veteran,251.49355433535914,B,193.54151793889642,C,51.18904203311243,E,A,B,A,D,C,0
No,-31.58330891914642,C,-2.6097197700174695,C,74.44425695831748,C,E,A,D,A,A,0
Veteran,57.20848931088506,E,-151.58527975666513,A,59.89750678667766,A,D,B,A,C,D,1
Veteran,73.82897011156322,A,-143.20935074808793,D,15.961849575451009,A,C,B,E,D,D,1
No,19.71580998432809,D,4.007819548333151,B,-6.888034871761708,A,A,E,B,E,D,1
Non-Veteran,-225.43603859917093,B,20.0946174956703,E,-16.337522755877217,D,E,E,C,A,D,0
No,-140.5833867452336,C,-5.57694801213202,A,285.67696150911166,B,D,E,D,D,D,1
Non-Veteran,-174.77609852330232,D,258.73754989066435,B,35.16731902732323,E,D,A,C,D,E,0
Yes,-86.77705266477184,D,-9.243197180244927,E,7.994197822301399,E,A,B,E,C,A,1
Non-Veteran,-32.65986303648234,A,-112.48638022644452,B,0.45410017334382496,C,D,A,A,B,E,1
Non-Veteran,20.76568130887275,D,62.5070888389558,C,-68.02617958259736,D,B,C,B,E,A,1
Non-Veteran,-111.76423587091068,D,-18.405246357866996,B,-81.84218975671133,B,D,D,C,E,E,1
No,46.60056598055665,D,172.47729608020992,E,-13.270630992510812,A,D,B,A,B,B,1
Yes,-33.881017450569736,B,114.22496261737534,D,-59.23096644777752,A,C,C,A,E,D,0
Veteran,50.738080090038515,A,12.652824084755107,D,-54.61238211098946,C,B,D,E,E,E,0
Non-Veteran,-38.33350614676584,C,-154.4686887454052,D,134.7785193326429,C,A,B,E,D,B,1
Yes,-26.070097855333874,D,-26.45185234996183,E,-79.57948864420291,C,C,D,B,D,A,1
Yes,103.76786484583516,D,8.59951148947255,C,54.98806084121538,B,E,C,B,E,D,0
Non-Veteran,-19.88777786689438,D,-0.18987049702106082,A,-76.49683762650488,C,D,D,E,B,D,0
Non-Veteran,-20.626133859454942,C,-7.41651889471861,B,-105.9579339169529,D,A,E,A,C,C,0
Yes,36.77996174863363,B,6.9249558176845,D,-60.28798106854225,D,E,D,B,C,D,0
Non-Veteran,-215.9851746663134,E,-111.18506494953996,A,-132.36911264302591,D,A,C,D,D,C,0
Non-Veteran,-7.801809271311788,B,-94.16650142259361,C,-102.35482072281046,C,C,A,B,E,E,1
Non-Veteran,38.877672920012415,A,32.294224702528226,A,88.5890945251327,B,A,D,B,E,D,0
Non-Veteran,-49.86160544438255,A,-94.1465092241894,D,41.50648384237508,A,A,A,D,B,C,0
Non-Veteran,17.853444202312687,E,-2.3382409744450907,E,-78.66320661046502,B,A,E,D,B,B,1
Non-Veteran,-89.51577585668554,A,96.60678185153179,B,84.71154436832713,D,C,D,B,D,B,1
Yes,-121.17466210415715,D,-41.97056318069252,A,24.02734041264302,A,E,D,D,D,E,1
Veteran,38.0813798855879,C,-51.64169419185024,E,-19.98785837026136,D,E,A,B,D,C,0
Veteran,7.581610786501762,A,48.08720591283066,C,-64.12463401804757,D,E,E,B,C,E,0
Veteran,-170.74134525616972,B,-77.51479010709136,D,43.39728863557746,D,C,D,E,E,C,0
Yes,-54.830756423696826,C,125.8851271202651,A,170.9967732525405,A,C,E,B,D,A,1
Non-Veteran,52.839588175522444,E,-6.431198973060599,C,132.39211830890255,A,A,A,B,A,B,0
No,22.53184738428545,D,44.14948097922347,B,-23.03756021825766,D,A,B,D,D,A,0
Non-Veteran,122.60728206091282,A,39.461023819804254,C,-140.27166768367078,C,C,A,A,B,D,0
Veteran,-8.177223650215968,D,59.40083157542186,A,199.67782371740222,B,D,B,A,E,C,1
No,-64.4246805919945,A,-92.55720413256888,D,97.39456492312891,C,B,B,A,C,A,1
No,-1.0525913673277087,D,18.355654930364388,B,-24.827800425421433,A,B,B,A,C,C,1
Veteran,12.418367475110838,A,34.05050882439607,E,9.02800694284542,D,C,E,E,B,C,1
Non-Veteran,40.19595737415171,A,-109.1303465215947,C,288.8910309110626,D,C,D,C,A,C,0
Non-Veteran,-14.363189950232206,A,2.9555575296473284,E,-117.03891229076568,D,D,D,D,A,E,1
No,24.48880721586,D,142.26195725059435,B,133.45862390564022,B,E,B,B,D,E,0
Yes,200.83395543565285,A,31.75079589256348,E,17.642922808132422,C,E,D,A,B,E,1
No,65.77158245419268,C,-48.36191407037249,E,-86.17239383546786,D,C,D,B,D,A,0
