Nationality,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
China,Married,C,B,-50.49954640625484,B,D,-127.80297191328273,145.81458198685172,D,0
Germany,Widowed,B,C,218.9188822770038,A,E,-212.38706544437966,110.27168062675588,B,0
UK,Widowed,C,D,25.348292013800112,D,B,116.17309027507079,-16.475377140696224,A,1
UK,Single,D,B,-13.799619896283662,A,E,34.81513190389249,157.13362768526696,E,0
Brazil,Married,D,D,-124.59744587018294,B,E,-61.29892009861167,-11.453533164710397,E,1
India,Married,C,A,-34.7070434420719,C,A,174.30797523931926,103.42716781383542,A,0
Germany,Divorced,D,D,134.31787803387442,A,A,-148.77645115433003,132.09689091531732,D,1
Mexico,Widowed,E,A,-55.54906958982342,D,E,-29.81972462785999,80.50527572965468,B,1
China,Divorced,B,C,72.17710459775915,D,C,-80.3179533816878,64.14536257020328,E,0
China,Married,C,D,-77.02750303579613,B,D,-167.64814983318533,156.78100041188208,C,0
US,Widowed,A,A,-125.15234593127171,B,D,-83.14905435086169,-36.00122796216933,D,0
Brazil,Married,E,B,-150.56601856682198,B,B,-0.40643198592943286,-2.367911090772113,A,1
China,Divorced,D,D,-49.37217730143913,A,E,-202.4211406793953,-56.95676782839008,D,1
US,Widowed,B,E,-75.86484805618984,A,E,-2.60497960543678,173.78936593239052,B,1
Other,Widowed,D,A,-8.047141410721991,C,E,-77.16772057869333,60.43787720825156,A,1
Other,Married,E,E,-31.02993981145601,C,E,285.6311565898278,-120.34993165382232,B,1
Mexico,Married,D,D,-51.24053921914421,E,B,4.304173498145285,-104.44626410167494,C,0
UK,Married,C,D,-232.87213042021534,E,D,-98.2371185364425,145.17657903369522,E,0
Other,Single,B,C,-168.3514052205413,A,C,95.2726068014575,21.55380213455138,B,0
Brazil,Married,A,E,-81.27250167469371,E,A,80.8811585839076,187.10940087818557,A,0
China,Widowed,E,D,-55.35509967365999,E,B,134.93101001377258,-76.25956661481739,B,0
US,Single,D,E,62.5420183083099,C,E,154.79332097694186,-160.66656812291643,A,1
Mexico,Widowed,D,B,-15.143843444938085,C,B,3.592687397291247,165.22722626277877,D,0
Brazil,Married,A,B,41.057839158849156,E,C,-25.84475246814405,-133.55398072072805,A,1
Germany,Single,A,E,146.1189614712386,C,D,26.340930942199787,35.708216899524565,E,0
Other,Widowed,E,B,-13.435126992676082,E,B,-2.340250879631271,36.49102865050816,E,1
UK,Married,B,E,103.99036283532021,C,B,67.8531705975574,103.30254152376813,D,1
China,Married,B,C,-82.46413038671857,B,A,-71.98811851381461,136.90403946157537,B,0
Other,Single,A,E,-127.09432269143979,E,E,182.8549827430878,-91.74212349308048,A,0
China,Single,D,D,79.81241672216703,E,D,-77.06194596543486,-134.79065337245595,B,1
China,Married,E,D,-17.347412289524854,D,D,48.677974701516455,2.6845750211182953,A,0
Brazil,Widowed,E,B,197.27945693574353,B,E,92.77074905862402,112.99707778014991,D,0
US,Widowed,C,A,25.564734655839157,E,C,234.24399674425632,35.88399492774035,D,1
India,Widowed,B,D,-145.3511759697961,E,E,-4.763857938510712,91.07780110347456,A,1
Brazil,Single,B,C,-143.31329303130875,B,B,17.15227957635757,46.257572147880005,C,1
Germany,Married,E,D,-161.5670174114439,E,C,7.560028136331024,49.22063203186812,A,0
India,Single,C,D,-138.14072135700482,C,E,58.42533222115348,31.949851636876964,C,0
Mexico,Widowed,B,C,-66.10939061424025,B,C,-61.286768223011926,-242.2238897006483,D,1
Other,Single,A,A,-20.86907828576706,A,A,-52.357408609294296,159.93319319855374,B,0
India,Married,E,D,141.53395592002616,C,C,23.887348202702434,-91.19728700246873,D,0
Other,Married,A,C,20.63625696578305,A,A,-107.97986279792401,-5.69662909564684,C,0
Other,Single,C,C,-14.339829375729792,E,D,99.20448611603064,103.8409887253448,D,0
US,Married,C,B,48.52258921963611,B,D,118.79560638246822,-3.7323263612743114,E,1
China,Single,B,B,81.28942880102167,B,C,-37.15473025219168,35.16452544704196,B,1
Mexico,Divorced,D,A,42.78632517893535,A,A,-22.576325467505587,-48.71121128932892,D,0
Germany,Divorced,B,E,-7.623392544028115,A,A,-22.715084755198824,-145.4914233849395,C,1
China,Divorced,C,E,14.953796779655285,B,B,-234.4928023061276,136.73068028631107,D,1
India,Divorced,E,E,12.191259582928875,A,D,168.48952935377932,-64.21082878356181,B,0
India,Single,E,B,-65.21747060010746,A,B,-27.188346810168202,79.34912622286363,B,0
China,Single,A,A,-22.466901777994092,E,B,20.905183390399813,-147.21260590318707,C,1
Brazil,Divorced,A,A,328.5311154934439,C,D,7.807562424701556,118.9724738941855,D,1
Brazil,Divorced,A,D,-31.806347322705857,B,C,-103.66797805729038,-72.83322008782667,E,0
India,Widowed,D,A,33.009260549207,A,D,-41.76027410878631,11.565379595280787,A,1
India,Single,B,A,-3.4636087388901697,E,B,4.222475533348248,-43.696286699697126,D,1
China,Divorced,D,B,-169.4637927489382,B,E,-110.3777527625601,65.88360098193445,A,0
China,Divorced,C,E,47.84924469783883,D,D,-71.39697058757676,24.94035877926567,E,1
US,Single,A,E,122.71021441374894,E,B,182.8731211587626,242.43960810943736,B,0
US,Married,A,A,-18.536789254949397,C,D,-34.42859815943683,2.630141213991916,E,0
UK,Married,B,B,-28.390873675243,C,E,26.956294585213552,64.53484391020547,C,0
Brazil,Widowed,B,A,-64.38124365728952,A,E,-78.10126821570982,23.7188889239138,B,1
Mexico,Widowed,B,C,-205.55268823349863,E,B,113.38376333467355,109.97223665589078,A,1
Germany,Divorced,B,D,-121.2666817334135,B,B,-49.21104609118401,-16.54868838829926,A,0
China,Married,A,E,-34.32020846059398,A,A,256.6654961094933,68.7217384651806,A,1
Other,Single,C,A,3.793625140114823,D,D,-5.456377347550421,179.1360760614656,B,1
China,Divorced,C,E,-79.83039885717412,E,D,38.610468541360255,201.25710808073455,A,1
China,Married,A,B,-48.63337212267878,C,D,201.94260593743851,264.2212052935025,E,1
Other,Divorced,C,C,137.72876530975546,D,A,-86.89639505071278,95.4446297537339,E,0
China,Widowed,A,A,53.22126062685905,A,E,85.72541014843476,113.25127834943048,B,0
Mexico,Divorced,C,D,65.83665782837087,D,B,23.408466030286583,-187.92476266911692,D,0
US,Single,C,E,74.02417746774002,D,C,-7.841529186847442,54.998786845829564,C,1
Other,Married,A,C,-2.5193503870235734,C,C,-219.5315540983087,24.217367263335255,A,1
US,Widowed,A,E,-221.90454478278582,A,A,-85.51406489397525,-12.131702165890422,E,1
China,Married,E,E,39.579748504294024,C,E,8.00753256671344,123.67669489908137,A,1
India,Widowed,B,C,68.3602796736669,C,C,107.17147671746253,115.97564247539532,C,0
UK,Divorced,E,B,42.48842534124753,E,B,-122.31583487195591,47.323168676139396,B,0
UK,Single,A,B,77.62391281536509,C,E,47.094888195763005,107.55302550767748,E,0
China,Divorced,E,B,149.20452984859355,E,E,-12.744421145024074,129.1954066286768,A,1
Mexico,Married,B,E,31.740865284677533,C,B,-1.1674372988570678,-94.88389912620066,C,1
Germany,Widowed,D,A,23.923050716419244,E,D,-117.83782790242942,61.43245452366997,A,0
Other,Divorced,A,C,74.41622260602837,C,B,89.0374129135863,38.0536203855022,E,1
China,Single,B,B,-17.679351401013122,E,C,-162.43962240586157,-70.28072372401998,C,0
UK,Married,C,D,52.933697545063026,A,C,81.8408183607937,-64.32573909203299,D,1
Other,Single,E,D,-7.678019099156913,A,D,81.65309101513681,30.10837391798577,B,0
US,Widowed,B,B,-7.011330428115688,A,A,188.47111500240962,153.91676034281085,E,0
China,Single,E,A,-152.9217206473754,D,E,38.70229406913766,-136.26242174745252,B,0
Other,Single,D,E,-3.9692258506062568,C,C,11.62958624621128,-56.964814149061695,E,0
China,Divorced,D,A,-41.861871182228676,E,A,-41.92473578551804,132.0098943529842,D,1
Mexico,Married,C,E,50.78994556163621,B,C,121.5761329288087,-44.15394376057318,A,1
US,Widowed,E,D,207.14380040980157,C,D,12.218460360886766,-85.38672953127245,C,0
Other,Single,A,D,7.8380245339482135,C,B,-44.583543230512625,-118.40307742079916,B,0
Other,Widowed,C,E,-41.11058332565546,B,A,13.330745163296095,16.142256498492575,C,1
Brazil,Divorced,D,B,63.85275216996208,C,B,-22.529919009391737,-152.50906890746347,E,1
India,Divorced,A,B,161.87815872989998,D,E,277.8463167096221,63.61825496581258,E,0
Mexico,Divorced,D,C,34.86840671588901,A,B,-56.49415807377043,72.25835380822927,A,1
US,Widowed,C,A,184.11830893190748,D,E,51.65878151194534,-96.40993422898406,E,0
Mexico,Married,E,B,-52.22717621295608,C,E,-16.434176553227008,37.763551715310165,D,0
Mexico,Widowed,B,B,-178.19008399534476,B,E,134.69159453034348,-94.88290662482,B,0
Mexico,Single,A,B,-200.78046222994104,B,C,-81.42516360730534,-61.74331574814431,C,0
Other,Divorced,D,C,-24.767904899116424,C,B,-30.134283618069823,27.0933172494902,B,0
US,Single,A,C,130.73385141627372,C,B,-61.605479637665894,104.50724470255446,A,1
China,Widowed,A,E,-22.556733217615168,A,D,-175.87343942289482,12.599985559735305,D,0
Mexico,Divorced,A,E,30.889044380756086,C,C,-61.216357597980235,13.165475104145251,B,1
Brazil,Divorced,B,D,-39.490957152873854,B,E,5.012863603811976,80.98946070985485,B,1
Brazil,Widowed,B,B,130.34852969156296,C,E,169.40153063959562,58.82154545563532,A,0
India,Single,D,B,-130.08740472938828,C,A,21.45205533289153,-104.02711903752294,D,1
China,Divorced,C,A,21.40592962882845,B,A,48.313294045410856,66.32936027099272,E,1
UK,Divorced,C,E,-45.14472633677417,E,D,-84.61243108667486,-3.776206239210414,D,1
India,Single,E,B,286.26008931985297,C,E,-35.5586773534584,-173.89584230887482,B,0
India,Married,A,D,-78.89951058728279,C,D,-107.30102946908828,204.48322687814323,B,0
UK,Widowed,B,E,-139.64578525205854,C,D,7.1174308077646975,-37.93682020118919,A,1
India,Widowed,C,E,-117.06327504880521,B,A,-190.78953546487003,201.78114705516572,B,1
China,Married,D,C,114.71474301951491,D,B,35.30198382862822,-62.945809431797564,D,0
US,Widowed,C,D,-22.824422087179475,D,C,22.996790565513518,108.37536906811047,B,1
China,Married,D,B,-75.0360177528702,C,A,-51.57681910910227,-111.02246476487912,E,1
US,Single,E,B,-85.33878726002997,D,D,64.32702829848704,32.63487323790746,A,0
US,Widowed,D,C,34.49764477266053,D,B,-1.8010278337798873,41.193328264447175,B,1
Other,Married,D,E,16.426840444044203,C,B,-3.9826690792328217,-87.25036868529165,D,1
China,Widowed,A,B,-95.48575571099511,E,A,30.97264839989794,-150.44000936489462,B,0
India,Married,A,D,-200.43815372062417,E,B,73.64229344954266,23.16641222982678,D,1
China,Single,A,D,232.86486894361022,C,C,-28.08074998190961,276.879771198315,D,0
Germany,Divorced,D,D,-240.03732492999455,C,E,-162.27420329227795,56.42916683421073,C,0
Mexico,Widowed,A,B,-78.87230173955787,B,B,-98.00507140524782,-41.928005204423016,B,1
Other,Married,D,B,-19.81446746608602,A,A,-83.98713961602895,104.3385244916315,B,0
Other,Married,E,D,241.16712181643626,C,B,-23.58417999563392,103.9283796055049,C,0
China,Divorced,D,D,98.65604398875854,B,B,-50.47266947327782,-41.19883212519381,D,1
Germany,Divorced,C,B,148.7053696711753,C,D,-11.986357436500079,83.54076147670297,A,1
Germany,Divorced,E,E,33.07567458315118,A,B,-91.69679858665728,-47.46498209731067,A,0
Mexico,Divorced,C,C,230.85272530831338,C,B,36.12349533954676,-118.0529296889809,C,1
UK,Single,B,A,-31.016808117715378,E,C,25.305809548838486,149.92128800623448,C,1
China,Married,D,C,-64.81235997703162,B,A,62.369725066530826,-127.5672416238936,B,1
Brazil,Widowed,D,C,-27.298284927810094,E,A,49.14393095387277,-60.860578326652316,E,1
US,Divorced,A,E,-48.806329145448544,E,C,-32.32967805586625,119.12858305364107,C,0
India,Single,D,C,84.21609829461521,D,B,-117.76351399814895,130.94685361748273,A,0
China,Single,B,A,-33.559286522020976,C,A,-218.15124829395046,-12.51851403948253,D,1
Other,Divorced,D,C,94.52842094472092,E,E,-91.46647748087267,-33.38924238416837,C,1
China,Widowed,E,A,45.348216858745054,D,C,73.6624448952877,50.926718066085385,A,1
China,Divorced,B,B,95.01654973451501,A,A,119.66113250102136,-159.04469089767701,B,1
Mexico,Widowed,A,C,-76.19514598968787,A,A,-49.75876605494368,-144.16195184655388,A,1
Other,Married,A,C,-50.222220662224885,D,C,2.981492001186585,-73.66072298317103,E,0
Mexico,Widowed,C,B,26.959857147687337,E,A,98.08195519131982,-81.33128040135375,B,0
India,Married,C,C,-53.89553544913247,E,C,7.511991620127873,-61.93243783311478,D,1
Mexico,Divorced,D,A,21.980830602531427,C,D,-140.60459895487355,117.16027014257075,D,1
UK,Widowed,E,E,99.0255389892488,A,D,89.29964941877697,39.56228087196661,D,1
Other,Single,E,A,-32.206884893768006,C,D,73.81336671086949,-122.70970723048072,D,1
UK,Married,E,E,-149.74763926003672,E,B,141.58227011852594,-160.57899233117345,D,0
UK,Married,A,E,-123.54587872206477,A,C,-16.94918259155912,93.80165999023056,E,0
Germany,Single,C,B,-14.712462757471881,B,B,55.62502870042394,-146.14790262613022,A,0
India,Married,D,B,52.90716924716213,A,A,69.0415352917013,122.8794575815415,B,1
Mexico,Single,E,B,25.536135299913255,C,E,-62.46237559292926,78.50858060191854,A,0
Mexico,Single,A,B,-22.210505292641667,A,A,3.724328668465056,128.84969556676583,D,1
UK,Single,B,C,-32.76890903093602,A,A,56.38610468717546,-106.61139006939064,E,0
Other,Widowed,B,B,158.20190316589645,B,C,-183.6656665260363,128.5803264879243,B,1
India,Single,A,D,-95.37338540751887,D,E,4.686777882210697,61.30871150100624,B,1
Mexico,Divorced,A,A,-8.510508024092065,B,B,71.92120922260634,-27.402021877751086,C,1
Other,Married,A,C,-77.93140638921547,B,A,27.698397555560696,98.22065363982851,B,0
Other,Divorced,D,C,-97.37643887008151,B,C,-35.34467087981065,-22.896839882692582,B,1
Germany,Married,E,D,10.587777056604251,B,A,40.68875785885339,-89.86865893988787,B,1
China,Single,A,C,147.09989908063562,D,E,-36.078848858231474,-160.1880069236285,D,1
China,Single,A,A,255.53040675754522,A,B,36.92889194198244,12.038756565947848,E,0
Mexico,Divorced,D,B,-125.99410777011435,D,C,-102.79964209074235,-19.00374076992919,A,1
US,Married,B,C,-201.22047485320346,D,E,23.626163738495272,-91.5450239798579,B,1
China,Single,B,D,60.52346952595163,D,D,139.1160848726075,29.684757870715067,E,0
China,Single,B,C,131.20176136537367,E,B,-87.07017977122314,-166.1799962359665,C,0
US,Single,B,D,89.72150809986556,D,A,-37.66228346417817,64.35490536114403,E,0
India,Widowed,A,A,-27.883821122345164,B,A,-86.65049953055274,145.1869476962647,C,0
Germany,Married,D,B,129.89163542471758,C,A,31.528059480531468,-102.44084900718649,E,1
UK,Married,D,C,112.7445726063186,B,C,-101.71051670942734,-17.81523229720799,B,1
Other,Married,D,E,20.83399299239602,B,D,-34.522764687042,-53.347933129312985,B,0
Germany,Married,B,A,60.687034383773984,E,D,37.568378999064656,109.7313106010251,E,0
Other,Widowed,B,D,-14.6158004702962,D,C,131.47076300344037,32.23639148500537,D,1
UK,Divorced,A,D,-68.78738073520842,C,B,11.735613498121946,-68.23887968661231,B,1
UK,Single,D,E,209.1397327129669,B,C,128.23598252285888,-8.852720793176132,D,1
China,Married,E,E,-60.81064716049455,A,A,-78.5050047331446,-14.535377332082215,C,1
Other,Divorced,A,A,-34.9084356310703,E,B,129.34992851178842,22.72683610250888,D,0
UK,Divorced,D,B,11.754939687152325,B,D,-87.79701301581592,63.11074763642986,A,1
Other,Divorced,D,E,94.33149846750115,E,E,106.37839900290929,28.286208330354,C,0
US,Single,D,C,-139.72862205251607,B,E,-132.35968078284807,-19.686528895297418,B,1
UK,Single,E,D,-7.8864837711151505,D,B,100.75250044365698,-71.28813732149202,D,1
Other,Single,C,D,-19.261538946829337,E,D,-47.61919059926783,7.00287614965501,C,1
Mexico,Divorced,A,B,-112.27194691541216,B,C,195.86577768474461,29.081511993127236,A,0
Brazil,Married,E,A,-36.103417066979645,A,D,-78.76384720699163,11.554958053231502,C,1
Mexico,Divorced,B,B,74.82021982644727,D,A,-75.00701505550491,-43.41372350436214,A,0
China,Widowed,C,A,-45.058111119502485,D,B,-10.549101840906934,49.8221894807499,E,0
Other,Single,A,C,12.088171670773793,A,D,53.11682534414368,28.95347951912325,D,1
US,Divorced,C,B,-48.580217813568325,E,B,179.65851065558027,-224.94681551625666,B,0
China,Single,E,C,36.650010160350924,A,A,-175.30804749338628,151.28828486377063,A,1
Germany,Married,B,C,107.86963288463241,A,B,-171.39127529199106,-75.59293397409735,E,1
China,Widowed,A,C,10.76488971479488,D,B,41.600077862680784,-78.34103518749147,E,1
Mexico,Widowed,D,B,202.73514303550627,E,E,-162.67174830432577,-332.246983777736,E,1
China,Married,D,A,-32.093362037215286,C,B,9.955306832645611,-109.83694315279764,C,1
US,Widowed,A,C,12.793919111177393,B,E,-33.346781292399704,1.0542658056643464,E,1
India,Widowed,A,B,-46.98677800574815,E,B,114.1544156140226,-27.928099344542872,B,1
Germany,Married,D,C,-9.706533812067915,E,C,-37.72055174179704,-65.05060406846465,A,0
India,Divorced,D,A,137.5367183657644,B,D,63.0390411785979,-24.64929564157769,E,1
China,Single,D,D,48.17252589460255,C,D,94.36383808199639,95.89300828658094,B,0
India,Divorced,C,C,-93.90274158615,C,B,94.20528649720859,186.60669968891557,E,1
Germany,Divorced,B,E,29.629621847305515,C,D,-40.9273618443157,32.82615155922773,B,0
Other,Single,C,D,123.16365502137255,B,B,114.3351906621757,-124.84310319482606,E,1
US,Single,B,D,-76.47274453497278,A,A,-54.17583325407609,14.202419046014821,D,0
China,Divorced,A,C,-68.31757721696687,E,B,-92.4984746539545,160.08840400674777,C,0
Mexico,Single,B,B,17.93347292159576,E,A,104.55432513387689,43.1858289280076,C,0
India,Widowed,B,A,122.34310656240781,B,D,-45.28608587183039,-119.77647280542692,E,0
Brazil,Married,D,B,-69.43671683626596,D,C,-69.24899555056793,56.65456902928273,D,0
Other,Married,A,C,-100.16977967249869,A,A,-56.696092226619044,35.52721677036427,E,1
US,Single,C,D,102.8643741619976,D,C,46.429744459230996,122.25236639188206,D,0
UK,Divorced,E,A,35.86242918892955,D,E,133.47524019055155,21.757203097056163,E,1
Mexico,Married,A,E,48.74689670313961,A,C,146.13705668801532,-82.33214885589169,A,1
China,Divorced,C,A,119.51914816326727,A,D,44.152397277529126,-64.64232338700872,B,0
US,Divorced,A,B,-13.466241945083723,B,D,133.77316179958075,-112.79133309429766,B,0
Mexico,Married,B,A,-21.497074166919795,E,C,-142.6215113430102,-154.1143306083719,A,1
Mexico,Widowed,C,C,140.86011367800705,B,D,88.69131778807652,17.113401845913234,D,1
Brazil,Divorced,D,A,-16.337423535092576,A,B,-86.06284091823167,-43.140569783127184,E,1
US,Married,B,C,-80.42702829163652,A,B,210.83864937233113,-175.02667666626718,A,1
China,Married,B,B,-136.8753279072406,B,B,152.02171133889868,94.30594473462702,B,1
Brazil,Married,A,C,-86.0407430794837,E,E,135.38697883126144,-169.10435910096626,C,0
Other,Divorced,C,E,-43.534673609234744,C,B,-56.794525951866994,-264.70566769557627,D,1
China,Divorced,D,D,-26.95311624144584,A,A,191.81240801396518,100.9133088436572,B,0
Other,Single,B,A,59.96979585941117,C,B,-206.71612354682588,191.6800661968524,C,0
India,Widowed,C,C,93.75620840611938,A,E,38.76162813395538,87.19154273819254,D,0
Mexico,Married,D,E,1.6305776209529352,D,D,9.91297346721718,-89.07927243458428,E,1
Mexico,Single,B,B,-59.03596406209278,B,B,51.29453834482358,35.15988296172972,E,1
Brazil,Married,A,B,-43.07341551923845,C,E,-118.08029143495793,-93.77276662612049,A,1
Mexico,Widowed,D,B,11.098670654797804,E,A,64.14355174816623,6.801312470913648,C,1
Germany,Single,E,A,-18.47773832883727,B,E,260.68092312237826,-69.98840697007701,B,1
US,Divorced,D,C,-72.56918709282759,E,B,-58.01273378091377,113.08307881247943,A,0
India,Single,D,B,-90.92245496623318,A,A,193.65767556918976,66.18287745225298,B,0
US,Married,C,B,82.13777473991804,C,A,42.66308610691741,68.67397765325165,A,0
Brazil,Married,B,C,-67.36028606710495,E,E,-106.16114668923451,-45.55744689160845,C,0
Germany,Widowed,C,A,-113.92619176393384,D,C,27.825857371701147,58.81366949360223,E,1
US,Married,C,E,-74.05134284825556,E,C,-149.77025316096143,27.832278370393617,A,0
UK,Widowed,B,B,-83.60856533181999,A,E,-22.39562299132064,112.48003396635751,B,1
Mexico,Divorced,C,D,38.928334446255604,A,D,-211.8516866515195,-5.355336193726816,D,1
Brazil,Divorced,D,E,-369.7069038454082,A,C,-12.501632250411282,-4.164679598586041,A,0
Other,Divorced,E,C,-55.5459462857244,C,D,39.501434150332926,-8.905409389361914,A,1
Mexico,Widowed,A,A,-112.11233663714802,E,E,-52.10961427790035,-18.812146984501325,E,0
China,Divorced,C,C,172.67125640650332,B,D,-21.30202666372869,-54.19556765612268,B,0
Germany,Divorced,B,B,-45.959167643897416,A,E,-16.01600495955132,60.92117468698378,A,1
UK,Single,E,B,4.741976070616203,C,C,107.57278173179994,160.9020939994716,A,1
India,Divorced,C,A,157.6817543181064,A,B,-79.32565193785555,7.487269930527973,C,1
Brazil,Married,E,A,36.07802801430473,B,E,-35.0240840320567,23.95989717529169,D,0
US,Divorced,A,B,46.54723423123521,B,E,-179.98354039313648,-271.30965204959944,D,0
India,Single,A,E,-58.708452382508014,C,E,-136.52057373103244,-21.84029992696061,E,0
China,Divorced,A,D,-53.6275041060831,A,C,-173.95163409968217,-66.31400000728132,E,0
Germany,Single,C,E,-32.459236130343555,C,B,-27.403968202945954,-17.205320999110228,E,1
China,Married,B,E,-79.96994918370504,C,C,-56.779902538058714,18.422209351460626,B,1
Germany,Married,E,B,-62.36084795094208,E,D,-119.87617959571293,55.99995035388044,B,1
US,Single,A,C,263.1935107818552,B,E,-116.35909865364252,-15.45825409051494,A,0
Germany,Married,B,E,243.63864088600047,E,E,-167.3797962345057,150.98979252385914,D,1
India,Single,D,B,-195.73635192005435,D,D,166.3195887974015,-141.53912574377148,B,1
US,Widowed,A,B,121.35527464611317,D,D,215.72558035184107,-21.071347696287543,A,1
Brazil,Married,B,D,-230.4419875339216,B,C,66.28853171479022,-36.45047655914031,D,1
Germany,Married,E,D,-18.447495027268573,E,C,-0.41131138442205434,159.16604210049812,E,1
India,Divorced,C,C,-78.30405870267808,C,A,-198.5846349491643,17.74886944200484,E,1
Brazil,Widowed,D,D,-22.879041976125936,B,C,86.6371677593266,-19.71950242146312,A,1
China,Single,E,C,134.50019502636079,B,C,-27.677272684404837,28.28266887569189,E,0
UK,Married,C,D,76.45341090501947,A,C,-69.67265737733398,23.994042438166083,A,1
UK,Married,E,B,62.06547542114615,C,B,-40.548917751681444,119.56426107196316,B,1
China,Single,B,A,132.97320595386643,D,B,-42.605515110476794,90.40485204392594,C,0
Brazil,Widowed,A,B,-122.25346262625808,E,B,10.821671652869238,77.16102220763634,C,0
UK,Widowed,E,A,-0.7506720221876771,E,A,-91.31701803826381,67.17828951733526,D,0
Brazil,Divorced,A,E,111.78740424678473,E,C,159.81719311689812,1.7774974920431286,D,0
China,Single,B,E,-153.72162248966356,B,A,9.91718552959417,33.52881775851175,B,0
India,Single,C,A,85.46705348894146,A,B,-10.941433699497525,-84.46317593701332,A,0
China,Divorced,E,E,60.52437921540632,E,D,-254.6639208655537,-71.74617389380458,C,1
Other,Divorced,C,C,-56.4560209702476,C,C,24.410923233444386,-169.99828832859342,A,0
Germany,Divorced,C,A,-4.903926024532795,C,B,213.03735339084375,1.893879442677765,A,1
Mexico,Divorced,D,E,-9.294948183225284,A,A,-68.56468760570642,-3.2016672610665036,A,0
India,Married,B,A,-11.833878020062821,D,D,33.9917692899238,-29.258201548024427,B,1
Other,Divorced,A,A,2.906772618349587,E,E,-79.85087612373931,-56.527072553440924,A,1
Germany,Widowed,D,E,-258.88690153235154,A,A,138.64721195065516,-25.285330513095854,E,0
US,Married,A,E,-169.03222787759196,C,B,-1.4327220200119064,-85.01019166171984,C,0
China,Widowed,C,E,-0.713775132175769,C,B,-276.3932595710848,-35.90417502406425,D,0
US,Divorced,B,D,-70.76549503323983,D,D,82.6676070343776,82.0818812085165,E,0
US,Widowed,C,E,11.258457710911273,A,A,-189.21762237714182,153.5439991437241,B,0
Other,Married,E,B,105.42269015827716,E,C,-190.3101720108722,-54.8733860576612,E,0
Mexico,Single,A,A,-1.620558460122763,A,A,46.61995712724434,-26.062477657893858,E,1
US,Divorced,A,B,-22.498615774803316,B,B,30.7549936977943,-2.1291515844908444,E,1
UK,Single,B,E,54.021281020033186,B,A,-130.47825956183985,115.38476633474988,B,0
India,Widowed,C,E,-200.4257274177406,C,B,172.4999342088916,-201.3352520029428,C,0
US,Single,A,C,-54.28064434618967,C,E,106.7965873327048,-111.13422648275493,A,0
India,Widowed,B,C,-26.07013316490606,D,A,-85.38436299312832,2.6558164705605205,D,0
China,Divorced,D,A,127.70932895451266,E,A,-142.17360597931346,62.58545934138484,D,1
India,Widowed,C,E,-52.92917785000376,B,D,-41.300789864805196,-17.12236953404141,D,0
Mexico,Widowed,B,B,-39.893541811344825,C,D,69.9611505391647,42.619978836414425,D,1
Mexico,Single,A,C,44.395978067051054,E,E,71.28180340828114,97.59553866001042,D,0
UK,Divorced,C,B,-5.07552873981375,C,E,-76.9640446028989,89.14359881854278,E,0
Brazil,Divorced,E,B,-119.49318988236755,C,E,-51.5671169754093,-32.88691164517165,C,0
Mexico,Widowed,B,A,22.752858345933586,D,D,-75.66686594093969,-77.424577779857,B,1
Other,Widowed,D,C,74.1592476640664,C,D,158.20406237108097,8.035830492583623,A,1
US,Divorced,A,A,-191.3561364946689,C,B,14.60605747241113,-242.33650232699793,C,0
Brazil,Married,B,C,-130.40843179401452,E,D,-168.37845463008514,-11.282823272309304,A,1
UK,Married,C,D,-96.75605340328715,E,C,19.770244925676995,-197.72724894225405,A,1
Mexico,Married,B,C,-91.82885850182343,D,C,23.951855825975624,7.584216195732581,A,1
Mexico,Single,B,A,10.38982942031423,A,E,44.13182754464873,36.61769962066101,E,0
China,Married,C,C,13.29703894466543,C,B,37.79179763823904,-5.459021282012677,D,1
Mexico,Divorced,C,E,-35.02464060847396,B,D,159.28184602261265,-39.771068943345846,E,1
China,Single,D,D,-22.276030311819472,A,E,-10.496665239772394,-9.273321016559814,D,0
China,Married,C,B,-4.193897648619276,C,A,-5.8687940716574065,61.83819626399638,B,0
Brazil,Single,E,A,-1.308253982058398,A,A,-139.62690904091815,196.22128872493352,C,1
US,Single,A,B,-73.245186155206,D,D,220.82427353506557,-82.96633920548985,D,1
India,Single,E,D,-94.4959626656096,C,A,-203.07924086335035,-47.84426466877375,C,0
Mexico,Single,C,D,292.6231769549384,E,B,-34.28473424459052,-13.099820486234753,D,0
China,Divorced,A,E,68.8641323781992,B,B,56.99541609203417,-55.85286420985788,C,1
Other,Divorced,D,A,-14.017567579827993,C,E,-51.082942773818075,93.94398538521763,D,1
US,Divorced,D,A,-134.59134705008177,D,B,87.76398614560095,172.38518587190003,C,0
Brazil,Divorced,B,E,66.75366353987181,C,A,-121.56364038270004,54.351407485227234,B,0
Other,Widowed,D,B,184.8051778749373,A,C,94.19455094004195,-35.89124303444549,E,0
Other,Married,D,E,38.6606960371355,C,C,51.23382225575682,14.446609309636765,A,0
Brazil,Single,A,A,135.06804190343274,E,C,-106.67498496907666,130.50381167499114,C,1
Mexico,Widowed,D,E,-137.24372717302492,C,B,7.034788939760886,-64.47408585699534,D,0
Other,Married,C,B,-69.04843137223108,A,D,-2.652310835619449,29.55076196482107,E,0
Brazil,Married,B,E,-104.12215981146929,E,B,8.222254707014706,71.99813997865262,E,0
