sex,marital_status,age_range,Religion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,target
M,Married,18-25,Muslim,-111.9730875063113,C,C,B,A,E,A,D,112.5163173651765,D,20.538778607238324,151.78450049838864,1
Non-binary,Single,36-50,Other,-85.93020926755834,D,D,D,C,B,B,A,-120.41336142058219,E,74.53628187101748,-119.92778467214198,1
M,Married,26-35,Buddhist,-28.31240394869972,B,A,B,D,C,D,D,22.077664941141233,E,-24.334990436226285,128.43949664668582,1
Non-binary,Married,65+,Jewish,50.241624773878044,D,D,C,D,D,B,B,-7.90022094010145,C,-53.16333403494959,-57.36450443224209,1
Male,Single,18-25,Jewish,34.54401982627034,B,A,A,C,B,A,B,-59.113461521119184,E,-1.6796149765373136,136.41850756316842,0
M,Divorced,65+,Hindu,17.745445609469552,E,E,B,B,B,D,A,82.63010520748172,C,-55.542402959435385,39.12090548973444,0
Other,Divorced,65+,Christian,238.71467686495862,E,C,B,C,C,D,A,105.11760088814779,B,-48.279270994217384,-74.16641771392129,1
M,Single,36-50,Other,-71.3832630481673,C,B,B,D,E,B,B,-134.1837907905208,D,-80.29484334169211,33.485592520416766,0
F,Married,18-25,Christian,75.70285952929144,A,A,C,C,C,A,D,-136.04862411808335,D,-13.202365513034367,78.66927950458586,1
Male,Married,36-50,None,107.07049782320945,B,C,D,B,E,C,E,-67.66318335223991,B,126.9599159578448,-107.32025703929308,0
F,Married,26-35,Other,30.314614891957724,A,A,B,A,D,B,B,51.72861902493183,A,17.68433012720252,-113.33551862618556,1
F,Married,26-35,Muslim,-5.131290491367727,D,B,D,D,A,C,A,96.04931753585014,D,-28.321349275836155,-203.3362478720886,0
Female,Widowed,18-25,Hindu,-239.77741887754362,A,B,C,B,C,C,C,218.51303564382653,C,-3.5172986724755995,-93.8620563663525,1
Other,Widowed,26-35,Other,-84.89780524744994,E,A,A,B,C,A,B,136.07052596378227,E,-24.549943927056002,200.62540930967484,1
Male,Divorced,65+,Christian,119.17464181142516,C,D,D,A,B,A,C,-116.05133546825883,C,-18.355261447995698,-51.14808858843444,1
Other,Divorced,65+,Other,60.991155025796395,A,B,A,E,C,D,E,-26.905769057094307,D,48.40795214912008,11.440245645900267,0
Other,Married,18-25,Hindu,125.65293419249998,E,A,B,D,D,C,E,-26.482669137574895,A,-214.08448258763698,-130.813219204338,1
Male,Divorced,65+,None,-138.18373982904805,B,C,D,B,A,D,C,-48.9279618958156,D,137.62926657138323,145.04901504560837,1
Non-binary,Divorced,65+,None,-22.36174747311978,C,A,E,D,A,B,D,42.01185681851786,D,80.55784082187732,-29.693951680952797,0
M,Divorced,18-25,Muslim,148.86221834162006,C,B,A,A,C,C,C,44.61126341608868,E,-92.34969445507681,-15.405858944265136,1
Female,Married,36-50,Jewish,103.99492201478171,A,D,A,B,B,E,B,-31.74818776579248,C,-19.60664633345821,212.938214083292,0
Female,Married,65+,Other,-89.81619362431717,D,A,C,B,D,D,B,74.5934654828756,C,-76.36671439036434,89.33218260611801,0
Other,Single,18-25,Christian,44.93668479650124,E,D,C,C,E,A,D,-88.42257743481125,B,-133.35000401652405,-5.789370532392089,1
Non-binary,Single,51-65,Buddhist,203.52541366736466,E,B,A,C,C,A,E,35.81791281439574,A,-49.170856650769984,74.27918506295578,0
M,Divorced,36-50,Christian,-14.914549973437264,E,E,D,B,D,C,C,33.81210897705277,D,26.94107472846148,-48.507241996271844,0
Female,Widowed,36-50,Muslim,57.10574823567508,E,D,E,B,E,A,A,79.07462178041142,E,-103.98368908826474,1.986805321185181,0
Female,Single,65+,Hindu,-202.4155212281494,E,C,E,A,E,A,B,159.10881725762144,C,124.69268153340604,51.85992415332519,1
F,Widowed,26-35,Other,-100.98894991000887,D,D,D,C,E,D,C,186.39213966697918,B,140.86359028462618,1.583927575878771,0
Female,Married,26-35,Buddhist,-26.089878608700783,B,E,E,B,A,A,D,-53.7374960922609,E,8.781416039018444,-63.454682038108935,0
M,Widowed,18-25,Other,-29.051356820576647,C,C,C,B,C,D,B,-139.37861427262214,A,-36.89047516003161,8.001114947937792,0
M,Married,26-35,Jewish,-126.79187567598566,D,C,B,C,E,A,C,18.582024730197073,E,117.26338252281595,-223.69465129548342,0
Non-binary,Married,18-25,Muslim,69.28368810075922,E,A,C,E,A,D,D,-80.04721636245189,E,105.04437564177087,-33.62510233263834,0
Non-binary,Divorced,18-25,Jewish,3.7123052479074916,A,A,D,D,E,E,B,88.73099112553815,D,-8.073103496200476,-27.857586286598064,0
Female,Divorced,26-35,Other,43.47310418971918,C,C,D,B,B,D,C,-69.62255030491802,E,-28.923651782377707,0.7872207431576088,1
M,Single,36-50,Buddhist,183.74179186867784,E,B,E,E,E,D,C,13.984051382423985,C,-86.40071065701228,126.30807471356655,1
Female,Single,36-50,Jewish,119.79797607804366,E,E,E,A,B,C,C,121.16280681455547,E,-33.30330704841809,34.498429619797896,1
M,Divorced,18-25,None,62.55342207383634,B,C,E,D,A,E,E,-131.84849955084073,C,-64.20518271098399,79.10893186630994,1
M,Divorced,36-50,None,-81.24098044511896,C,C,B,A,C,A,C,-38.31654507234353,A,29.03814790890972,68.53708273639866,1
Other,Divorced,18-25,Jewish,-87.4706061123241,E,C,E,C,A,C,B,-38.260734570460784,D,74.45825688210039,-60.09629045488407,1
F,Married,36-50,Christian,32.68039154225273,A,E,E,E,C,A,D,86.69292395040469,C,138.95105661034776,122.32336289881741,0
M,Single,26-35,Christian,-21.241627394029926,C,D,A,B,D,A,E,-28.340207671118346,A,85.12162489877775,-29.793689370416505,1
Male,Divorced,36-50,Other,112.01221147441889,B,E,B,D,E,E,C,98.51603478938283,A,-77.15350948007553,-206.06824943659916,0
Non-binary,Widowed,65+,Christian,35.64726748385381,C,C,B,B,A,A,D,159.42527235513873,A,-160.39496269994004,126.18270583876048,0
F,Single,51-65,Christian,29.930354855919294,D,A,D,E,D,B,B,-37.233627579774655,D,45.843660280342554,164.62983113558997,1
Male,Divorced,18-25,Muslim,-190.49814606545357,C,B,B,C,C,C,A,15.048214039403817,A,268.20114758189777,60.286318586029,1
Other,Divorced,65+,Other,164.9809196009974,B,A,A,C,B,E,E,34.664776027646,C,37.04817203526351,108.23198592172368,0
Female,Divorced,65+,Jewish,-57.880029237778864,B,B,C,C,B,A,B,43.92405572999823,D,39.68104397016112,30.616118454697254,0
Non-binary,Widowed,18-25,Muslim,126.61604272092842,E,C,A,A,A,A,A,-185.91751480935096,B,107.3634495801006,82.92629085936035,0
Female,Widowed,18-25,None,-22.677249607997854,B,E,E,B,B,B,C,-82.37888306893738,E,-7.532539624298806,-55.707467710996326,1
F,Widowed,18-25,Buddhist,-242.92698145966702,A,E,D,B,A,E,C,133.50396259932583,E,-75.2397574033155,12.26691421204819,0
Other,Widowed,51-65,Jewish,136.42435091536748,D,A,E,C,A,B,B,-82.99312735474375,E,149.4689050152106,159.431865129807,0
Non-binary,Widowed,51-65,Jewish,-45.51941092369811,E,A,A,C,D,B,B,55.47688098382609,A,112.8927151421805,114.85057950069024,0
Other,Divorced,51-65,Christian,146.55056674232057,C,B,D,D,A,C,C,27.555571660518925,A,-281.2067448796993,-128.87935092715236,1
Male,Single,51-65,Other,86.18148003641555,A,D,C,E,E,A,E,79.95245652814951,A,-142.45251081998038,-50.03545934609227,1
Female,Divorced,65+,Muslim,-205.07645551982486,B,C,A,B,D,B,D,72.47386688408282,D,103.01713018605287,74.0388453703137,0
F,Single,26-35,Hindu,97.23222678970518,B,B,E,C,B,A,B,43.3294655444695,D,81.19022342192822,-35.40515519067256,0
Other,Divorced,36-50,Other,-10.409273950956857,C,E,A,A,C,E,B,112.85771411224854,A,23.550544050749405,46.95291627461529,0
Male,Single,51-65,Buddhist,2.1349108851517227,B,E,D,B,D,A,E,-0.046082449863814316,B,28.610188367150247,7.629378714391842,0
Other,Married,36-50,Jewish,53.24227447849488,C,B,D,A,A,E,A,79.15295069488351,B,73.35142387422064,-172.98444137914652,1
M,Divorced,18-25,None,58.35645418486585,C,D,B,D,E,A,C,111.90233643959668,D,2.4987338320442256,-41.2234326922039,1
M,Divorced,65+,Hindu,163.81345298458527,A,A,C,A,A,B,E,209.57464278275046,C,-42.8562934046973,26.335485236522203,0
Female,Widowed,65+,Muslim,97.86431321911714,B,E,D,E,D,C,B,33.580094061569916,E,-96.01637993612535,71.4651764226557,1
F,Married,36-50,Buddhist,-102.34226478445822,B,C,C,E,A,C,A,-136.81011215269368,C,163.3757069586715,-48.85651844364313,1
F,Single,18-25,Other,7.763127519778499,D,A,B,A,D,A,E,-81.67951170362244,D,-12.412822755085493,-11.412560112287256,1
F,Widowed,51-65,Other,29.810349268272677,E,C,E,E,A,E,B,-64.36718684477016,A,116.34073145134039,-160.27836814991488,0
F,Single,18-25,Buddhist,-70.77360468122103,E,D,A,C,B,E,D,113.67005690340788,B,-70.10638925882469,148.9708230197908,1
F,Married,51-65,Buddhist,167.85361812239694,C,A,B,D,B,C,C,17.274462352383786,A,-94.73196450614836,-112.99447368794502,1
Non-binary,Widowed,51-65,Other,9.060137629469306,E,A,A,D,D,C,D,-86.09595123273023,C,-7.36728181975234,78.80549189025633,0
Non-binary,Divorced,36-50,Christian,-35.97948359337717,E,A,E,E,E,B,B,57.94334826757041,C,-4.599415696951188,18.48198690385749,0
Other,Divorced,26-35,Hindu,92.6366826897838,C,E,B,D,A,D,C,-63.93913652712231,C,57.07530439237194,86.33665239452422,0
Female,Widowed,51-65,None,-26.256785371840767,B,D,B,D,E,D,D,91.52060582107023,B,-36.338832746970745,-56.01670499148028,0
M,Widowed,26-35,Other,138.84706399368213,D,C,B,C,E,A,D,93.36846958929199,C,-76.47218626856382,110.11289219432867,0
Non-binary,Widowed,51-65,None,-15.14783578060673,C,C,C,E,B,B,D,-24.2318221717028,D,-64.96121879483547,-98.90385554047347,0
Female,Single,65+,None,15.406266888207911,A,D,E,E,A,D,B,-10.769923098411443,C,59.26832499723164,-61.156273895015154,1
Other,Divorced,65+,None,-46.96365587832969,D,C,B,B,C,C,C,60.980521882596896,D,-97.80815384743882,-103.04518866511134,0
M,Married,51-65,None,26.383371881543937,A,C,A,C,E,C,A,93.40888805395767,C,173.75211336833996,14.41789178466785,1
Male,Married,51-65,Muslim,-78.5395276611087,A,B,C,B,A,E,C,151.07841150173397,A,13.49074805588984,-14.608518995526754,1
Female,Single,51-65,Jewish,92.52858964422924,A,D,C,C,C,B,E,159.19818283041937,C,-237.039705822542,-50.46554882715405,1
M,Divorced,26-35,Jewish,-73.10235752952457,A,D,C,A,E,E,E,-102.06608163279456,C,-248.59981523686895,78.56024026460979,1
Non-binary,Married,36-50,Muslim,24.65544092319151,D,E,C,C,B,A,C,-169.72526427193765,B,-4.264221864073199,-44.84897467170983,1
M,Widowed,65+,Hindu,-108.29762440938326,D,C,E,C,B,B,A,39.03821417911119,B,18.676037152225003,-117.78236168458089,0
Male,Married,18-25,Hindu,-1.2389806093871791,C,A,C,E,A,E,D,-127.99751943549992,A,-128.60440835230997,-55.751856750135865,0
M,Single,18-25,Muslim,170.22334515941822,C,E,D,A,D,E,E,-15.664035982989835,E,12.92768290764136,92.90720172474367,1
Female,Married,26-35,None,-9.011553139415893,D,D,E,C,B,A,D,-73.21988008309562,D,-6.719489380893109,176.61042751401527,0
Other,Widowed,36-50,Hindu,43.343430228438265,D,B,B,E,C,E,C,118.6143432151441,D,-41.99547774458073,67.67688660848358,1
Male,Divorced,26-35,Christian,-81.60248078800143,C,B,B,B,A,A,B,120.91795461687471,A,-168.91299482016626,-40.57188834436325,0
Other,Married,65+,Buddhist,-74.5903274376403,C,C,C,C,C,D,D,-50.5929038418665,E,42.35458861099872,-58.05626389686446,0
M,Married,26-35,Other,27.095501466238076,D,A,C,E,E,D,E,66.11703294845583,B,-71.19184998955407,157.65181565439224,0
Other,Married,18-25,Hindu,38.40367305937327,A,E,D,B,B,E,E,-25.666267816986473,D,5.147381299411639,-13.133045732215972,1
Female,Single,51-65,Muslim,-102.80015738178567,A,D,D,B,B,D,A,-150.75388593482992,C,131.82438967733034,61.95432842582156,1
M,Widowed,65+,Other,-194.15995380060775,C,A,B,E,C,E,C,-41.4697507923323,B,-90.14994809070298,-180.14973680041913,0
Female,Divorced,51-65,Jewish,-220.47060913840627,C,B,B,D,A,B,C,25.356640818562266,C,49.43512243685459,1.9354968984008039,0
Male,Single,36-50,None,106.47752870275072,D,D,D,C,E,A,B,-110.941675209725,E,65.5253138085937,36.44466319700048,0
Male,Widowed,26-35,Hindu,-177.403730702717,C,D,C,D,A,B,A,123.23571447058987,E,-58.72317355349127,42.46104200062433,0
Non-binary,Widowed,26-35,Buddhist,-72.13178875053809,C,A,C,C,B,A,C,29.179449654333677,B,-246.82076260433016,110.76996666659072,1
Female,Divorced,26-35,Other,-23.852635103197333,D,C,A,A,E,A,B,111.102397908036,B,105.26206783565608,80.0913199925284,1
Male,Divorced,51-65,Hindu,-227.92043042753738,C,C,C,A,B,C,E,184.82637339526414,C,91.9616376648157,26.723529615626024,0
M,Divorced,26-35,Christian,36.04261198829005,C,C,B,E,E,C,C,13.799626893270666,D,-82.43837567825382,6.2860273769353885,1
M,Divorced,51-65,Other,64.49757438629032,B,D,E,A,A,C,A,66.52053137076341,E,69.02252053901387,-40.82521130393743,1
F,Single,26-35,Hindu,65.89207502244572,B,C,C,C,D,B,C,-10.449395811825871,D,75.98322741554281,157.72405299041253,0
M,Widowed,51-65,Hindu,-102.20250223009266,A,A,E,C,E,C,E,34.82492522848133,A,42.04567914734453,-136.07973711118586,0
Male,Widowed,36-50,Muslim,54.84542497850282,D,D,B,D,D,A,B,43.51481737776323,B,-9.336055479353785,193.87419450217388,1
M,Single,36-50,None,35.11570563473319,E,B,C,E,A,B,E,9.07820406012313,A,142.79735633704757,-67.07329562459198,1
F,Divorced,26-35,Other,-147.13740392723162,D,E,C,B,E,A,A,19.636811514572592,B,-172.32824710253254,-57.1013436521678,0
Female,Married,36-50,Muslim,-83.52893076275046,D,D,A,E,A,D,C,-94.52480606880317,C,-93.24551856913543,-196.00230943009782,0
Female,Single,36-50,Other,-119.49633903251531,C,A,D,E,B,C,A,-186.3093060444704,E,124.54820051738322,-26.601181303263825,1
F,Divorced,26-35,Christian,225.06267569717141,A,A,D,D,C,B,E,7.136678646819025,A,30.509241532381143,-29.547140760669656,1
Other,Divorced,51-65,Hindu,-62.526339688803354,E,E,A,C,B,B,A,55.38582897130527,D,-115.95031621973084,-74.70991626078514,1
F,Widowed,36-50,Other,-180.3009865237166,A,E,E,C,D,E,E,-103.41925837511737,A,-12.708793135787754,-36.16966195967538,0
M,Divorced,36-50,None,-22.760775593711205,B,C,A,E,C,E,E,176.58211395606594,C,35.48431602668297,43.68065393779747,1
Male,Widowed,26-35,Buddhist,-43.91798668181541,C,A,E,A,B,D,A,-58.949490982654886,E,-132.40655613988508,-50.81723252576006,0
Non-binary,Widowed,36-50,Christian,107.52759252369566,D,C,D,A,E,C,E,-59.46096730601462,A,-164.40861700938532,-63.658722798697276,1
Male,Married,36-50,Jewish,-6.609257295551804,E,A,E,B,E,E,D,32.17757801778257,A,307.022912570723,-6.525176013866958,0
Other,Married,36-50,Jewish,8.780242671299073,D,A,D,A,C,A,D,26.249891943881114,D,-197.71244772657786,-15.125419903808238,1
Other,Divorced,26-35,Buddhist,55.804273881305036,C,A,E,D,D,A,B,-75.00789474187057,D,-136.0882045801668,-29.36472254779029,1
M,Divorced,51-65,Other,-19.41847611774279,B,A,A,B,B,A,E,-78.64830756803066,A,-110.01001841988354,-91.39772399607496,0
Other,Single,36-50,Muslim,-75.31447306281686,A,C,D,D,D,B,A,8.045404305341947,D,-65.23807258988565,-139.69270228665945,0
M,Single,18-25,Christian,147.5133929543936,B,D,C,B,E,C,D,21.805853386943465,D,49.30571845586363,-199.49464531500908,0
Female,Single,26-35,Other,153.91498875303807,B,A,D,A,A,C,C,46.21489769308545,D,26.170008261259,-68.51337428999513,1
M,Married,65+,Jewish,-4.0122717368165155,E,D,B,C,A,D,B,-122.50097595530569,B,9.028031104640249,-105.48012251630179,0
Male,Divorced,51-65,None,73.25904128775603,E,C,C,A,B,E,D,180.5396051636036,D,127.4041028140642,46.67949702337588,0
Other,Single,65+,Hindu,120.35290732347515,B,C,A,B,C,A,D,-58.52064327786659,E,73.8276901034882,46.654404961730535,0
Female,Widowed,18-25,Other,-69.20303577139414,D,C,E,E,E,C,D,120.36612469628042,D,-186.93538589976725,90.72233942974509,1
F,Married,18-25,Christian,-69.91582967626339,E,C,E,C,D,C,D,54.812503901760245,A,22.269002529531264,-71.1686921950994,0
Non-binary,Single,18-25,Other,18.83873374772776,C,E,D,A,A,B,D,150.8780685519858,B,143.01458495570984,115.96656610866299,1
Male,Single,26-35,Hindu,-251.3980940235645,E,C,E,C,D,E,C,-44.80740083568049,C,-19.061058787767646,-44.88088366400619,0
M,Widowed,36-50,Christian,-190.25417199226322,B,C,D,B,A,E,C,-38.902156334440825,E,-108.31578441066551,-43.954549098174084,1
Non-binary,Single,51-65,Hindu,-207.27883913293616,C,B,D,E,E,E,A,4.696488182935311,B,61.51770271788464,-88.73998604563664,0
Male,Married,51-65,Jewish,26.950359917669058,A,C,E,B,E,B,D,-220.9063191734077,A,-65.06662663829866,-4.484839108000769,0
Other,Divorced,26-35,Hindu,47.96585567514766,D,E,B,D,A,D,B,15.94971920351925,E,-162.33548815870182,-42.24809351681316,0
F,Single,51-65,None,50.10645893394281,B,B,C,B,A,D,D,-220.85938912055389,B,-53.70605306580318,-185.51561581959382,0
Female,Widowed,51-65,None,139.2634459677198,D,A,A,A,D,C,C,16.175524809466836,C,241.12091093233744,83.73049817825014,1
Male,Divorced,65+,None,-11.080235005829204,B,C,B,D,B,A,A,-60.0739003652117,D,-112.85067292645957,-57.7635367553013,0
Non-binary,Widowed,65+,Christian,59.0751135619502,A,D,A,C,A,E,D,27.782663974795874,B,34.150799109712075,-74.45414349666105,1
M,Divorced,18-25,None,107.26094025310138,E,D,C,D,A,D,B,131.38827727405442,E,-135.35423464599415,51.84261202159382,0
Male,Divorced,36-50,Buddhist,-73.58755208678633,B,E,A,D,D,E,A,85.39856000380249,C,-58.03782753800611,-70.56940146408297,1
M,Single,18-25,Other,-41.842061487394695,E,D,D,E,D,D,C,80.3246466736881,D,110.35734311306669,72.58020790632035,0
Male,Single,65+,Other,-69.94760612083739,D,C,C,D,D,B,A,-86.48554083413826,D,-96.32215026284202,-81.4771995995382,0
F,Divorced,26-35,Hindu,38.220508382109294,B,B,A,B,E,E,B,-137.76285505215682,D,-7.772451639505884,-165.63513235343217,1
Non-binary,Married,51-65,Other,173.18785285078815,D,C,A,E,C,B,C,32.41271105690341,A,-175.4743155378813,-41.56215930707118,1
Male,Divorced,36-50,Hindu,-136.94937210217972,D,E,C,E,D,A,A,-43.70680126380086,C,-233.61599828971222,91.81720710976222,1
Female,Divorced,18-25,Christian,172.53175166345062,B,E,C,A,D,B,D,24.629430413298792,A,-159.16366691582158,-229.88897463917155,0
Non-binary,Widowed,65+,Buddhist,-13.208261720649503,A,A,B,D,C,E,A,-22.18893738327533,E,-122.34674190286326,157.46916099757837,1
Male,Widowed,36-50,Other,177.36838106716198,B,E,D,E,A,E,C,46.087896194467476,E,-129.13713077350408,5.169851309232425,1
Other,Married,18-25,None,-121.35176317566041,A,E,B,D,E,D,A,-13.171879010336223,A,-204.6283597046648,93.15833666706135,1
F,Divorced,51-65,Other,75.62413403924268,A,A,A,B,B,C,E,60.08322868400202,A,-60.26921805229889,-16.03297430088426,0
F,Widowed,36-50,Hindu,-36.217279825082215,C,A,B,E,B,D,B,11.522266060777596,C,125.50951556106804,29.000944387259086,0
Male,Divorced,65+,Christian,119.02371532437783,A,C,C,A,C,A,E,-61.971002638793635,C,87.70933426832228,246.0825267103408,0
Male,Divorced,36-50,None,-53.13159856863044,C,B,B,E,A,C,E,-3.51141507151852,C,-36.187409444087365,-57.75405475051005,0
F,Married,65+,Other,-144.11228835494768,C,C,E,A,C,D,E,-16.692687318672707,B,-70.62620494460917,24.98374236716037,0
M,Widowed,51-65,Christian,-81.13733283726357,B,E,D,D,E,D,A,184.4721441058979,E,38.358868175803025,224.81822762700793,1
Non-binary,Widowed,36-50,Muslim,86.98928951536399,B,A,E,D,E,E,D,16.18564020323242,B,-6.149702569985678,-57.10128948123795,0
Other,Married,51-65,Muslim,4.290529051594546,D,A,A,D,D,C,D,9.063474559837521,D,11.286040536474001,107.75291278544566,1
Female,Widowed,18-25,Hindu,65.19516821112077,A,A,B,C,E,A,C,41.724472530601844,B,-22.09697178024046,-103.56655184886341,0
M,Married,18-25,Muslim,-53.533482009388855,E,D,A,E,D,E,A,97.61511444998433,C,-3.6017224836236696,13.635899107054062,0
F,Single,36-50,Buddhist,-28.61356682786941,A,E,A,A,A,E,D,-124.37262129989712,C,60.706817478799515,93.53077628700306,0
Male,Married,18-25,Christian,-65.35250277415001,A,D,B,A,E,B,E,48.49288787805084,B,80.4395042306768,-40.67701079446296,1
Non-binary,Single,36-50,Jewish,9.308062965170642,A,D,B,C,E,B,D,-20.343225617418774,A,-8.169148400351684,31.889533312994256,1
Male,Widowed,26-35,Other,-53.56292736951086,C,D,E,E,B,A,E,28.019352439631813,D,-52.54647985445311,76.284325435762,1
Other,Divorced,36-50,Hindu,-9.326787459213975,B,A,E,E,B,C,C,-78.01400472402013,C,96.7452819981408,213.15917674981,1
M,Divorced,18-25,Muslim,8.612844314606901,C,E,D,E,D,B,A,-24.757607085701178,A,6.063496974784134,-11.9069574338692,0
F,Married,51-65,Christian,27.804988214998826,D,A,E,C,C,E,B,129.1897939388027,D,-126.42237947979467,-54.71633921328297,1
Female,Married,26-35,Buddhist,15.238793429196049,B,B,B,A,A,B,A,59.3044010219145,B,46.41047572280133,117.20689112583496,0
Female,Single,51-65,Other,119.31766720484593,E,A,D,B,B,E,B,32.6924179333416,E,-67.17230228862418,280.2428964005615,1
Other,Single,51-65,Muslim,-170.01624404308183,B,B,C,C,A,A,C,63.27555446334383,D,19.885944919812502,-44.01240677522697,0
Male,Divorced,18-25,Jewish,-53.64247357843197,A,D,A,C,C,D,E,73.24504606264985,B,-49.35383561169226,-50.32892292806624,1
F,Married,26-35,Jewish,25.76091974750014,B,E,A,D,B,C,A,179.79135590350123,C,-7.678226401653816,135.92934802747777,1
Male,Married,18-25,Christian,226.4958667428006,A,D,E,B,A,C,A,-131.64095251685234,D,32.00098555921046,-21.643982915890074,0
Male,Divorced,36-50,Other,-66.88881877354662,C,B,C,A,E,C,A,-54.57726024824103,D,1.4880583793150923,-168.02045665404168,0
Other,Married,36-50,Jewish,-78.1682226946512,C,E,C,A,C,A,E,37.879201056650466,C,-138.76004020833403,-9.029792672296761,0
Male,Single,36-50,Muslim,-18.225095719323832,E,B,D,A,B,E,B,-258.8273836733401,B,86.13098438196512,36.543603127988554,1
Non-binary,Divorced,65+,Buddhist,95.94541827765818,A,E,C,C,E,B,C,-93.06101337534596,A,28.150645838368042,199.76958871374083,0
F,Married,51-65,Other,-171.04889547830345,D,A,B,D,E,C,C,40.90273466705431,C,127.81714759838081,148.46761459602413,0
Non-binary,Single,26-35,Buddhist,95.87710746332658,B,D,A,C,E,A,E,76.68042513057495,C,-122.98098832735798,-28.735316571843466,0
Female,Divorced,36-50,Muslim,249.470708042155,D,C,A,A,E,B,D,-60.89746989390042,C,-162.1776893870242,-177.14938643083127,1
M,Single,18-25,Jewish,136.6860749445528,D,B,B,A,E,C,D,56.92611944727227,B,-18.33216017063402,-34.5101709254881,1
Other,Married,26-35,Other,-79.17333124087531,C,E,C,D,E,E,E,-8.620491548406655,B,57.353428182529186,-126.32442528664811,0
F,Married,36-50,Buddhist,-205.60565500966027,C,B,D,A,C,E,B,12.034948484808991,C,-98.50507309559329,22.799614809758378,1
Other,Single,51-65,Buddhist,-174.80291463756515,D,C,C,E,C,E,A,-179.07995210991834,D,-29.4917091905455,-147.9403387740462,0
Female,Widowed,51-65,Jewish,-70.96825987423186,C,C,C,E,C,E,D,127.24476147881951,C,-4.081167576286018,134.38192168527985,0
Non-binary,Single,26-35,Christian,-48.66826293267837,D,E,A,B,A,D,C,-11.89667888944789,D,63.00638560192979,-12.678518411769621,0
F,Divorced,18-25,Muslim,-125.3613670577655,E,A,B,A,C,E,C,122.66964197119678,E,110.38661128130451,-114.20383376646186,0
Female,Divorced,26-35,Other,23.41266075570884,A,E,A,A,A,C,D,-54.1549792148184,D,-92.48328390427031,-151.29130558220015,1
M,Divorced,26-35,None,94.80212663299078,D,E,E,E,B,A,D,-28.825794576523727,B,-56.06736317579619,12.539987888885618,1
F,Single,51-65,Muslim,-124.96457758814003,A,D,D,A,B,D,D,117.5498614089187,E,-164.14446386043429,-177.55034011276794,1
Female,Divorced,26-35,Jewish,-12.594590462218186,E,E,C,A,C,A,E,-58.11155051523367,B,258.05579607250377,-33.884556503298576,1
Male,Single,26-35,Christian,91.41070046269355,C,D,D,E,C,E,D,59.583243094716124,E,-147.4130461096643,-6.205528242204193,1
F,Single,65+,None,95.13024779350813,A,C,A,A,E,C,A,156.12094834435635,A,-53.93434684990548,-103.74578384963442,1
Non-binary,Widowed,36-50,Buddhist,21.94939823256516,E,D,B,E,C,B,B,85.09773863189513,D,73.83012264369472,-236.83426821422776,1
F,Married,51-65,Jewish,55.27786541388042,C,E,C,E,B,D,D,143.0226295649923,A,51.30524018134661,26.104202618311902,0
Female,Divorced,18-25,Hindu,-40.4962571692798,B,E,D,A,E,D,E,-88.24912864755967,D,-58.07616616041019,-79.79620656774021,0
M,Widowed,65+,Hindu,69.84360827699764,B,A,E,E,E,A,A,-60.5429405977245,D,63.37332634247328,-118.64929924046643,1
Non-binary,Widowed,26-35,Hindu,-68.46273549957411,D,A,E,D,D,C,C,20.45032935656319,B,13.668766317179603,131.52248334156081,1
Non-binary,Single,26-35,Hindu,61.757982000189514,B,A,B,B,D,B,E,30.22997453367355,B,54.27749316417532,33.268231154395544,0
Non-binary,Divorced,18-25,Hindu,-74.60778371267736,B,C,B,C,B,A,B,25.495178224441545,B,-10.743901872868916,78.61916003331555,1
F,Divorced,51-65,Jewish,129.29785157184074,D,E,E,A,A,B,E,-36.6736663874914,C,185.65142573520143,-84.02905516176608,0
Non-binary,Single,65+,Muslim,-116.34387774066577,C,A,D,E,B,B,E,68.53802315978966,B,15.068285580595361,28.395373831543157,1
Male,Divorced,18-25,Christian,115.13973885075399,D,E,B,C,B,A,B,12.113086124481345,E,114.4154279222402,-26.97910924594682,0
Female,Widowed,36-50,None,89.8017134154654,A,A,E,B,D,A,C,-13.949797071941836,B,-109.36611650175674,57.32000176664598,0
M,Divorced,26-35,Other,52.43133212005486,C,C,A,C,A,B,A,5.640998261292145,E,-14.015457865019028,32.78172459288822,1
Male,Divorced,65+,None,225.1874979543425,E,E,B,C,B,E,B,-130.9223396623467,D,-1.7962067044947245,46.39369816200761,0
Male,Widowed,36-50,Jewish,-110.3341502694329,C,D,C,A,A,E,D,139.6541991635269,C,99.84031578628914,-0.7952375109371775,0
M,Single,51-65,Muslim,-125.5312111648897,C,C,D,B,C,A,C,-124.14937595696311,A,-123.9119897353993,-202.39127800468486,0
Non-binary,Single,18-25,Hindu,111.6198394555097,C,D,D,A,B,D,B,84.47521182696805,E,-8.405696282625353,-29.74939256142632,1
Female,Single,26-35,None,-59.13561795001322,C,C,A,E,E,C,E,-38.92786671726075,B,148.8520353915198,115.23490076360463,1
Non-binary,Widowed,65+,Christian,25.03707971823861,E,B,A,A,E,E,C,132.76608267005798,D,18.40587894324196,-9.274361622533815,1
Female,Widowed,18-25,Christian,27.224279425173837,E,B,C,B,E,D,D,-8.55122942592974,D,28.33387185960402,-142.79264913979074,0
