Disability,Religion,Nationality,Veteran,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,target
Both,Hindu,Mexico,Non-Veteran,187.6446947465898,-130.21126930846836,-5.962962672087581,A,C,D,C,0
Mental,Hindu,China,Non-Veteran,-122.86320666339985,256.7422054259979,-24.99505079771352,D,C,B,B,1
Mental,Hindu,Brazil,Yes,113.11333508860544,72.02085494141802,6.769667959698313,D,B,B,A,0
Physical,Buddhist,Germany,No,-38.52215421125166,22.223562734310757,79.02286574077091,B,E,E,E,0
Physical,Christian,India,Veteran,-75.1874842521966,-64.72201250153964,-52.24715228887099,C,C,A,C,1
Yes,Jewish,Other,Non-Veteran,139.86245989297694,40.93348875683874,114.8622951075961,E,D,A,B,0
None,Christian,Brazil,Yes,61.846401091936876,-168.0684055256914,-87.52548519450568,B,A,D,C,0
Yes,Jewish,Other,Veteran,-69.94769953857939,92.7801195536429,-208.8436294527694,C,C,E,B,1
Physical,Hindu,Brazil,Yes,7.54241963909912,-5.439759627311563,-21.125855539299184,A,B,D,D,0
No,Muslim,China,Yes,-71.88225372128714,53.322822561058814,106.19173952309168,C,E,A,B,1
Mental,Muslim,US,Non-Veteran,-30.84504203436445,105.95225097230288,-11.096493168335101,B,B,D,C,0
Yes,Buddhist,Mexico,Yes,-82.75752508337982,-129.26849850758222,-159.97353428158166,A,D,A,A,0
Physical,None,Mexico,Veteran,-29.434784912078378,43.989469131434895,71.6026963807396,D,B,B,C,1
Yes,Christian,Germany,Yes,200.92906416947085,-41.531264016864625,66.93787820590946,E,A,A,E,1
No,Christian,China,No,-19.80102212163965,-65.67837381261936,-119.82923034854376,A,A,B,D,0
Mental,Other,China,Veteran,166.72336162197314,-129.98525181470364,65.60199510983101,C,D,B,B,0
Physical,Buddhist,US,Non-Veteran,-33.937867698563515,-197.61524253942412,61.242166447773805,B,D,B,C,1
Physical,Jewish,US,Yes,101.9477164989811,-185.69858563534274,221.9920318531829,B,D,C,D,0
Mental,Christian,Other,Veteran,-72.6866603284379,-55.71870559290443,-3.028331255506562,B,D,B,E,0
Physical,None,China,Non-Veteran,33.515187110194695,94.93798670226249,56.741998460187894,D,A,A,A,1
No,Hindu,Mexico,Yes,-47.634835823715974,-123.69946148647021,-154.34781903341695,E,D,B,B,1
Yes,None,Germany,Non-Veteran,-90.51518949791088,-68.21138285337496,-143.26582913043467,A,C,C,A,0
Yes,None,Other,Veteran,224.26159836594888,117.20913069599754,59.82463595412327,C,C,D,E,0
None,Other,Other,Non-Veteran,-115.65206328107624,-94.64832827038892,108.4454157653177,D,A,D,E,0
Both,Buddhist,Brazil,Yes,51.78132985323979,116.13212020278108,14.87199410583045,C,A,A,C,0
No,Christian,India,Yes,-27.228458016518157,122.07537283033345,31.32040549092874,E,D,C,A,0
None,None,Germany,No,-129.06294258968686,109.52808251078201,-19.57443299061783,E,D,C,A,1
None,None,China,No,-132.23795744104282,110.65972199801325,-79.87923623488108,D,B,D,C,0
Physical,Muslim,India,Veteran,-26.394666625967915,138.71557647528581,76.5588049475562,B,A,B,B,1
Physical,Christian,Other,Veteran,-33.386888119105905,-95.53172232919026,93.57376047711048,B,B,C,D,1
Both,Jewish,Other,No,99.02490948881638,-140.65992732077436,-219.80343247263843,C,D,B,A,1
Yes,None,US,Non-Veteran,14.554652077166303,59.99529918925472,-177.59447121239177,D,B,C,A,0
None,Buddhist,US,Non-Veteran,-109.77899684533364,-147.12335868553453,-63.385942723734736,D,D,C,B,0
No,Hindu,Mexico,No,35.72548502432926,-12.423135751272152,-48.917796463631966,A,B,B,B,0
Yes,Jewish,Other,Non-Veteran,-21.673897433144003,180.67057731533387,192.2885211847329,B,C,E,B,0
Physical,Christian,UK,Yes,58.33096732550304,5.1281831621057306,19.33234663011316,B,E,E,D,0
No,Muslim,US,No,52.61361327098577,-90.64705396905237,283.9572920033057,B,C,E,B,0
Physical,None,China,Non-Veteran,-205.44240982833819,-109.74124127965486,-68.49382355070462,E,A,D,B,0
Both,Jewish,Other,No,18.290093330564197,-11.4779170075984,-0.7125001048627583,B,D,A,B,0
None,Muslim,Brazil,Veteran,-91.19506018204943,-125.08063927467647,31.832614190434512,A,B,A,A,0
Yes,Buddhist,China,Yes,-86.19491687022641,-60.48420522093985,-13.957849107825645,A,A,D,A,0
Yes,Muslim,China,Yes,-99.33392027138761,73.94186264768913,-119.87277780856871,D,C,D,C,0
No,Buddhist,Germany,Veteran,-14.872315969648984,-3.4490904202486434,-167.89602939901138,C,E,B,B,0
None,Christian,UK,Yes,-98.44391725484985,137.0498881328525,-20.419737873029984,B,A,A,C,1
Physical,Other,India,Yes,-96.7633849855637,89.62600171560668,-12.427512366832744,B,C,D,E,0
Mental,Other,India,Yes,123.2332910992553,-40.833217413709654,5.158538700638521,A,B,E,A,1
Yes,None,US,Veteran,-205.21306088297968,24.331093896313057,-63.985388647761845,C,A,D,E,1
Yes,Other,Germany,Yes,165.3878935995438,-57.63514573938675,31.680873876871573,E,E,C,D,1
Both,None,China,Non-Veteran,-183.7099674727884,131.4700189319622,5.4668237613262916,C,D,E,C,0
Mental,Christian,China,Veteran,-118.80416601501429,11.785900917252622,38.22030220318065,E,E,B,A,1
Yes,None,India,Veteran,-15.329287710338546,-49.4437922084826,-133.5909743605869,B,C,E,A,1
No,Christian,India,Veteran,68.51912661621047,103.3592489314447,81.97031366900292,B,C,D,C,1
Mental,Christian,China,Veteran,19.31377125621064,203.60607830428444,66.1560382029579,B,C,A,A,0
Physical,Hindu,Other,Veteran,-99.06330111670523,8.783242402371249,11.03314278846465,D,A,D,B,1
None,Christian,Brazil,No,150.16975307882282,24.051618952355934,-29.03345983022016,A,E,D,E,0
Yes,Other,India,Yes,51.952069326068376,76.30209225279471,-71.90725421400394,B,A,E,B,0
None,Other,US,Yes,-25.091852752342863,-10.554897859853794,-63.433013854817155,C,C,B,E,1
Mental,Buddhist,UK,Yes,82.5007553178039,0.222584928687562,13.105671779435774,E,C,E,E,1
Physical,Other,Germany,Veteran,48.24468176684093,156.42565033983448,-159.9746728665223,B,D,B,D,0
No,Muslim,US,No,173.85754991834295,28.056643419812556,185.29884255411557,C,A,B,E,1
None,Muslim,Other,Yes,-114.79366890818655,-93.76024737595958,-68.22368433399048,A,C,D,E,1
Mental,Buddhist,Mexico,Yes,-37.83368620941433,21.167322135354908,56.98286381415082,C,A,E,B,0
Physical,Christian,Germany,Yes,75.97826593723144,-20.831731990629354,13.509006016569778,A,C,C,D,0
Both,Christian,Other,Non-Veteran,-68.95647924103187,34.26127686151817,63.053369475656815,B,A,E,E,0
Mental,Other,Other,Veteran,-30.732269749760942,-15.43715458007907,69.9468594473205,D,A,C,D,1
Mental,Jewish,Germany,Yes,-205.7089515332747,-32.328358704058665,52.24434345286376,B,C,C,A,0
Yes,Christian,Other,Veteran,-54.96357872672508,60.44582528672975,-15.515714636390001,B,B,C,A,0
Both,Christian,UK,Non-Veteran,132.87027320721577,31.390246301646446,-62.72120841535029,E,E,B,B,0
Physical,Christian,China,Veteran,-114.61805494788675,92.66953504204436,-28.104075273042966,B,C,A,D,0
None,Buddhist,Other,Yes,-26.402912953222835,127.11426670777479,-75.25038278911438,D,D,E,D,0
Physical,Hindu,India,Yes,-36.05490522627105,-139.90250663976747,105.20080104579223,C,C,D,A,0
None,Buddhist,US,No,99.27748257071346,-187.9303247795646,72.33945493085517,C,A,A,D,1
Both,None,China,Yes,-40.279240960861515,38.99282541046459,30.46963751137423,A,D,A,B,0
Yes,Muslim,US,Non-Veteran,-176.92636203476656,106.60710639726045,-17.774974771545978,A,A,B,B,0
Mental,Christian,US,No,-105.15991384352282,1.6698426456836044,-2.4017536211584245,D,B,C,D,0
No,Muslim,UK,Yes,114.45192704348095,59.6421226673812,-10.650299105927648,E,B,E,E,1
None,Buddhist,Germany,Non-Veteran,128.9755720534687,48.59025810061358,87.18283768166232,A,D,C,E,1
Yes,Jewish,India,Veteran,37.19326615035879,-66.65685172232519,100.59259513133254,A,B,D,E,0
Both,Other,China,Yes,-12.421405276704899,1.38849137234694,13.806602456521203,E,C,C,D,0
No,Jewish,India,Non-Veteran,90.47925184708657,-60.30360662473533,41.70272585624184,D,A,E,D,0
None,Other,UK,Veteran,63.72380817532309,-63.33641630385623,21.06891051889979,C,C,D,E,0
No,Muslim,UK,Veteran,10.810719687991185,-147.63766674845712,-63.11191635057911,B,E,B,B,0
Mental,Muslim,Germany,No,-69.09675685699864,-12.216379623212248,-72.0836748573512,B,B,B,B,0
No,Other,Germany,No,25.785841821542498,-35.73886714504991,171.2109808729988,A,E,E,C,0
No,Christian,US,Yes,69.81229375616883,202.34079990578,-172.48156466296288,C,B,B,B,1
Yes,Jewish,Germany,Veteran,-18.743268154295464,88.09735053551732,45.76695827157223,D,C,A,D,0
Both,Muslim,Brazil,No,-61.029594677201615,-21.675952351784044,-83.81679304425035,A,D,A,B,0
Physical,Other,Other,Veteran,73.71941493487807,-53.96262230495126,-206.2898820750568,B,E,B,B,0
Yes,Muslim,Brazil,Non-Veteran,-1.2377273787435745,25.859160411825204,-91.93327956261386,E,B,D,D,0
No,Jewish,US,Yes,67.28801433279166,30.661928498582018,17.119656998813614,D,C,E,C,0
Both,Jewish,Brazil,Non-Veteran,74.28712720965895,81.5792225575934,67.7249095810834,D,D,E,A,0
Both,Jewish,Brazil,Non-Veteran,-42.05976309924386,187.87466022292332,-171.7891696265178,D,C,E,B,0
Yes,Hindu,Germany,Veteran,-95.05814243252915,55.132534173330114,15.169363633987592,A,A,E,C,0
Both,Buddhist,UK,Yes,-29.158792636266483,-95.95269159433397,67.27765316770618,C,E,C,D,0
Both,Muslim,UK,Veteran,-20.777437030098586,88.77607066895085,-60.45846368797741,A,A,A,A,1
Mental,Jewish,India,No,207.60803807728198,98.64834871545995,-52.18587136205552,D,E,A,B,1
Yes,Christian,US,No,-174.05877570909425,144.90834034057747,-109.82046638485505,B,E,D,A,1
None,None,Brazil,Veteran,-98.40119281688403,125.54452694741416,70.86872866006428,C,C,C,A,1
Physical,Christian,Germany,Yes,16.771134696346714,32.039095706774525,77.83265492861709,E,E,A,C,0
None,Other,US,Non-Veteran,-42.55133304743038,140.2721442017754,-106.72898403789132,E,D,A,E,1
None,Christian,Brazil,Non-Veteran,150.96793965563805,18.179307509644843,-61.87333700609974,C,C,E,B,1
Physical,Christian,Brazil,Veteran,35.930293486956536,113.33320807110387,122.85211420652413,A,B,C,A,1
Both,Jewish,China,Veteran,-35.935558626421276,27.97349711510355,-10.902350350226586,C,D,B,A,0
Mental,Other,Mexico,No,14.649488190616461,-162.17832076715405,-232.1454267757475,D,C,C,A,1
Both,Hindu,China,No,-58.39653368807445,-36.50520949284123,-75.80160509641853,E,A,C,B,1
None,Muslim,China,Veteran,-35.348291764314254,-28.723770718734336,-0.05326397564334506,A,D,C,B,0
No,Jewish,Germany,Yes,134.59944194320425,-20.81804676888704,42.68977024302178,C,A,C,B,1
None,Other,US,Non-Veteran,-94.22091162227464,-130.23378635687754,159.84679089219685,B,E,D,D,1
Yes,Muslim,US,Veteran,86.00074174342764,-85.94795179170816,-61.201203587683864,E,A,A,D,0
Yes,Other,Germany,Non-Veteran,-285.08397467588725,-10.539101310764796,-45.90737436215405,A,D,D,D,1
No,Other,Brazil,Veteran,61.09729757728223,-189.20068771390282,-49.07856350092227,B,E,A,A,1
Yes,Other,India,No,97.80608438208472,43.20515335223226,-4.558832799325682,B,D,A,B,1
Yes,Buddhist,US,No,37.394453084493726,-111.04478706886087,-118.57796802672485,B,A,D,D,0
Physical,Hindu,Germany,No,-26.601598248870566,85.35810896428615,-15.915599282422392,B,C,A,C,0
Mental,Muslim,Other,No,-44.9560435939657,138.3487922899636,-27.68736077562608,D,A,D,E,0
Physical,Jewish,UK,Yes,139.48329117031932,23.242887694934108,79.26173560802916,E,E,D,B,1
No,Muslim,Other,Veteran,-8.571652930548881,-42.175923664947305,-100.91065434193918,C,B,A,C,0
Physical,Jewish,China,Non-Veteran,-47.49014326544992,28.14442397770186,-137.76781389141473,E,E,A,A,0
Mental,Other,UK,No,85.58971535596106,3.123420510684895,-29.57738645346965,C,B,D,B,1
No,None,UK,Veteran,13.49613666113556,134.82058632148326,-85.53110801995784,E,C,C,A,0
Yes,Hindu,Mexico,Veteran,-5.1908226306951395,65.33250411162027,120.7716753193893,C,C,C,D,1
Mental,Jewish,Brazil,No,-6.022316832381174,83.89114783248365,25.796949244723717,A,A,B,B,0
Mental,None,China,Non-Veteran,-102.72754381506914,16.41147167007332,83.88977153207232,E,A,C,C,1
Both,Other,India,Non-Veteran,-18.579278046765946,-48.66415444697977,-81.91274564089991,E,B,A,E,0
Physical,Jewish,UK,Yes,132.35754500027562,-132.95796324678133,72.48424416593852,D,D,B,E,0
No,Jewish,Germany,No,0.2569805083610227,-37.0075876066027,0.6024257225043846,C,D,D,A,0
Physical,Christian,Other,Yes,128.88479037082462,-129.33990441585328,49.15989335937772,D,C,B,D,0
Physical,None,Other,No,80.2819476915036,105.67792803920419,-37.554438425737445,B,A,C,C,0
None,Muslim,India,Yes,34.17223217437034,-131.4715516679895,71.0333775865021,A,E,C,C,0
Mental,Buddhist,Other,Yes,-83.41430139299388,118.11689701924264,38.84016050080808,B,E,B,E,1
Mental,Buddhist,Other,Non-Veteran,92.27918839191217,-53.64275188780506,220.58016779853068,D,A,B,E,0
No,Hindu,China,No,78.06141954995111,90.53973414559067,83.469181205443,B,E,A,C,1
Physical,Hindu,UK,Non-Veteran,71.28009510134426,135.3868969966589,8.12715024352952,A,B,A,D,0
Physical,Jewish,India,Yes,-133.4812883483821,324.09265713316483,66.89553217435144,D,C,A,D,1
None,Other,Brazil,Yes,73.78475786477279,-162.75490216927685,104.12581204516044,E,E,D,C,1
Both,Muslim,UK,No,98.68670229411511,-56.4642567906149,-9.035226321162702,C,B,E,E,0
Mental,Other,UK,Veteran,113.41263356370189,-18.792732278614654,-222.36963824599215,E,C,D,E,0
Mental,Jewish,Brazil,No,17.026752177874087,-66.19453625071799,-60.51002842742087,D,C,C,B,1
None,Christian,Brazil,Yes,21.138626749761734,-74.83156258032048,-126.84928032533129,E,C,E,D,1
Physical,Hindu,Brazil,Yes,-52.67344370410999,-69.08759759332031,-150.94434519370387,E,C,D,C,0
Physical,None,India,Non-Veteran,113.51745919527853,41.15534598954053,-55.87621597359814,B,A,C,A,0
Both,None,India,Veteran,-74.89063902909375,-84.4765160464378,-52.2481712696501,C,D,E,A,0
Physical,Buddhist,Mexico,No,114.03987360417014,-113.26663446202964,-67.65513964186299,E,D,C,D,1
None,None,Mexico,Yes,-83.8252887729722,217.99797862273294,-23.762372591508903,C,E,E,A,0
None,Christian,Mexico,Yes,129.1308787585923,-112.86868416894451,27.363255060426507,A,D,C,C,0
Yes,Buddhist,Other,Yes,-103.67594236216975,-170.46774732439928,156.1727530530435,A,E,B,C,1
Physical,Christian,UK,Non-Veteran,189.79017136321374,26.498266731657804,125.14710987061596,B,A,A,A,0
Yes,None,Germany,Non-Veteran,-28.732367924528546,97.78011093733983,-50.920101457928865,E,D,B,B,1
Both,Hindu,India,Veteran,187.42587959168466,14.159652750056354,-214.5447912631874,A,C,E,C,0
Physical,Other,Mexico,Yes,179.44158448569434,79.08884393591727,101.49842340878928,D,B,C,D,0
Yes,Other,Germany,Non-Veteran,0.24114325311793017,-86.00223961368467,25.9574728701157,B,B,C,E,0
Physical,Christian,Mexico,No,88.97922412580364,86.7778786889527,44.72032554313217,A,A,D,E,1
None,Muslim,Mexico,No,6.2638867745581415,-135.28120872653616,23.434756727053756,C,C,B,C,0
Both,Buddhist,Mexico,No,-23.94118972295533,-96.80688851216772,-34.90502581094428,C,A,E,B,1
No,Other,US,Yes,-48.4929133612164,90.19619293209222,-180.39633804072503,A,D,A,C,0
Yes,Jewish,US,No,96.94720292822043,-26.840203493101107,156.37526904532567,E,A,E,C,0
None,Jewish,Germany,Veteran,-162.26951730880984,195.8863336141848,71.33639423123093,A,E,D,E,0
No,None,Mexico,Non-Veteran,-85.56396548515507,150.39750028351594,18.479480912100374,E,A,B,A,1
Yes,Jewish,UK,Non-Veteran,-19.268880526711012,162.5694774843948,-24.453513073847944,E,E,C,B,0
None,Muslim,Germany,Non-Veteran,-51.9920573403442,0.03312494003311461,-91.17865941642718,B,C,C,E,1
None,Other,Brazil,Non-Veteran,82.82792152632109,-92.92136607746603,11.756429732906554,C,C,C,A,1
Mental,Muslim,US,Non-Veteran,63.29995080170815,-46.71015142088508,75.92726362040277,E,E,B,D,0
Physical,Jewish,India,Non-Veteran,-9.64715351025847,153.95157284945276,55.90693268480202,C,C,A,D,1
Yes,Hindu,UK,Non-Veteran,-49.39845643602456,-39.96686393677772,21.75105051831501,A,E,C,A,1
Physical,Buddhist,Germany,No,-52.31789657852908,-83.55540429499106,-173.7156218879977,B,B,C,A,0
None,Buddhist,India,Non-Veteran,74.92131766666516,30.503222470714924,-97.11491345644008,A,E,D,C,0
None,Other,UK,Veteran,-49.93122241231715,5.0372242374555265,30.361665601364667,E,D,B,D,1
Physical,Muslim,UK,Veteran,70.95768398966125,-6.649729573863936,47.95409800049685,B,B,E,E,1
Physical,Other,US,No,-67.99018149463903,61.33239272812602,26.287014846197838,D,A,B,A,0
No,Other,Mexico,Yes,43.7525569700154,-55.62028091699213,76.03380802436294,D,D,E,B,0
Physical,None,Other,Yes,10.712970257205152,-23.412350237193934,-207.89516069224425,A,C,B,A,0
No,None,UK,Non-Veteran,80.72568390787275,-125.21260035770767,-42.19610871629904,E,B,C,E,1
Both,Jewish,China,Yes,-9.012725573821537,-96.03718445308293,-46.97407295502056,B,D,D,E,0
Both,Other,China,No,-75.51752460919703,36.628077343263655,-26.225432035458212,D,B,B,E,1
Both,Jewish,UK,Yes,42.286762255840216,-16.727216813266473,-40.3458915849418,A,D,D,A,1
Physical,Jewish,Mexico,No,17.071793898990936,-56.51297269515489,-224.39352454018055,C,C,C,E,0
Yes,Buddhist,Brazil,Non-Veteran,35.50992786490652,1.308973180025959,8.255809436292031,C,C,E,A,0
No,Muslim,India,Veteran,-35.71743510987843,-116.06694759437947,-242.44074471407893,E,A,C,A,1
No,Jewish,US,No,220.2652401614027,42.999703605891014,15.383888845837335,D,D,B,A,1
Both,None,US,Non-Veteran,94.40023425599755,94.34589632924273,-37.400368936321456,D,C,E,E,0
No,Christian,Brazil,No,138.6730542602078,69.65837339313956,-169.6774584006851,A,A,E,C,0
Mental,Other,UK,Veteran,-80.90050108155886,6.620645269656198,59.72951839448015,C,A,C,E,0
No,Buddhist,Brazil,Yes,-220.10255012753444,-43.9673319522595,42.6216757310611,D,D,A,E,0
Physical,Christian,Mexico,Veteran,-124.00652934637971,-115.40980619417114,89.03953721208515,E,E,B,A,1
Yes,Buddhist,UK,Non-Veteran,116.08057886614147,20.055821743097805,27.020981193687255,C,B,B,D,0
Yes,Other,Germany,Veteran,125.19938146125118,-63.32710109470639,30.34671370775564,B,E,E,E,0
No,Christian,Germany,Yes,88.71072065827755,150.45277462633914,-78.2019374522913,A,C,E,C,0
Physical,Muslim,Mexico,Yes,92.16418002694991,68.06280188754779,-33.07295344390449,C,A,C,C,1
Yes,Other,Mexico,Non-Veteran,-141.6651840487074,-75.47750830062449,53.341470049486986,D,B,D,B,1
Mental,Buddhist,UK,Non-Veteran,42.80196108107286,-58.92580852087287,153.3550229863647,A,C,A,E,1
Physical,Other,Brazil,No,57.90474686508894,98.80054942237057,100.10826244952563,B,C,D,A,1
Yes,Other,Other,No,49.597993567818335,162.4697131308044,-31.339622818147518,D,D,A,A,1
Physical,Hindu,UK,Yes,98.61758701467346,-1.6226010866872378,-137.55568189738733,B,B,C,D,0
Mental,Buddhist,Other,Veteran,18.1627474960748,-33.81087600555396,-7.762037166745511,C,C,B,B,1
None,None,India,No,-45.612633284493114,-54.942166691346195,77.61921455884556,A,B,B,A,0
Physical,Christian,China,No,-51.66151358939275,-16.09166202920613,-62.17102674727213,A,D,C,D,0
Both,Other,Germany,No,70.13966464941973,-42.57268801075404,-93.208746436515,A,E,B,E,1
No,Muslim,UK,Non-Veteran,37.654098580593626,153.10619498344002,-106.77454391234538,E,E,A,A,0
Yes,Muslim,UK,Veteran,24.83453201928929,238.45685448983542,77.38134373459248,A,E,A,A,1
Mental,Other,India,Yes,-115.23702390579177,76.83209570367919,-99.99631391664936,B,E,A,A,0
Physical,Other,Germany,Non-Veteran,69.69553485728704,68.76450412782496,-146.6900189944854,E,A,D,B,1
Physical,Muslim,India,No,-47.27842995333316,6.8145359639105285,-25.996940638843196,C,D,C,A,0
Mental,Hindu,China,Yes,-4.6701266239551495,19.685780086729405,74.21375246817273,B,D,A,E,0
No,None,India,Veteran,-89.50305020192143,-3.3029763237485597,-267.0459667880618,D,A,A,A,1
Both,Muslim,India,Non-Veteran,174.73340020785795,40.27854752874461,176.1720724825038,D,C,B,D,0
Mental,Christian,Other,Yes,48.577764002235625,-177.79556575877476,46.713473817930705,D,A,E,B,1
Yes,None,US,Yes,-8.90516197035597,22.684924093889055,146.5809325650587,B,B,B,E,0
None,None,UK,Non-Veteran,-158.2251501534452,27.114115938222472,-264.77645517733646,B,B,A,B,0
No,Other,Brazil,No,90.78938040631728,-2.732996476935504,6.875568491622998,E,C,A,A,0
No,Muslim,UK,Veteran,-17.53238720427052,201.21071330677194,127.02528209606922,E,A,B,D,0
No,Muslim,Other,No,-9.273016178353789,85.30366550928746,5.119877844281839,C,C,E,B,1
None,Buddhist,Germany,Veteran,25.97809007972844,35.9334743289687,-74.69613956359662,A,B,E,C,1
Yes,Buddhist,UK,Veteran,89.79320419123876,52.0275846973299,-26.173706602639424,A,B,D,A,0
Yes,Jewish,India,Non-Veteran,-8.188387612894527,-151.22139016795535,46.50733117087488,C,E,B,B,1
Mental,Buddhist,Other,No,42.83728521905264,-43.885185981096264,97.99348543062915,B,C,E,E,1
Yes,Hindu,US,Non-Veteran,230.60692471856146,-50.764078124420095,27.157273187722737,E,B,B,E,0
None,Buddhist,US,Veteran,38.74811534486445,-37.130256859389384,67.06593145995643,B,A,E,D,1
Both,Muslim,UK,No,-233.3546374622988,92.21522101272024,12.014125391535769,A,B,A,B,0
Both,Christian,Germany,No,24.20662747490724,45.17832352710439,196.09108300433525,E,E,A,E,1
Mental,Muslim,Germany,Veteran,14.14855078701261,23.49429378264433,-14.49391645362352,D,A,A,A,0
Both,Jewish,India,Veteran,89.31139256270694,48.23637640129429,73.7835789716934,B,B,A,B,1
Mental,Hindu,US,Veteran,-19.036458769938452,62.29874129732785,121.44785541963785,C,C,E,C,1
No,Muslim,China,No,-6.603537231331008,118.52444363640726,-103.02866633456969,B,E,D,E,1
Physical,Jewish,UK,Non-Veteran,104.4261290500676,-125.95358308064999,-58.80906049504577,D,D,E,D,1
No,Other,UK,No,-88.62415745584788,-75.15590650575356,130.05565426941004,B,E,C,C,1
Yes,Christian,UK,Veteran,-37.17160822662414,-125.4233400583872,46.574250523496204,C,B,D,D,0
No,Other,UK,Non-Veteran,12.455879325236385,-14.71574735016595,52.054015294873736,C,C,C,E,0
Yes,Hindu,China,Yes,-21.37378112518144,-123.72088192453975,-26.650103754535582,E,C,E,D,1
Physical,Hindu,India,Non-Veteran,-71.23551901937425,43.77971023326438,113.13329599756597,B,A,C,B,1
No,Muslim,Germany,Veteran,-81.11379057765375,-19.64866535897739,-98.96270771914605,D,D,A,E,1
Yes,Buddhist,China,Yes,-156.89300479560669,29.171239368193085,85.90782302637109,D,B,C,D,0
None,None,Brazil,Non-Veteran,-18.70787744861015,-48.07035208793224,117.58607400948497,E,B,D,A,1
No,Other,Other,Yes,-118.83310942593141,12.363697127869736,-113.13814401580022,E,C,B,B,0
Mental,Buddhist,Other,Yes,70.29593400398988,-81.05684288242058,-69.39161411111654,B,A,D,E,0
Both,Muslim,Mexico,No,40.471542907090644,-74.89242091445819,42.79752192541833,C,B,D,E,1
No,None,China,No,-116.35910411173991,-101.0186150337971,26.412831767034422,A,D,E,C,1
Mental,Muslim,India,No,24.554951567081538,-71.10488146826073,-103.78782842920451,D,A,B,D,0
None,Buddhist,Other,Non-Veteran,30.603194653062527,-26.0151404546218,-123.16875123010536,D,A,C,A,0
Mental,Other,Mexico,No,50.526198521575175,69.21883156165084,-46.00092313395119,D,E,B,E,0
None,None,Germany,Yes,90.0556443209987,283.5024426010326,16.588983677585666,A,B,C,D,1
No,Christian,Germany,Yes,-2.737931212092416,24.014586752632788,-115.15185209575766,C,D,D,A,0
Mental,Christian,UK,No,49.04497610701382,-6.026191244695452,137.0347073351379,C,E,A,B,1
None,Jewish,Brazil,Veteran,154.5611741164884,59.20509730591827,-18.5546828831134,A,B,B,A,1
No,Christian,US,No,-48.657322916569605,-142.48380550656142,13.053100191844822,D,E,C,C,0
Both,None,Other,Non-Veteran,5.921513661916093,69.21789087836714,-113.41807808508024,C,B,E,A,0
None,Other,UK,No,16.736505892637656,-16.47376583750107,-4.451935736806451,E,C,B,E,0
Physical,Jewish,India,Veteran,-67.6048109331464,2.6338100873629857,122.05763855763756,D,C,E,E,1
No,None,China,Veteran,32.99299207042258,13.037139785042335,-133.3168022281424,E,D,C,B,0
None,Hindu,Brazil,Non-Veteran,-89.90569238264302,7.968679343024649,-92.82584401046223,E,E,C,E,1
Yes,Jewish,India,Non-Veteran,41.088368290800034,-22.724813579318464,-153.0093371893583,A,E,E,D,1
Physical,Muslim,Other,No,-46.84740066145997,112.82889832770306,-79.71680427733968,E,D,A,B,0
Yes,Christian,Brazil,No,-65.42686042547973,16.875093082912727,82.35793003847981,D,A,E,B,1
Both,Muslim,Mexico,Non-Veteran,106.50510778386446,91.2433723365072,9.968218610439799,B,B,C,E,0
Yes,Buddhist,India,Non-Veteran,21.764234732387006,240.06171049234092,-49.35159569359515,A,C,C,C,0
Physical,Buddhist,China,Yes,-161.64337706276862,-203.64345546290568,-266.42081866861906,A,C,A,C,0
Yes,Muslim,UK,Veteran,-99.94205181363886,47.44543204079905,109.966045166067,D,E,B,E,0
Both,Buddhist,Brazil,Yes,-30.4904950108299,-26.20816506810071,-17.11485830186596,E,D,E,C,1
Yes,Other,Mexico,Yes,-5.53309301411554,99.17716266341424,-44.43348534665251,C,A,D,A,1
Yes,Muslim,UK,Veteran,-3.197559211252552,197.6665990188792,-160.92572450157766,D,A,B,E,0
Both,Other,Mexico,Veteran,109.70263472804103,-171.52064750754187,25.29341395013463,C,D,A,B,1
No,None,US,Veteran,-47.20890919519461,-52.15230312016161,16.32434090103822,E,D,E,A,1
Both,Other,Brazil,Non-Veteran,27.508099539713587,-47.98642356135368,-16.47560096530269,A,B,B,C,0
Mental,Muslim,India,Yes,-29.711497682668035,-130.6786489410343,-45.27457542863136,A,A,A,C,1
Both,Hindu,Germany,No,112.30534816275475,222.81332278736195,-69.35695068289472,E,E,C,B,1
Both,Other,China,Yes,-38.556239721375604,92.17143597379933,136.1706646516167,B,C,B,D,0
Mental,Jewish,Other,Yes,73.36488901972574,279.4098312444185,-85.5349436598352,C,D,A,E,0
Physical,Other,Germany,Non-Veteran,-57.83937115574721,-6.014703218711177,-14.785840946657084,D,B,A,D,0
Mental,Hindu,Germany,No,2.2251236831220753,-89.78835311624384,-149.93088450780817,C,A,B,B,0
Mental,None,UK,No,174.42359696974043,3.9454108348979755,-63.631179924319945,D,E,D,D,0
Physical,Christian,India,Yes,-29.24524860841447,-127.16126440335442,-152.91779369544324,E,A,C,B,0
Mental,Buddhist,Mexico,Non-Veteran,8.204145977785068,31.912386569141255,78.3688038931978,C,E,A,A,1
No,Christian,China,Veteran,-113.96648207670654,-40.90437417784936,146.0617500503258,C,B,A,D,0
Yes,Christian,Brazil,Veteran,40.57845361106468,-19.987746912885342,9.792582056577555,C,C,A,E,1
