genero,religious_affiliation,country,married,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
F,Other,UK,Divorced,A,53.84129967066704,-185.67359798957938,67.8852389747548,E,7.079504925345725,B,A,163.17567843046947,117.71024329656028,0
M,None,Mexico,Divorced,B,-83.013438896435,-165.31797322318954,123.76888384881217,C,212.0820436441787,E,B,71.53438209984246,83.65134205170597,0
Other,Jewish,US,Married,B,-112.8791909041012,-94.60715256458859,-85.57010420154751,D,-44.246477649217084,D,B,-38.78293518522805,-127.0328654267681,0
Non-binary,Buddhist,US,Single,D,-17.044684907753744,-177.5358090469341,2.688694313789252,C,-70.69038159481752,D,E,8.960484758635495,-27.164428972435033,1
Female,Muslim,Brazil,Divorced,D,249.90096447618365,25.550643655838634,38.2299143269206,B,15.602213697697968,E,A,-45.435438335430675,-1.7988812361341633,0
Female,Christian,China,Widowed,E,133.89853954634057,-45.777693438114156,90.31870056223953,E,157.44123198982925,E,B,3.1832803767886593,99.44806956772202,0
F,Christian,India,Widowed,C,71.10303239267792,-81.25497059479058,-71.88954285703892,B,63.16891866709102,D,A,288.0819701472617,-77.66742053821906,0
F,Jewish,Brazil,Divorced,D,153.46408612089323,-4.501043249846077,65.57378763404277,A,-141.9968627263014,D,D,136.5619246275485,71.19352740648506,1
M,Muslim,Mexico,Divorced,A,87.58625539607927,63.10209009191482,101.64471279757608,D,27.13396637825451,D,C,26.38728244400914,-7.010129153411477,1
Non-binary,Christian,Brazil,Single,D,93.61860840778343,109.73326180934026,112.06371177292031,C,-230.03467447308367,E,A,-67.84420074649566,-45.351403794979824,1
F,Muslim,Mexico,Single,A,-94.05580608744232,3.5255973932544364,-223.275579220884,E,69.12195894941145,B,C,-150.33295220764694,-95.92205623725299,0
Non-binary,None,China,Divorced,C,-107.24700429413436,66.60689518551735,232.00589694287223,A,-57.58187844712196,C,E,131.2951705129257,53.35363132541418,0
M,Muslim,Mexico,Divorced,A,70.7439467940553,140.88137614675856,144.60898687546762,B,13.00843958116505,A,B,-142.74288126978038,24.02415234977844,1
Female,Muslim,Brazil,Divorced,D,-199.72172440020694,-16.425645557173645,-104.71343322663967,D,54.63978438014111,B,D,-170.2299827680319,-68.51159798100971,1
M,Hindu,Germany,Single,B,-105.00353717743161,-126.6683109443349,-163.67774924363175,B,-13.247212386216276,A,E,68.95814214147646,36.71468980124018,0
Non-binary,Buddhist,Germany,Married,E,-108.4287364009756,74.58946425573049,126.05413120074971,B,-119.77601906459323,C,C,-104.45774472482996,91.54949858015021,1
F,None,Mexico,Divorced,E,-1.6828961103296185,54.86563334450692,18.7522231681857,B,18.4807439437108,A,A,173.59598999265646,-49.741613858099,1
M,None,UK,Married,C,-6.387594275060546,-219.18190225260417,84.78932270918145,E,-13.855839034730089,B,B,-117.3827695398139,-21.605932101082363,0
Non-binary,Other,Brazil,Divorced,C,-165.41664708021452,92.44000789544963,-78.13868188233084,A,-213.90841821870038,D,E,-42.82053538444162,241.51192949473975,0
Female,None,India,Married,C,28.131164012064257,183.33086219880084,148.37784396398814,A,29.176765121894764,A,E,-19.85641499588314,69.55095785428264,0
Female,Muslim,China,Widowed,B,-8.56927782573999,-80.9028822619154,21.964210425925902,C,-117.18867434714883,E,E,30.24986057848245,-23.76890589622065,0
M,Other,UK,Single,E,93.61939626041368,-74.47535954772498,-30.288409923835108,E,-54.65030913679547,A,C,33.24312541670725,-284.95733871447743,0
Female,Hindu,UK,Divorced,C,72.65340307657246,32.41277451181658,85.37416799086704,D,-147.68672924166032,B,B,-60.252285698016465,-34.978945519418495,0
Male,Jewish,Germany,Single,A,78.65326184046094,88.44996583031046,52.19020955789584,C,70.06048623698932,B,E,-53.53755405680833,64.32442882202368,1
M,None,China,Widowed,B,56.48476205641256,-115.76874568894509,-6.1402794334939355,E,131.12322763142862,C,A,-102.71912341478351,-93.45263984263354,0
M,Hindu,China,Married,A,-131.6792652438338,100.93131411710772,-172.9261947530991,C,-40.777787824810545,A,A,65.56692065105626,-46.68183337869933,1
Male,Muslim,China,Single,B,-87.51214607099726,137.1077690170495,8.761148456987979,C,77.11309509640353,A,A,10.15842231758423,-10.18584948291781,0
Other,Muslim,China,Widowed,E,-148.4735954614258,135.66744848185573,-136.64806641067818,C,-133.15796567565278,A,C,-143.8882146381533,-21.327040675532253,0
Non-binary,Muslim,Brazil,Widowed,A,-133.4209717162387,-105.72847683489937,-2.459396817193794,C,-51.766447474318376,B,E,208.79074954289342,-23.39702017914217,0
Male,Other,Mexico,Divorced,A,80.28785417717236,-79.03551264199717,74.61077006519837,B,160.34910316541888,A,A,-69.34354296190699,89.70454745094645,1
F,Hindu,India,Widowed,E,75.87698044624373,-255.15208753637256,-140.2812917547586,D,-106.73229753232962,D,E,-105.33373005365804,-80.16561443180584,0
Female,Christian,India,Divorced,E,190.78268532581103,36.655525274104725,-164.19159032155196,E,7.76587047261748,E,D,-14.890730424725232,161.8115148366656,1
Female,Christian,China,Divorced,E,124.0777198721905,92.6262362289404,-34.15739026370987,C,-3.3159642048991964,B,D,-55.41686409209864,10.08327170755664,0
Male,Other,Mexico,Married,C,294.81613823304286,20.09000580679672,100.4277735831753,B,-58.72030154585085,B,A,-24.716616282463033,-35.20594307143291,1
Male,None,Other,Married,D,-74.71250766054108,-6.3712882608343735,63.60378590357848,C,-49.68466149989013,C,E,53.905160477850565,26.69624484270003,1
Male,Christian,India,Divorced,E,-88.10306205014871,41.96575262982529,-162.65930910911027,B,-44.1235724361497,A,D,-42.949640926050634,-142.8867768288231,1
Female,Christian,Other,Single,E,31.438261712325627,125.28971680505705,51.1520372420666,E,-11.82758128898124,D,C,29.20326825270234,157.9513260469164,1
Non-binary,Hindu,India,Widowed,C,-7.9313630722981445,42.59103041375022,128.7112048065522,E,-105.32489067402028,A,C,-13.636796715142907,-118.34866649839562,1
Other,Muslim,China,Widowed,E,-26.502335762094877,18.68665884152255,-38.274341183677414,E,166.77656251688623,A,D,27.49462681566216,105.72291002010434,1
Non-binary,None,UK,Single,B,-56.01437937989909,22.76628412814997,51.44222780105404,B,-78.3854523879102,C,A,-122.19314913366273,-105.68064245556208,1
Male,Buddhist,India,Divorced,D,27.17556552573263,-95.92238345140274,-85.54673393794228,D,43.488507322474725,E,E,-28.14964349482354,23.392379834176932,0
Male,Other,India,Married,E,-136.8230484234005,153.5708715864323,-76.59467114122903,A,67.78271903849779,B,E,-92.85831769941284,-21.631634117462653,1
M,Other,UK,Widowed,A,168.0644236398861,13.9548342999464,-64.33067946508825,E,81.90746699104527,C,A,-78.94553428940773,201.28670138116522,1
M,None,US,Married,B,187.66863843387605,-131.8034493874576,-118.6797271968165,E,29.946277096099333,E,D,275.6366837023273,159.78940006085,0
Non-binary,Other,China,Divorced,A,38.64205001537713,-79.06700222452602,-45.33956329135037,B,157.16685243549628,B,A,39.011763727734774,-10.415165306202988,0
Non-binary,Hindu,Brazil,Widowed,C,-140.79931708292466,12.62495886098986,62.2549049306269,A,338.97507633587355,A,E,91.51376568166162,79.06973293035651,1
F,Hindu,Other,Widowed,D,-181.30216388208174,203.5287963009433,-46.454999089934205,C,-173.7593688183492,C,C,-1.8182627022653453,11.746865620917399,1
F,Buddhist,China,Married,D,-11.172315332904404,-107.79353521013553,-36.109836551013416,C,-107.76578017226444,D,C,-243.34062137245613,-65.49811504873328,1
M,Hindu,China,Widowed,C,32.75728471626481,59.881259343842444,-42.892879953291754,D,116.92350957295264,E,E,-22.446701943391474,19.718990887945992,1
Male,Buddhist,Germany,Single,C,4.854032461478016,43.31782201156294,106.5785514152781,E,68.3765669455081,B,A,69.43271752457267,-61.566178586761325,0
Non-binary,Other,US,Widowed,A,-4.148174003111318,-70.80806480839344,89.07758938818515,E,-71.4319161930452,A,B,-144.1588153960255,-21.90527303268844,1
Non-binary,Hindu,Brazil,Divorced,C,-98.55409151733726,-101.72362610977721,-82.30143586598865,C,28.741468237574004,E,B,-89.46962000984637,-126.09586021010175,1
F,None,China,Widowed,C,95.52031821506255,13.163389190977718,150.9549450466825,C,-159.05402536511284,C,E,-28.100812979928737,-31.073974286080603,0
Non-binary,Muslim,Mexico,Divorced,D,108.12980071460811,133.79163045425085,23.599179090792344,A,118.5341982953858,E,B,77.9870015047442,237.25193445240268,0
Male,Muslim,Brazil,Divorced,E,-103.74737757734636,129.07256591194536,1.0485077706894341,C,231.10553064119244,D,D,305.67140138859344,-202.49941816105314,1
Other,Hindu,Other,Married,A,182.18617316741557,-100.06440147579778,101.24646358392695,B,-21.16745112999379,C,A,66.03317482690875,131.9403479756326,0
F,Muslim,Brazil,Widowed,D,34.40823180154324,100.64140667113388,45.93376284027171,E,-9.233465118897808,A,D,-105.12264276304882,-38.28656703401095,1
Female,Muslim,Other,Divorced,D,-33.72797666548203,-273.3428492643473,106.76299891477616,D,-129.58114727652455,A,E,-167.54049990543749,48.545018959758515,1
F,Jewish,UK,Married,B,-30.616015164530086,-133.19529396853028,89.94303473801142,E,-45.08382172208349,A,C,-3.2430967700165327,-85.37947060115549,0
Male,Hindu,UK,Widowed,B,212.92964918879505,114.77129925033185,134.0545076148039,E,18.472534077795434,E,E,184.37842634654345,88.00342441728407,1
M,Jewish,Other,Divorced,B,163.3107467380333,234.55924329871038,0.7967958400571388,D,-109.97262316297733,B,A,-82.49914989451545,82.8796304299834,1
Male,Muslim,India,Married,D,72.67996282889503,92.32929064503872,137.7960269421038,D,114.59036329561523,E,D,67.31097739284328,-102.33864944163781,1
F,Buddhist,India,Divorced,E,134.34306174541294,-23.551588044200713,-98.48026849987127,E,108.59829840827125,D,D,-6.143810901806259,115.76729829237729,1
Female,None,Brazil,Married,D,-11.988656097806146,134.9837925708707,73.10708075143508,A,53.85623832790495,C,C,73.5285552524629,143.25668200037546,1
Other,Christian,India,Divorced,E,-74.19195201915349,-28.294512333754323,-192.15010683398225,E,-56.44376201720115,E,D,-40.88632413280217,35.20504994179324,0
M,Other,Other,Married,A,118.3377393182221,-42.273462382259694,-65.32731439945772,D,67.1036236419653,E,E,53.80967690255548,-134.7622371353919,1
Male,Hindu,Mexico,Married,B,-130.01160915494395,115.44002115413538,29.168816122660512,C,-18.95073779673947,D,E,-53.59505166145012,13.51255259274224,0
Non-binary,Jewish,Other,Divorced,C,66.02315338564378,-110.56035594875648,-150.7260455562475,D,-179.31797567696646,D,D,94.29305531484844,-147.516419792173,0
M,Other,US,Divorced,B,-148.79431032146854,-10.409229449220684,80.92715518204065,C,-73.11094385204521,C,D,104.8100746800455,-129.27068020885125,1
F,Muslim,Other,Divorced,B,14.04903760971381,10.090675723704516,126.05020124758684,A,-101.19409054704387,B,B,-165.34289461777112,-230.790752593267,0
M,Christian,Mexico,Divorced,B,-113.60845236437866,116.81290642915482,-64.09457626120142,C,-166.36427330618503,C,A,-97.08994014089573,157.95602396574125,1
Other,Other,India,Single,C,14.883515667516404,-14.227846061470409,62.283059740498324,E,30.294077342574877,E,E,-112.63394084747569,-111.04906029306952,1
Other,Other,Mexico,Married,B,-30.42314852082319,-79.59331453827627,-3.1905649897225614,C,-135.25241977454783,B,E,-64.2152934584854,-153.06622362537274,1
F,Jewish,Germany,Widowed,E,57.1284039977601,-98.74906165222872,45.39518769117767,C,-13.124930445044134,E,C,-179.92013041953305,-32.72796968966039,0
Male,Hindu,US,Divorced,E,-56.64769164672905,-26.41194770807233,-130.64301118421002,D,-91.66828912887277,A,D,5.486955622896956,113.89059479089565,1
Non-binary,Buddhist,US,Divorced,E,114.10045217973439,53.863454034867,-123.90271716667391,E,-60.806783209268865,D,D,-19.82539206889075,-84.26767365595943,1
Other,Muslim,India,Widowed,C,-40.66586413202201,-136.50641210055733,19.496125818309196,B,-40.59921013553954,D,A,58.93516357912097,71.8756511953065,0
Male,Jewish,Germany,Divorced,B,-45.345812394172,-24.371492544358357,-35.68795549022462,C,38.65666181081922,A,E,189.4829613835572,-82.66085669488461,1
Other,Jewish,Brazil,Widowed,C,-182.9947269159605,-142.69441761445853,250.37979413734112,D,-110.29089842534275,D,B,79.77177572632156,42.94084993760467,1
Male,Buddhist,UK,Married,E,-23.628229778108164,100.76605430786032,-46.324869807277345,E,-111.37391969158989,C,A,-266.20449570177624,73.9175369453197,1
Non-binary,Hindu,Germany,Married,B,43.41412507354386,81.07629938877943,43.372072798274466,C,142.68237466600866,E,C,-35.732721030755194,67.61173464285032,1
M,Buddhist,India,Single,A,40.51539074236966,-218.1991452129493,122.87884483482627,B,151.03019539443488,B,A,-72.80609368728057,-48.38522954531001,0
Other,None,Germany,Married,C,100.83702324694978,57.82123481062944,193.94964920326504,E,-114.4504193597881,C,B,140.3704954919358,123.02920887273329,1
F,Christian,UK,Married,C,-151.86463626887343,-34.5906429460648,150.2200061012131,D,95.82582141672027,D,D,122.00480134564128,-24.952994360427212,1
Other,Hindu,India,Divorced,D,31.011382850008516,17.841811310536226,8.509461277463954,D,-231.7280357001764,A,C,-6.203284081331883,61.492983510870914,1
F,Jewish,Brazil,Widowed,B,-8.187440896786034,34.886117891753294,106.50494485218385,A,-12.861405876910084,E,A,172.89516341481277,-11.935819792885248,1
Female,Other,Brazil,Single,C,-0.6665473435643842,128.1389759760203,-56.83461179602895,A,81.58265024445008,A,D,89.45408373626314,-11.282971050732574,1
Non-binary,Muslim,Other,Married,A,-130.67714242945647,-63.414818050805586,-50.24210226137422,D,-40.08408059190637,D,E,164.8227882101738,97.71854944851476,1
Male,Christian,Other,Divorced,D,-138.38426967606406,-144.45389358323524,121.41130042809363,E,-65.32145732361458,A,C,-60.66952308141709,57.51481706501886,0
Male,Hindu,Other,Single,E,-115.08026063958631,-80.35097716368841,134.49595750111106,C,-4.822659793866117,B,C,-33.19592383508029,158.64746429504513,1
Non-binary,None,Brazil,Widowed,A,96.48492615090856,188.73292371462313,72.35346893766977,E,46.876054964132166,C,A,226.75396090999732,-27.351284082145288,1
F,Christian,US,Divorced,E,-115.47856644438058,-36.92340147576896,-128.4724822967147,E,-124.15637428996955,B,E,-101.47786939182599,49.90023826814639,0
Male,Buddhist,India,Widowed,E,-26.765246901017264,197.6125970869934,-187.25176400528852,E,-91.86980962424921,A,E,-242.48055118083482,-132.91874680948007,0
M,Other,Germany,Divorced,D,-123.24313408514047,-112.11771247307875,-103.26522470251965,E,-151.92332989539625,C,E,-219.89100098720814,-37.21180089239913,1
M,Hindu,Brazil,Married,E,59.49188775973787,-1.2375320599079265,-10.438714067110483,A,84.72784497201043,A,E,204.90845578425697,0.49820326127588455,1
Non-binary,Jewish,China,Divorced,A,24.55244587463669,-4.221043193721767,-27.44362900019275,E,55.77906215172889,B,C,101.65799458673837,54.4394677735381,0
Female,Jewish,Mexico,Married,D,-3.4909551621480817,48.87546612074233,-69.08875865426823,E,15.304478266360771,E,D,33.80882383259723,29.995391231483975,1
Non-binary,Muslim,UK,Divorced,E,-74.9088053891586,-48.304199948326065,-140.3647535763173,C,-42.62572523897271,C,A,39.55445064975102,5.656973498922248,0
Female,Christian,China,Divorced,E,42.465475401588485,-60.44044773117039,-48.393000051332166,C,104.10329665324178,E,D,-230.92847386893703,-171.00040076685363,0
Male,Hindu,Other,Single,C,-119.15153773026115,-25.07609870683403,-100.32439461409433,C,-81.5455807127754,C,C,71.64901132578696,63.83841396631338,1
Male,None,Germany,Single,D,-42.867315295667524,88.40659731308975,49.06048847455709,C,-34.265051801255105,B,D,-31.366502759823934,6.927635180856931,1
Female,Jewish,China,Widowed,E,1.0126161313478936,72.68042561236425,-64.09746889545497,D,-148.2165953541954,E,E,88.71501903016889,6.13849582192938,0
Female,None,India,Divorced,E,150.4744626854935,222.84650631161404,-112.23972623517207,E,34.63472700989503,C,C,25.149999130318236,83.66033967690612,0
F,Other,UK,Single,E,-135.28121513697408,69.54041668833159,-131.4730340073795,D,-39.10393683902787,C,A,-96.89765375187352,50.94476988417049,1
F,Muslim,Mexico,Divorced,B,121.19661923788259,18.13334205508265,72.84336896515403,B,27.79978676339382,E,E,84.76393963970497,64.37620034260732,0
M,Other,Mexico,Single,B,40.744111506485304,-43.00205519227436,168.03981881668273,B,127.74870211285383,E,B,-22.130878111403813,-68.5840215453154,1
Other,Other,Other,Divorced,A,34.50862502977766,-115.81215605779767,-18.079451734704357,E,-233.75871376998822,B,E,-161.34335810767382,82.42752827358166,0
Female,Other,US,Single,E,132.08903808978306,68.74025231406485,-65.71171589589795,A,-183.11010661191824,A,B,62.306687897517534,109.07717156265655,0
Male,Muslim,Brazil,Widowed,A,-179.32412316480318,-29.992130005369628,-70.20579523977128,E,-43.35860786897261,A,A,125.88138757836253,-66.52545488360148,1
F,Buddhist,India,Divorced,A,-16.721276985220253,151.48094503411184,46.10014050196981,E,147.54119336557076,E,C,-104.31250110772217,30.193736517737435,1
Female,Jewish,Other,Widowed,D,-63.55311492763176,191.64044682360293,42.105714690792375,D,-45.23579897983663,B,D,-124.46223988367953,-194.2921290819767,1
Female,Muslim,China,Single,A,97.40068926459597,56.77589487713791,-97.89037589316587,D,-107.24907793928466,B,C,-33.655738219968,141.04527214323187,0
Non-binary,None,Brazil,Single,B,-144.25049382706243,-46.97577887363521,67.40511666294748,A,144.76453949011764,B,C,194.29440808801897,199.80706874479924,1
Other,Muslim,US,Divorced,D,-95.36268581005751,26.16020963601859,-83.35108737680422,E,165.14441329749926,A,D,37.12902350104732,188.36203003306312,1
Non-binary,Christian,US,Married,B,-166.30459701160538,-319.0251344869262,171.25825047512785,E,-219.34337962559073,C,C,173.80788414160918,-63.607222895385895,1
F,Hindu,India,Divorced,C,-75.15537569901912,-15.000274233415176,-74.84293823657411,E,21.642124659211156,B,E,63.54165261653877,8.70496876552853,1
F,Muslim,Mexico,Married,E,32.17408747020629,31.89291854553396,17.426214694407484,C,63.08648065746439,B,A,-106.17771654272896,-95.1796755317741,0
Female,Jewish,Brazil,Single,A,62.25677604978047,78.4759903724223,-23.979532884442513,B,73.19403014642621,D,D,-123.56659746249903,-98.10975321792014,0
Other,Christian,Other,Married,C,91.22970755347573,-88.81485300468998,110.15727268185952,A,197.24108977327057,B,B,-17.856428491252064,-99.2200080794689,0
Non-binary,None,Mexico,Widowed,B,-214.94796390738506,52.818436833069725,-79.61344496751852,D,61.01713823573679,D,E,-49.749509677369495,-77.11748000584669,1
F,Hindu,Brazil,Married,D,108.20708256351683,24.2508644469061,48.02523472205657,E,-9.25577286142186,B,B,5.492033390099959,45.50655978343179,1
Non-binary,Jewish,UK,Widowed,B,101.12184288676318,105.15243017049718,5.606960135202437,B,42.31496262415273,D,E,-178.40490790412937,46.439375786099056,1
M,Buddhist,Germany,Married,A,-50.23529267406025,32.775317577372824,-129.6477713686878,B,-60.101790589224855,B,E,-33.90979967706256,-137.97362044505647,0
Male,Jewish,UK,Widowed,D,182.72588609060355,-91.32669736159565,151.1246403247,E,87.60095351963754,C,D,-54.123272305071815,6.5142304533777295,1
Other,Hindu,Other,Widowed,B,-148.67682290691218,22.349382798598192,-8.254074413218431,D,35.80696226248216,B,A,41.55214038562115,104.19901738661817,0
F,Other,Brazil,Divorced,C,-40.12977836242064,-160.407195113772,89.82092820461345,A,-60.23065871773663,C,D,-104.58584606582507,-41.91847803643974,1
Other,Hindu,Mexico,Single,A,-175.29618216355652,-177.15450717458805,69.36481440034058,D,117.55236224434704,E,D,-185.79782821676497,-13.33926831617881,1
Non-binary,Hindu,US,Widowed,E,-26.492296418577954,-108.40002517006717,-39.037225785945836,C,60.84595337700708,D,C,105.5422604493961,26.961755710010838,0
M,Other,US,Widowed,C,-48.34790207046257,-136.9997520069301,-23.290957193713535,B,101.66349575665139,A,E,-92.63806078420176,33.741307855299254,1
Non-binary,Other,India,Single,E,140.0484549119397,-117.89258440934178,84.0495284504213,B,-86.7208048874097,B,A,83.90569985250171,-5.324329159371079,0
Female,Muslim,Other,Divorced,A,45.41709106447564,114.67564055890911,21.638840178648447,E,71.50706701839354,A,D,-192.0281073048071,-234.49871545818363,1
F,Christian,China,Married,D,-13.911733735891445,113.71451828283784,125.97745286099871,B,-46.126038411688285,B,C,-51.60029130657679,-36.474244557242905,1
Male,Jewish,Mexico,Single,B,-13.032696392183428,-60.64858276425073,-21.471162249314826,A,186.4433262005633,C,B,29.657035520731,54.500540035939494,1
F,Buddhist,Other,Single,B,-52.055634205428504,75.66595166667399,33.049318294725445,C,-52.88463591442461,A,C,-120.40798055732066,92.16422088527294,0
M,Christian,UK,Single,B,96.10262028492275,-77.08820378356216,-36.378315397057214,B,109.56000371544707,B,C,-36.0562067067473,-120.79522472646343,0
F,Jewish,Other,Married,C,-41.190642318664736,-3.0212434303763787,-44.70886415937761,B,-120.6905266330022,D,D,20.718917959284266,91.08014376654071,0
Female,Christian,Other,Married,A,51.217144885324615,161.75187329274866,160.78208069116118,B,21.39088792965309,E,A,11.733829884091396,-30.50393806758615,0
Female,Christian,India,Widowed,C,-81.77864609792319,-52.970477719427834,-38.82818993977613,B,-42.01590310267305,E,A,-58.348523984055504,7.107152382770527,0
Other,Other,Other,Widowed,D,-122.11539377159065,-189.31872343783164,-61.022475427070454,C,88.84713699120405,B,E,-26.155410778461597,-11.451360622891764,0
Female,Christian,India,Widowed,D,-113.74322725960373,38.1790037133808,-173.39869487138236,C,22.454099169060363,A,C,207.253521205879,47.11869060243457,0
Male,Hindu,China,Single,B,7.040248256843787,25.35968452680836,-44.56480605741239,C,125.48648379684133,B,B,113.68729354984835,48.141516314495405,1
Other,Buddhist,India,Married,D,-9.422993104772498,-37.06544840153333,29.83245967495483,A,-151.27328797001124,D,E,39.70146582589453,137.73644286385624,1
Male,Jewish,UK,Divorced,A,-50.64560589592867,54.18013480154751,-83.27003063865997,D,86.83859226378985,D,E,27.203942605134262,-31.945177627613635,0
Female,Christian,UK,Married,D,-13.77170556387139,47.01789218445674,-132.41691334754844,E,47.667766904602956,A,E,-53.80252572097734,-83.04901168618288,0
Non-binary,None,China,Divorced,E,78.09088250929925,-50.38819153862806,193.90917917288266,E,27.11490145237413,D,A,-178.99682714846787,-110.94515951264646,0
Non-binary,Hindu,China,Widowed,D,-163.52725175727684,-106.83400074213647,-22.149178071577264,A,47.07440128619865,B,C,44.56649729524207,-116.77846927628612,0
F,Jewish,UK,Single,D,75.20289794724059,10.84376403996314,84.36733814320083,A,4.456412287981026,C,B,97.27046957264271,-125.36637609237155,0
M,None,US,Married,B,-17.1767703893204,19.40082427427261,-69.63448435720233,D,52.878432696757535,B,E,85.00131841141689,-117.86375963522315,0
Male,Christian,Mexico,Married,C,-66.34211056151811,1.9086001602198417,-26.106887839065102,E,-65.37407973904877,B,C,28.034655639181477,-78.4578723554854,0
Male,Christian,Germany,Widowed,E,-45.36059541751453,-141.43571094703523,34.30297978836393,D,-106.06484697613648,E,B,83.0468867775046,51.37167408056632,0
F,Muslim,Germany,Single,D,-143.02910548483368,-149.2213544409267,-110.6569225972428,C,37.72444944638186,A,A,-108.3897731818595,-87.56069049283767,1
Non-binary,Other,Germany,Widowed,A,-46.18459194126758,129.6931345709559,-70.48224437852778,A,115.66170249118176,A,A,156.9775799499189,-1.6643813005343222,1
Male,Buddhist,China,Widowed,D,176.71852272957042,32.966761042889566,-28.93717230951823,E,92.76968989359419,C,B,162.54773200181899,-51.050095773466495,1
Other,Other,China,Divorced,E,182.31048242331124,-26.267384214163954,81.6210344297837,D,-93.34281132005079,E,E,101.02954832065552,100.3343898500359,0
M,Christian,China,Widowed,C,-161.07798061011266,111.5701119452736,-107.04388156720563,A,39.75332937991677,D,B,-271.9105158044638,-126.3337456158456,0
M,Hindu,UK,Married,B,219.5151275688515,-103.35105803105114,37.457100241361,E,194.42919005365644,E,A,-50.52559505301465,27.82968331353256,1
Female,Christian,Other,Single,E,-50.162819193917976,118.81349245373104,-64.22461438918138,C,24.602383544628573,B,E,-93.88637273005041,84.03574765936833,0
F,Buddhist,Other,Widowed,C,83.38449726318836,-189.94893372975403,-26.79717055113352,A,74.17459119088457,C,B,-53.06516317988106,-7.918532582230006,0
Non-binary,None,Brazil,Single,D,-30.104538674185292,-181.1890631083251,184.4813943046851,B,114.9792634379698,D,D,-39.79589291681119,155.580801958336,0
Female,Hindu,Mexico,Married,D,101.90784841258889,71.35507546867068,-19.801635513379694,D,-63.72771915326242,D,D,48.69651255133575,75.33893485591493,0
Other,Buddhist,US,Married,C,-85.47105130372057,-17.92130136960511,125.77432314883026,C,-8.15178734500974,E,C,217.76400015581015,-6.709095299921847,0
Non-binary,None,Mexico,Divorced,B,-176.1609658049308,0.6862966218810815,-66.59363917152021,A,-122.77482080847402,E,C,-29.717061199703092,80.3744778564718,0
M,Buddhist,US,Widowed,A,-62.234301824123584,80.12076156107017,4.671272880377045,D,-1.8788289758131005,C,D,214.46570314589576,-101.71126671684654,0
Other,Hindu,Brazil,Widowed,B,-65.93122651433505,-82.02299038450337,-37.72768495910855,A,-82.15940522238257,C,C,-54.557451465362206,-22.600101242674857,0
F,Muslim,Brazil,Divorced,A,14.876996031689615,-140.8524623721923,-79.6047785886323,D,108.84147702511436,B,D,-158.102227661013,241.53312629299637,0
Non-binary,Christian,India,Divorced,B,-107.09926937665936,69.73894494143005,-170.60305916423172,E,-19.05568930617097,A,B,-90.82364599078896,23.27617013861611,0
Non-binary,Christian,China,Single,C,-158.0095011455336,102.59174271023473,94.91903624103995,D,50.85733180636941,E,C,-48.024379548716944,182.1704564964531,0
Male,Hindu,Brazil,Single,D,85.81394295452485,-14.999746498774623,85.00271382253007,D,54.64537883011806,D,A,-75.87152589499766,125.95133410407622,0
Female,Muslim,Other,Divorced,D,188.32706439357872,-121.05748152340483,45.25636780393545,C,42.759233227670364,B,A,32.69522103254677,122.46424963854894,0
Other,Muslim,Other,Divorced,C,-36.00644056934155,-53.00475832746201,-8.825336880665628,A,79.27081693432706,B,A,74.0866830872385,-82.45437509947283,0
Other,Hindu,Brazil,Widowed,B,45.75851423264927,-32.51915587040396,-146.78144917560914,C,-180.29611599254935,C,A,265.8831156855211,-108.3896176594759,1
Non-binary,Christian,India,Married,B,-64.6358710832054,-141.758332933729,-33.08050627522198,A,-90.6069553414502,C,E,110.49419397593331,-135.04549688547908,1
Other,Other,India,Divorced,A,-65.81810120632173,100.93251981101554,27.857206145426645,B,139.11768805357516,D,E,-31.647865707946384,-21.693033304336446,0
Male,Muslim,US,Single,C,-80.97752523692088,-96.93080708116314,-4.701933669163971,E,-126.48430920365759,A,A,-26.494198484063304,14.267750921955564,0
Other,Jewish,Mexico,Single,C,80.81888129527731,-111.61361582393087,-120.05935704464041,B,-77.42333453273193,D,A,22.72899262934573,-47.00078200483516,1
Male,Buddhist,Brazil,Divorced,A,180.376435285319,81.3096308856179,62.97865257113027,C,123.44128876863442,E,D,-123.59821002915675,-105.33749257662875,1
Other,Muslim,Germany,Single,A,7.340258046126674,160.9784135362343,120.16510641664009,D,77.69531895782725,C,B,129.81394056496444,-253.89124272273608,1
F,Hindu,China,Married,B,-210.5173414812594,-73.921710522533,31.113286155197827,D,108.68348476846413,C,C,113.85811925122384,-226.66449958879417,1
F,Muslim,Germany,Divorced,E,-6.491506920302975,26.10834569066205,232.41705826251916,B,-19.863224980323828,D,D,-2.6668765412253896,-22.6370701717302,0
Non-binary,Hindu,China,Married,E,-227.27595770451052,100.57250988466073,-163.60331266910856,C,-67.20707286573258,A,E,94.71722254362616,-12.548810984380715,1
Other,Buddhist,US,Single,B,28.252139558992816,-100.24634452753473,-53.630354259816656,C,51.923939115095166,B,E,-121.87801763439032,-120.85396016566241,0
M,Hindu,Germany,Widowed,E,36.85319142076835,-145.88498842446637,-85.673884896783,D,49.22400659920769,B,D,52.99004073525585,77.59554809316235,0
Female,Muslim,Brazil,Married,A,-125.86587980550841,49.36346304833746,-72.22715884461758,B,31.598892394941814,D,C,76.47979548067504,16.67441840123968,1
